Date, Open, High, Low, Close, Volume
17-May-13,14.50,14.71,14.36,14.65,38250
16-May-13,14.70,14.75,14.57,14.64,7170
15-May-13,14.62,14.86,14.50,14.69,25829
14-May-13,14.52,14.70,14.49,14.70,11247
13-May-13,14.50,14.63,14.50,14.62,2301
10-May-13,14.50,14.55,14.29,14.52,68786
9-May-13,14.40,14.56,14.35,14.49,73490
8-May-13,14.54,14.66,14.38,14.46,9075
7-May-13,14.32,14.58,14.23,14.50,31744
6-May-13,14.31,14.40,14.21,14.34,5396
3-May-13,14.20,14.47,14.20,14.35,16539
2-May-13,14.19,14.29,13.98,14.15,41841
1-May-13,14.62,14.62,14.08,14.09,35392
30-Apr-13,14.79,14.84,14.57,14.64,17482
29-Apr-13,14.88,14.88,14.69,14.73,11083
26-Apr-13,15.15,15.15,14.91,14.92,12310
25-Apr-13,15.18,15.25,15.04,15.13,10132
24-Apr-13,15.23,15.36,15.11,15.22,18904
23-Apr-13,15.23,15.25,15.00,15.23,16207
22-Apr-13,15.27,15.45,14.76,15.10,41967
19-Apr-13,15.36,15.36,15.17,15.32,12174
18-Apr-13,15.25,15.50,15.20,15.36,28139
17-Apr-13,15.35,15.50,15.21,15.26,23273
16-Apr-13,15.28,15.59,15.21,15.42,15638
15-Apr-13,15.11,15.30,15.04,15.12,38148
12-Apr-13,15.16,15.32,15.04,15.16,16285
11-Apr-13,15.00,15.23,14.84,15.12,5581
10-Apr-13,14.78,15.15,14.78,15.06,16452
9-Apr-13,14.93,15.00,14.55,14.75,15957
8-Apr-13,15.21,15.27,14.88,14.99,17993
5-Apr-13,14.50,15.25,14.50,15.12,31901
4-Apr-13,14.65,14.95,14.58,14.72,42177
3-Apr-13,14.81,15.11,14.71,14.78,25582
2-Apr-13,15.08,15.08,14.69,14.74,11209
1-Apr-13,15.21,15.22,14.66,15.05,25948
28-Mar-13,15.85,15.94,15.20,15.27,35991
27-Mar-13,15.39,16.00,15.39,15.82,19704
26-Mar-13,15.19,15.62,15.15,15.61,23985
25-Mar-13,15.67,15.74,15.06,15.14,17032
22-Mar-13,15.45,15.75,15.16,15.67,43194
21-Mar-13,15.99,16.00,15.42,15.45,66577
20-Mar-13,14.85,16.52,14.85,16.24,187934
19-Mar-13,14.60,14.75,14.52,14.66,11131
18-Mar-13,14.31,14.68,14.31,14.55,20215
15-Mar-13,14.47,14.75,14.36,14.36,96729
14-Mar-13,14.20,14.49,14.18,14.48,23094
13-Mar-13,14.02,14.29,14.02,14.19,64305
12-Mar-13,14.05,14.09,13.98,14.05,4020
11-Mar-13,14.01,14.29,13.92,14.05,11349
8-Mar-13,14.50,14.50,14.03,14.08,10897
7-Mar-13,14.20,14.38,14.20,14.38,12074
6-Mar-13,14.27,14.38,13.98,14.33,6495
5-Mar-13,14.20,14.33,13.99,14.19,28966
4-Mar-13,14.30,14.35,13.98,14.16,13431
1-Mar-13,14.24,14.38,14.03,14.32,8418
28-Feb-13,14.43,14.45,14.06,14.42,15450
27-Feb-13,14.07,14.36,13.90,14.07,26547
26-Feb-13,13.96,14.24,13.95,14.10,15319
25-Feb-13,14.66,14.66,13.87,13.92,15346
22-Feb-13,14.44,14.66,14.44,14.63,7569
21-Feb-13,13.82,14.34,13.55,14.32,17434
20-Feb-13,14.12,14.52,13.61,13.72,73022
19-Feb-13,14.62,14.62,13.95,14.15,57109
15-Feb-13,14.10,14.69,13.99,14.63,31385
14-Feb-13,14.13,14.14,13.91,13.99,25272
13-Feb-13,13.95,14.17,13.86,14.04,34374
12-Feb-13,13.81,14.15,13.81,13.98,11844
11-Feb-13,14.08,14.16,13.97,14.02,17300
8-Feb-13,14.01,14.23,13.99,14.07,73025
7-Feb-13,13.99,14.14,13.90,14.01,36906
6-Feb-13,14.05,14.27,14.05,14.22,8788
5-Feb-13,13.91,14.18,13.82,14.13,40263
4-Feb-13,13.75,14.10,13.75,13.80,61631
1-Feb-13,13.15,13.84,13.11,13.77,14305
31-Jan-13,13.20,13.21,12.94,13.15,20458
30-Jan-13,13.72,13.72,13.20,13.20,15820
29-Jan-13,13.44,13.87,13.36,13.81,12018
28-Jan-13,13.22,13.51,13.15,13.49,21077
25-Jan-13,13.18,13.44,13.06,13.30,14811
24-Jan-13,13.36,13.36,13.14,13.18,9274
23-Jan-13,13.17,13.44,13.08,13.31,17794
22-Jan-13,13.30,13.32,13.03,13.18,29775
18-Jan-13,13.65,13.65,12.93,13.24,75475
17-Jan-13,13.92,13.92,13.63,13.72,12038
16-Jan-13,13.74,14.02,13.74,13.85,6122
15-Jan-13,14.00,14.00,13.76,13.81,9931
14-Jan-13,13.89,14.15,13.81,14.10,6437
11-Jan-13,13.80,13.96,13.75,13.88,5304
10-Jan-13,13.77,13.87,13.69,13.77,6417
9-Jan-13,13.71,13.81,13.68,13.78,4583
8-Jan-13,13.79,13.86,13.67,13.72,14818
7-Jan-13,14.03,14.03,13.81,13.84,6549
4-Jan-13,13.89,14.13,13.73,14.11,22752
3-Jan-13,14.18,14.18,13.70,13.78,32330
2-Jan-13,14.27,14.47,13.97,14.07,38479
31-Dec-12,13.72,14.20,13.62,14.04,24439
28-Dec-12,13.83,14.19,13.58,13.70,29625
27-Dec-12,14.45,14.50,13.54,13.87,14328
26-Dec-12,14.45,14.45,13.87,13.90,7282
24-Dec-12,14.18,14.55,13.88,14.23,16451
21-Dec-12,14.51,14.63,13.92,14.22,68321
20-Dec-12,14.21,14.69,13.92,14.48,15248
19-Dec-12,14.39,14.39,13.88,14.25,23357
18-Dec-12,13.79,14.49,13.40,14.34,29988
17-Dec-12,13.70,13.79,13.54,13.73,7858
14-Dec-12,13.38,13.74,13.38,13.70,11985
13-Dec-12,13.57,13.58,13.39,13.47,2669
12-Dec-12,14.03,14.14,13.46,13.53,10752
11-Dec-12,14.06,14.16,13.45,14.13,42067
10-Dec-12,14.02,14.25,13.69,13.95,22453
7-Dec-12,14.03,14.69,14.03,14.21,20717
6-Dec-12,14.01,14.30,13.97,14.05,15528
5-Dec-12,13.91,14.18,13.75,14.04,19375
4-Dec-12,13.79,13.90,13.75,13.88,12407
3-Dec-12,13.80,13.90,13.69,13.85,20974
30-Nov-12,13.84,13.93,13.39,13.83,25877
29-Nov-12,13.60,13.85,13.49,13.78,12413
28-Nov-12,13.51,13.62,13.27,13.56,18571
27-Nov-12,13.80,13.84,13.70,13.77,31547
26-Nov-12,13.23,13.80,13.23,13.80,22436
23-Nov-12,13.39,13.57,13.09,13.57,21830
21-Nov-12,12.94,13.37,12.94,13.35,3461
20-Nov-12,13.52,13.52,12.87,13.08,38708
19-Nov-12,13.25,13.64,13.25,13.61,9319
16-Nov-12,13.15,13.40,12.91,13.20,33366
15-Nov-12,12.71,13.36,12.71,13.23,18903
14-Nov-12,12.90,12.96,12.71,12.75,18603
13-Nov-12,12.70,13.00,12.70,12.84,7375
12-Nov-12,13.44,13.44,12.90,12.91,26540
9-Nov-12,13.04,13.28,12.79,13.25,72542
8-Nov-12,12.44,13.99,12.44,12.93,26140
7-Nov-12,12.67,12.67,12.25,12.25,14581
6-Nov-12,12.84,13.00,12.59,12.81,28490
5-Nov-12,12.67,12.89,12.51,12.77,20223
2-Nov-12,13.02,13.15,12.57,12.71,71224
1-Nov-12,13.01,13.11,12.71,12.93,35827
31-Oct-12,13.25,13.42,12.77,12.96,25933
26-Oct-12,13.71,14.00,13.39,13.40,11015
25-Oct-12,13.48,13.57,13.01,13.26,15618
24-Oct-12,12.85,13.46,12.82,13.33,11602
23-Oct-12,12.94,13.00,12.77,12.77,14249
22-Oct-12,12.80,13.08,12.80,13.00,3654
19-Oct-12,12.89,13.05,12.75,12.95,34085
18-Oct-12,13.61,13.62,12.91,12.91,14974
17-Oct-12,13.66,13.75,13.51,13.62,8083
16-Oct-12,13.54,13.93,13.54,13.69,49778
15-Oct-12,13.77,13.89,13.77,13.85,9759
12-Oct-12,13.76,13.94,13.52,13.70,19584
11-Oct-12,13.95,14.00,13.72,13.80,14063
10-Oct-12,13.85,13.99,13.69,13.88,8033
9-Oct-12,13.89,13.90,13.66,13.75,13079
8-Oct-12,13.92,14.00,13.77,13.83,13920
