Date, Open, High, Low, Close, Volume
17-May-13,26.95,27.35,26.88,27.23,8278868
16-May-13,27.28,27.56,26.50,26.80,5263774
15-May-13,27.49,27.74,27.20,27.43,5243261
14-May-13,27.37,27.61,27.23,27.60,4006846
13-May-13,27.07,27.39,26.97,27.35,3465262
10-May-13,26.87,27.16,26.84,27.15,2982883
9-May-13,26.86,27.31,26.78,26.82,5127040
8-May-13,26.65,26.98,26.41,26.96,4428700
7-May-13,26.68,26.84,26.41,26.75,4103787
6-May-13,26.46,26.64,26.16,26.49,4320769
3-May-13,26.78,27.02,26.24,26.45,4759389
2-May-13,25.83,26.53,25.64,26.42,6286910
1-May-13,25.97,26.04,25.39,25.58,5945752
30-Apr-13,26.22,26.49,25.52,26.08,8701083
29-Apr-13,26.61,27.32,26.47,26.52,9982559
26-Apr-13,25.83,26.92,25.60,26.66,15505539
25-Apr-13,24.21,24.79,24.01,24.53,7239551
24-Apr-13,23.59,24.11,23.48,24.02,6468088
23-Apr-13,22.84,23.97,22.84,23.55,7468460
22-Apr-13,22.01,22.46,21.47,22.36,4022201
19-Apr-13,21.58,22.21,21.54,21.98,5144545
18-Apr-13,22.10,22.14,21.24,21.48,5308924
17-Apr-13,22.20,22.23,21.64,22.14,5014032
16-Apr-13,22.42,22.56,21.71,22.45,5696470
15-Apr-13,23.21,23.22,21.85,21.90,6431635
12-Apr-13,23.22,23.93,23.16,23.42,4622645
11-Apr-13,23.03,23.59,23.03,23.33,3252258
10-Apr-13,23.44,23.44,22.94,23.15,4531693
9-Apr-13,23.51,23.62,23.15,23.27,4520412
8-Apr-13,23.12,23.53,22.90,23.48,5835547
5-Apr-13,22.43,23.12,22.16,23.08,6264975
4-Apr-13,22.89,23.04,22.60,22.88,4511329
3-Apr-13,23.45,23.57,22.10,22.84,8908488
2-Apr-13,24.06,24.19,23.35,23.41,4529330
1-Apr-13,24.32,24.41,23.74,23.85,3545127
28-Mar-13,24.39,24.50,24.02,24.30,4062927
27-Mar-13,24.09,24.42,23.90,24.39,3616850
26-Mar-13,24.64,24.81,24.06,24.21,4406632
25-Mar-13,24.79,25.22,24.32,24.48,4327043
22-Mar-13,25.01,25.07,24.64,24.72,3711165
21-Mar-13,25.34,25.34,24.45,24.88,9355324
20-Mar-13,24.54,25.56,24.48,25.43,6457364
19-Mar-13,24.48,24.72,24.13,24.31,4686775
18-Mar-13,24.06,24.50,23.97,24.25,4693141
15-Mar-13,24.42,24.76,24.30,24.34,6230603
14-Mar-13,24.20,24.58,24.16,24.53,4225842
13-Mar-13,23.61,24.18,23.42,24.02,5375243
12-Mar-13,23.90,24.03,23.52,23.63,3851577
11-Mar-13,24.07,24.24,23.86,23.96,4907559
8-Mar-13,24.02,24.18,23.57,24.07,4098238
7-Mar-13,23.70,23.87,23.36,23.82,5059669
6-Mar-13,23.90,24.30,23.65,23.71,7252351
5-Mar-13,23.31,23.99,23.29,23.80,6752735
4-Mar-13,22.40,23.34,22.32,23.24,6485209
1-Mar-13,22.14,22.70,21.75,22.51,6232408
28-Feb-13,22.67,22.96,22.29,22.30,4503225
27-Feb-13,22.25,22.77,22.11,22.65,4833112
26-Feb-13,21.58,22.31,21.53,22.25,6184892
25-Feb-13,22.44,22.58,21.35,21.37,6176840
22-Feb-13,22.26,22.49,22.15,22.31,4018232
21-Feb-13,22.00,22.42,21.53,22.17,8511594
20-Feb-13,22.98,23.08,21.75,21.93,12675607
19-Feb-13,23.76,24.10,22.95,23.29,6641339
15-Feb-13,23.74,24.08,23.54,23.66,3934829
14-Feb-13,23.78,23.98,23.72,23.78,3426160
13-Feb-13,24.03,24.45,23.73,23.83,6267453
12-Feb-13,23.05,24.66,23.04,24.05,10278451
11-Feb-13,23.12,23.45,22.89,22.92,4342054
8-Feb-13,23.21,23.35,22.88,23.08,2813549
7-Feb-13,23.45,23.52,22.87,23.17,4585379
6-Feb-13,23.56,23.94,23.38,23.44,4868350
5-Feb-13,23.13,23.91,22.77,23.72,9454195
4-Feb-13,23.15,23.39,22.81,22.86,4998484
1-Feb-13,23.86,24.29,23.29,23.35,8198487
31-Jan-13,23.03,23.67,22.86,23.66,9198577
30-Jan-13,23.54,23.68,22.92,23.06,12702042
29-Jan-13,22.24,24.03,22.16,23.82,22344642
28-Jan-13,21.85,22.00,21.11,21.31,6579074
25-Jan-13,21.78,21.83,21.57,21.76,5964041
24-Jan-13,21.85,22.15,21.53,21.72,6766114
23-Jan-13,21.68,21.85,21.43,21.82,4327048
22-Jan-13,21.65,21.70,21.16,21.55,4947161
18-Jan-13,21.59,21.67,21.38,21.52,3953169
17-Jan-13,21.18,21.62,21.18,21.53,4410911
16-Jan-13,20.96,21.25,20.85,21.00,2951341
15-Jan-13,20.75,21.11,20.63,21.08,5247884
14-Jan-13,21.00,21.30,20.79,20.89,2775369
11-Jan-13,21.14,21.39,20.70,20.95,3627023
10-Jan-13,21.25,21.25,20.70,20.86,3853144
9-Jan-13,20.93,21.41,20.82,21.15,4766585
8-Jan-13,20.80,20.88,20.56,20.73,2965167
7-Jan-13,20.59,20.89,20.50,20.81,4117915
4-Jan-13,20.38,20.74,20.25,20.72,4531912
3-Jan-13,20.62,20.80,20.20,20.38,7427377
2-Jan-13,20.34,20.48,20.02,20.39,7442361
31-Dec-12,19.19,19.81,19.05,19.78,4245622
28-Dec-12,19.34,19.46,19.08,19.24,3059202
27-Dec-12,19.44,19.62,19.06,19.48,3855843
26-Dec-12,19.65,19.86,19.40,19.44,2615041
24-Dec-12,19.76,20.00,19.57,19.59,1728070
21-Dec-12,19.86,19.86,19.28,19.75,7709771
20-Dec-12,19.93,20.30,19.75,20.10,5962767
19-Dec-12,20.15,20.26,19.65,19.95,6807594
18-Dec-12,19.69,20.18,19.63,20.08,7320759
17-Dec-12,18.83,19.73,18.80,19.69,5341947
14-Dec-12,18.87,18.94,18.59,18.74,3248946
