Date, Open, High, Low, Close, Volume
17-May-13,13.96,13.98,13.74,13.90,25895
16-May-13,13.89,13.96,13.65,13.96,20552
15-May-13,13.69,13.79,13.52,13.73,13534
14-May-13,13.59,13.80,13.52,13.75,15823
13-May-13,13.50,13.64,13.36,13.60,16636
10-May-13,13.26,13.66,13.26,13.52,7649
9-May-13,13.23,13.42,13.13,13.22,33962
8-May-13,13.19,13.26,13.14,13.22,10266
7-May-13,13.36,13.36,13.06,13.25,32979
6-May-13,13.50,13.53,13.24,13.32,70162
3-May-13,13.14,13.28,13.00,13.18,36435
2-May-13,13.06,13.14,12.93,12.99,12910
1-May-13,13.22,13.27,12.80,12.91,68128
30-Apr-13,13.44,13.44,13.30,13.38,11587
29-Apr-13,13.50,13.58,13.19,13.43,21134
26-Apr-13,15.60,15.60,13.10,13.48,108977
25-Apr-13,15.59,16.35,15.47,16.09,13361
24-Apr-13,15.35,15.60,15.33,15.60,6692
23-Apr-13,15.92,15.92,15.40,15.64,3940
22-Apr-13,15.48,15.82,15.48,15.78,2743
19-Apr-13,15.33,15.91,15.33,15.84,6000
18-Apr-13,15.34,15.45,15.15,15.32,6198
17-Apr-13,16.17,16.17,15.26,15.28,7886
16-Apr-13,15.73,16.00,15.72,15.96,4737
15-Apr-13,16.71,16.71,15.50,15.51,13622
12-Apr-13,16.54,16.80,16.50,16.53,11294
11-Apr-13,16.87,16.87,16.41,16.54,15064
10-Apr-13,16.00,16.95,15.99,16.80,10104
9-Apr-13,15.91,15.96,15.75,15.95,9820
8-Apr-13,15.82,15.93,15.72,15.88,6566
5-Apr-13,15.54,15.96,15.52,15.74,3877
4-Apr-13,15.66,15.88,15.66,15.76,3325
3-Apr-13,16.11,16.23,15.66,15.73,10256
2-Apr-13,15.93,16.02,15.59,15.87,7835
1-Apr-13,16.29,16.45,15.47,15.82,10526
28-Mar-13,16.03,16.47,15.82,16.47,22317
27-Mar-13,16.00,16.00,15.60,15.84,5204
26-Mar-13,16.01,16.15,15.52,16.13,9668
25-Mar-13,15.29,16.01,15.03,15.79,27746
22-Mar-13,15.22,15.31,15.15,15.31,1003
21-Mar-13,15.50,15.50,14.95,14.95,5271
20-Mar-13,15.65,15.65,15.48,15.62,4202
19-Mar-13,15.46,15.58,15.40,15.57,6325
18-Mar-13,16.12,16.12,15.37,15.39,4289
15-Mar-13,16.57,16.57,15.55,15.80,31392
14-Mar-13,16.39,16.67,16.32,16.67,5593
13-Mar-13,16.37,16.43,16.34,16.43,5821
12-Mar-13,16.23,16.59,16.20,16.50,4559
11-Mar-13,16.48,16.48,16.21,16.45,3463
8-Mar-13,16.78,16.87,16.35,16.55,8416
7-Mar-13,16.46,16.67,16.41,16.67,2083
6-Mar-13,16.34,16.69,16.24,16.52,3710
5-Mar-13,16.59,16.59,16.25,16.51,9048
4-Mar-13,16.53,16.75,16.48,16.58,2356
1-Mar-13,16.21,16.86,16.21,16.61,4471
28-Feb-13,16.41,16.42,16.28,16.39,5095
27-Feb-13,16.46,16.50,16.17,16.38,11731
26-Feb-13,16.33,16.58,16.25,16.48,3893
25-Feb-13,17.14,17.14,16.09,16.24,9458
22-Feb-13,17.20,17.20,16.96,17.12,3942
21-Feb-13,17.29,17.47,16.95,17.12,4354
20-Feb-13,17.74,17.74,17.25,17.31,12132
19-Feb-13,17.45,17.84,16.52,17.84,9801
15-Feb-13,17.19,17.50,16.72,17.39,20902
14-Feb-13,17.09,17.15,16.89,17.11,5805
13-Feb-13,17.07,17.23,16.65,17.12,10237
12-Feb-13,17.18,17.25,16.50,17.08,13998
11-Feb-13,17.62,17.62,16.71,17.18,9585
8-Feb-13,17.27,17.70,16.46,17.59,13692
7-Feb-13,16.53,17.35,16.50,17.33,13636
6-Feb-13,16.18,16.60,16.18,16.49,13746
5-Feb-13,16.24,16.25,15.83,16.22,11129
4-Feb-13,15.64,16.37,15.30,16.23,20409
1-Feb-13,14.54,15.78,14.54,15.72,32634
31-Jan-13,14.57,14.69,14.31,14.45,40538
30-Jan-13,14.56,14.64,14.46,14.56,52154
29-Jan-13,13.90,14.63,13.61,14.56,48986
28-Jan-13,13.88,14.26,13.88,14.00,201895
25-Jan-13,14.04,14.24,13.89,13.91,17961
24-Jan-13,13.97,14.02,13.83,13.96,7890
23-Jan-13,14.01,14.14,13.95,14.00,12740
22-Jan-13,13.85,14.10,13.83,14.06,24485
18-Jan-13,13.84,13.90,13.72,13.89,7314
17-Jan-13,13.82,13.99,13.81,13.90,87054
16-Jan-13,13.77,13.94,13.73,13.80,8230
15-Jan-13,13.52,13.97,13.50,13.86,15230
14-Jan-13,13.60,13.67,13.60,13.62,3537
11-Jan-13,13.71,13.81,13.50,13.65,176308
10-Jan-13,13.75,13.75,13.51,13.68,8236
9-Jan-13,13.78,13.78,13.61,13.67,21042
8-Jan-13,13.77,13.84,13.62,13.71,17613
7-Jan-13,13.93,14.31,13.77,13.77,9445
4-Jan-13,14.00,14.00,13.88,13.94,19028
3-Jan-13,13.96,14.00,13.86,13.94,18999
2-Jan-13,14.00,14.05,13.86,13.88,39485
31-Dec-12,13.86,14.00,13.86,13.98,13102
28-Dec-12,13.90,14.00,13.84,13.86,20997
27-Dec-12,13.92,13.97,13.75,13.89,9277
26-Dec-12,13.95,14.00,13.84,13.90,13060
24-Dec-12,13.89,13.97,13.86,13.97,2475
21-Dec-12,14.06,14.06,13.81,13.99,52514
20-Dec-12,14.00,14.08,13.97,14.01,14435
19-Dec-12,13.99,14.06,13.97,14.05,21623
18-Dec-12,14.05,14.15,13.92,14.00,41340
17-Dec-12,14.00,14.07,14.00,14.07,14737
14-Dec-12,13.83,14.05,13.80,14.05,15208
13-Dec-12,14.02,14.02,13.80,13.93,10652
12-Dec-12,14.13,14.13,13.95,13.97,27984
11-Dec-12,14.04,14.07,13.88,14.07,18706
10-Dec-12,14.05,14.05,13.89,13.94,7314
7-Dec-12,14.26,14.26,13.90,14.00,11596
6-Dec-12,14.37,14.37,14.13,14.17,8700
5-Dec-12,14.35,14.36,14.27,14.33,7657
4-Dec-12,14.61,14.61,14.18,14.26,58144
3-Dec-12,14.56,14.57,14.21,14.56,11354
30-Nov-12,14.56,14.60,14.37,14.51,10381
29-Nov-12,14.59,14.62,14.51,14.55,17251
28-Nov-12,14.31,14.78,14.31,14.56,13926
27-Nov-12,14.42,14.56,14.33,14.48,10706
26-Nov-12,14.57,14.66,14.17,14.56,22026
23-Nov-12,14.79,14.79,14.41,14.56,26792
21-Nov-12,14.78,15.12,14.56,15.12,19841
20-Nov-12,14.58,14.65,14.54,14.56,17733
19-Nov-12,14.56,14.60,14.43,14.56,9618
16-Nov-12,14.12,14.56,14.09,14.44,19902
15-Nov-12,14.34,14.34,14.14,14.14,6007
14-Nov-12,14.29,14.40,14.26,14.26,12382
13-Nov-12,14.49,14.49,14.34,14.41,2657
12-Nov-12,14.86,14.86,14.31,14.50,10790
9-Nov-12,14.73,15.13,14.73,14.94,6789
8-Nov-12,14.46,15.05,14.25,14.73,14030
7-Nov-12,15.15,15.15,14.74,14.79,15108
6-Nov-12,15.28,15.30,15.08,15.29,4270
5-Nov-12,14.89,15.24,14.87,15.17,6463
2-Nov-12,15.34,15.50,14.84,14.84,9891
1-Nov-12,15.25,15.49,15.10,15.45,37503
31-Oct-12,14.71,15.14,14.71,15.14,29648
26-Oct-12,14.41,14.77,14.21,14.66,16566
25-Oct-12,14.27,14.30,14.25,14.25,3331
24-Oct-12,14.44,14.44,14.25,14.27,3088
23-Oct-12,14.21,14.39,14.15,14.15,8709
22-Oct-12,14.37,14.40,14.24,14.26,4018
19-Oct-12,14.17,14.41,14.12,14.33,36050
18-Oct-12,14.68,14.68,14.28,14.28,41493
17-Oct-12,14.42,14.81,14.42,14.73,6413
16-Oct-12,14.46,14.57,14.02,14.46,17257
15-Oct-12,14.62,14.81,14.29,14.44,12373
12-Oct-12,14.86,14.88,14.62,14.62,9551
11-Oct-12,14.82,15.17,14.82,14.90,23053
10-Oct-12,14.67,14.86,14.52,14.69,40478
9-Oct-12,15.01,15.01,14.51,14.75,13249
8-Oct-12,15.71,15.71,14.80,14.97,19233
5-Oct-12,15.22,15.78,15.22,15.71,7869
4-Oct-12,15.04,15.22,14.95,15.22,13487
3-Oct-12,14.96,15.18,14.90,15.05,23208
2-Oct-12,14.65,15.31,14.44,14.99,21465
1-Oct-12,13.87,14.67,13.87,14.63,13177
28-Sep-12,13.78,14.02,13.77,13.77,14106
27-Sep-12,13.89,14.00,13.88,13.88,9702
26-Sep-12,13.88,14.11,13.82,13.96,19252
25-Sep-12,14.40,14.49,13.85,13.89,23121
24-Sep-12,14.85,14.85,14.29,14.29,18809
21-Sep-12,13.97,14.96,13.76,14.96,28412
20-Sep-12,13.74,13.81,13.64,13.76,12898
19-Sep-12,13.90,14.04,13.77,13.77,11615
18-Sep-12,14.07,14.07,13.76,13.83,32069
17-Sep-12,14.27,14.36,14.03,14.07,12678
14-Sep-12,14.55,14.58,14.31,14.39,34645
13-Sep-12,14.66,14.77,14.43,14.46,18915
12-Sep-12,14.86,14.86,14.78,14.86,4769
11-Sep-12,14.74,14.95,14.73,14.90,11850
10-Sep-12,14.34,14.88,14.34,14.79,23288
7-Sep-12,13.90,14.36,13.79,14.35,10510
6-Sep-12,14.07,14.44,13.05,14.39,21643
5-Sep-12,14.42,14.42,14.01,14.01,26964
4-Sep-12,14.14,14.40,14.14,14.15,19270
31-Aug-12,14.29,14.29,14.09,14.17,8373
30-Aug-12,14.25,14.27,14.14,14.14,16546
29-Aug-12,14.27,14.36,14.22,14.25,18771
28-Aug-12,14.47,14.47,14.22,14.35,10706
27-Aug-12,14.52,14.55,14.33,14.42,7486
