Date, Open, High, Low, Close, Volume
17-May-13,7.16,7.33,6.95,7.15,79134
16-May-13,7.17,7.23,7.04,7.16,22243
15-May-13,6.96,7.22,6.96,7.22,45913
14-May-13,7.12,7.12,6.93,6.97,44913
13-May-13,7.02,7.14,6.95,7.14,66538
10-May-13,6.83,7.17,6.83,7.09,61676
9-May-13,7.10,7.11,6.68,6.71,126470
8-May-13,6.91,7.13,6.91,7.08,30151
7-May-13,7.18,7.18,6.90,6.94,91429
6-May-13,7.22,7.34,7.10,7.18,97006
3-May-13,7.16,7.25,7.05,7.22,22555
2-May-13,6.90,7.14,6.65,7.05,84748
1-May-13,7.31,7.43,6.76,6.83,165751
30-Apr-13,7.73,7.76,7.19,7.28,367646
29-Apr-13,7.89,7.91,7.28,7.74,75792
26-Apr-13,7.73,7.75,7.46,7.55,111187
25-Apr-13,7.74,7.80,7.46,7.71,58176
24-Apr-13,7.79,7.99,7.71,7.75,100134
23-Apr-13,7.37,7.73,7.37,7.70,82922
22-Apr-13,7.50,7.52,7.32,7.49,52867
19-Apr-13,7.41,7.58,7.33,7.50,144015
18-Apr-13,7.36,7.50,7.29,7.47,46691
17-Apr-13,7.35,7.59,7.28,7.37,61028
16-Apr-13,7.50,7.59,7.28,7.39,97248
15-Apr-13,7.57,7.59,7.40,7.44,159243
12-Apr-13,7.50,7.62,7.06,7.49,912803
11-Apr-13,8.47,8.78,7.27,7.28,129450
10-Apr-13,8.41,8.67,8.36,8.63,23263
9-Apr-13,8.43,8.62,8.38,8.38,17100
8-Apr-13,8.55,8.55,8.30,8.47,17141
5-Apr-13,8.75,8.75,8.42,8.55,31581
4-Apr-13,8.88,9.12,8.83,8.91,42520
3-Apr-13,8.68,8.99,8.36,8.87,49753
2-Apr-13,8.62,8.99,8.62,8.63,21961
1-Apr-13,8.99,8.99,8.39,8.52,15429
28-Mar-13,9.53,9.53,8.27,9.00,47938
27-Mar-13,9.74,9.75,9.39,9.50,32738
26-Mar-13,9.81,9.81,9.63,9.72,38371
25-Mar-13,9.00,10.49,8.77,9.63,56021
22-Mar-13,8.94,8.98,8.90,8.94,9549
21-Mar-13,8.75,8.95,8.75,8.94,12168
20-Mar-13,8.78,9.01,8.65,8.84,25486
19-Mar-13,8.85,8.85,8.36,8.63,31574
18-Mar-13,8.69,8.88,8.69,8.74,12846
15-Mar-13,8.29,8.95,8.29,8.85,110703
14-Mar-13,8.97,9.04,8.20,8.25,30522
