Date, Open, High, Low, Close, Volume
17-May-13,1.99,1.99,1.77,1.77,1144
16-May-13,1.90,2.01,1.85,1.85,36350
15-May-13,1.95,1.95,1.85,1.85,8200
14-May-13,2.03,2.03,1.95,1.95,10075
13-May-13,2.04,2.04,1.86,2.00,6654
10-May-13,1.93,2.09,1.80,1.90,42592
9-May-13,2.01,2.15,2.00,2.00,23634
8-May-13,2.00,2.00,2.00,2.00,125
7-May-13,2.08,2.08,2.08,2.08,100
6-May-13,2.10,2.12,2.10,2.12,500
3-May-13,2.15,2.15,2.15,2.15,1500
2-May-13,2.10,2.11,2.10,2.10,1200
1-May-13,2.11,2.30,2.10,2.10,3638
30-Apr-13,2.29,2.29,2.03,2.26,700
26-Apr-13,2.20,2.33,2.00,2.16,6545
25-Apr-13,2.01,2.20,2.01,2.20,242
24-Apr-13,2.20,2.20,2.20,2.20,1000
23-Apr-13,2.43,2.43,2.20,2.20,5698
22-Apr-13,2.30,2.30,2.30,2.30,460
19-Apr-13,2.34,2.34,2.30,2.30,300
18-Apr-13,2.70,2.70,2.20,2.30,2871
17-Apr-13,2.55,2.55,2.50,2.50,300
16-Apr-13,2.70,2.70,2.70,2.70,100
15-Apr-13,2.62,2.62,2.60,2.60,1200
11-Apr-13,2.77,2.77,2.75,2.75,400
9-Apr-13,2.76,2.76,2.75,2.75,400
3-Apr-13,2.60,2.75,2.60,2.75,900
1-Apr-13,2.88,2.88,2.50,2.60,1106
27-Mar-13,2.71,2.72,2.71,2.72,420
26-Mar-13,2.62,2.91,2.62,2.91,312
25-Mar-13,2.81,2.83,2.75,2.83,2159
22-Mar-13,2.88,2.88,2.88,2.88,100
21-Mar-13,2.99,2.99,2.70,2.73,3093
20-Mar-13,2.69,2.91,2.69,2.90,2869
19-Mar-13,2.61,2.61,2.61,2.61,100
18-Mar-13,2.77,3.05,2.77,3.04,450
15-Mar-13,3.18,3.18,2.70,2.71,10544
14-Mar-13,2.97,3.26,2.97,3.20,15487
13-Mar-13,3.01,3.01,2.85,3.00,3271
12-Mar-13,2.78,3.10,2.71,2.99,3586
11-Mar-13,2.70,2.84,2.41,2.84,7420
8-Mar-13,2.75,2.75,2.75,2.75,1400
6-Mar-13,2.80,2.80,2.80,2.80,100
5-Mar-13,2.95,2.95,2.70,2.75,5590
4-Mar-13,2.65,2.97,2.65,2.97,236
1-Mar-13,2.85,2.85,2.77,2.85,2205
28-Feb-13,3.10,3.30,2.45,2.80,8639
27-Feb-13,2.72,3.50,2.72,2.90,7147
26-Feb-13,2.95,2.95,2.85,2.95,7330
25-Feb-13,2.97,2.97,2.85,2.94,5992
22-Feb-13,2.30,2.85,2.29,2.85,6538
21-Feb-13,2.53,2.53,2.50,2.50,250
20-Feb-13,2.60,2.60,2.53,2.53,11135
15-Feb-13,2.70,2.84,2.53,2.82,5810
14-Feb-13,3.01,3.04,2.60,2.60,13220
13-Feb-13,3.02,3.02,3.02,3.02,200
12-Feb-13,2.73,3.03,2.73,3.03,1460
11-Feb-13,2.75,3.19,2.40,2.80,30395
8-Feb-13,3.10,3.10,3.10,3.10,150
7-Feb-13,3.05,3.20,3.02,3.20,5295
6-Feb-13,3.30,3.30,3.27,3.27,325
5-Feb-13,3.60,3.60,3.08,3.25,6950
4-Feb-13,3.25,3.25,3.25,3.25,2000
