Date, Open, High, Low, Close, Volume
17-May-13,2.49,2.55,2.43,2.51,4203738
16-May-13,2.44,2.54,2.41,2.49,2009842
15-May-13,2.46,2.48,2.39,2.47,1509344
14-May-13,2.34,2.48,2.32,2.46,2053979
13-May-13,2.27,2.34,2.26,2.33,898906
10-May-13,2.23,2.30,2.20,2.26,1393110
9-May-13,2.22,2.25,2.18,2.20,771970
8-May-13,2.18,2.26,2.17,2.23,1116076
7-May-13,2.27,2.36,2.17,2.19,993806
6-May-13,2.29,2.30,2.24,2.27,854607
3-May-13,2.21,2.35,2.21,2.31,1337077
2-May-13,2.23,2.27,2.18,2.19,1618674
1-May-13,2.32,2.34,2.21,2.21,1765549
30-Apr-13,2.42,2.42,2.34,2.35,970488
29-Apr-13,2.40,2.46,2.37,2.40,838354
26-Apr-13,2.48,2.48,2.38,2.40,1930191
25-Apr-13,2.48,2.55,2.48,2.50,2233101
24-Apr-13,2.47,2.50,2.40,2.48,1301393
23-Apr-13,2.41,2.49,2.38,2.49,1992967
22-Apr-13,2.40,2.42,2.35,2.42,1784736
19-Apr-13,2.35,2.40,2.30,2.39,1575264
18-Apr-13,2.29,2.38,2.21,2.38,2117354
17-Apr-13,2.15,2.36,2.11,2.29,2461903
16-Apr-13,2.23,2.27,2.10,2.15,1937700
15-Apr-13,2.39,2.39,2.20,2.20,1487662
12-Apr-13,2.42,2.42,2.32,2.40,1678776
11-Apr-13,2.37,2.46,2.34,2.42,1941074
10-Apr-13,2.42,2.47,2.36,2.36,3161706
9-Apr-13,2.40,2.47,2.36,2.41,1898251
8-Apr-13,2.39,2.42,2.27,2.40,2169344
5-Apr-13,2.30,2.41,2.30,2.39,1603148
4-Apr-13,2.32,2.38,2.30,2.36,1795726
3-Apr-13,2.24,2.38,2.24,2.36,3583726
2-Apr-13,2.16,2.28,2.09,2.26,2757883
1-Apr-13,2.18,2.20,2.11,2.15,1992924
28-Mar-13,2.20,2.22,2.15,2.22,2732485
27-Mar-13,2.15,2.18,2.10,2.18,1149728
26-Mar-13,2.17,2.20,2.13,2.17,1966005
25-Mar-13,2.20,2.20,2.09,2.14,1540847
22-Mar-13,2.11,2.22,2.09,2.20,3388429
21-Mar-13,2.10,2.13,2.04,2.07,1249930
20-Mar-13,2.10,2.16,2.06,2.14,1021115
19-Mar-13,2.10,2.14,1.98,2.09,2921792
18-Mar-13,2.13,2.16,2.09,2.12,1363945
15-Mar-13,2.23,2.23,2.10,2.16,3187933
14-Mar-13,2.12,2.24,2.08,2.23,3185628
13-Mar-13,2.17,2.29,2.08,2.11,6847329
12-Mar-13,1.95,2.14,1.91,2.13,3286876
11-Mar-13,1.96,2.00,1.94,1.95,1394408
8-Mar-13,1.93,2.02,1.90,1.95,2729517
7-Mar-13,1.84,1.97,1.81,1.91,2919255
6-Mar-13,1.83,1.86,1.81,1.83,1810121
5-Mar-13,1.85,1.88,1.80,1.84,1771460
4-Mar-13,1.98,1.99,1.74,1.84,4940183
1-Mar-13,2.01,2.03,1.95,1.98,2940443
28-Feb-13,1.99,2.05,1.90,2.04,4184038
27-Feb-13,2.10,2.11,1.95,2.01,5901333
26-Feb-13,2.04,2.13,2.03,2.11,5091967
25-Feb-13,2.01,2.13,1.87,2.01,22094203
22-Feb-13,2.99,3.12,2.91,2.97,6598538
21-Feb-13,2.75,3.00,2.73,2.94,5729404
20-Feb-13,2.99,3.00,2.71,2.77,8074562
19-Feb-13,3.19,3.20,2.94,2.95,6233748
15-Feb-13,3.20,3.20,3.06,3.15,3617483
14-Feb-13,3.24,3.24,3.16,3.17,2830055
13-Feb-13,3.28,3.30,3.21,3.22,2317000
12-Feb-13,3.25,3.25,3.17,3.22,1649127
11-Feb-13,3.25,3.29,3.19,3.19,3846861
8-Feb-13,3.21,3.33,3.11,3.19,6057666
7-Feb-13,3.13,3.21,3.09,3.16,2623541
6-Feb-13,3.08,3.08,3.02,3.06,1670835
5-Feb-13,3.04,3.12,3.01,3.08,3362707
4-Feb-13,3.09,3.14,2.99,3.01,3198704
1-Feb-13,3.10,3.14,3.07,3.11,1248588
31-Jan-13,3.15,3.15,3.02,3.09,1174559
30-Jan-13,3.15,3.21,3.01,3.02,2831557
29-Jan-13,3.05,3.21,3.01,3.15,6084046
28-Jan-13,3.03,3.07,3.00,3.04,1137131
25-Jan-13,3.06,3.08,2.99,3.04,1183186
24-Jan-13,3.06,3.11,3.00,3.05,1880743
23-Jan-13,3.09,3.12,3.02,3.06,991849
22-Jan-13,3.08,3.12,3.03,3.08,919014
18-Jan-13,3.11,3.15,3.03,3.07,1093117
17-Jan-13,3.14,3.15,3.05,3.09,1057804
16-Jan-13,3.03,3.14,3.00,3.12,1389843
15-Jan-13,3.17,3.24,3.02,3.04,3508782
14-Jan-13,3.32,3.32,3.15,3.20,1899948
11-Jan-13,3.34,3.35,3.26,3.30,1417792
10-Jan-13,3.37,3.39,3.21,3.33,3446297
9-Jan-13,3.08,3.39,3.05,3.30,5145293
8-Jan-13,2.92,3.08,2.90,3.06,2182594
7-Jan-13,2.85,2.95,2.81,2.93,1624230
4-Jan-13,2.87,2.92,2.83,2.87,1215704
3-Jan-13,2.87,2.95,2.82,2.84,1386784
2-Jan-13,2.95,3.01,2.88,2.92,2033106
31-Dec-12,2.73,2.87,2.64,2.85,2817154
28-Dec-12,2.73,2.80,2.60,2.74,1484958
27-Dec-12,2.82,2.85,2.67,2.77,1589725
26-Dec-12,2.79,2.86,2.78,2.82,1664880
24-Dec-12,2.83,2.88,2.75,2.79,731064
21-Dec-12,2.83,2.86,2.71,2.84,13358938
20-Dec-12,2.86,2.93,2.78,2.84,1918211
19-Dec-12,2.85,2.96,2.85,2.87,1859469
18-Dec-12,2.80,2.92,2.77,2.86,2274896
17-Dec-12,2.65,2.80,2.64,2.80,2760201
14-Dec-12,2.59,2.73,2.58,2.65,1183855
13-Dec-12,2.67,2.68,2.55,2.60,3518707
12-Dec-12,2.60,2.75,2.60,2.69,2315705
11-Dec-12,2.58,2.61,2.47,2.60,3947053
10-Dec-12,2.50,2.66,2.45,2.57,3580009
7-Dec-12,2.65,2.67,2.47,2.50,4092356
6-Dec-12,2.71,2.71,2.60,2.62,2382945
5-Dec-12,2.80,2.80,2.70,2.70,2286239
4-Dec-12,2.83,2.85,2.74,2.78,1911860
3-Dec-12,2.80,2.89,2.77,2.84,4194175
30-Nov-12,2.89,2.90,2.79,2.84,1403127
29-Nov-12,2.91,2.92,2.84,2.87,1555071
28-Nov-12,2.81,2.88,2.77,2.88,2559676
27-Nov-12,2.87,2.97,2.77,2.82,3405420
26-Nov-12,2.78,2.89,2.71,2.88,3228128
23-Nov-12,2.94,2.95,2.74,2.76,2569893
21-Nov-12,2.92,3.05,2.90,2.92,5833158
20-Nov-12,2.63,2.92,2.60,2.87,10650863
19-Nov-12,2.50,2.80,2.45,2.64,12758155
16-Nov-12,2.30,2.58,2.22,2.44,35411382
15-Nov-12,-,-,-,4.63,0
14-Nov-12,4.80,4.90,4.55,4.63,7876843
13-Nov-12,4.18,5.00,4.11,4.74,18169307
12-Nov-12,4.26,4.35,4.10,4.18,6070326
9-Nov-12,4.06,4.27,4.02,4.17,3871823
8-Nov-12,4.11,4.21,3.95,4.01,2670747
7-Nov-12,4.25,4.26,4.10,4.12,2560628
6-Nov-12,4.30,4.40,4.20,4.31,2968436
5-Nov-12,4.15,4.30,4.08,4.25,2495475
2-Nov-12,4.23,4.24,4.05,4.06,1966145
1-Nov-12,4.15,4.34,4.15,4.23,2348030
31-Oct-12,4.21,4.27,4.05,4.14,2099813
26-Oct-12,4.21,4.27,4.11,4.17,1344527
25-Oct-12,4.20,4.36,4.17,4.21,3375898
24-Oct-12,4.20,4.28,4.13,4.14,1501885
23-Oct-12,4.25,4.32,4.10,4.17,2781880
22-Oct-12,4.56,4.56,4.21,4.26,2857901
19-Oct-12,4.52,4.57,4.22,4.38,3791966
18-Oct-12,4.70,4.77,4.51,4.55,2340911
17-Oct-12,4.75,4.87,4.50,4.70,4397272
16-Oct-12,4.85,4.96,4.67,4.70,6204637
15-Oct-12,4.94,5.09,4.93,5.06,3292136
12-Oct-12,4.85,5.00,4.85,4.91,2517619
11-Oct-12,4.82,4.90,4.78,4.88,1399207
10-Oct-12,4.81,4.87,4.80,4.82,1090324
9-Oct-12,4.87,4.87,4.75,4.81,1535295
8-Oct-12,4.84,4.96,4.76,4.83,1724497
5-Oct-12,4.90,4.99,4.84,4.86,1395750
4-Oct-12,4.86,4.93,4.80,4.88,1185960
3-Oct-12,4.83,4.94,4.77,4.83,1127882
2-Oct-12,4.79,4.85,4.76,4.81,719543
1-Oct-12,4.82,5.10,4.74,4.76,860434
28-Sep-12,4.75,4.88,4.70,4.76,1288982
27-Sep-12,4.84,4.86,4.65,4.80,2270426
26-Sep-12,4.78,4.90,4.78,4.80,1486132
25-Sep-12,4.89,4.94,4.75,4.76,2081156
24-Sep-12,4.89,4.90,4.81,4.86,1444740
21-Sep-12,4.84,4.90,4.74,4.89,6277639
20-Sep-12,4.77,4.83,4.70,4.77,1392754
19-Sep-12,4.95,4.95,4.75,4.78,2071210
18-Sep-12,4.81,4.99,4.78,4.87,4165771
17-Sep-12,4.91,4.97,4.69,4.77,4668794
14-Sep-12,4.53,4.62,4.44,4.55,3421997
13-Sep-12,4.29,4.55,4.29,4.52,2077534
12-Sep-12,4.26,4.41,4.24,4.30,945385
11-Sep-12,4.16,4.27,4.16,4.24,1159866
10-Sep-12,4.17,4.20,4.07,4.14,1219254
7-Sep-12,4.18,4.20,4.13,4.19,839451
6-Sep-12,4.09,4.20,4.06,4.15,1365255
5-Sep-12,4.04,4.12,3.97,4.06,956028
4-Sep-12,3.93,4.07,3.80,4.06,3272416
31-Aug-12,4.00,4.04,3.85,3.91,899961
30-Aug-12,3.81,3.99,3.73,3.96,1296243
29-Aug-12,3.84,3.88,3.74,3.83,933922
28-Aug-12,3.80,3.99,3.76,3.83,1504778
27-Aug-12,3.57,3.71,3.48,3.71,1293790
24-Aug-12,3.56,3.62,3.52,3.54,604204
23-Aug-12,3.58,3.59,3.51,3.57,550379
22-Aug-12,3.61,3.69,3.53,3.59,624212
21-Aug-12,3.66,3.69,3.56,3.60,674253
20-Aug-12,3.66,3.68,3.61,3.66,514946
17-Aug-12,3.66,3.67,3.54,3.67,1078264
16-Aug-12,3.81,3.83,3.65,3.67,598318
15-Aug-12,3.69,3.81,3.69,3.80,458242
14-Aug-12,3.71,3.79,3.63,3.71,439840
13-Aug-12,3.65,3.71,3.55,3.70,705360
10-Aug-12,3.83,3.89,3.62,3.64,1510725
9-Aug-12,3.88,3.92,3.81,3.82,499077
8-Aug-12,3.91,4.00,3.82,3.87,656632
7-Aug-12,3.81,4.00,3.81,3.93,1278479
6-Aug-12,3.77,3.94,3.76,3.80,959359
3-Aug-12,3.76,3.81,3.68,3.77,1118571
2-Aug-12,3.66,3.82,3.65,3.71,1536885
1-Aug-12,3.90,3.92,3.51,3.67,1592661
31-Jul-12,3.96,4.01,3.83,3.86,768894
30-Jul-12,4.19,4.19,3.96,3.96,924263
27-Jul-12,4.05,4.23,4.03,4.17,1050679
26-Jul-12,4.02,4.06,3.98,4.04,483907
25-Jul-12,4.06,4.14,3.94,3.96,689948
24-Jul-12,4.03,4.09,3.97,4.04,1305644
23-Jul-12,3.99,4.06,3.92,4.00,2723287
20-Jul-12,3.97,4.07,3.90,4.02,1533827
19-Jul-12,4.21,4.21,3.96,4.00,907048
18-Jul-12,4.15,4.25,4.14,4.17,902573
17-Jul-12,4.23,4.24,4.12,4.17,1108148
16-Jul-12,4.15,4.23,4.00,4.19,1102652
13-Jul-12,4.11,4.18,4.03,4.15,837385
12-Jul-12,4.15,4.16,3.98,4.08,1357215
11-Jul-12,4.31,4.33,4.15,4.18,1297398
10-Jul-12,4.40,4.44,4.31,4.31,833205
9-Jul-12,4.39,4.41,4.30,4.37,961338
6-Jul-12,4.39,4.44,4.37,4.39,518344
5-Jul-12,4.35,4.45,4.30,4.44,1538011
3-Jul-12,4.40,4.40,4.32,4.35,798055
2-Jul-12,4.34,4.39,4.21,4.38,1372155
29-Jun-12,4.15,4.33,4.06,4.32,2318965
28-Jun-12,4.32,4.32,3.98,4.06,1730031
27-Jun-12,4.39,4.40,4.31,4.35,753728
26-Jun-12,4.19,4.44,4.16,4.37,3299936
25-Jun-12,4.20,4.23,4.15,4.15,910408
22-Jun-12,4.20,4.25,4.10,4.25,2269813
21-Jun-12,4.20,4.30,4.11,4.20,2464490
20-Jun-12,4.21,4.26,4.10,4.20,1381031
19-Jun-12,4.07,4.24,4.03,4.16,2809118
18-Jun-12,3.95,4.10,3.83,4.03,1682700
15-Jun-12,3.88,4.09,3.86,3.96,5356857
14-Jun-12,3.80,3.90,3.73,3.90,1256373
13-Jun-12,3.80,3.91,3.75,3.82,1202404
12-Jun-12,3.78,3.83,3.66,3.82,1143139
11-Jun-12,3.88,3.92,3.76,3.78,1316973
8-Jun-12,3.62,3.85,3.58,3.83,1671361
7-Jun-12,3.70,3.73,3.60,3.63,1067170
6-Jun-12,3.66,3.73,3.57,3.65,2046566
5-Jun-12,3.58,3.68,3.53,3.66,1319755
4-Jun-12,3.62,3.69,3.50,3.62,1446622
1-Jun-12,3.66,3.78,3.57,3.61,1850047
31-May-12,3.67,3.84,3.62,3.77,3754797
30-May-12,3.50,3.75,3.48,3.68,1978156
29-May-12,3.66,3.68,3.47,3.52,2277255
25-May-12,3.61,3.70,3.60,3.64,980257
24-May-12,3.58,3.67,3.50,3.65,1146762
23-May-12,3.53,3.63,3.33,3.61,2845695
22-May-12,3.70,3.74,3.50,3.57,2591503
21-May-12,3.59,3.79,3.55,3.68,1480540
18-May-12,3.74,3.76,3.57,3.59,1975097
17-May-12,3.81,3.87,3.62,3.76,2972659
16-May-12,4.03,4.05,3.80,3.81,2507693
15-May-12,4.03,4.08,3.97,4.00,1580877
14-May-12,4.04,4.10,3.96,4.01,1577588
11-May-12,3.90,4.14,3.85,4.09,4975781
10-May-12,3.98,4.02,3.81,3.89,3927021
9-May-12,4.15,4.16,3.85,3.94,26405848
8-May-12,4.74,5.14,4.72,5.09,2071779
7-May-12,4.68,4.89,4.62,4.79,1077657
4-May-12,4.95,4.97,4.71,4.71,1428976
3-May-12,5.25,5.28,4.90,4.97,2268678
2-May-12,5.14,5.34,5.12,5.26,2379635
1-May-12,4.98,5.23,4.97,5.16,1869847
30-Apr-12,4.80,5.05,4.72,4.99,3632136
27-Apr-12,4.83,5.00,4.75,4.79,1821412
26-Apr-12,4.71,4.80,4.69,4.76,977314
25-Apr-12,4.72,4.77,4.65,4.71,886070
24-Apr-12,4.61,4.72,4.56,4.64,1279194
23-Apr-12,4.53,4.68,4.50,4.63,1084633
20-Apr-12,4.70,4.70,4.53,4.63,641211
19-Apr-12,4.69,4.82,4.55,4.58,894600
18-Apr-12,4.86,4.87,4.65,4.67,809198
17-Apr-12,4.73,4.92,4.71,4.88,909747
16-Apr-12,4.75,4.90,4.61,4.67,1326296
13-Apr-12,4.75,4.82,4.56,4.75,1056479
12-Apr-12,4.76,4.92,4.71,4.79,1781322
11-Apr-12,4.71,4.86,4.70,4.79,1099676
10-Apr-12,4.94,4.99,4.64,4.64,1944787
9-Apr-12,5.03,5.12,4.90,4.91,1212570
5-Apr-12,4.79,5.24,4.79,5.15,1982357
4-Apr-12,4.96,4.99,4.77,4.79,1686403
3-Apr-12,5.00,5.14,4.90,5.02,1251013
2-Apr-12,5.02,5.09,4.91,5.01,1948223
30-Mar-12,4.93,5.08,4.91,5.03,3375125
29-Mar-12,4.81,4.94,4.80,4.90,2208896
28-Mar-12,4.73,4.89,4.72,4.82,3213151
27-Mar-12,4.73,4.79,4.66,4.70,1487548
26-Mar-12,4.69,4.74,4.59,4.68,1243307
23-Mar-12,4.69,4.69,4.45,4.64,953930
22-Mar-12,4.59,4.71,4.53,4.69,1013130
21-Mar-12,4.62,4.74,4.56,4.63,946832
20-Mar-12,4.53,4.66,4.48,4.59,1157513
19-Mar-12,4.50,4.77,4.44,4.55,2109953
16-Mar-12,4.46,4.58,4.36,4.49,5678244
15-Mar-12,4.30,4.40,4.25,4.39,1178792
14-Mar-12,4.33,4.35,4.25,4.29,718737
13-Mar-12,4.25,4.36,4.15,4.35,1124324
12-Mar-12,4.22,4.26,4.11,4.16,1334878
9-Mar-12,4.17,4.26,4.12,4.22,1060264
8-Mar-12,4.08,4.21,4.02,4.18,727059
7-Mar-12,4.15,4.15,4.00,4.04,1529246
6-Mar-12,4.06,4.21,4.06,4.15,1563161
5-Mar-12,4.09,4.15,4.05,4.09,977809
2-Mar-12,4.38,4.39,4.09,4.12,1559361
1-Mar-12,4.20,4.49,4.13,4.39,3932506
29-Feb-12,4.05,4.26,4.00,4.20,3251409
28-Feb-12,4.06,4.07,3.96,4.04,882904
27-Feb-12,4.04,4.13,4.00,4.07,457727
24-Feb-12,4.09,4.16,4.04,4.04,741305
23-Feb-12,4.03,4.11,3.97,4.08,592951
22-Feb-12,4.09,4.09,3.93,4.04,2270785
21-Feb-12,4.15,4.16,4.00,4.13,1223133
17-Feb-12,4.26,4.26,4.13,4.14,787742
16-Feb-12,4.12,4.26,4.08,4.23,1143713
15-Feb-12,4.10,4.20,4.02,4.13,1257459
14-Feb-12,4.19,4.24,4.00,4.06,1938979
13-Feb-12,4.11,4.27,4.01,4.20,2296505
10-Feb-12,4.15,4.19,3.94,4.05,1816938
9-Feb-12,4.24,4.29,4.15,4.15,979634
8-Feb-12,4.26,4.37,4.19,4.24,1103431
7-Feb-12,4.33,4.35,4.19,4.26,1576394
6-Feb-12,4.30,4.48,4.19,4.27,1927628
3-Feb-12,4.26,4.38,4.03,4.30,6143336
2-Feb-12,3.70,4.21,3.65,4.08,10187166
1-Feb-12,3.51,3.69,3.46,3.68,2340484
31-Jan-12,3.58,3.58,3.41,3.48,1599993
30-Jan-12,3.53,3.59,3.46,3.54,1164283
27-Jan-12,3.47,3.60,3.45,3.58,1159138
26-Jan-12,3.55,3.59,3.44,3.49,774573
25-Jan-12,3.43,3.53,3.41,3.51,619651
24-Jan-12,3.35,3.46,3.35,3.44,768942
23-Jan-12,3.41,3.46,3.33,3.38,641982
20-Jan-12,3.60,3.60,3.40,3.42,1487591
19-Jan-12,3.68,3.69,3.40,3.60,1293572
18-Jan-12,3.59,3.70,3.59,3.66,1302622
17-Jan-12,3.70,3.70,3.51,3.60,1276156
13-Jan-12,3.72,3.78,3.66,3.69,1563627
12-Jan-12,3.62,3.83,3.59,3.80,2808643
11-Jan-12,3.54,3.68,3.54,3.62,1268209
10-Jan-12,3.55,3.63,3.50,3.54,1256890
9-Jan-12,3.36,3.60,3.31,3.52,1993260
6-Jan-12,3.32,3.38,3.25,3.31,282524
5-Jan-12,3.25,3.34,3.24,3.31,1004222
4-Jan-12,3.27,3.32,3.25,3.28,635759
3-Jan-12,3.37,3.39,3.27,3.28,1432793
30-Dec-11,3.29,3.35,3.27,3.32,1064717
29-Dec-11,3.28,3.34,3.27,3.30,639382
28-Dec-11,3.30,3.33,3.25,3.26,1057044
27-Dec-11,3.30,3.36,3.26,3.29,1804598
23-Dec-11,3.33,3.33,3.26,3.30,659518
22-Dec-11,3.33,3.35,3.25,3.32,957351
