Date, Open, High, Low, Close, Volume
17-May-13,24.53,24.72,24.23,24.47,168000
16-May-13,24.23,24.62,24.23,24.59,108225
15-May-13,24.17,24.46,23.83,24.34,29340
14-May-13,23.89,24.25,23.89,24.16,102058
13-May-13,23.78,23.91,23.50,23.82,41034
10-May-13,23.80,23.96,23.51,23.69,21703
9-May-13,23.68,23.87,23.52,23.70,63801
8-May-13,23.39,23.65,23.29,23.64,48201
7-May-13,23.25,23.39,23.15,23.38,123111
6-May-13,22.98,23.18,22.92,23.15,43800
3-May-13,23.07,23.15,22.76,23.04,44333
2-May-13,22.74,23.06,22.65,22.76,67528
1-May-13,23.00,23.04,22.56,22.71,182524
30-Apr-13,23.15,23.27,22.96,23.13,67403
29-Apr-13,23.09,23.13,22.96,23.04,58728
26-Apr-13,22.65,23.12,22.34,22.94,79171
25-Apr-13,22.67,22.75,22.53,22.71,79340
24-Apr-13,21.87,22.60,21.87,22.58,122975
23-Apr-13,21.24,21.83,21.24,21.82,80178
22-Apr-13,21.02,22.01,20.69,21.00,42934
19-Apr-13,21.11,21.25,21.00,21.13,47540
18-Apr-13,20.92,21.25,20.85,21.18,105945
17-Apr-13,20.94,21.17,20.76,20.92,132748
16-Apr-13,20.28,20.62,20.09,20.53,36020
15-Apr-13,20.90,21.09,19.94,20.18,67512
12-Apr-13,21.01,21.36,20.93,21.06,34922
11-Apr-13,21.60,21.91,21.14,21.24,27453
10-Apr-13,21.00,21.61,20.76,21.50,84886
9-Apr-13,21.12,21.24,20.61,20.89,68396
8-Apr-13,21.09,21.09,20.79,21.06,91392
5-Apr-13,20.83,21.08,20.83,21.03,31809
4-Apr-13,20.76,21.39,20.54,21.21,111750
3-Apr-13,21.18,21.23,20.59,20.71,32720
2-Apr-13,21.48,21.60,20.95,21.09,49278
1-Apr-13,21.89,22.05,21.10,21.34,68229
28-Mar-13,22.04,22.04,21.77,21.89,117397
27-Mar-13,21.94,22.02,21.84,21.95,26898
26-Mar-13,22.22,22.22,21.97,22.06,79114
25-Mar-13,22.08,22.28,21.92,22.19,26454
22-Mar-13,22.32,22.38,21.92,22.03,36601
21-Mar-13,22.47,22.50,22.16,22.18,33065
20-Mar-13,22.33,22.65,22.15,22.55,48209
19-Mar-13,22.16,22.25,21.81,22.15,31515
18-Mar-13,22.29,22.40,22.09,22.17,25708
15-Mar-13,22.68,22.68,22.35,22.57,97617
14-Mar-13,22.37,22.75,21.98,22.63,45858
13-Mar-13,21.80,22.35,21.77,22.31,52200
12-Mar-13,22.03,22.31,21.56,21.83,46790
11-Mar-13,22.42,22.44,21.47,22.04,107628
8-Mar-13,22.82,22.82,22.29,22.54,59810
7-Mar-13,22.27,22.72,22.18,22.62,89146
6-Mar-13,22.41,22.49,21.94,22.34,85983
5-Mar-13,22.31,22.46,22.09,22.36,38734
4-Mar-13,21.66,22.25,21.64,22.20,24991
1-Mar-13,21.48,21.83,21.29,21.64,55718
28-Feb-13,21.91,21.91,21.68,21.70,101528
27-Feb-13,21.80,22.22,21.70,21.97,31250
26-Feb-13,22.06,22.19,21.83,21.87,76373
25-Feb-13,22.18,22.70,21.89,21.91,57626
22-Feb-13,22.15,22.15,21.54,22.06,51219
21-Feb-13,22.48,22.60,21.93,22.05,60455
20-Feb-13,22.64,22.84,22.46,22.50,73136
19-Feb-13,22.74,22.99,22.55,22.67,105550
15-Feb-13,22.85,22.88,22.59,22.70,54062
14-Feb-13,22.50,22.91,22.50,22.68,34852
13-Feb-13,22.55,22.82,22.37,22.50,52280
12-Feb-13,22.73,22.82,22.50,22.56,19629
11-Feb-13,22.67,22.83,22.56,22.64,27472
8-Feb-13,22.48,22.76,22.48,22.64,60537
7-Feb-13,22.58,22.72,22.49,22.50,44645
6-Feb-13,22.43,23.00,22.43,22.61,24897
5-Feb-13,22.47,22.57,22.35,22.50,88823
4-Feb-13,22.54,22.57,22.18,22.35,65676
1-Feb-13,22.68,22.95,22.57,22.65,55566
31-Jan-13,22.26,22.78,22.22,22.56,71061
30-Jan-13,22.56,22.59,22.02,22.34,36683
29-Jan-13,22.80,22.85,22.32,22.62,82412
28-Jan-13,22.19,22.91,22.18,22.71,89556
25-Jan-13,21.75,22.40,21.75,22.11,65310
24-Jan-13,21.73,21.76,21.40,21.56,166765
23-Jan-13,21.93,22.19,21.62,21.65,52319
22-Jan-13,21.61,22.42,21.61,22.00,135636
18-Jan-13,21.32,21.63,20.98,21.54,111718
17-Jan-13,21.53,21.80,21.26,21.37,51965
16-Jan-13,21.52,21.63,21.25,21.50,52920
