Date, Open, High, Low, Close, Volume
17-May-13,58.88,58.88,57.16,57.16,465
16-May-13,57.23,57.23,57.22,57.22,1300
14-May-13,58.00,58.00,57.19,57.19,1642
13-May-13,58.79,58.79,57.99,58.00,7757
10-May-13,58.55,58.55,58.55,58.55,195
9-May-13,58.90,58.90,58.50,58.50,215
8-May-13,59.00,59.00,59.00,59.00,600
7-May-13,58.82,58.88,58.00,58.27,2800
3-May-13,57.15,57.38,57.15,57.38,3551
2-May-13,58.11,58.11,58.11,58.11,900
1-May-13,57.67,57.67,57.20,57.38,1209
30-Apr-13,57.41,57.90,57.41,57.90,1100
26-Apr-13,57.18,57.18,55.31,56.77,935
25-Apr-13,57.47,57.47,57.47,57.47,125
22-Apr-13,55.35,56.42,55.35,56.42,2000
19-Apr-13,54.82,55.50,54.82,55.50,600
17-Apr-13,53.79,53.79,53.79,53.79,112
12-Apr-13,55.47,55.98,54.92,55.14,12125
11-Apr-13,55.88,55.88,55.88,55.88,100
10-Apr-13,55.91,56.20,55.91,56.20,400
9-Apr-13,54.91,54.91,54.91,54.91,100
8-Apr-13,54.65,56.06,54.61,54.61,575
5-Apr-13,55.00,55.00,54.09,54.54,3500
4-Apr-13,55.00,55.16,54.91,54.91,900
3-Apr-13,55.15,55.15,55.15,55.15,155
2-Apr-13,56.02,56.02,56.02,56.02,150
26-Mar-13,56.00,56.00,56.00,56.00,130
25-Mar-13,54.08,54.12,54.08,54.12,200
22-Mar-13,54.15,55.29,54.15,55.18,1703
21-Mar-13,55.16,55.22,55.14,55.22,476
19-Mar-13,55.67,55.67,55.67,55.67,100
18-Mar-13,56.10,56.10,56.10,56.10,184
15-Mar-13,56.41,56.41,56.31,56.31,728
13-Mar-13,56.24,56.24,56.24,56.24,100
12-Mar-13,56.53,56.53,56.53,56.53,228
8-Mar-13,57.55,57.59,57.40,57.42,1500
7-Mar-13,57.30,57.30,57.27,57.27,200
6-Mar-13,57.37,57.46,57.23,57.23,700
1-Mar-13,56.89,56.89,56.89,56.89,250
28-Feb-13,56.70,56.70,56.70,56.70,100
26-Feb-13,56.28,56.46,56.27,56.42,500
25-Feb-13,57.15,57.18,56.07,56.07,300
21-Feb-13,56.78,56.78,56.39,56.56,3658
20-Feb-13,57.38,57.38,56.96,56.97,1772
19-Feb-13,57.14,57.24,57.13,57.24,500
14-Feb-13,56.94,57.73,56.90,56.91,1950
13-Feb-13,57.28,57.28,57.05,57.05,500
11-Feb-13,57.03,57.03,56.95,56.95,900
7-Feb-13,56.82,57.66,56.64,56.64,3563
6-Feb-13,57.07,57.07,57.07,57.07,250
4-Feb-13,57.00,57.89,57.00,57.89,1906
29-Jan-13,57.46,57.93,57.46,57.70,1000
28-Jan-13,57.96,57.96,56.60,56.64,645
24-Jan-13,57.44,57.44,57.20,57.20,440
22-Jan-13,58.04,58.92,57.66,58.40,2495
17-Jan-13,57.73,57.73,57.73,57.73,100
16-Jan-13,57.48,57.48,57.43,57.44,385
14-Jan-13,57.10,57.10,57.10,57.10,100
11-Jan-13,57.11,57.34,57.10,57.34,1800
3-Jan-13,57.88,57.88,57.88,57.88,250
31-Dec-12,56.23,56.95,55.54,56.95,596
28-Dec-12,55.47,56.30,55.47,55.59,2300
26-Dec-12,56.10,56.10,56.10,56.10,100
24-Dec-12,55.41,55.63,55.41,55.63,300
21-Dec-12,55.08,55.83,55.08,55.83,2300
19-Dec-12,55.92,55.92,55.83,55.83,200
18-Dec-12,55.99,55.99,55.56,55.56,1000
17-Dec-12,56.54,56.54,56.54,56.54,120
13-Dec-12,56.66,56.66,56.65,56.65,400
10-Dec-12,56.48,56.76,56.46,56.69,1281
7-Dec-12,55.97,56.23,55.97,56.23,500
3-Dec-12,55.05,55.05,55.05,55.05,100
27-Nov-12,54.39,54.39,54.39,54.39,100
21-Nov-12,-,-,-,52.94,0
20-Nov-12,-,-,-,52.94,0
19-Nov-12,-,-,-,52.94,0
16-Nov-12,-,-,-,52.94,0
15-Nov-12,-,-,-,52.94,0
14-Nov-12,52.86,53.86,52.86,53.86,300
13-Nov-12,-,-,-,54.34,0
12-Nov-12,-,-,-,54.34,0
9-Nov-12,-,-,-,54.34,0
8-Nov-12,-,-,-,54.34,0
7-Nov-12,-,-,-,54.34,0
6-Nov-12,-,-,-,54.34,0
5-Nov-12,-,-,-,54.34,0
2-Nov-12,-,-,-,54.34,0
1-Nov-12,54.30,54.94,54.30,54.34,1650
31-Oct-12,52.70,52.70,52.70,52.70,300
26-Oct-12,-,-,-,53.03,0
25-Oct-12,-,-,-,53.03,0
24-Oct-12,-,-,-,53.03,0
23-Oct-12,53.11,53.16,50.34,50.52,2700
22-Oct-12,54.38,54.49,54.19,54.49,870
19-Oct-12,54.06,54.82,53.77,53.77,3601
18-Oct-12,-,-,-,54.85,0
17-Oct-12,54.85,54.90,54.85,54.88,1408
16-Oct-12,-,-,-,53.25,0
15-Oct-12,-,-,-,53.25,0
12-Oct-12,-,-,-,53.25,0
11-Oct-12,-,-,-,53.25,0
10-Oct-12,53.43,53.43,53.25,53.25,1063
9-Oct-12,-,-,-,53.53,0
8-Oct-12,-,-,-,53.53,0
5-Oct-12,-,-,-,53.53,0
4-Oct-12,53.51,53.55,53.51,53.53,432
3-Oct-12,-,-,-,53.72,0
2-Oct-12,-,-,-,53.72,0
1-Oct-12,53.64,53.72,53.64,53.72,300
28-Sep-12,-,-,-,53.38,0
27-Sep-12,-,-,-,53.38,0
26-Sep-12,-,-,-,53.38,0
