Date, Open, High, Low, Close, Volume
17-May-13,14.02,14.06,13.97,13.98,1751
16-May-13,14.46,14.46,13.90,14.03,8552
15-May-13,13.99,14.07,13.97,13.97,2559
14-May-13,14.08,14.12,14.02,14.03,8769
13-May-13,14.12,14.19,14.02,14.09,1597
10-May-13,14.23,14.26,14.04,14.18,4522
9-May-13,14.29,14.29,14.11,14.11,2167
8-May-13,14.30,14.30,14.18,14.19,2154
7-May-13,14.23,14.45,14.21,14.22,10465
6-May-13,14.22,14.40,14.22,14.32,5085
3-May-13,14.25,14.33,14.19,14.33,1916
2-May-13,14.28,14.28,14.25,14.28,1556
1-May-13,14.15,14.28,14.13,14.19,9677
30-Apr-13,14.18,14.18,14.08,14.13,4164
29-Apr-13,14.10,14.13,14.02,14.10,3500
26-Apr-13,14.07,14.07,14.07,14.07,129
25-Apr-13,14.11,14.11,14.08,14.11,1927
24-Apr-13,14.07,14.12,13.96,14.04,7936
23-Apr-13,14.20,14.20,14.04,14.10,2103
22-Apr-13,14.25,14.25,14.10,14.10,5084
19-Apr-13,14.25,14.25,14.15,14.23,1100
18-Apr-13,14.05,14.35,14.05,14.21,7282
17-Apr-13,14.33,14.36,14.28,14.28,1710
16-Apr-13,14.46,14.46,14.24,14.33,3339
15-Apr-13,14.50,14.50,14.27,14.34,3801
12-Apr-13,14.35,14.35,14.26,14.26,448
11-Apr-13,14.22,14.33,14.22,14.33,575
10-Apr-13,14.25,14.28,14.12,14.27,3552
9-Apr-13,14.10,14.35,14.10,14.35,4998
8-Apr-13,14.27,14.32,14.08,14.23,6596
5-Apr-13,14.21,14.35,13.97,14.11,11273
4-Apr-13,14.11,14.16,14.11,14.13,1013
3-Apr-13,13.90,14.11,13.90,14.11,2620
2-Apr-13,14.20,14.20,13.97,13.99,1461
1-Apr-13,14.21,14.21,14.04,14.13,2453
28-Mar-13,14.37,14.37,14.11,14.13,2013
27-Mar-13,14.20,14.20,13.92,14.03,10023
26-Mar-13,14.20,14.20,13.95,14.12,2800
25-Mar-13,14.37,14.37,14.06,14.27,4600
22-Mar-13,14.07,14.29,14.07,14.13,6114
21-Mar-13,13.92,14.18,13.92,14.07,5831
20-Mar-13,14.00,14.10,13.99,14.00,2804
19-Mar-13,14.01,14.17,13.97,14.06,4041
18-Mar-13,13.81,14.17,13.81,14.12,9836
15-Mar-13,13.87,13.91,13.68,13.87,11492
14-Mar-13,13.98,13.98,13.80,13.92,4609
13-Mar-13,14.13,14.22,13.95,14.06,8558
12-Mar-13,13.98,14.38,13.95,14.24,14719
11-Mar-13,14.15,14.15,14.09,14.09,3447
8-Mar-13,14.20,14.23,14.13,14.15,5780
7-Mar-13,14.35,14.50,14.21,14.21,11528
6-Mar-13,14.45,14.49,14.32,14.40,5816
5-Mar-13,14.43,14.49,14.43,14.47,13552
4-Mar-13,14.50,14.50,14.40,14.42,1387
1-Mar-13,14.45,14.49,14.42,14.49,2700
28-Feb-13,14.33,14.46,14.31,14.43,10533
27-Feb-13,14.32,14.45,14.01,14.27,9780
26-Feb-13,14.41,14.43,14.34,14.39,700
25-Feb-13,14.45,14.49,14.33,14.33,4404
22-Feb-13,14.45,14.48,14.32,14.32,12896
21-Feb-13,14.29,14.38,14.29,14.38,1400
20-Feb-13,14.24,14.27,14.24,14.24,1050
19-Feb-13,14.46,14.46,14.20,14.20,13701
15-Feb-13,14.64,14.70,14.41,14.51,16071
14-Feb-13,14.84,14.84,14.75,14.75,600
13-Feb-13,14.78,14.78,14.73,14.73,2121
12-Feb-13,14.73,14.91,14.73,14.76,9886
11-Feb-13,14.88,14.90,14.76,14.80,12317
8-Feb-13,14.93,15.02,14.90,14.91,10932
7-Feb-13,14.92,15.07,14.92,14.96,3729
6-Feb-13,15.00,15.04,14.94,14.97,7540
5-Feb-13,15.04,15.16,15.02,15.04,9786
4-Feb-13,15.26,15.28,15.07,15.07,1339
1-Feb-13,15.20,15.41,15.20,15.26,7614
31-Jan-13,15.45,15.45,15.22,15.22,4450
30-Jan-13,15.44,15.52,15.32,15.32,1828
29-Jan-13,15.64,15.64,15.39,15.39,1875
28-Jan-13,15.85,15.85,15.57,15.57,443
25-Jan-13,15.82,15.88,15.78,15.78,1933
24-Jan-13,15.90,15.90,15.85,15.85,300
23-Jan-13,15.90,15.90,15.89,15.89,1830
22-Jan-13,15.76,15.89,15.71,15.89,3613
18-Jan-13,15.70,15.88,15.70,15.88,1218
