Date, Open, High, Low, Close, Volume
17-May-13,4.75,4.86,4.72,4.81,157019
16-May-13,4.86,4.90,4.78,4.83,340931
15-May-13,5.10,5.15,4.78,4.88,545132
14-May-13,4.71,4.89,4.65,4.86,445275
13-May-13,4.69,4.84,4.42,4.70,181373
10-May-13,4.73,4.79,4.65,4.65,112461
9-May-13,4.80,4.84,4.75,4.75,73871
8-May-13,4.75,4.86,4.71,4.82,88291
7-May-13,4.85,4.90,4.69,4.72,109267
6-May-13,4.64,4.88,4.60,4.82,326443
3-May-13,4.69,4.72,4.60,4.62,138112
2-May-13,4.53,4.66,4.51,4.60,213599
1-May-13,4.61,4.64,4.51,4.51,42040
30-Apr-13,4.61,4.69,4.55,4.64,70780
29-Apr-13,4.54,4.74,4.54,4.65,92718
26-Apr-13,4.62,4.65,4.30,4.54,360079
25-Apr-13,4.75,4.85,4.68,4.72,160686
24-Apr-13,4.63,4.75,4.59,4.75,178100
23-Apr-13,4.72,4.80,4.58,4.61,263370
22-Apr-13,4.65,4.70,4.48,4.70,144317
19-Apr-13,4.43,4.65,4.38,4.64,275643
18-Apr-13,4.33,4.44,4.23,4.37,226818
17-Apr-13,4.30,4.38,4.21,4.28,175448
16-Apr-13,4.23,4.38,4.18,4.33,127013
15-Apr-13,4.25,4.28,4.11,4.22,155817
12-Apr-13,4.19,4.30,4.19,4.25,85930
11-Apr-13,4.38,4.40,4.24,4.27,113975
10-Apr-13,4.49,4.54,4.28,4.38,162960
9-Apr-13,4.38,4.45,4.20,4.41,195375
8-Apr-13,4.12,4.38,3.88,4.35,167157
5-Apr-13,4.26,4.29,4.18,4.23,151728
4-Apr-13,4.33,4.41,4.20,4.29,122625
3-Apr-13,4.43,4.47,4.26,4.35,254038
2-Apr-13,4.60,4.60,4.33,4.42,332137
1-Apr-13,4.65,4.68,4.54,4.55,111081
28-Mar-13,4.78,4.78,4.53,4.65,171490
27-Mar-13,4.66,4.82,4.66,4.82,120257
26-Mar-13,4.72,4.77,4.62,4.68,122670
25-Mar-13,4.62,4.77,4.62,4.72,72436
22-Mar-13,4.66,4.74,4.65,4.71,109500
21-Mar-13,4.60,4.70,4.56,4.62,83963
20-Mar-13,4.74,4.74,4.59,4.61,105086
19-Mar-13,4.75,4.80,4.68,4.75,158610
18-Mar-13,4.56,4.78,4.52,4.78,178686
15-Mar-13,4.66,4.72,4.57,4.65,236526
14-Mar-13,4.72,4.79,4.62,4.65,216304
13-Mar-13,4.76,4.83,4.66,4.70,265062
12-Mar-13,4.90,5.00,4.72,4.89,296554
11-Mar-13,4.71,4.98,4.71,4.91,320393
8-Mar-13,4.66,4.74,4.66,4.72,168468
7-Mar-13,4.50,4.74,4.47,4.69,291301
6-Mar-13,4.56,4.62,4.47,4.50,399845
5-Mar-13,4.27,4.60,4.27,4.55,482451
4-Mar-13,4.15,4.46,3.98,4.30,764986
1-Mar-13,4.39,4.49,4.39,4.43,283346
28-Feb-13,4.32,4.50,4.32,4.43,261115
27-Feb-13,4.46,4.53,4.36,4.36,336563
26-Feb-13,4.47,4.56,4.43,4.46,349889
25-Feb-13,4.47,4.64,4.46,4.48,289237
22-Feb-13,4.47,4.56,4.27,4.50,998711
21-Feb-13,4.60,4.66,4.45,4.47,548990
20-Feb-13,4.70,4.80,4.60,4.62,363132
19-Feb-13,4.66,4.76,4.62,4.63,251178
15-Feb-13,4.80,4.83,4.62,4.67,435853
14-Feb-13,4.78,4.88,4.75,4.84,241076
13-Feb-13,4.72,4.86,4.72,4.78,225311
12-Feb-13,4.71,4.78,4.68,4.70,253592
11-Feb-13,4.70,4.76,4.70,4.71,182941
8-Feb-13,4.74,4.78,4.69,4.73,254757
7-Feb-13,4.75,4.76,4.65,4.70,320616
6-Feb-13,4.69,4.81,4.66,4.78,276496
5-Feb-13,4.60,4.84,4.51,4.73,334091
4-Feb-13,4.87,4.87,4.55,4.60,460247
1-Feb-13,4.91,4.97,4.78,4.87,395061
31-Jan-13,5.00,5.04,4.93,4.99,410593
30-Jan-13,5.09,5.13,4.85,5.00,331792
29-Jan-13,5.15,5.23,5.09,5.09,149733
28-Jan-13,4.99,5.24,4.99,5.18,429633
25-Jan-13,5.01,5.08,4.93,4.96,249379
24-Jan-13,5.13,5.37,4.96,5.00,363842
23-Jan-13,5.19,5.42,5.09,5.33,536792
22-Jan-13,4.81,5.25,4.81,5.12,781085
18-Jan-13,4.89,4.91,4.76,4.80,219646
17-Jan-13,4.83,4.90,4.74,4.90,385439
16-Jan-13,4.83,4.92,4.78,4.80,248873
15-Jan-13,4.80,4.90,4.78,4.86,266582
14-Jan-13,4.85,4.97,4.78,4.82,314017
11-Jan-13,4.82,4.90,4.75,4.82,307622
10-Jan-13,4.79,4.96,4.79,4.82,349747
9-Jan-13,4.75,4.83,4.70,4.75,423738
8-Jan-13,4.75,4.87,4.68,4.72,476025
7-Jan-13,4.79,4.89,4.68,4.71,373162
