Date, Open, High, Low, Close, Volume
17-May-13,71.19,71.76,70.38,70.85,2236244
16-May-13,71.29,71.57,70.67,70.78,1447642
15-May-13,71.70,72.08,71.41,71.63,1338602
14-May-13,70.92,71.83,70.85,71.80,1255503
13-May-13,70.71,71.13,70.34,71.02,1346383
10-May-13,69.32,71.09,69.16,71.05,1722078
9-May-13,69.98,70.10,69.13,69.27,1599155
8-May-13,70.39,70.67,69.95,70.01,1822639
7-May-13,69.88,70.50,69.72,70.31,1674175
6-May-13,71.07,71.08,69.99,70.00,2332205
3-May-13,71.03,71.53,70.29,71.23,2083695
2-May-13,67.09,71.78,66.70,70.60,4388008
1-May-13,69.38,70.90,68.69,68.79,2884849
30-Apr-13,69.05,70.00,68.99,69.35,2089502
29-Apr-13,69.24,69.65,68.72,68.92,1489468
26-Apr-13,69.14,69.63,68.83,68.88,1745534
25-Apr-13,69.12,69.85,68.51,68.93,1997319
24-Apr-13,70.28,70.51,68.81,68.82,1270382
23-Apr-13,70.00,70.80,69.56,70.38,2069953
22-Apr-13,69.49,69.82,69.16,69.59,1864803
19-Apr-13,67.63,69.78,66.94,69.67,3549569
18-Apr-13,66.86,67.39,66.49,67.21,1772266
17-Apr-13,67.54,67.68,66.30,66.71,1858319
16-Apr-13,67.80,68.12,67.46,67.89,2062499
15-Apr-13,67.89,68.08,67.04,67.40,2913863
12-Apr-13,67.27,68.26,66.90,68.24,1835254
11-Apr-13,65.57,67.78,65.40,67.56,2414767
10-Apr-13,64.56,65.87,64.45,65.49,1254480
9-Apr-13,64.53,64.60,63.69,64.48,1243683
8-Apr-13,63.16,64.39,63.04,64.39,1189172
5-Apr-13,63.64,63.80,62.29,63.17,2178329
4-Apr-13,64.92,65.16,64.37,64.53,1593376
3-Apr-13,65.32,65.41,64.49,64.88,1587314
2-Apr-13,64.11,65.60,64.05,65.28,1337124
1-Apr-13,63.98,64.13,63.32,63.66,769742
28-Mar-13,63.79,64.11,63.12,64.03,1361753
27-Mar-13,63.61,63.64,63.12,63.54,968927
26-Mar-13,63.67,64.01,63.31,63.99,870337
25-Mar-13,64.01,64.42,63.08,63.28,852369
22-Mar-13,63.14,64.14,63.11,63.89,1195091
21-Mar-13,63.43,63.64,63.02,63.04,1365131
20-Mar-13,62.76,63.91,62.76,63.75,2400642
19-Mar-13,62.82,63.00,61.87,62.25,2340740
18-Mar-13,62.72,62.97,62.26,62.44,1908387
15-Mar-13,64.74,64.76,63.28,63.34,2207444
14-Mar-13,65.26,65.34,64.88,65.02,1031362
13-Mar-13,65.81,65.89,64.58,65.02,1407009
12-Mar-13,65.94,66.19,65.76,65.83,1538818
11-Mar-13,65.48,65.96,65.29,65.75,578516
8-Mar-13,66.00,66.00,64.90,65.70,1622196
7-Mar-13,65.82,66.23,65.68,65.90,1861704
6-Mar-13,65.89,66.17,65.68,65.92,1343514
5-Mar-13,65.00,66.51,64.97,65.85,2300184
4-Mar-13,64.44,64.89,64.09,64.89,1412239
1-Mar-13,63.68,64.48,63.17,64.47,1319790
28-Feb-13,63.66,64.60,63.61,64.10,1850973
27-Feb-13,62.12,64.04,62.09,63.93,1763133
26-Feb-13,61.71,62.47,61.30,62.33,1933467
25-Feb-13,63.64,63.64,61.73,61.78,1410824
22-Feb-13,63.26,63.62,62.66,63.31,1561570
21-Feb-13,63.31,63.86,62.57,63.03,1660119
20-Feb-13,63.67,64.29,63.65,63.71,1917819
19-Feb-13,63.10,63.62,62.50,63.60,2074210
15-Feb-13,63.43,64.10,62.99,63.11,2661426
14-Feb-13,63.25,63.78,62.84,63.54,1208225
13-Feb-13,62.68,63.44,62.65,63.30,1490072
12-Feb-13,61.97,62.78,61.70,62.67,1725537
11-Feb-13,62.40,62.40,61.48,61.78,2458549
