Date, Open, High, Low, Close, Volume
17-May-13,6.26,6.31,6.20,6.22,560785
16-May-13,6.20,6.25,6.16,6.22,815221
15-May-13,6.24,6.27,6.15,6.20,600685
14-May-13,6.17,6.29,6.15,6.24,844311
13-May-13,6.22,6.23,6.07,6.11,518429
10-May-13,6.20,6.21,6.11,6.20,643953
9-May-13,6.20,6.24,6.15,6.20,430148
8-May-13,6.26,6.28,6.17,6.23,697734
7-May-13,6.31,6.51,6.26,6.29,973951
6-May-13,6.07,6.33,6.04,6.30,1277765
3-May-13,5.94,6.25,5.90,6.08,2409094
2-May-13,5.86,5.99,5.83,5.94,770947
1-May-13,5.94,5.99,5.76,5.84,1433803
30-Apr-13,6.03,6.08,5.96,6.00,577217
29-Apr-13,6.05,6.09,5.99,6.04,498096
26-Apr-13,6.08,6.10,5.98,6.00,656960
25-Apr-13,6.07,6.24,6.01,6.09,809617
24-Apr-13,5.96,6.10,5.96,6.02,1505885
23-Apr-13,5.99,6.01,5.90,5.98,642876
22-Apr-13,5.91,6.00,5.72,5.93,826162
19-Apr-13,5.99,6.02,5.89,5.93,750748
18-Apr-13,6.11,6.13,5.98,6.01,1181119
17-Apr-13,6.33,6.36,6.07,6.12,1213784
16-Apr-13,6.35,6.43,6.25,6.42,612682
15-Apr-13,6.50,6.58,6.24,6.30,696824
12-Apr-13,6.57,6.62,6.45,6.55,436522
11-Apr-13,6.53,6.63,6.50,6.60,428611
10-Apr-13,6.40,6.57,6.40,6.55,1754209
9-Apr-13,6.38,6.40,6.32,6.37,531188
8-Apr-13,6.39,6.41,6.26,6.37,480803
5-Apr-13,6.46,6.46,6.37,6.39,768925
4-Apr-13,6.47,6.53,6.37,6.52,492551
3-Apr-13,6.61,6.69,6.45,6.46,522969
2-Apr-13,6.78,6.82,6.54,6.61,896745
1-Apr-13,6.54,6.81,6.54,6.75,1556477
28-Mar-13,6.62,6.62,6.47,6.53,1049945
27-Mar-13,6.49,6.63,6.46,6.60,253937
26-Mar-13,6.58,6.60,6.50,6.55,593072
25-Mar-13,6.71,6.74,6.52,6.56,463936
22-Mar-13,6.70,6.75,6.61,6.70,514980
21-Mar-13,6.64,6.75,6.64,6.67,421084
20-Mar-13,6.73,6.77,6.67,6.70,323529
19-Mar-13,6.73,6.79,6.60,6.67,476253
18-Mar-13,6.70,6.82,6.70,6.72,262567
15-Mar-13,6.79,6.90,6.77,6.80,736711
14-Mar-13,6.78,6.78,6.69,6.76,623097
13-Mar-13,6.77,6.79,6.69,6.75,367112
12-Mar-13,6.77,6.82,6.70,6.75,311255
11-Mar-13,6.72,6.80,6.68,6.79,452218
8-Mar-13,6.71,6.80,6.67,6.75,456378
7-Mar-13,6.57,6.71,6.57,6.64,325818
6-Mar-13,6.47,6.61,6.44,6.58,422982
5-Mar-13,6.44,6.50,6.38,6.43,412929
4-Mar-13,6.43,6.58,6.36,6.41,723851
1-Mar-13,6.40,6.49,6.35,6.46,638560
28-Feb-13,6.52,6.57,6.44,6.45,622679
27-Feb-13,6.43,6.60,6.39,6.52,483678
26-Feb-13,6.51,6.54,6.37,6.42,642924
25-Feb-13,6.64,6.73,6.47,6.47,792003
22-Feb-13,6.67,6.72,6.57,6.61,549394
21-Feb-13,6.71,6.75,6.54,6.59,586863
20-Feb-13,6.97,7.00,6.70,6.71,774984
19-Feb-13,7.03,7.06,6.94,6.99,588048
15-Feb-13,6.93,7.16,6.84,7.04,1105311
14-Feb-13,6.80,6.90,6.78,6.85,700813
13-Feb-13,6.88,6.92,6.80,6.83,417923
12-Feb-13,6.87,6.92,6.82,6.90,716871
11-Feb-13,6.88,6.91,6.79,6.86,389719
8-Feb-13,6.81,6.91,6.74,6.89,1465988
7-Feb-13,6.85,6.88,6.68,6.78,583356
6-Feb-13,6.70,6.85,6.67,6.85,851731
5-Feb-13,6.77,6.80,6.66,6.73,956833
4-Feb-13,6.90,6.96,6.64,6.74,1599610
1-Feb-13,7.23,7.40,6.86,6.99,5732396
31-Jan-13,7.43,7.73,7.39,7.64,2276086
30-Jan-13,7.28,7.46,7.25,7.44,965576
29-Jan-13,7.34,7.37,7.23,7.28,828864
28-Jan-13,7.39,7.39,7.29,7.31,921844
25-Jan-13,7.27,7.38,7.19,7.37,1758270
24-Jan-13,7.29,7.35,7.17,7.19,595621
23-Jan-13,7.30,7.36,7.24,7.30,486514
22-Jan-13,7.41,7.41,7.24,7.30,574618
18-Jan-13,7.46,7.52,7.35,7.41,464308
17-Jan-13,7.44,7.60,7.44,7.45,360292
16-Jan-13,7.46,7.47,7.34,7.41,365153
15-Jan-13,7.38,7.50,7.16,7.46,781461
14-Jan-13,7.20,7.29,7.14,7.25,365665
11-Jan-13,7.18,7.23,7.15,7.19,403339
10-Jan-13,7.14,7.20,7.06,7.17,280423
9-Jan-13,7.01,7.11,7.01,7.10,379289
8-Jan-13,7.13,7.17,6.99,7.00,585417
7-Jan-13,7.35,7.35,7.13,7.15,717954
4-Jan-13,7.40,7.46,7.34,7.41,579204
3-Jan-13,7.65,7.65,7.35,7.36,556008
2-Jan-13,7.45,7.67,7.38,7.66,1227160
31-Dec-12,7.07,7.34,7.05,7.30,666242
28-Dec-12,7.09,7.19,7.08,7.09,608841
27-Dec-12,7.21,7.23,7.08,7.16,633696
26-Dec-12,7.22,7.36,7.19,7.22,402936
24-Dec-12,7.22,7.25,7.10,7.20,210881
21-Dec-12,7.16,7.27,7.08,7.27,1544725
20-Dec-12,7.04,7.26,6.98,7.22,930500
19-Dec-12,6.95,7.07,6.93,7.05,1537230
18-Dec-12,6.83,6.99,6.77,6.91,1213120
17-Dec-12,6.71,6.84,6.67,6.83,741572
14-Dec-12,6.61,6.79,6.59,6.68,810071
13-Dec-12,6.66,6.71,6.52,6.59,402859
12-Dec-12,6.77,6.79,6.65,6.66,652167
11-Dec-12,6.63,6.78,6.63,6.73,815599
10-Dec-12,6.62,6.65,6.49,6.60,1203271
7-Dec-12,6.44,6.47,6.10,6.32,2689462
6-Dec-12,6.98,7.00,6.32,6.39,3511085
5-Dec-12,7.01,7.09,6.95,7.02,533374
4-Dec-12,6.93,7.05,6.92,7.01,758179
3-Dec-12,6.85,7.04,6.84,6.96,1729221
30-Nov-12,7.41,7.45,7.31,7.35,629854
29-Nov-12,7.24,7.42,7.24,7.40,594819
28-Nov-12,7.05,7.21,7.00,7.17,544178
27-Nov-12,7.21,7.24,7.07,7.11,628478
26-Nov-12,7.00,7.27,7.00,7.23,1025952
23-Nov-12,6.90,7.08,6.88,7.04,290071
21-Nov-12,6.73,6.86,6.57,6.86,818017
20-Nov-12,6.64,6.86,6.63,6.70,1025218
19-Nov-12,6.43,6.59,6.40,6.58,752270
16-Nov-12,6.48,6.54,6.28,6.32,824598
15-Nov-12,6.56,6.63,6.43,6.49,722775
14-Nov-12,6.58,6.68,6.55,6.55,787877
13-Nov-12,6.51,6.58,6.46,6.55,1121403
12-Nov-12,6.72,6.75,6.54,6.55,861925
9-Nov-12,6.65,6.75,6.60,6.67,733240
8-Nov-12,6.83,6.86,6.69,6.69,765178
7-Nov-12,7.01,7.02,6.77,6.83,923190
6-Nov-12,6.98,7.10,6.96,7.10,457871
5-Nov-12,6.93,7.04,6.88,6.92,360931
2-Nov-12,7.09,7.09,6.89,6.94,758011
1-Nov-12,6.87,7.08,6.85,7.04,986349
31-Oct-12,7.11,7.11,6.85,6.96,1698746
26-Oct-12,6.43,7.18,6.43,7.03,2927952
25-Oct-12,6.48,6.51,6.23,6.40,1112414
24-Oct-12,6.63,6.65,6.35,6.39,837686
23-Oct-12,6.40,6.60,6.36,6.58,1035155
22-Oct-12,6.43,6.50,6.41,6.48,407973
19-Oct-12,6.57,6.60,6.43,6.44,1083112
18-Oct-12,6.91,6.96,6.60,6.62,962324
17-Oct-12,6.90,6.98,6.84,6.92,390612
16-Oct-12,6.83,6.95,6.82,6.94,396532
15-Oct-12,6.78,6.84,6.73,6.80,463365
12-Oct-12,6.87,6.96,6.73,6.77,499367
11-Oct-12,6.93,7.01,6.86,6.86,596772
10-Oct-12,7.01,7.16,6.83,6.85,859095
9-Oct-12,7.02,7.04,6.88,7.02,1363061
8-Oct-12,7.01,7.06,6.88,7.03,759738
5-Oct-12,6.91,7.09,6.90,7.05,855998
4-Oct-12,7.17,7.17,6.72,6.85,3135136
3-Oct-12,7.29,7.37,7.24,7.26,452582
2-Oct-12,7.42,7.44,7.24,7.26,866270
1-Oct-12,7.26,7.42,7.24,7.39,926781
28-Sep-12,7.30,7.34,6.99,7.21,1444786
27-Sep-12,7.26,7.37,7.16,7.34,676197
26-Sep-12,7.62,7.62,7.16,7.22,1363388
25-Sep-12,7.56,7.71,7.51,7.61,1916332
24-Sep-12,7.34,7.58,7.30,7.52,837592
21-Sep-12,7.56,7.63,7.40,7.40,1021436
20-Sep-12,7.54,7.58,7.39,7.46,314265
19-Sep-12,7.75,7.82,7.57,7.57,736202
18-Sep-12,7.64,7.75,7.57,7.74,515319
17-Sep-12,7.71,7.73,7.57,7.64,369887
14-Sep-12,7.82,7.98,7.73,7.74,1033779
13-Sep-12,7.46,7.90,7.37,7.80,891766
12-Sep-12,7.50,7.53,7.30,7.45,788437
11-Sep-12,7.46,7.63,7.40,7.46,763074
10-Sep-12,7.45,7.50,7.30,7.47,1249520
7-Sep-12,7.24,7.52,7.23,7.48,824399
6-Sep-12,7.12,7.32,7.05,7.23,703641
5-Sep-12,6.99,7.15,6.93,7.08,868921
4-Sep-12,6.84,7.20,6.74,6.93,570709
31-Aug-12,6.82,6.90,6.70,6.85,646313
30-Aug-12,6.78,6.78,6.63,6.75,569485
29-Aug-12,6.75,6.88,6.63,6.86,528770
28-Aug-12,6.69,6.77,6.62,6.72,912034
27-Aug-12,6.85,6.92,6.66,6.70,649983
24-Aug-12,6.88,6.93,6.77,6.81,547380
23-Aug-12,7.02,7.06,6.88,6.89,431685
22-Aug-12,7.09,7.14,6.98,7.07,487518
21-Aug-12,7.17,7.26,7.04,7.13,1165871
20-Aug-12,7.17,7.18,6.95,7.16,1208628
17-Aug-12,7.08,7.26,7.01,7.18,1432690
16-Aug-12,6.66,7.12,6.66,7.11,1208231
15-Aug-12,6.49,6.69,6.49,6.67,988322
14-Aug-12,6.75,6.87,6.49,6.50,961150
13-Aug-12,6.45,6.69,6.44,6.69,611810
10-Aug-12,6.75,7.02,6.33,6.47,3259823
9-Aug-12,6.88,7.13,6.80,7.10,968516
8-Aug-12,6.91,6.96,6.82,6.90,719533
7-Aug-12,6.79,6.93,6.79,6.92,924264
6-Aug-12,6.42,6.77,6.42,6.73,658539
3-Aug-12,6.10,6.42,6.10,6.39,826992
2-Aug-12,6.17,6.24,6.01,6.03,796890
1-Aug-12,6.52,6.22,6.22,6.22,100895
31-Jul-12,6.44,6.60,6.34,6.47,1044735
30-Jul-12,6.26,6.46,6.26,6.44,654427
27-Jul-12,6.37,6.39,5.85,6.24,2317452
26-Jul-12,6.54,6.63,6.32,6.40,559908
25-Jul-12,6.27,6.43,6.26,6.40,1083067
24-Jul-12,6.15,6.23,6.06,6.21,2397079
23-Jul-12,6.09,6.18,6.03,6.14,865602
20-Jul-12,6.23,6.26,6.12,6.22,827555
19-Jul-12,6.48,6.63,6.27,6.27,1023765
18-Jul-12,6.27,6.54,6.26,6.44,506289
17-Jul-12,6.27,6.32,6.15,6.26,743267
16-Jul-12,6.31,6.35,6.22,6.24,441409
13-Jul-12,6.31,6.38,6.26,6.36,497180
12-Jul-12,6.28,6.32,6.10,6.27,678893
11-Jul-12,6.48,6.55,6.29,6.33,749032
10-Jul-12,6.75,6.76,6.45,6.49,818973
9-Jul-12,6.87,6.92,6.68,6.71,913493
6-Jul-12,7.15,7.17,6.78,6.89,959137
5-Jul-12,7.21,7.28,7.19,7.24,685393
3-Jul-12,7.29,7.35,7.24,7.25,668581
2-Jul-12,7.27,7.27,7.14,7.26,1423495
29-Jun-12,7.02,7.25,7.02,7.20,1149424
28-Jun-12,6.88,6.95,6.73,6.86,791637
27-Jun-12,6.74,7.00,6.70,6.95,1045525
26-Jun-12,6.73,6.75,6.52,6.68,1459811
25-Jun-12,7.07,7.07,6.73,6.79,1568075
22-Jun-12,7.33,7.48,7.27,7.48,655565
21-Jun-12,7.42,7.42,7.23,7.27,978636
20-Jun-12,7.28,7.45,7.15,7.45,870748
19-Jun-12,7.34,7.44,7.24,7.26,1205428
