Date, Open, High, Low, Close, Volume
17-May-13,3.72,3.72,3.61,3.62,75878
16-May-13,3.92,3.95,3.52,3.68,146188
15-May-13,3.37,4.00,3.35,3.90,252552
14-May-13,3.50,3.51,3.38,3.43,44303
13-May-13,3.50,3.50,3.37,3.50,83790
10-May-13,3.70,3.70,3.23,3.52,254160
9-May-13,3.80,3.82,3.60,3.67,62277
8-May-13,3.69,3.81,3.69,3.80,75831
7-May-13,3.65,3.70,3.60,3.67,79032
6-May-13,3.77,3.77,3.55,3.65,44148
3-May-13,3.52,3.54,3.51,3.54,32930
2-May-13,3.50,3.54,3.49,3.51,27373
1-May-13,3.57,3.61,3.47,3.47,45152
30-Apr-13,3.69,3.69,3.46,3.57,26325
29-Apr-13,3.39,3.53,3.39,3.45,37223
26-Apr-13,3.32,3.41,3.29,3.34,16385
25-Apr-13,3.25,3.30,3.22,3.30,20357
24-Apr-13,3.20,3.25,3.17,3.23,20886
23-Apr-13,3.16,3.23,3.16,3.20,40731
22-Apr-13,3.12,3.21,3.12,3.16,21814
19-Apr-13,3.15,3.20,3.00,3.14,42750
18-Apr-13,3.19,3.21,3.12,3.12,63216
17-Apr-13,3.19,3.24,3.16,3.17,27435
16-Apr-13,3.21,3.28,3.17,3.17,16144
15-Apr-13,3.26,3.27,3.18,3.18,68392
12-Apr-13,3.24,3.29,3.22,3.26,49494
11-Apr-13,3.30,3.37,3.23,3.29,112597
10-Apr-13,3.30,3.46,3.28,3.30,144862
9-Apr-13,3.35,3.39,3.32,3.36,22850
8-Apr-13,3.35,3.40,3.30,3.38,88203
5-Apr-13,3.25,3.34,3.20,3.25,73062
4-Apr-13,3.22,3.32,3.18,3.25,55751
3-Apr-13,3.22,3.24,3.18,3.23,70083
2-Apr-13,3.33,3.34,3.18,3.18,160429
1-Apr-13,3.44,3.45,3.30,3.31,7339
28-Mar-13,3.42,3.45,3.42,3.43,16072
27-Mar-13,3.44,3.48,3.42,3.42,50868
26-Mar-13,3.42,3.49,3.42,3.46,22527
25-Mar-13,3.43,3.50,3.36,3.44,69451
22-Mar-13,3.23,3.40,3.23,3.38,114829
21-Mar-13,3.23,3.28,3.20,3.23,97647
20-Mar-13,3.25,3.25,3.16,3.21,45633
19-Mar-13,3.24,3.30,3.13,3.18,132589
18-Mar-13,3.22,3.27,3.16,3.17,79227
15-Mar-13,3.25,3.25,3.19,3.20,125323
14-Mar-13,3.59,3.59,3.24,3.28,42553
13-Mar-13,3.47,3.50,3.24,3.30,136731
12-Mar-13,3.95,3.95,3.35,3.47,209058
11-Mar-13,4.04,4.09,3.91,4.05,111427
8-Mar-13,4.05,4.10,3.96,4.01,107406
7-Mar-13,3.99,4.06,3.99,4.03,69354
6-Mar-13,3.82,4.05,3.80,3.99,115161
5-Mar-13,3.79,3.85,3.72,3.83,44881
4-Mar-13,3.50,3.90,3.50,3.78,104477
1-Mar-13,3.13,3.50,3.13,3.50,91514
28-Feb-13,3.19,3.24,3.10,3.18,52288
27-Feb-13,3.17,3.27,3.17,3.20,38425
26-Feb-13,3.15,3.20,3.10,3.17,38797
25-Feb-13,3.20,3.25,3.12,3.15,26087
22-Feb-13,3.16,3.25,3.16,3.20,44443
21-Feb-13,3.16,3.20,3.15,3.18,16339
20-Feb-13,3.18,3.22,3.15,3.16,37718
19-Feb-13,3.15,3.20,3.15,3.17,32760
15-Feb-13,3.20,3.20,3.15,3.17,17174
14-Feb-13,3.15,3.20,3.11,3.20,38368
13-Feb-13,3.23,3.23,3.15,3.16,78949
12-Feb-13,3.32,3.32,3.18,3.24,44463
11-Feb-13,3.32,3.37,3.26,3.35,49884
8-Feb-13,3.25,3.48,3.20,3.29,56872
7-Feb-13,3.29,3.31,3.21,3.24,12857
6-Feb-13,3.30,3.33,3.26,3.31,11406
5-Feb-13,3.31,3.37,3.31,3.31,27519
4-Feb-13,3.32,3.32,3.27,3.30,7898
1-Feb-13,3.25,3.32,3.23,3.31,18514
31-Jan-13,3.22,3.28,3.20,3.25,17835
30-Jan-13,3.33,3.36,3.24,3.27,15256
29-Jan-13,3.38,3.38,3.27,3.33,18120
28-Jan-13,3.39,3.44,3.31,3.33,74358
25-Jan-13,3.47,3.57,3.41,3.44,34817
24-Jan-13,3.46,3.61,3.46,3.52,20668
23-Jan-13,3.51,3.54,3.44,3.47,29644
22-Jan-13,3.63,3.63,3.54,3.54,20653
18-Jan-13,3.65,3.68,3.62,3.65,21539
17-Jan-13,3.62,3.72,3.58,3.66,24067
16-Jan-13,3.52,3.65,3.50,3.60,15538
15-Jan-13,3.50,3.57,3.49,3.53,13509
14-Jan-13,3.58,3.64,3.52,3.56,15434
11-Jan-13,3.50,3.60,3.50,3.57,21135
10-Jan-13,3.58,3.58,3.44,3.44,23483
9-Jan-13,3.37,3.53,3.36,3.52,16428
8-Jan-13,3.42,3.49,3.37,3.37,16779
7-Jan-13,3.53,3.54,3.42,3.44,12117
4-Jan-13,3.41,3.57,3.41,3.53,18011
3-Jan-13,3.66,3.76,3.47,3.53,64361
2-Jan-13,3.60,3.70,3.58,3.69,26538
31-Dec-12,3.48,3.57,3.41,3.57,39165
28-Dec-12,3.49,3.57,3.45,3.47,25980
27-Dec-12,3.53,3.55,3.42,3.51,31726
26-Dec-12,3.55,3.64,3.37,3.49,31799
24-Dec-12,3.56,3.59,3.53,3.58,2982
21-Dec-12,3.51,3.73,3.45,3.63,55456
20-Dec-12,3.71,3.75,3.67,3.69,23644
19-Dec-12,3.64,3.72,3.64,3.70,6833
18-Dec-12,3.65,3.66,3.60,3.66,24446
17-Dec-12,3.60,3.63,3.55,3.63,14325
14-Dec-12,3.52,3.61,3.52,3.61,18767
13-Dec-12,3.54,3.59,3.50,3.52,26938
12-Dec-12,3.42,3.50,3.42,3.48,14464
11-Dec-12,3.24,3.47,3.24,3.37,74051
10-Dec-12,3.21,3.27,3.21,3.24,24887
7-Dec-12,3.25,3.29,3.20,3.27,18517
6-Dec-12,3.38,3.39,3.16,3.22,43426
5-Dec-12,3.36,3.45,3.36,3.40,10007
4-Dec-12,3.30,3.59,3.30,3.39,30733
3-Dec-12,3.33,3.35,3.29,3.32,135424
30-Nov-12,3.30,3.40,3.27,3.35,70345
29-Nov-12,3.27,3.35,3.25,3.30,35716
28-Nov-12,3.24,3.30,3.20,3.21,56209
27-Nov-12,3.25,3.32,3.25,3.29,17350
26-Nov-12,3.28,3.34,3.20,3.23,31885
23-Nov-12,3.19,3.34,3.19,3.27,15366
21-Nov-12,3.19,3.32,3.13,3.21,35569
20-Nov-12,3.38,3.38,3.15,3.21,30996
19-Nov-12,3.21,3.39,3.21,3.27,29668
16-Nov-12,3.10,3.20,3.09,3.20,58412
