Date, Open, High, Low, Close, Volume
17-May-13,14.20,14.20,14.09,14.12,6288
16-May-13,14.09,14.16,14.09,14.09,1358
15-May-13,14.14,14.31,14.09,14.09,3835
14-May-13,14.34,14.43,14.21,14.21,8766
13-May-13,14.41,14.41,14.27,14.27,3301
10-May-13,14.31,14.45,14.31,14.41,3840
9-May-13,14.47,14.47,14.37,14.39,3535
8-May-13,14.52,14.52,14.47,14.49,868
7-May-13,14.45,14.49,14.39,14.49,3302
6-May-13,14.47,14.47,14.41,14.44,2005
3-May-13,14.44,14.46,14.37,14.41,7992
2-May-13,14.43,14.43,14.36,14.36,1256
1-May-13,14.36,14.36,14.32,14.34,4352
30-Apr-13,14.35,14.45,14.26,14.27,5181
29-Apr-13,14.32,14.49,14.32,14.37,4412
26-Apr-13,14.38,14.48,14.38,14.43,2154
25-Apr-13,14.40,14.41,14.37,14.41,4178
24-Apr-13,14.37,14.42,14.32,14.32,2130
23-Apr-13,14.43,14.45,14.34,14.44,3788
22-Apr-13,14.28,14.33,14.28,14.33,300
19-Apr-13,14.46,14.49,14.14,14.33,8759
18-Apr-13,14.36,14.47,14.36,14.46,1862
17-Apr-13,14.35,14.42,14.35,14.41,8587
16-Apr-13,14.35,14.41,14.32,14.41,1915
15-Apr-13,14.41,14.43,14.40,14.40,3415
12-Apr-13,14.53,14.53,14.43,14.43,1070
11-Apr-13,14.37,14.50,14.37,14.47,6901
10-Apr-13,14.53,14.54,14.46,14.48,4278
9-Apr-13,14.45,14.54,14.45,14.52,1286
8-Apr-13,14.45,14.45,14.41,14.43,927
5-Apr-13,14.39,14.45,14.27,14.45,3043
4-Apr-13,14.29,14.39,14.29,14.39,8748
3-Apr-13,14.27,14.33,14.25,14.30,2653
2-Apr-13,14.24,14.34,14.24,14.25,4490
1-Apr-13,14.25,14.32,14.22,14.28,2296
28-Mar-13,14.35,14.35,14.25,14.32,4937
27-Mar-13,14.21,14.31,14.19,14.31,4842
26-Mar-13,14.11,14.17,14.11,14.13,4112
25-Mar-13,14.09,14.15,13.95,14.07,11949
22-Mar-13,13.96,14.03,13.96,14.01,9193
21-Mar-13,13.93,14.01,13.81,13.86,15976
20-Mar-13,13.83,13.92,13.82,13.83,7017
19-Mar-13,13.94,14.04,13.76,13.83,19407
18-Mar-13,13.63,13.97,13.63,13.90,17923
15-Mar-13,13.87,13.87,13.61,13.74,10508
14-Mar-13,13.96,13.96,13.62,13.80,10532
13-Mar-13,14.18,14.18,13.81,13.92,9346
12-Mar-13,14.16,14.16,14.01,14.08,3245
11-Mar-13,14.23,14.23,14.03,14.07,4794
8-Mar-13,14.15,14.17,13.99,14.17,9948
7-Mar-13,14.16,14.16,14.06,14.14,9946
6-Mar-13,14.31,14.31,14.06,14.06,10316
5-Mar-13,14.32,14.42,14.31,14.31,11857
4-Mar-13,14.51,14.63,14.36,14.36,13170
1-Mar-13,14.45,14.65,14.45,14.61,2552
28-Feb-13,14.72,14.72,14.54,14.54,6863
27-Feb-13,14.75,14.75,14.59,14.71,10159
26-Feb-13,14.79,14.80,14.51,14.80,16524
25-Feb-13,14.85,14.95,14.61,14.65,21966
22-Feb-13,14.66,14.71,14.64,14.71,15078
21-Feb-13,14.59,14.75,14.57,14.57,15748
20-Feb-13,14.75,14.75,14.59,14.59,21416
19-Feb-13,15.05,15.06,14.72,14.75,21489
15-Feb-13,15.02,15.32,15.02,15.07,5367
14-Feb-13,15.31,15.34,15.11,15.13,3853
13-Feb-13,15.35,15.43,15.31,15.34,5674
12-Feb-13,15.30,15.34,15.29,15.32,1648
11-Feb-13,15.28,15.30,15.25,15.30,2900
8-Feb-13,15.21,15.27,15.08,15.27,5017
7-Feb-13,15.40,15.40,15.17,15.26,4782
6-Feb-13,15.24,15.36,15.20,15.30,6134
5-Feb-13,15.16,15.25,15.15,15.23,6147
4-Feb-13,15.22,15.24,15.13,15.13,1762
1-Feb-13,15.36,15.36,15.22,15.24,8169
31-Jan-13,15.37,15.43,15.26,15.42,2854
30-Jan-13,15.27,15.40,15.27,15.27,2710
29-Jan-13,15.47,15.57,15.24,15.38,7774
28-Jan-13,15.62,15.66,15.54,15.62,5009
25-Jan-13,15.75,15.75,15.66,15.66,3916
24-Jan-13,15.84,15.85,15.76,15.80,500
23-Jan-13,15.80,15.81,15.75,15.75,5543
22-Jan-13,15.86,15.86,15.77,15.82,2851
18-Jan-13,15.95,15.95,15.86,15.86,1235
17-Jan-13,15.95,16.06,15.91,15.91,4727
16-Jan-13,15.99,15.99,15.78,15.78,973
15-Jan-13,15.85,16.11,15.81,15.97,8348
14-Jan-13,16.15,16.15,15.93,16.06,1541
11-Jan-13,16.24,16.24,15.93,16.04,3356
10-Jan-13,16.40,16.40,16.17,16.36,1200
9-Jan-13,16.46,16.47,16.31,16.40,3667
8-Jan-13,16.43,16.43,16.24,16.34,4523
7-Jan-13,16.30,16.31,16.23,16.31,4344
4-Jan-13,16.27,16.31,16.25,16.30,6466
3-Jan-13,16.49,16.49,16.03,16.23,10773
2-Jan-13,16.47,16.47,16.16,16.27,12905
31-Dec-12,16.59,16.59,16.16,16.24,7291
28-Dec-12,15.96,16.34,15.70,16.34,7485
27-Dec-12,15.89,15.89,15.63,15.85,8360
26-Dec-12,16.00,16.00,15.61,15.62,9393
24-Dec-12,15.97,15.99,15.74,15.79,7243
21-Dec-12,15.90,15.99,15.86,15.90,5644
20-Dec-12,15.93,15.94,15.83,15.90,2957
19-Dec-12,15.38,15.95,15.38,15.85,8566
18-Dec-12,15.52,15.64,15.24,15.24,10184
17-Dec-12,15.69,15.76,15.25,15.55,27604
14-Dec-12,15.37,15.69,15.37,15.59,9270
13-Dec-12,15.91,15.91,15.20,15.44,14187
12-Dec-12,15.75,15.86,15.44,15.81,3365
11-Dec-12,15.66,15.79,15.48,15.70,7202
10-Dec-12,15.63,15.69,15.59,15.66,3604
7-Dec-12,15.77,15.78,15.51,15.52,5970
6-Dec-12,15.79,15.79,15.59,15.75,7318
5-Dec-12,15.54,15.69,15.54,15.69,4786
4-Dec-12,15.54,15.55,15.28,15.55,12594
3-Dec-12,15.64,15.64,15.43,15.55,10700
30-Nov-12,15.63,15.63,15.55,15.57,3511
29-Nov-12,15.52,15.55,15.46,15.49,4664
28-Nov-12,15.39,15.62,15.32,15.33,7648
27-Nov-12,15.82,15.82,15.27,15.59,21045
26-Nov-12,15.75,15.75,15.69,15.71,2032
23-Nov-12,15.76,15.76,15.35,15.75,1443
21-Nov-12,15.62,15.73,15.42,15.69,1227
20-Nov-12,15.63,15.67,15.25,15.52,7541
