Date, Open, High, Low, Close, Volume
17-May-13,99.95,102.52,99.95,102.39,272907
16-May-13,102.17,102.78,101.85,102.19,511581
15-May-13,101.36,102.94,100.94,102.43,385225
14-May-13,99.48,101.65,99.44,101.55,314645
13-May-13,99.80,100.22,99.33,99.59,258071
10-May-13,100.17,100.25,99.13,99.67,312973
9-May-13,101.15,101.38,99.87,100.04,289964
8-May-13,100.38,101.54,99.80,101.19,797751
7-May-13,99.16,100.72,99.16,100.27,376955
6-May-13,99.01,99.32,98.60,99.20,291407
3-May-13,100.60,100.98,99.17,99.22,407014
2-May-13,96.00,100.67,96.00,100.29,604902
1-May-13,94.52,99.70,94.52,95.26,847289
30-Apr-13,95.79,96.82,95.14,96.59,753890
29-Apr-13,96.00,96.37,95.44,95.60,434977
26-Apr-13,96.99,97.01,95.21,95.63,285758
25-Apr-13,96.92,97.56,96.22,96.92,520732
24-Apr-13,95.72,97.95,95.15,96.56,998272
23-Apr-13,95.00,95.59,94.42,95.20,560108
22-Apr-13,94.88,95.38,93.97,94.60,323855
19-Apr-13,93.58,95.51,93.34,94.62,535292
18-Apr-13,93.71,93.95,92.60,93.34,613593
17-Apr-13,95.62,95.81,92.93,93.31,698790
16-Apr-13,96.01,96.51,95.62,96.05,608236
15-Apr-13,97.18,97.72,95.42,95.64,372586
12-Apr-13,98.64,98.93,97.70,97.79,232980
11-Apr-13,97.88,99.08,97.82,98.59,380406
10-Apr-13,97.70,98.32,97.39,97.77,388447
9-Apr-13,96.93,98.14,96.65,97.27,364950
8-Apr-13,95.77,96.60,95.72,96.54,405132
5-Apr-13,95.87,96.26,94.91,95.90,474060
4-Apr-13,96.77,97.37,96.38,96.62,301284
3-Apr-13,98.83,98.99,96.42,96.78,501579
2-Apr-13,99.68,100.53,98.14,98.54,447003
1-Apr-13,99.95,99.97,98.56,99.41,268493
28-Mar-13,98.13,100.25,97.95,99.73,490237
27-Mar-13,97.78,98.72,97.29,98.14,324206
26-Mar-13,97.30,98.24,97.01,97.97,350101
25-Mar-13,97.00,97.62,95.71,96.88,311383
22-Mar-13,96.36,97.03,96.13,96.77,315249
21-Mar-13,96.02,96.49,95.53,96.05,357718
20-Mar-13,94.84,96.81,94.60,96.32,468110
19-Mar-13,93.58,94.79,93.33,94.34,230008
18-Mar-13,93.53,94.19,92.65,93.58,317737
15-Mar-13,94.85,94.85,93.85,93.91,476758
14-Mar-13,94.55,95.58,94.55,95.12,407765
13-Mar-13,94.64,95.00,94.16,94.40,335653
12-Mar-13,94.89,95.09,94.04,94.61,464257
11-Mar-13,94.89,95.78,94.12,95.38,490463
8-Mar-13,94.18,95.31,93.86,95.00,594800
7-Mar-13,93.18,94.44,93.00,94.08,634429
6-Mar-13,93.50,93.62,92.50,93.14,229015
5-Mar-13,92.47,94.45,91.93,93.22,535822
4-Mar-13,90.95,91.77,90.64,91.74,273723
1-Mar-13,91.56,91.62,89.88,91.24,507608
28-Feb-13,91.34,92.57,90.96,91.93,490305
27-Feb-13,90.43,91.79,90.28,91.39,315490
26-Feb-13,90.77,90.89,89.52,90.39,442955
25-Feb-13,91.74,92.03,90.22,90.22,399119
22-Feb-13,91.35,92.11,91.24,91.51,543108
21-Feb-13,91.50,92.19,90.84,91.19,398670
20-Feb-13,92.11,92.49,91.45,91.65,364400
19-Feb-13,90.66,92.64,90.41,92.19,828357
15-Feb-13,90.49,91.43,90.27,90.54,668192
14-Feb-13,88.83,91.43,88.83,91.04,815148
13-Feb-13,88.79,89.15,87.77,89.15,438754
12-Feb-13,88.50,89.15,88.22,88.81,412860
11-Feb-13,88.01,88.59,87.28,88.22,523052
8-Feb-13,88.73,88.83,87.98,88.23,716124
7-Feb-13,89.12,89.54,88.10,88.44,311532
6-Feb-13,88.17,89.09,88.00,89.09,313382
5-Feb-13,88.19,89.30,88.16,88.57,314416
4-Feb-13,87.79,88.43,87.55,88.02,610399
1-Feb-13,87.61,88.88,87.16,88.04,511868
31-Jan-13,85.68,87.35,84.24,87.01,1270972
30-Jan-13,88.23,88.84,87.87,88.25,539686
29-Jan-13,87.06,88.27,86.97,88.10,427380
28-Jan-13,86.76,87.31,85.26,87.25,552822
25-Jan-13,87.56,87.73,86.82,87.52,615516
24-Jan-13,86.59,87.76,86.50,87.51,556141
23-Jan-13,87.35,88.05,87.17,87.72,422814
22-Jan-13,87.81,88.51,87.38,87.83,660456
18-Jan-13,86.41,87.51,85.96,87.47,435190
17-Jan-13,85.03,86.32,84.73,86.19,504666
16-Jan-13,84.86,85.57,84.24,84.87,536655
15-Jan-13,83.21,85.33,83.21,85.27,502636
14-Jan-13,82.98,83.84,82.55,83.80,323316
11-Jan-13,83.22,83.42,82.35,82.94,378756
10-Jan-13,83.25,83.63,82.56,83.45,580481
9-Jan-13,82.89,83.62,82.61,82.81,379117
8-Jan-13,81.24,82.75,81.21,82.59,708075
7-Jan-13,81.69,82.28,81.14,81.41,468623
4-Jan-13,81.37,82.39,81.00,82.17,332634
3-Jan-13,81.55,81.85,80.90,81.10,579066
2-Jan-13,81.48,81.57,80.78,81.46,850017
31-Dec-12,79.05,80.38,78.73,79.98,504508
28-Dec-12,79.15,79.85,78.54,79.25,293555
27-Dec-12,79.57,79.91,78.89,79.61,299145
26-Dec-12,80.20,80.34,79.57,79.58,420466
24-Dec-12,81.12,81.12,79.51,79.99,229404
21-Dec-12,80.25,81.00,79.66,80.71,1316044
20-Dec-12,80.34,81.51,80.34,81.11,943421
19-Dec-12,80.69,80.87,80.11,80.41,672370
18-Dec-12,80.53,81.22,79.64,80.94,587343
17-Dec-12,80.00,80.60,79.55,80.09,745383
14-Dec-12,80.74,81.21,80.03,80.20,800661
13-Dec-12,81.88,82.00,80.83,81.00,910823
12-Dec-12,82.86,83.33,81.70,81.74,1063919
11-Dec-12,81.96,82.79,81.33,82.74,1001117
10-Dec-12,81.41,81.85,80.76,81.45,636288
7-Dec-12,80.76,81.66,79.88,81.41,593563
6-Dec-12,79.10,80.43,78.58,80.40,635242
5-Dec-12,79.19,79.90,78.75,79.01,726739
4-Dec-12,79.60,79.82,78.90,79.09,441335
3-Dec-12,79.56,80.05,78.94,79.57,451765
30-Nov-12,79.18,79.93,79.00,79.76,569698
29-Nov-12,78.87,79.68,78.04,79.37,487514
28-Nov-12,77.47,78.51,77.42,78.35,599353
27-Nov-12,77.57,79.14,77.36,77.79,704158
26-Nov-12,77.18,77.76,76.52,77.74,297455
23-Nov-12,77.54,77.83,77.17,77.44,174916
21-Nov-12,77.11,77.32,76.28,77.23,569834
20-Nov-12,76.68,77.50,75.81,76.96,580851
19-Nov-12,76.12,77.28,75.42,77.21,985659
16-Nov-12,73.62,74.91,73.29,74.83,700234
15-Nov-12,74.74,74.77,73.18,74.02,1035871
14-Nov-12,75.26,76.07,74.20,74.45,810525
13-Nov-12,75.79,76.09,74.60,74.92,747243
12-Nov-12,76.22,76.75,75.50,75.79,813362
9-Nov-12,76.39,78.78,75.33,76.22,3081851
8-Nov-12,70.91,71.77,69.72,70.82,1113572
7-Nov-12,72.11,72.62,70.00,71.04,639206
6-Nov-12,72.74,73.94,71.84,72.96,617120
5-Nov-12,73.46,73.46,72.39,73.10,351386
2-Nov-12,74.75,75.96,73.24,73.43,609497
1-Nov-12,73.23,74.75,72.97,74.75,753215
31-Oct-12,72.71,73.98,72.01,72.97,481053
26-Oct-12,72.19,72.73,71.53,72.27,482749
25-Oct-12,71.00,72.27,70.81,72.19,573473
24-Oct-12,70.79,70.94,69.61,70.67,331264
