Date, Open, High, Low, Close, Volume
17-May-13,9.48,9.55,9.38,9.50,56574
16-May-13,9.81,10.00,9.38,9.49,28539
15-May-13,9.69,9.93,9.47,9.67,10708
14-May-13,9.23,9.90,9.45,9.74,20722
13-May-13,9.87,9.94,9.31,9.62,23146
10-May-13,9.28,9.98,9.03,9.65,18519
9-May-13,8.74,9.77,8.74,9.18,73867
8-May-13,9.18,9.18,7.96,8.84,49640
7-May-13,9.52,9.70,8.93,9.20,13204
6-May-13,9.76,9.77,8.78,9.54,8790
3-May-13,9.62,9.80,9.30,9.60,19296
2-May-13,9.80,9.80,9.15,9.47,11873
1-May-13,9.76,9.83,9.65,9.78,2500
30-Apr-13,9.75,9.83,9.60,9.62,18166
29-Apr-13,9.61,9.79,9.60,9.75,12019
26-Apr-13,9.21,9.75,9.11,9.54,14351
25-Apr-13,9.75,9.75,9.21,9.28,16181
24-Apr-13,9.74,9.87,9.66,9.70,6200
23-Apr-13,9.75,9.75,9.74,9.75,20055
22-Apr-13,9.94,9.95,9.66,9.73,11790
19-Apr-13,9.75,9.88,9.57,9.78,10700
18-Apr-13,9.99,9.99,9.51,9.75,12199
17-Apr-13,9.71,10.00,9.26,10.00,36557
16-Apr-13,9.70,9.99,9.70,9.89,5341
15-Apr-13,9.81,9.99,9.78,9.91,5282
12-Apr-13,9.98,10.00,9.91,10.00,5025
11-Apr-13,9.89,10.06,9.85,9.93,16604
10-Apr-13,10.07,10.10,9.60,9.86,20483
9-Apr-13,9.61,10.09,9.26,9.83,9720
8-Apr-13,10.05,10.08,9.85,9.86,8400
5-Apr-13,9.93,10.18,9.93,10.00,6643
4-Apr-13,9.93,10.27,9.93,9.99,13331
3-Apr-13,10.06,10.20,9.80,9.98,17080
2-Apr-13,9.95,10.10,9.90,10.10,16315
1-Apr-13,9.77,10.01,9.77,9.99,171647
28-Mar-13,9.87,10.10,9.70,9.80,27690
27-Mar-13,9.83,9.98,9.81,9.85,18734
26-Mar-13,10.23,10.23,9.81,9.95,14169
25-Mar-13,9.90,9.95,9.75,9.94,9318
22-Mar-13,9.90,9.90,9.38,9.89,13989
21-Mar-13,9.84,9.94,9.77,9.89,6251
20-Mar-13,9.75,9.92,9.75,9.84,12177
19-Mar-13,9.96,9.96,9.74,9.87,6852
18-Mar-13,9.95,9.95,9.72,9.72,3200
15-Mar-13,9.70,9.90,9.62,9.76,26301
14-Mar-13,9.85,9.95,9.70,9.70,77130
13-Mar-13,9.80,9.85,9.70,9.71,15105
12-Mar-13,9.75,9.85,9.70,9.73,54100
11-Mar-13,9.80,9.80,9.74,9.74,5358
8-Mar-13,9.94,9.94,9.65,9.74,137307
7-Mar-13,9.81,9.84,9.70,9.76,66100
6-Mar-13,9.75,9.80,9.68,9.79,79989
5-Mar-13,9.36,9.90,9.36,9.70,105100
4-Mar-13,9.94,9.95,9.30,9.30,6172
1-Mar-13,9.89,9.92,9.74,9.75,8639
28-Feb-13,9.65,9.80,9.65,9.75,7900
27-Feb-13,9.90,9.94,9.80,9.90,25204
26-Feb-13,9.95,9.95,9.84,9.92,25179
25-Feb-13,9.95,9.98,9.82,9.95,29650
22-Feb-13,9.84,9.98,9.68,9.93,60012
21-Feb-13,9.97,9.97,9.83,9.86,4169
20-Feb-13,9.95,9.95,9.84,9.95,24894
19-Feb-13,10.00,10.10,9.74,9.94,10800
15-Feb-13,9.94,9.95,9.93,9.94,2729
14-Feb-13,9.88,10.05,9.86,9.95,16050
13-Feb-13,9.89,10.00,9.75,9.76,19450
12-Feb-13,10.00,10.00,9.75,9.78,30323
11-Feb-13,10.00,10.00,9.92,9.95,14990
8-Feb-13,9.83,10.12,9.75,9.95,19097
7-Feb-13,9.87,10.03,9.85,9.93,33862
6-Feb-13,9.94,10.04,9.70,9.81,526822
5-Feb-13,9.01,9.60,8.85,9.50,73560
4-Feb-13,9.50,9.75,8.11,8.93,618473
1-Feb-13,10.00,10.02,9.25,9.50,39060
31-Jan-13,9.98,10.44,9.95,10.04,144424
30-Jan-13,9.95,9.98,9.94,9.95,61013
29-Jan-13,10.05,10.10,9.89,9.98,634683
28-Jan-13,10.38,10.38,9.83,9.98,783186
25-Jan-13,10.00,10.01,9.97,9.98,416162
24-Jan-13,10.22,10.22,9.97,9.99,34910
23-Jan-13,10.20,10.20,9.95,9.95,1086954
18-Jan-13,9.97,9.97,9.95,9.97,183800
17-Jan-13,9.97,9.97,9.94,9.97,111654
16-Jan-13,9.96,9.98,9.95,9.97,36353
15-Jan-13,9.98,9.99,9.95,9.96,169400
14-Jan-13,9.95,9.95,9.95,9.95,101800
11-Jan-13,9.98,9.98,9.98,9.98,445
10-Jan-13,9.96,9.96,9.96,9.96,193997
9-Jan-13,9.96,9.97,9.94,9.94,2500
8-Jan-13,9.97,9.97,9.97,9.97,457500
7-Jan-13,9.96,9.97,9.95,9.96,2600
3-Jan-13,9.97,9.98,9.94,9.97,15388
2-Jan-13,9.99,9.99,9.94,9.94,23600
28-Dec-12,9.97,9.97,9.95,9.97,5800
27-Dec-12,9.97,9.98,9.97,9.98,700
26-Dec-12,9.95,9.96,9.93,9.94,3800
24-Dec-12,9.93,9.96,9.93,9.96,5100
21-Dec-12,9.94,9.94,9.94,9.94,330
20-Dec-12,9.98,9.98,9.94,9.94,3728
19-Dec-12,9.95,9.95,9.95,9.95,3860
18-Dec-12,10.23,10.23,9.91,9.95,11500
17-Dec-12,10.03,10.03,9.96,9.96,41065
14-Dec-12,9.97,10.00,9.93,9.97,198010
13-Dec-12,9.90,10.03,9.90,10.01,2400
12-Dec-12,9.99,9.99,9.94,9.95,70200
11-Dec-12,9.96,9.97,9.95,9.95,279776
10-Dec-12,9.98,9.98,9.94,9.95,39112
7-Dec-12,9.94,9.99,9.94,9.96,1016
6-Dec-12,9.99,9.99,9.95,9.99,74500
5-Dec-12,9.96,9.99,9.94,9.96,868070
4-Dec-12,9.92,9.97,9.91,9.97,1258768
3-Dec-12,9.91,9.93,9.91,9.93,609400
30-Nov-12,9.93,9.93,9.91,9.93,3100
29-Nov-12,9.92,9.92,9.92,9.92,1300
28-Nov-12,9.91,9.92,9.90,9.92,5571
27-Nov-12,9.90,9.91,9.90,9.91,38060
26-Nov-12,9.91,9.91,9.90,9.91,8313
21-Nov-12,9.89,9.91,9.89,9.91,114347
20-Nov-12,9.89,9.91,9.88,9.90,59618
19-Nov-12,9.91,9.91,9.89,9.89,600
16-Nov-12,9.88,9.91,9.88,9.91,12600
15-Nov-12,9.89,9.90,9.89,9.89,18400
14-Nov-12,9.89,9.89,9.89,9.89,10000
13-Nov-12,9.89,9.92,9.89,9.92,11100
12-Nov-12,9.98,9.98,9.89,9.92,14218
9-Nov-12,9.95,9.95,9.94,9.94,5100
8-Nov-12,9.99,10.06,9.90,9.95,171800
7-Nov-12,-,-,-,9.89,0
6-Nov-12,-,-,-,9.89,0
5-Nov-12,9.90,9.90,9.90,9.90,382
2-Nov-12,-,-,-,9.89,0
1-Nov-12,-,-,-,9.89,0
31-Oct-12,-,-,-,9.89,0
26-Oct-12,9.89,9.91,9.89,9.89,1100
25-Oct-12,-,-,-,9.89,0
24-Oct-12,-,-,-,9.89,0
23-Oct-12,9.80,9.90,9.80,9.89,300
22-Oct-12,9.90,9.90,9.90,9.90,100
19-Oct-12,-,-,-,9.90,0
18-Oct-12,9.89,9.89,9.89,9.89,1000
17-Oct-12,-,-,-,9.90,0
16-Oct-12,-,-,-,9.90,0
15-Oct-12,-,-,-,9.90,0
12-Oct-12,-,-,-,9.90,0
11-Oct-12,-,-,-,9.90,0
10-Oct-12,-,-,-,9.90,0
9-Oct-12,-,-,-,9.90,0
8-Oct-12,-,-,-,9.90,0
5-Oct-12,-,-,-,9.90,0
4-Oct-12,-,-,-,9.90,0
3-Oct-12,-,-,-,9.90,0
2-Oct-12,-,-,-,9.96,0
1-Oct-12,-,-,-,9.96,0
28-Sep-12,-,-,-,9.96,0
27-Sep-12,-,-,-,9.96,0
26-Sep-12,9.95,9.95,9.95,9.95,324
25-Sep-12,-,-,-,9.96,0
24-Sep-12,-,-,-,9.96,0
21-Sep-12,-,-,-,9.96,0
20-Sep-12,9.98,9.98,9.96,9.96,10300
19-Sep-12,-,-,-,9.97,0
18-Sep-12,-,-,-,9.97,0
17-Sep-12,-,-,-,9.97,0
14-Sep-12,-,-,-,9.97,0
13-Sep-12,-,-,-,9.97,0
12-Sep-12,-,-,-,9.97,0
11-Sep-12,-,-,-,9.97,0
10-Sep-12,-,-,-,9.97,0
7-Sep-12,-,-,-,9.97,0
6-Sep-12,9.97,9.97,9.97,9.97,200
5-Sep-12,-,-,-,9.99,0
4-Sep-12,-,-,-,9.99,0
31-Aug-12,-,-,-,9.99,0
30-Aug-12,-,-,-,9.99,0
29-Aug-12,-,-,-,9.99,0
28-Aug-12,-,-,-,9.99,0
27-Aug-12,-,-,-,9.99,0
24-Aug-12,-,-,-,9.99,0
23-Aug-12,-,-,-,9.99,0
22-Aug-12,-,-,-,9.99,0
21-Aug-12,-,-,-,9.99,0
20-Aug-12,9.99,9.99,9.99,9.99,100
17-Aug-12,-,-,-,10.27,0
16-Aug-12,-,-,-,10.27,0
15-Aug-12,-,-,-,10.27,0
14-Aug-12,-,-,-,10.27,0
13-Aug-12,-,-,-,10.27,0
10-Aug-12,9.93,10.27,9.93,10.27,2170
9-Aug-12,-,-,-,9.80,0
8-Aug-12,9.80,9.80,9.80,9.80,500
7-Aug-12,-,-,-,9.78,0
6-Aug-12,-,-,-,9.78,0
3-Aug-12,-,-,-,9.78,0
2-Aug-12,-,-,-,9.78,0
1-Aug-12,-,-,-,9.78,0
31-Jul-12,9.82,9.82,9.82,9.82,100
30-Jul-12,-,-,-,9.78,0
27-Jul-12,-,-,-,9.78,0
26-Jul-12,-,-,-,9.78,0
25-Jul-12,-,-,-,9.78,0
24-Jul-12,-,-,-,9.78,0
23-Jul-12,-,-,-,9.78,0
20-Jul-12,-,-,-,9.78,0
19-Jul-12,-,-,-,9.78,0
18-Jul-12,-,-,-,9.78,0
17-Jul-12,-,-,-,9.78,0
16-Jul-12,-,-,-,9.78,0
13-Jul-12,-,-,-,9.78,0
12-Jul-12,9.79,9.79,9.79,9.79,10000
11-Jul-12,-,-,-,9.78,0
10-Jul-12,-,-,-,9.78,0
9-Jul-12,9.78,9.78,9.78,9.78,75000
6-Jul-12,9.78,9.79,9.78,9.79,400
5-Jul-12,9.78,9.78,9.78,9.78,4300
3-Jul-12,-,-,-,9.77,0
2-Jul-12,-,-,-,9.77,0
29-Jun-12,-,-,-,9.77,0
28-Jun-12,9.77,9.77,9.77,9.77,4000
27-Jun-12,9.76,9.77,9.76,9.77,3498
26-Jun-12,9.76,9.76,9.76,9.76,1000
25-Jun-12,9.74,9.76,9.74,9.76,4100
22-Jun-12,-,-,-,9.72,0
21-Jun-12,9.72,9.72,9.72,9.72,1950
20-Jun-12,9.71,9.75,9.71,9.72,1745
19-Jun-12,-,-,-,9.73,0
18-Jun-12,9.72,9.74,9.72,9.74,600
15-Jun-12,-,-,-,9.73,0
14-Jun-12,-,-,-,9.73,0
13-Jun-12,9.73,9.73,9.73,9.73,100
12-Jun-12,9.71,9.74,9.71,9.72,600
11-Jun-12,9.78,9.78,9.78,9.78,500
8-Jun-12,9.71,9.71,9.71,9.71,104
7-Jun-12,9.76,9.76,9.76,9.76,104
6-Jun-12,9.71,9.71,9.71,9.71,125
5-Jun-12,9.71,9.71,9.71,9.71,100
4-Jun-12,9.71,9.71,9.71,9.71,40000
1-Jun-12,-,-,-,9.78,0
31-May-12,9.72,9.78,9.71,9.78,3378
30-May-12,9.71,9.71,9.71,9.71,100
29-May-12,9.71,9.78,9.71,9.78,1571
25-May-12,9.69,9.71,9.69,9.70,89307
24-May-12,-,-,-,9.74,0
23-May-12,9.71,9.71,9.71,9.71,500000
22-May-12,-,-,-,9.74,0
21-May-12,-,-,-,9.74,0
18-May-12,-,-,-,9.74,0
17-May-12,-,-,-,9.74,0
16-May-12,-,-,-,9.74,0
15-May-12,-,-,-,9.74,0
14-May-12,-,-,-,9.74,0
11-May-12,-,-,-,9.74,0
10-May-12,-,-,-,9.74,0
9-May-12,9.74,9.75,9.74,9.75,2144
8-May-12,-,-,-,9.74,0
7-May-12,9.71,9.75,9.71,9.75,8000
4-May-12,-,-,-,9.75,0
3-May-12,-,-,-,9.75,0
2-May-12,9.75,9.75,9.74,9.75,8800
1-May-12,9.74,9.74,9.74,9.74,14600
30-Apr-12,9.76,9.77,9.75,9.75,1300
27-Apr-12,-,-,-,9.73,0
26-Apr-12,-,-,-,9.73,0
25-Apr-12,-,-,-,9.73,0
24-Apr-12,-,-,-,9.73,0
23-Apr-12,-,-,-,9.73,0
20-Apr-12,-,-,-,9.73,0
19-Apr-12,-,-,-,9.73,0
18-Apr-12,-,-,-,9.73,0
17-Apr-12,9.73,9.74,9.73,9.74,6556
16-Apr-12,9.72,9.73,9.72,9.73,4700
13-Apr-12,9.71,9.71,9.71,9.71,100
12-Apr-12,-,-,-,9.72,0
11-Apr-12,9.72,9.72,9.72,9.72,500
10-Apr-12,9.72,9.73,9.72,9.73,5000
9-Apr-12,-,-,-,9.72,0
5-Apr-12,-,-,-,9.72,0
4-Apr-12,-,-,-,9.72,0
3-Apr-12,9.71,9.73,9.71,9.73,17000
2-Apr-12,-,-,-,9.72,0
30-Mar-12,9.72,9.72,9.72,9.72,10400
29-Mar-12,-,-,-,9.68,0
28-Mar-12,9.72,9.72,9.68,9.72,276100
27-Mar-12,-,-,-,9.70,0
26-Mar-12,-,-,-,9.70,0
23-Mar-12,9.71,9.71,9.71,9.71,200
22-Mar-12,-,-,-,9.70,0
21-Mar-12,9.66,9.71,9.66,9.71,400
20-Mar-12,9.70,9.74,9.70,9.73,6400
19-Mar-12,-,-,-,9.74,0
16-Mar-12,-,-,-,9.74,0
15-Mar-12,9.74,9.75,9.73,9.75,2700
14-Mar-12,-,-,-,9.64,0
13-Mar-12,9.75,9.75,9.74,9.75,1200
12-Mar-12,-,-,-,9.64,0
9-Mar-12,-,-,-,9.64,0
8-Mar-12,-,-,-,9.64,0
7-Mar-12,9.66,9.72,9.64,9.72,9500
6-Mar-12,9.76,9.76,9.76,9.76,100
5-Mar-12,9.69,9.76,9.67,9.67,15523
2-Mar-12,-,-,-,9.75,0
1-Mar-12,-,-,-,9.75,0
29-Feb-12,9.75,9.76,9.73,9.76,2000
28-Feb-12,-,-,-,9.76,0
27-Feb-12,9.68,9.76,9.68,9.76,6400
24-Feb-12,-,-,-,9.65,0
23-Feb-12,9.68,9.68,9.68,9.68,600
22-Feb-12,-,-,-,9.65,0
21-Feb-12,-,-,-,9.65,0
17-Feb-12,-,-,-,9.65,0
16-Feb-12,-,-,-,9.65,0
15-Feb-12,-,-,-,9.65,0
14-Feb-12,-,-,-,9.65,0
13-Feb-12,-,-,-,9.65,0
7-Feb-12,9.66,9.66,9.59,9.62,10300
31-Jan-12,9.59,9.59,9.59,9.59,100
12-Jan-12,9.58,9.58,9.58,9.58,25000
4-Jan-12,9.54,9.55,9.52,9.52,1100
7-Nov-11,9.58,9.62,9.58,9.62,1100
