Date, Open, High, Low, Close, Volume
17-May-13,21.76,21.76,21.62,21.70,39778
16-May-13,21.65,21.73,21.54,21.70,66791
15-May-13,21.72,21.72,21.59,21.60,44166
14-May-13,21.75,21.84,21.67,21.72,92877
13-May-13,22.16,22.18,21.80,21.80,31660
10-May-13,22.16,22.22,22.03,22.14,38356
9-May-13,22.16,22.25,22.03,22.15,23066
8-May-13,22.25,22.30,22.15,22.20,28364
7-May-13,22.16,22.19,22.00,22.18,28417
6-May-13,21.96,22.14,21.79,22.06,53069
3-May-13,22.09,22.09,21.89,21.95,25212
2-May-13,22.10,22.14,21.94,22.00,46695
1-May-13,22.13,22.13,21.92,22.11,35095
30-Apr-13,22.14,22.14,21.93,22.00,56520
29-Apr-13,22.17,22.17,22.00,22.08,19118
26-Apr-13,22.03,22.12,22.01,22.12,17922
25-Apr-13,22.00,22.09,21.98,22.05,21091
24-Apr-13,21.93,22.08,21.93,22.08,33029
23-Apr-13,22.02,22.03,21.87,21.98,26628
22-Apr-13,22.00,22.05,21.88,21.88,20985
19-Apr-13,22.02,22.06,21.87,21.91,28331
18-Apr-13,21.92,22.10,21.92,22.02,20624
17-Apr-13,22.05,22.13,21.95,21.96,22942
16-Apr-13,22.33,22.36,21.98,22.03,48524
15-Apr-13,22.42,22.42,22.23,22.25,23443
12-Apr-13,22.31,22.39,22.24,22.39,35910
11-Apr-13,22.17,22.29,22.12,22.21,21843
10-Apr-13,22.39,22.39,22.07,22.10,53221
9-Apr-13,22.36,22.36,22.25,22.31,21170
8-Apr-13,22.47,22.47,22.25,22.29,19974
5-Apr-13,22.13,22.48,22.06,22.46,60728
4-Apr-13,21.97,21.97,21.70,21.95,43854
3-Apr-13,21.89,21.89,21.70,21.83,29069
2-Apr-13,22.15,22.15,21.79,21.79,28018
1-Apr-13,22.25,22.33,22.04,22.15,27771
28-Mar-13,22.06,22.25,21.88,22.25,40430
27-Mar-13,21.92,21.97,21.69,21.97,66516
26-Mar-13,21.69,21.90,21.48,21.90,64518
25-Mar-13,22.18,22.25,21.60,21.60,69960
22-Mar-13,22.57,22.57,21.98,22.08,83136
21-Mar-13,22.22,22.76,21.94,22.46,90746
20-Mar-13,21.93,22.28,21.86,22.27,64761
19-Mar-13,21.70,22.02,21.58,22.02,91959
18-Mar-13,21.04,21.73,21.04,21.66,75339
15-Mar-13,21.60,21.60,21.11,21.24,92928
14-Mar-13,21.73,21.73,21.46,21.55,85143
13-Mar-13,21.80,21.81,21.64,21.69,95850
12-Mar-13,21.89,21.89,21.70,21.84,82872
11-Mar-13,22.05,22.05,21.76,21.80,53041
8-Mar-13,21.95,21.99,21.79,21.99,63050
7-Mar-13,22.07,22.09,21.97,21.99,33417
6-Mar-13,22.20,22.20,22.06,22.12,53144
5-Mar-13,22.20,22.20,22.08,22.12,43382
4-Mar-13,22.25,22.33,22.14,22.21,41618
1-Mar-13,22.28,22.32,21.78,22.20,25523
28-Feb-13,22.25,22.29,22.14,22.23,26746
27-Feb-13,22.35,22.35,22.10,22.20,48455
26-Feb-13,22.15,22.31,22.15,22.31,22211
25-Feb-13,22.42,22.43,22.18,22.21,45127
22-Feb-13,22.48,22.48,22.29,22.39,28791
21-Feb-13,22.25,22.39,22.21,22.39,46618
20-Feb-13,22.34,22.34,22.14,22.27,43226
19-Feb-13,22.41,22.41,22.16,22.21,48424
15-Feb-13,22.32,22.41,22.26,22.41,50052
14-Feb-13,22.62,22.62,22.35,22.36,52437
13-Feb-13,22.76,22.76,22.57,22.57,35495
12-Feb-13,22.74,22.74,22.59,22.67,27460
11-Feb-13,22.63,22.79,22.60,22.64,67467
8-Feb-13,22.70,22.70,22.49,22.55,34989
