Date, Open, High, Low, Close, Volume
17-May-13,14.90,14.90,14.70,14.70,29675
16-May-13,14.69,14.80,14.69,14.80,477
15-May-13,14.75,14.81,14.69,14.72,6124
14-May-13,14.58,14.80,14.58,14.77,5298
13-May-13,14.69,14.73,14.65,14.73,2838
10-May-13,14.89,14.89,14.73,14.79,3086
9-May-13,14.89,15.21,14.65,14.70,20125
8-May-13,14.97,14.97,14.80,14.86,6942
7-May-13,15.17,15.18,14.98,14.98,6666
6-May-13,15.25,15.26,15.20,15.20,2315
3-May-13,15.29,15.29,15.10,15.10,4873
2-May-13,15.20,15.20,15.20,15.20,1857
1-May-13,15.20,15.27,15.11,15.11,4100
30-Apr-13,15.09,15.18,15.08,15.18,5106
29-Apr-13,15.24,15.24,15.12,15.13,5440
26-Apr-13,15.10,15.23,15.08,15.23,5261
25-Apr-13,-,-,-,14.99,0
24-Apr-13,14.88,15.00,14.88,14.99,1910
23-Apr-13,14.97,14.99,14.93,14.99,1803
22-Apr-13,14.89,15.02,14.89,14.93,1163
19-Apr-13,14.98,14.99,14.91,14.92,3538
18-Apr-13,14.96,15.00,14.94,14.94,2800
17-Apr-13,14.95,14.95,14.84,14.84,1860
16-Apr-13,14.96,14.98,14.57,14.85,4693
15-Apr-13,-,-,-,14.85,0
12-Apr-13,14.84,14.85,14.64,14.85,3568
11-Apr-13,14.94,14.94,14.85,14.85,1659
10-Apr-13,14.85,15.05,14.83,15.05,1832
9-Apr-13,15.08,15.08,14.99,15.04,400
8-Apr-13,15.06,15.18,15.05,15.12,4217
5-Apr-13,15.08,15.08,14.91,14.97,2437
4-Apr-13,14.90,15.05,14.90,15.05,6924
3-Apr-13,14.87,14.87,14.80,14.80,3855
2-Apr-13,14.86,15.02,14.77,14.85,4260
1-Apr-13,14.77,14.82,14.77,14.80,1299
28-Mar-13,14.72,14.72,14.70,14.72,1100
27-Mar-13,14.72,14.72,14.61,14.66,8732
26-Mar-13,14.70,14.76,14.66,14.67,4097
25-Mar-13,14.65,14.79,14.57,14.70,7708
22-Mar-13,14.68,14.68,14.56,14.65,4067
21-Mar-13,14.45,14.60,14.45,14.52,9693
20-Mar-13,14.32,14.54,14.32,14.43,10000
19-Mar-13,14.27,14.38,14.25,14.38,1500
18-Mar-13,14.00,14.25,13.94,14.17,18141
15-Mar-13,13.88,14.10,13.73,13.93,23654
14-Mar-13,14.24,14.26,13.95,14.07,20328
13-Mar-13,14.42,14.42,14.27,14.29,5923
12-Mar-13,14.70,14.71,14.41,14.42,20718
11-Mar-13,14.84,14.84,14.60,14.71,15428
8-Mar-13,14.96,14.96,14.81,14.87,5450
7-Mar-13,14.88,14.91,14.85,14.87,2350
6-Mar-13,15.02,15.02,14.92,14.94,1400
5-Mar-13,15.20,15.20,15.02,15.06,2735
4-Mar-13,15.06,15.09,15.03,15.03,940
1-Mar-13,15.04,15.07,14.98,14.98,2965
28-Feb-13,14.91,15.20,14.91,15.01,15578
27-Feb-13,15.19,15.20,14.97,15.05,6715
26-Feb-13,15.08,15.15,15.07,15.11,1136
25-Feb-13,15.12,15.12,15.12,15.12,400
22-Feb-13,15.08,15.16,15.02,15.14,3409
21-Feb-13,15.08,15.15,14.94,15.10,7235
20-Feb-13,15.11,15.14,14.62,15.09,15777
19-Feb-13,15.22,15.22,15.11,15.13,7635
15-Feb-13,15.10,15.21,14.98,15.20,12170
14-Feb-13,15.25,15.30,15.08,15.08,11496
13-Feb-13,15.44,15.44,15.25,15.25,4848
12-Feb-13,15.43,15.47,15.41,15.46,2258
11-Feb-13,15.69,15.69,15.32,15.45,11203
8-Feb-13,15.53,15.56,15.43,15.55,2895
7-Feb-13,15.33,15.61,15.33,15.52,9767
6-Feb-13,15.35,15.41,15.34,15.34,8574
5-Feb-13,15.65,15.76,15.51,15.52,4204
4-Feb-13,15.55,15.62,15.55,15.59,1947
1-Feb-13,15.53,15.60,15.52,15.60,4150
31-Jan-13,15.63,15.63,15.63,15.63,100
30-Jan-13,15.63,15.63,15.54,15.62,1700
29-Jan-13,15.57,15.64,15.54,15.62,4406
28-Jan-13,15.73,15.73,15.53,15.53,3200
25-Jan-13,15.88,15.88,15.75,15.85,6190
24-Jan-13,15.87,15.93,15.80,15.85,8795
23-Jan-13,15.94,15.97,15.74,15.75,24880
22-Jan-13,15.94,16.00,15.86,15.95,6522
18-Jan-13,16.00,16.07,15.95,15.95,13479
17-Jan-13,16.18,16.18,15.99,16.00,10114
16-Jan-13,16.07,16.19,16.05,16.18,2028
15-Jan-13,16.26,16.26,16.20,16.23,5774
14-Jan-13,16.26,16.29,16.25,16.29,400
11-Jan-13,16.37,16.37,16.37,16.37,200
10-Jan-13,16.41,16.42,16.36,16.42,2300
9-Jan-13,16.74,16.74,16.37,16.42,4113
8-Jan-13,17.16,17.16,16.70,16.71,6760
7-Jan-13,16.87,16.87,16.87,16.87,0
4-Jan-13,17.06,17.16,16.95,17.16,2117
3-Jan-13,16.87,16.97,16.87,16.97,1975
2-Jan-13,16.76,16.88,16.48,16.88,2565
31-Dec-12,16.30,16.67,16.30,16.45,10146
28-Dec-12,16.40,16.50,16.40,16.50,1057
27-Dec-12,16.14,16.44,16.14,16.40,6864
26-Dec-12,16.30,16.39,16.16,16.34,8698
24-Dec-12,16.35,16.37,16.19,16.37,5887
21-Dec-12,16.50,16.50,16.33,16.40,9674
20-Dec-12,16.35,16.50,16.35,16.50,1548
