Date, Open, High, Low, Close, Volume
17-May-13,15.30,15.47,15.20,15.22,4304
16-May-13,15.34,15.52,15.16,15.16,2048
15-May-13,15.19,15.49,15.17,15.23,5330
14-May-13,15.36,15.49,15.20,15.23,1874
13-May-13,15.40,15.41,15.24,15.24,4565
10-May-13,15.39,15.53,15.39,15.51,1956
9-May-13,15.71,15.71,15.38,15.46,16440
8-May-13,15.53,15.68,15.53,15.67,4888
7-May-13,15.59,15.68,15.58,15.68,4783
6-May-13,15.70,15.70,15.66,15.66,3811
3-May-13,15.77,15.84,15.72,15.81,4227
2-May-13,15.45,15.85,15.45,15.75,5729
1-May-13,15.37,15.64,15.31,15.55,6043
30-Apr-13,15.41,15.60,15.28,15.53,22382
29-Apr-13,15.40,15.64,15.40,15.52,15256
26-Apr-13,15.21,15.50,15.18,15.23,14377
25-Apr-13,15.41,15.41,15.15,15.15,4924
24-Apr-13,15.65,15.84,15.25,15.52,19754
23-Apr-13,15.60,15.72,15.60,15.62,10206
22-Apr-13,15.54,15.57,15.51,15.57,2755
19-Apr-13,15.54,15.54,15.44,15.50,10092
18-Apr-13,15.03,15.55,15.00,15.47,31778
17-Apr-13,14.83,15.06,14.83,14.92,4985
16-Apr-13,14.84,14.97,14.82,14.95,5192
15-Apr-13,15.00,15.00,14.90,14.93,3483
12-Apr-13,15.06,15.26,14.93,15.06,12059
11-Apr-13,14.92,15.03,14.89,15.03,3477
10-Apr-13,14.96,14.96,14.85,14.85,7994
9-Apr-13,14.93,14.93,14.85,14.85,6476
8-Apr-13,14.94,15.25,14.85,14.91,15000
5-Apr-13,15.16,15.22,15.02,15.06,6791
4-Apr-13,14.97,15.00,14.97,14.97,1400
3-Apr-13,15.08,15.12,15.01,15.08,7780
2-Apr-13,15.10,15.10,14.91,14.97,3630
1-Apr-13,15.10,15.38,14.98,14.99,15843
28-Mar-13,15.22,15.27,15.10,15.24,5489
27-Mar-13,15.23,15.30,15.11,15.11,5832
26-Mar-13,15.24,15.27,15.06,15.19,5306
25-Mar-13,15.13,15.13,15.01,15.08,3083
22-Mar-13,15.21,15.30,15.05,15.05,5983
21-Mar-13,15.29,15.29,15.04,15.07,5850
20-Mar-13,15.19,15.28,15.08,15.27,14853
19-Mar-13,14.76,15.17,14.72,15.04,10839
18-Mar-13,14.84,14.88,14.21,14.80,20280
15-Mar-13,14.83,14.83,14.49,14.70,18052
14-Mar-13,15.24,15.24,14.78,14.90,12500
13-Mar-13,15.18,15.19,15.05,15.15,12385
12-Mar-13,15.21,15.21,15.09,15.19,7424
11-Mar-13,15.44,15.46,15.14,15.14,19595
8-Mar-13,15.60,15.70,15.44,15.44,6689
7-Mar-13,15.66,15.72,15.57,15.70,6764
6-Mar-13,15.70,15.70,15.62,15.67,6232
5-Mar-13,15.72,15.76,15.60,15.60,15151
4-Mar-13,15.88,15.88,15.71,15.73,4477
1-Mar-13,15.82,15.82,15.72,15.81,6811
28-Feb-13,15.77,15.79,15.77,15.77,1674
27-Feb-13,15.70,15.80,15.70,15.77,3438
26-Feb-13,15.79,15.79,15.67,15.68,8225
25-Feb-13,15.74,15.83,15.66,15.70,10789
22-Feb-13,15.88,15.88,15.70,15.76,4199
21-Feb-13,15.76,15.85,15.76,15.83,10691
20-Feb-13,15.80,15.80,15.64,15.74,11005
19-Feb-13,15.96,15.96,15.69,15.78,20322
15-Feb-13,15.82,15.86,15.71,15.86,8630
14-Feb-13,15.81,15.87,15.76,15.76,6477
13-Feb-13,15.90,15.92,15.83,15.87,5042
12-Feb-13,15.98,15.98,15.83,15.86,7253
11-Feb-13,16.08,16.08,15.84,15.92,18425
8-Feb-13,16.23,16.23,15.91,16.05,14522
7-Feb-13,16.10,16.23,16.10,16.22,5771
