Date, Open, High, Low, Close, Volume
17-May-13,8.39,8.77,8.39,8.62,27874
16-May-13,8.47,8.60,8.24,8.38,18131
15-May-13,8.59,8.59,8.39,8.47,24795
14-May-13,8.34,8.60,8.34,8.56,31407
13-May-13,8.25,8.37,8.21,8.35,27218
10-May-13,8.13,8.29,8.06,8.29,17304
9-May-13,8.10,8.14,8.00,8.12,11105
8-May-13,8.00,8.16,8.00,8.16,10209
7-May-13,8.12,8.12,8.00,8.03,15676
6-May-13,8.33,8.45,8.10,8.13,30094
3-May-13,7.70,8.40,7.50,8.35,48575
2-May-13,7.48,7.66,7.46,7.63,15469
1-May-13,7.32,7.55,7.30,7.46,49193
30-Apr-13,7.62,7.62,7.37,7.46,59425
29-Apr-13,7.50,7.73,7.36,7.72,100851
26-Apr-13,7.33,7.54,7.26,7.53,184574
25-Apr-13,7.25,7.38,7.17,7.36,135874
24-Apr-13,7.25,7.35,7.20,7.26,44688
23-Apr-13,7.25,7.33,7.19,7.32,36932
22-Apr-13,7.40,7.55,7.10,7.21,66523
19-Apr-13,7.06,7.50,7.06,7.40,96052
18-Apr-13,7.06,7.25,6.88,7.05,104988
17-Apr-13,7.51,7.51,7.02,7.05,50990
16-Apr-13,7.57,7.57,7.47,7.52,164940
15-Apr-13,7.59,7.59,7.32,7.53,76669
12-Apr-13,7.73,7.92,7.60,7.66,23078
11-Apr-13,7.64,7.96,7.60,7.73,75597
10-Apr-13,7.58,8.14,7.57,7.62,64282
9-Apr-13,7.50,7.72,7.25,7.51,40824
8-Apr-13,7.56,7.73,7.34,7.46,24560
5-Apr-13,7.83,7.91,7.51,7.56,99553
4-Apr-13,8.41,8.58,7.90,7.98,32165
3-Apr-13,8.51,9.04,8.43,8.43,30029
2-Apr-13,9.35,9.35,8.44,8.51,63137
1-Apr-13,9.45,9.50,9.28,9.33,41202
28-Mar-13,8.50,9.73,7.74,9.52,125851
27-Mar-13,10.28,10.35,9.40,10.20,20990
26-Mar-13,10.01,10.35,9.69,10.29,31346
25-Mar-13,10.19,10.19,9.88,9.93,10657
