Date, Open, High, Low, Close, Volume
17-May-13,17.42,17.42,17.20,17.32,33838
16-May-13,17.29,17.38,17.19,17.37,45882
15-May-13,17.49,17.50,17.27,17.39,46890
14-May-13,17.53,17.56,17.43,17.55,43761
13-May-13,17.69,17.69,17.50,17.57,37680
10-May-13,17.78,17.81,17.55,17.64,53355
9-May-13,17.64,17.79,17.64,17.71,39430
8-May-13,17.84,17.93,17.61,17.62,69575
7-May-13,17.89,17.95,17.66,17.85,60515
6-May-13,17.75,18.00,17.73,17.93,78883
3-May-13,17.92,17.92,17.77,17.89,29618
2-May-13,17.88,17.91,17.88,17.91,30578
1-May-13,17.75,17.90,17.73,17.88,21715
30-Apr-13,17.75,17.79,17.65,17.79,40781
29-Apr-13,17.86,17.90,17.76,17.76,14973
26-Apr-13,17.84,17.89,17.83,17.84,14056
25-Apr-13,17.77,17.90,17.71,17.90,46866
24-Apr-13,17.80,17.80,17.68,17.75,14337
23-Apr-13,17.70,17.87,17.69,17.80,27468
22-Apr-13,17.64,17.75,17.60,17.67,18460
19-Apr-13,17.69,17.69,17.57,17.63,22095
18-Apr-13,17.60,17.69,17.55,17.66,20560
17-Apr-13,17.50,17.59,17.35,17.51,44462
16-Apr-13,17.50,17.59,17.37,17.48,45555
15-Apr-13,17.60,17.61,17.49,17.50,57149
12-Apr-13,17.71,17.73,17.54,17.55,27809
11-Apr-13,17.55,17.75,17.54,17.58,28056
10-Apr-13,17.42,17.68,17.42,17.65,39683
9-Apr-13,17.38,17.50,17.36,17.49,33285
8-Apr-13,17.65,17.65,17.36,17.42,27209
5-Apr-13,17.49,17.68,17.49,17.60,44579
4-Apr-13,17.37,17.41,17.30,17.35,24694
3-Apr-13,17.38,17.54,17.30,17.40,40937
2-Apr-13,17.37,17.53,17.37,17.45,21451
1-Apr-13,17.60,17.61,17.34,17.42,35943
28-Mar-13,17.65,17.65,17.46,17.46,86384
27-Mar-13,17.50,17.57,17.42,17.57,22103
26-Mar-13,17.54,17.61,17.26,17.43,44772
25-Mar-13,17.65,17.68,17.44,17.46,57629
22-Mar-13,17.63,17.71,17.55,17.59,22219
21-Mar-13,17.51,17.69,17.40,17.69,34612
20-Mar-13,17.70,17.78,17.56,17.63,70523
19-Mar-13,17.98,17.99,17.89,17.99,68320
18-Mar-13,17.88,17.99,17.87,17.93,43624
15-Mar-13,17.76,17.89,17.75,17.88,39161
14-Mar-13,17.66,17.84,17.64,17.75,43926
13-Mar-13,17.90,17.90,17.67,17.72,29152
12-Mar-13,17.94,17.94,17.71,17.86,38940
11-Mar-13,17.69,17.95,17.69,17.93,59085
8-Mar-13,17.74,17.76,17.60,17.75,43253
7-Mar-13,17.65,17.83,17.62,17.71,80901
6-Mar-13,17.62,17.70,17.60,17.70,49410
5-Mar-13,17.77,17.79,17.62,17.68,48303
4-Mar-13,17.62,17.72,17.62,17.71,36592
1-Mar-13,17.60,17.82,17.60,17.69,41126
28-Feb-13,17.66,17.67,17.60,17.66,38766
27-Feb-13,17.66,17.75,17.58,17.75,89710
26-Feb-13,17.80,17.80,17.65,17.72,33121
25-Feb-13,17.78,17.82,17.70,17.80,57281
22-Feb-13,17.91,17.92,17.74,17.86,53194
21-Feb-13,17.85,17.98,17.79,17.98,33828
20-Feb-13,17.79,17.88,17.74,17.88,30748
19-Feb-13,17.92,17.92,17.66,17.74,46622
15-Feb-13,17.72,17.84,17.72,17.84,33127
14-Feb-13,17.98,18.00,17.78,17.80,58178
13-Feb-13,18.02,18.05,17.93,18.02,35940
12-Feb-13,17.85,17.97,17.84,17.95,39290
11-Feb-13,17.96,17.96,17.83,17.89,27877
8-Feb-13,17.89,18.05,17.86,17.96,48064
7-Feb-13,17.78,17.89,17.72,17.82,42508
6-Feb-13,17.98,17.99,17.85,17.85,26222
5-Feb-13,18.00,18.00,17.92,17.99,30456
4-Feb-13,17.91,18.00,17.84,17.95,63601
1-Feb-13,17.89,17.95,17.87,17.95,29357
31-Jan-13,17.80,17.86,17.62,17.80,32816
30-Jan-13,17.79,17.82,17.64,17.82,44380
29-Jan-13,17.73,17.78,17.56,17.78,69896
28-Jan-13,17.96,17.97,17.65,17.74,59158
25-Jan-13,18.09,18.11,17.87,17.92,46660
24-Jan-13,18.07,18.07,17.88,18.05,54533
23-Jan-13,18.01,18.07,17.96,18.03,57912
22-Jan-13,18.11,18.12,18.01,18.06,48235
18-Jan-13,17.97,18.06,17.95,18.06,38913
17-Jan-13,17.96,18.06,17.96,18.05,42316
16-Jan-13,18.02,18.02,17.82,18.01,61863
15-Jan-13,18.03,18.08,17.86,17.96,28094
14-Jan-13,18.03,18.08,17.97,18.08,42510
11-Jan-13,18.16,18.18,17.91,17.93,40039
10-Jan-13,18.09,18.16,18.05,18.09,25138
9-Jan-13,18.01,18.14,18.01,18.12,39893
8-Jan-13,18.02,18.06,17.95,18.01,64456
7-Jan-13,17.96,17.99,17.90,17.98,62991
4-Jan-13,17.98,18.04,17.92,17.98,113131
3-Jan-13,17.99,18.05,17.87,17.96,105479
2-Jan-13,17.80,18.07,17.70,17.99,82337
31-Dec-12,17.51,17.91,17.47,17.67,84188
28-Dec-12,17.55,17.62,17.51,17.59,18819
27-Dec-12,17.80,17.86,17.40,17.45,91373
26-Dec-12,17.73,17.78,17.59,17.68,35924
24-Dec-12,17.80,17.90,17.58,17.58,36097
21-Dec-12,17.71,17.99,17.71,17.72,34044
20-Dec-12,18.15,18.15,17.69,17.89,50786
19-Dec-12,18.16,18.24,18.05,18.19,51244
18-Dec-12,18.15,18.39,18.15,18.24,31530
17-Dec-12,18.20,18.28,18.15,18.21,21907
14-Dec-12,18.21,18.38,18.10,18.24,70330
13-Dec-12,18.01,18.28,18.00,18.20,36467
12-Dec-12,18.15,18.19,18.02,18.08,36424
11-Dec-12,18.26,18.27,18.03,18.20,91717
10-Dec-12,18.16,18.17,18.06,18.08,17767
7-Dec-12,18.26,18.27,18.04,18.09,43972
6-Dec-12,18.20,18.23,18.00,18.23,43284
5-Dec-12,18.07,18.15,17.99,18.15,24175
4-Dec-12,18.06,18.07,17.96,18.00,25869
3-Dec-12,18.16,18.17,17.95,18.03,43322
30-Nov-12,18.20,18.24,18.10,18.15,33402
29-Nov-12,18.22,18.22,18.04,18.15,31215
28-Nov-12,18.23,18.26,18.06,18.15,25860
27-Nov-12,18.01,18.21,17.89,18.21,45008
26-Nov-12,18.25,18.25,18.00,18.06,36090
23-Nov-12,18.29,18.29,18.18,18.19,19091
21-Nov-12,18.18,18.27,18.02,18.22,24375
20-Nov-12,18.10,18.26,17.83,18.15,37807
19-Nov-12,18.00,18.10,17.85,18.00,29805
16-Nov-12,17.70,17.78,17.51,17.78,32014
15-Nov-12,17.75,17.98,16.83,17.55,89606
14-Nov-12,18.22,18.23,17.78,17.82,62025
13-Nov-12,18.20,18.29,18.07,18.20,47204
12-Nov-12,18.32,18.32,18.15,18.21,25348
9-Nov-12,18.25,18.32,18.18,18.32,35497
8-Nov-12,18.30,18.30,18.17,18.27,25596
7-Nov-12,18.19,18.28,18.05,18.28,27693
6-Nov-12,18.23,18.23,18.03,18.16,20683
5-Nov-12,18.23,18.23,18.10,18.20,31418
2-Nov-12,18.34,18.34,18.04,18.18,27896
1-Nov-12,18.13,18.20,18.06,18.20,14977
31-Oct-12,18.00,18.14,17.95,18.10,32209
26-Oct-12,18.04,18.16,17.96,18.02,29992
25-Oct-12,18.11,18.11,17.90,18.00,48311
24-Oct-12,18.30,18.30,18.07,18.10,26011
23-Oct-12,18.08,18.27,18.08,18.19,52211
22-Oct-12,18.00,18.24,18.00,18.10,23081
19-Oct-12,18.32,18.37,17.97,18.00,53115
18-Oct-12,18.44,18.46,18.19,18.28,31126
17-Oct-12,18.25,18.48,18.25,18.35,39064
16-Oct-12,18.20,18.24,18.01,18.15,41042
15-Oct-12,18.09,18.20,18.04,18.20,31368
12-Oct-12,18.10,18.10,17.95,18.00,20365
11-Oct-12,17.95,18.11,17.86,18.06,44262
10-Oct-12,18.04,18.05,17.85,17.86,25216
9-Oct-12,18.02,18.05,17.93,17.99,54855
8-Oct-12,18.00,18.02,17.84,17.98,41501
5-Oct-12,17.87,17.99,17.79,17.97,31964
4-Oct-12,17.81,17.83,17.68,17.78,22227
3-Oct-12,17.79,17.79,17.70,17.71,30353
2-Oct-12,17.93,17.93,17.61,17.74,50851
1-Oct-12,17.83,17.90,17.77,17.82,46798
28-Sep-12,17.79,17.79,17.62,17.71,37000
27-Sep-12,17.83,17.83,17.69,17.72,50881
26-Sep-12,17.70,17.82,17.68,17.82,52070
25-Sep-12,17.63,17.63,17.49,17.61,78519
24-Sep-12,17.71,17.75,17.56,17.57,52120
21-Sep-12,17.75,17.75,17.63,17.69,29738
20-Sep-12,17.84,17.84,17.63,17.70,42517
19-Sep-12,17.58,17.85,17.58,17.76,155526
18-Sep-12,17.97,18.10,17.84,17.96,107460
17-Sep-12,17.79,17.89,17.79,17.89,54426
14-Sep-12,18.00,18.00,17.84,17.86,65061
13-Sep-12,17.90,17.97,17.86,17.97,44062
12-Sep-12,17.87,18.00,17.85,17.86,78626
11-Sep-12,17.77,17.85,17.66,17.84,33795
10-Sep-12,17.63,17.75,17.53,17.73,64134
7-Sep-12,17.82,17.82,17.70,17.70,35150
6-Sep-12,17.75,17.83,17.70,17.77,28011
5-Sep-12,17.80,17.80,17.66,17.70,61878
4-Sep-12,17.83,17.85,17.65,17.80,20420
31-Aug-12,17.84,17.87,17.78,17.80,15918
30-Aug-12,17.85,17.85,17.71,17.84,12264
29-Aug-12,17.84,17.94,17.79,17.87,23992
28-Aug-12,17.73,17.83,17.73,17.80,30162
27-Aug-12,17.70,17.78,17.66,17.73,25408
24-Aug-12,17.83,17.83,17.53,17.72,32186
23-Aug-12,17.72,17.75,17.68,17.75,43718
22-Aug-12,17.69,17.77,17.67,17.75,44825
21-Aug-12,17.82,17.82,17.61,17.68,27050
20-Aug-12,17.79,17.91,17.67,17.69,20907
17-Aug-12,17.81,17.97,17.64,17.70,72875
16-Aug-12,17.92,17.92,17.70,17.80,45353
15-Aug-12,17.79,17.81,17.74,17.80,42800
14-Aug-12,17.96,17.96,17.70,17.75,31830
