Date, Open, High, Low, Close, Volume
17-May-13,15.02,15.26,14.98,15.15,256782
16-May-13,14.93,15.02,14.85,14.95,218697
15-May-13,15.05,15.09,14.72,14.90,267229
14-May-13,14.92,15.24,14.41,15.11,282768
13-May-13,15.27,15.38,15.16,15.22,169217
10-May-13,15.11,15.28,15.09,15.18,68845
9-May-13,15.14,15.15,14.96,15.03,113364
8-May-13,15.13,15.18,14.91,15.10,175907
7-May-13,15.12,15.27,15.04,15.11,227382
6-May-13,14.96,15.11,14.92,15.06,65406
3-May-13,14.87,14.96,14.77,14.91,145198
2-May-13,14.77,14.85,14.25,14.71,210428
1-May-13,15.21,15.27,14.57,14.60,243984
30-Apr-13,15.15,15.40,15.11,15.23,302672
29-Apr-13,14.94,15.12,14.84,15.10,75827
26-Apr-13,14.88,14.96,14.82,14.85,135640
25-Apr-13,14.84,14.99,14.84,14.86,69477
24-Apr-13,14.63,14.83,14.48,14.80,97124
23-Apr-13,14.65,14.65,14.47,14.59,100180
22-Apr-13,14.64,14.65,14.29,14.57,103826
19-Apr-13,14.11,14.60,14.11,14.59,228910
18-Apr-13,14.20,14.24,14.06,14.09,216491
17-Apr-13,14.17,14.35,13.94,14.12,277776
16-Apr-13,14.10,14.33,13.96,14.22,417394
15-Apr-13,14.32,14.33,13.97,14.01,321439
12-Apr-13,14.06,14.36,14.06,14.36,197359
11-Apr-13,14.09,14.20,14.05,14.14,126011
10-Apr-13,13.91,14.08,13.84,14.08,162472
9-Apr-13,13.90,13.91,13.70,13.91,190304
8-Apr-13,13.83,13.85,13.70,13.85,345202
5-Apr-13,13.44,13.78,13.44,13.77,668090
4-Apr-13,13.38,13.63,13.13,13.61,104159
3-Apr-13,13.60,13.64,13.30,13.36,287045
2-Apr-13,13.69,13.80,13.54,13.58,88717
1-Apr-13,13.67,13.69,13.41,13.67,113079
28-Mar-13,13.60,13.66,13.50,13.65,276294
27-Mar-13,13.55,13.62,13.50,13.56,151244
