Date, Open, High, Low, Close, Volume
17-May-13,14.23,14.23,13.76,14.14,30374
16-May-13,14.20,14.20,14.07,14.19,12437
15-May-13,14.19,14.25,14.00,14.21,15132
14-May-13,14.08,14.20,14.07,14.20,35589
13-May-13,13.91,14.20,13.85,14.10,22128
10-May-13,13.75,14.02,13.70,14.00,57607
9-May-13,13.92,13.97,13.68,13.71,7380
8-May-13,13.92,14.02,13.25,13.93,1026207
7-May-13,14.20,14.20,13.96,14.02,13412
6-May-13,14.19,14.25,14.00,14.22,38982
3-May-13,14.09,14.18,13.86,14.02,27381
2-May-13,13.62,14.02,13.54,13.96,27353
1-May-13,14.07,14.07,13.42,13.58,49914
30-Apr-13,13.26,14.14,13.10,14.08,120880
29-Apr-13,13.35,13.45,13.21,13.27,23360
26-Apr-13,13.33,13.44,13.20,13.30,40391
25-Apr-13,13.66,13.66,13.09,13.41,54831
24-Apr-13,13.67,13.67,13.54,13.65,6822
23-Apr-13,13.75,13.75,13.39,13.64,13911
22-Apr-13,13.36,13.64,13.16,13.61,6643
19-Apr-13,13.34,13.50,13.13,13.39,31077
18-Apr-13,13.52,13.52,13.30,13.35,88353
17-Apr-13,13.57,13.57,13.47,13.50,32233
16-Apr-13,13.46,13.73,13.43,13.68,14651
15-Apr-13,13.89,13.99,13.30,13.40,34552
12-Apr-13,13.93,14.03,13.91,13.96,6762
11-Apr-13,14.04,14.06,13.88,14.00,7207
10-Apr-13,13.79,14.00,13.77,13.94,23204
9-Apr-13,13.60,13.83,13.48,13.80,39743
8-Apr-13,13.92,14.09,13.19,13.59,97686
5-Apr-13,14.16,14.16,13.53,13.90,53120
4-Apr-13,14.06,14.40,13.99,14.32,57083
3-Apr-13,14.00,14.10,13.99,14.00,55023
2-Apr-13,14.08,14.26,13.95,13.98,22950
1-Apr-13,14.54,14.54,13.79,14.04,32148
28-Mar-13,14.37,14.60,14.27,14.53,57058
27-Mar-13,14.29,14.40,14.20,14.37,8333
26-Mar-13,14.17,14.50,13.96,14.46,16330
25-Mar-13,14.03,14.16,13.90,14.07,17327
22-Mar-13,14.02,14.02,13.80,13.94,8362
21-Mar-13,14.21,14.21,13.75,14.00,21473
20-Mar-13,14.33,14.33,13.95,14.29,18309
19-Mar-13,14.25,14.36,14.02,14.27,18391
18-Mar-13,13.99,14.32,13.66,14.20,23117
15-Mar-13,14.06,14.23,14.00,14.14,83618
14-Mar-13,13.87,14.10,13.79,14.05,15638
13-Mar-13,13.81,13.82,13.70,13.81,19490
12-Mar-13,13.72,13.94,13.71,13.81,13948
11-Mar-13,13.79,13.88,13.64,13.72,14765
8-Mar-13,14.20,14.20,13.87,13.90,35260
7-Mar-13,14.25,14.25,13.96,14.00,46503
6-Mar-13,14.34,14.34,14.10,14.20,7446
5-Mar-13,14.13,14.20,13.95,14.18,17700
4-Mar-13,13.91,14.09,13.77,14.07,14502
1-Mar-13,13.52,14.10,13.42,13.91,17319
28-Feb-13,13.63,13.89,13.63,13.82,9294
27-Feb-13,13.34,13.79,13.34,13.63,11879
26-Feb-13,13.34,13.43,13.25,13.34,51270
25-Feb-13,13.76,13.76,13.28,13.30,18181
22-Feb-13,13.82,13.82,13.44,13.68,13127
21-Feb-13,13.70,13.90,13.60,13.70,16334
20-Feb-13,14.14,14.24,13.73,13.74,19494
19-Feb-13,14.43,14.44,13.96,14.12,20150
15-Feb-13,14.50,14.50,14.28,14.45,18424
14-Feb-13,14.06,14.50,13.96,14.49,19125
13-Feb-13,14.20,14.20,14.05,14.15,10905
12-Feb-13,13.98,14.20,13.69,14.14,34727
11-Feb-13,14.08,14.08,13.91,13.99,4866
8-Feb-13,14.12,14.12,13.90,14.10,28832
7-Feb-13,14.05,14.13,13.95,14.07,10886
6-Feb-13,14.15,14.18,13.81,14.08,16921
5-Feb-13,14.20,14.28,14.13,14.26,26821
4-Feb-13,13.99,14.18,13.99,14.15,43557
1-Feb-13,13.94,14.17,13.84,14.08,39340
31-Jan-13,13.84,13.94,13.72,13.88,19599
30-Jan-13,13.73,13.96,13.56,13.86,14474
29-Jan-13,13.45,13.79,13.45,13.79,25814
28-Jan-13,13.03,13.50,13.01,13.43,31632
25-Jan-13,13.16,13.25,12.97,13.04,20228
