Date, Open, High, Low, Close, Volume
17-May-13,8.25,8.32,8.23,8.28,58717
16-May-13,8.30,8.32,8.18,8.28,78020
15-May-13,8.26,8.47,8.25,8.29,396763
14-May-13,8.15,8.19,8.03,8.19,209713
13-May-13,8.11,8.16,8.07,8.11,30227
10-May-13,8.20,8.20,8.11,8.17,15875
9-May-13,8.17,8.23,8.12,8.17,23486
8-May-13,7.79,8.22,7.79,8.20,107400
7-May-13,8.04,8.22,8.04,8.20,23645
6-May-13,7.91,8.09,7.83,8.06,57969
3-May-13,7.96,8.10,7.84,7.89,143802
2-May-13,7.77,7.93,7.77,7.89,19788
1-May-13,8.02,8.10,7.76,7.76,105922
30-Apr-13,8.08,8.09,8.02,8.07,122685
29-Apr-13,8.00,8.07,7.94,8.05,30396
26-Apr-13,7.97,8.00,7.85,7.95,65925
25-Apr-13,8.06,8.06,7.99,8.02,36160
24-Apr-13,8.03,8.05,7.99,8.05,15227
23-Apr-13,7.86,8.02,7.86,8.01,61979
22-Apr-13,7.92,7.92,7.79,7.81,24553
19-Apr-13,7.79,8.01,7.79,7.94,32871
18-Apr-13,7.80,7.86,7.77,7.81,33714
17-Apr-13,7.95,7.96,7.60,7.81,338422
16-Apr-13,7.95,8.04,7.92,8.01,82691
15-Apr-13,8.20,8.29,7.88,7.92,64519
12-Apr-13,8.22,8.31,8.19,8.27,64439
11-Apr-13,8.33,8.34,8.22,8.24,96812
10-Apr-13,8.24,8.37,8.24,8.36,130632
9-Apr-13,8.23,8.30,8.18,8.25,21081
8-Apr-13,8.32,8.32,8.17,8.27,17242
5-Apr-13,8.23,8.30,8.20,8.28,27234
4-Apr-13,8.22,8.38,8.18,8.36,39125
3-Apr-13,8.39,8.39,8.18,8.22,44908
2-Apr-13,8.46,8.52,8.37,8.41,45745
1-Apr-13,8.55,8.74,8.38,8.46,56498
28-Mar-13,8.53,8.58,8.52,8.52,40137
27-Mar-13,8.42,8.58,8.35,8.57,51632
26-Mar-13,8.41,8.43,8.36,8.42,27956
25-Mar-13,8.35,8.42,8.24,8.36,34850
22-Mar-13,8.34,8.39,8.27,8.37,22793
21-Mar-13,8.43,8.43,8.32,8.35,10530
20-Mar-13,8.33,8.64,8.33,8.49,24760
19-Mar-13,8.28,8.37,8.28,8.33,93215
18-Mar-13,8.31,8.34,8.23,8.27,81319
15-Mar-13,8.31,8.38,8.28,8.37,112513
14-Mar-13,8.27,8.31,8.25,8.29,42363
13-Mar-13,8.20,8.26,8.14,8.26,147579
12-Mar-13,8.22,8.26,8.14,8.17,172405
11-Mar-13,8.19,8.29,8.19,8.27,15433
8-Mar-13,8.30,8.30,8.18,8.23,29226
7-Mar-13,8.16,8.25,8.05,8.25,271419
6-Mar-13,8.10,8.18,8.03,8.18,14607
5-Mar-13,8.02,8.16,8.02,8.12,109060
4-Mar-13,8.05,8.05,8.00,8.03,30881
1-Mar-13,7.97,8.12,7.92,8.07,89096
28-Feb-13,7.98,8.09,7.98,8.04,51004
27-Feb-13,7.93,8.04,7.93,7.99,43944
26-Feb-13,7.95,8.00,7.93,7.95,87293
25-Feb-13,8.10,8.15,7.93,7.93,67524
