Date, Open, High, Low, Close, Volume
17-May-13,31.66,32.20,31.66,32.20,23226
16-May-13,32.23,32.23,31.41,31.41,101315
15-May-13,32.57,32.57,32.16,32.49,3960
14-May-13,32.29,32.78,32.29,32.57,5958
13-May-13,32.60,32.91,32.60,32.79,17854
10-May-13,32.29,32.35,32.12,32.32,5100
9-May-13,32.10,32.64,32.10,32.33,2130
8-May-13,32.55,32.55,32.20,32.41,3717
7-May-13,32.72,32.72,32.30,32.56,15723
6-May-13,32.72,32.79,32.58,32.63,11633
3-May-13,32.67,32.92,32.67,32.71,6051
2-May-13,32.47,32.47,32.01,32.01,1635
1-May-13,32.61,32.61,31.80,32.32,2888
30-Apr-13,32.20,32.28,31.38,32.28,394
29-Apr-13,32.08,32.12,31.75,32.12,4276
26-Apr-13,31.57,31.85,31.57,31.75,3374
25-Apr-13,31.87,32.20,31.73,31.73,6866
24-Apr-13,31.56,31.67,31.56,31.67,1700
23-Apr-13,31.47,31.56,31.23,31.56,2544
22-Apr-13,31.33,31.33,31.33,31.33,100
19-Apr-13,31.19,31.33,31.19,31.32,1795
18-Apr-13,31.21,31.22,31.13,31.14,2524
17-Apr-13,31.29,31.29,31.05,31.13,1348
16-Apr-13,31.22,31.25,31.21,31.21,2320
15-Apr-13,31.23,31.23,30.91,31.15,1780
12-Apr-13,31.36,31.57,31.23,31.57,18380
11-Apr-13,30.38,31.28,30.38,31.28,703
10-Apr-13,31.00,31.11,30.95,30.95,4127
9-Apr-13,30.30,30.49,30.24,30.49,570
8-Apr-13,30.70,30.84,30.70,30.75,3884
5-Apr-13,29.26,30.54,29.26,30.53,10271
4-Apr-13,29.29,29.94,29.29,29.94,2906
3-Apr-13,28.43,28.43,28.39,28.43,1846
2-Apr-13,29.04,29.04,29.04,29.04,445
1-Apr-13,28.69,28.69,28.04,28.04,12953
28-Mar-13,28.80,29.09,28.80,28.84,2168
27-Mar-13,28.69,29.32,28.69,29.32,3739
25-Mar-13,28.47,28.90,28.47,28.73,11277
22-Mar-13,28.00,28.47,28.00,28.47,4760
21-Mar-13,28.27,28.27,28.27,28.27,100
20-Mar-13,28.72,28.72,27.99,28.27,894
19-Mar-13,28.15,28.15,28.15,28.15,100
18-Mar-13,28.76,28.82,28.24,28.82,2042
15-Mar-13,28.84,28.89,28.83,28.83,1300
14-Mar-13,28.85,28.85,28.75,28.75,600
13-Mar-13,28.45,28.50,28.25,28.50,1425
12-Mar-13,28.93,28.99,28.50,28.50,6357
11-Mar-13,28.50,29.00,28.44,28.96,58548
8-Mar-13,28.72,28.72,28.18,28.24,12038
7-Mar-13,28.25,28.30,28.06,28.10,1926
6-Mar-13,28.48,28.65,28.17,28.28,3061
5-Mar-13,29.86,29.86,28.43,28.60,58760
4-Mar-13,29.64,29.64,29.17,29.17,50454
1-Mar-13,28.56,29.15,28.56,29.15,1650
28-Feb-13,28.74,28.84,28.74,28.84,300
27-Feb-13,28.41,28.69,28.41,28.64,3213
26-Feb-13,28.40,28.40,28.37,28.40,760
25-Feb-13,28.64,28.64,28.13,28.13,228
22-Feb-13,27.96,28.50,27.96,28.17,699
21-Feb-13,29.10,29.23,28.80,28.80,1740
20-Feb-13,29.04,29.58,28.18,29.19,3504
19-Feb-13,28.95,29.20,28.95,29.12,1841
15-Feb-13,28.39,28.61,28.28,28.57,1206
14-Feb-13,28.55,28.74,28.51,28.51,1250
13-Feb-13,29.16,29.16,29.03,29.16,1036
12-Feb-13,28.88,29.02,28.77,29.02,2197
11-Feb-13,28.50,28.89,28.50,28.60,3933
8-Feb-13,28.46,28.48,28.37,28.48,866
7-Feb-13,28.70,28.70,28.45,28.48,800
6-Feb-13,27.95,28.45,27.95,28.15,1973
5-Feb-13,28.27,28.27,27.86,28.15,2113
4-Feb-13,28.20,28.20,28.16,28.16,1455
1-Feb-13,28.40,28.40,28.40,28.40,175
31-Jan-13,28.60,28.60,28.50,28.50,3475
