Date, Open, High, Low, Close, Volume
17-May-13,0.23,0.23,0.22,0.22,22150
16-May-13,0.24,0.24,0.23,0.23,19234
15-May-13,0.25,0.25,0.22,0.23,26850
14-May-13,0.24,0.25,0.22,0.23,21283
13-May-13,0.22,0.25,0.22,0.24,117477
10-May-13,0.22,0.24,0.22,0.22,17101
9-May-13,0.22,0.24,0.22,0.22,71802
8-May-13,0.21,0.22,0.21,0.22,6890
7-May-13,0.22,0.22,0.21,0.21,8120
6-May-13,0.20,0.22,0.20,0.22,1900
3-May-13,0.19,0.21,0.19,0.19,15300
2-May-13,0.20,0.22,0.20,0.20,14652
1-May-13,0.20,0.21,0.19,0.19,37125
30-Apr-13,0.21,0.22,0.20,0.21,15030
29-Apr-13,0.21,0.22,0.21,0.22,20530
26-Apr-13,0.22,0.23,0.20,0.21,29342
25-Apr-13,0.22,0.24,0.20,0.23,13200
24-Apr-13,0.21,0.22,0.20,0.22,53349
23-Apr-13,0.22,0.23,0.22,0.22,18800
22-Apr-13,0.23,0.23,0.22,0.23,14269
19-Apr-13,0.23,0.24,0.22,0.24,11790
18-Apr-13,0.23,0.25,0.21,0.23,59007
17-Apr-13,0.24,0.24,0.23,0.23,15462
16-Apr-13,0.23,0.24,0.23,0.23,10400
15-Apr-13,0.24,0.24,0.23,0.23,24777
12-Apr-13,0.23,0.24,0.23,0.24,24900
11-Apr-13,0.24,0.24,0.23,0.23,42217
10-Apr-13,0.23,0.26,0.23,0.24,53845
9-Apr-13,0.24,0.24,0.24,0.24,71736
8-Apr-13,0.24,0.25,0.24,0.24,44879
5-Apr-13,0.26,0.27,0.25,0.26,28634
4-Apr-13,0.25,0.26,0.25,0.26,40735
3-Apr-13,0.26,0.27,0.25,0.25,25560
2-Apr-13,0.27,0.27,0.25,0.26,43046
1-Apr-13,0.28,0.29,0.27,0.27,61578
28-Mar-13,0.28,0.28,0.27,0.28,17755
27-Mar-13,0.27,0.30,0.27,0.28,72060
26-Mar-13,0.27,0.30,0.27,0.28,92440
25-Mar-13,0.26,0.29,0.25,0.27,267857
22-Mar-13,0.23,0.25,0.23,0.25,111943
21-Mar-13,0.23,0.26,0.23,0.23,237208
20-Mar-13,0.37,0.37,0.25,0.27,540669
19-Mar-13,0.55,0.56,0.35,0.37,1179026
18-Mar-13,0.29,0.77,0.29,0.49,2837646
15-Mar-13,0.21,0.22,0.20,0.20,15150
14-Mar-13,0.23,0.23,0.21,0.21,20862
13-Mar-13,0.20,0.23,0.16,0.23,31570
12-Mar-13,0.25,0.25,0.22,0.23,52007
11-Mar-13,0.24,0.24,0.22,0.22,31342
8-Mar-13,0.20,0.22,0.20,0.22,11994
7-Mar-13,0.24,0.24,0.20,0.20,20300
6-Mar-13,0.23,0.24,0.23,0.24,13438
5-Mar-13,0.23,0.25,0.23,0.23,52697
4-Mar-13,0.22,0.24,0.22,0.22,44309
1-Mar-13,0.21,0.21,0.20,0.21,23590
28-Feb-13,0.22,0.22,0.21,0.21,2940
27-Feb-13,0.21,0.22,0.21,0.22,15494
26-Feb-13,0.21,0.22,0.19,0.19,18314
25-Feb-13,0.19,0.22,0.19,0.22,31202
22-Feb-13,0.20,0.20,0.19,0.19,10800
21-Feb-13,0.23,0.23,0.20,0.20,23090
20-Feb-13,0.21,0.22,0.20,0.22,11750
19-Feb-13,0.20,0.22,0.20,0.20,4800
15-Feb-13,0.22,0.22,0.19,0.21,9110
14-Feb-13,0.22,0.22,0.22,0.22,24397
13-Feb-13,0.23,0.24,0.22,0.24,4300
12-Feb-13,0.24,0.24,0.23,0.24,13896
11-Feb-13,0.26,0.26,0.23,0.25,29400
8-Feb-13,0.24,0.24,0.23,0.24,14900
7-Feb-13,0.23,0.24,0.23,0.24,1682
6-Feb-13,0.22,0.22,0.22,0.22,10502
5-Feb-13,0.23,0.23,0.21,0.22,27294
4-Feb-13,0.23,0.25,0.23,0.23,38505
1-Feb-13,0.24,0.24,0.23,0.24,51507
31-Jan-13,0.24,0.24,0.22,0.23,88773
30-Jan-13,0.22,0.23,0.22,0.23,6139
29-Jan-13,0.23,0.24,0.21,0.23,191700
28-Jan-13,0.26,0.26,0.22,0.25,89204
25-Jan-13,0.21,0.23,0.21,0.22,82506
24-Jan-13,0.21,0.22,0.21,0.21,108239
23-Jan-13,0.20,0.21,0.20,0.20,217301
22-Jan-13,0.17,0.21,0.17,0.20,139525
18-Jan-13,0.18,0.19,0.17,0.17,26537
17-Jan-13,0.18,0.18,0.16,0.16,46905
16-Jan-13,0.17,0.19,0.16,0.19,24362
15-Jan-13,0.19,0.20,0.17,0.17,91323
14-Jan-13,0.17,0.18,0.16,0.18,38771
11-Jan-13,0.18,0.18,0.17,0.17,38840
10-Jan-13,0.20,0.20,0.16,0.17,115699
9-Jan-13,0.16,0.22,0.16,0.18,727289
8-Jan-13,0.16,0.16,0.16,0.16,5460
7-Jan-13,0.16,0.18,0.15,0.16,68738
4-Jan-13,0.18,0.18,0.13,0.16,148697
3-Jan-13,0.18,0.18,0.17,0.17,10300
2-Jan-13,0.18,0.18,0.16,0.16,62890
31-Dec-12,0.14,0.18,0.14,0.16,43320
28-Dec-12,0.13,0.15,0.12,0.15,92830
27-Dec-12,0.13,0.15,0.13,0.14,9270
26-Dec-12,0.13,0.14,0.13,0.13,6954
24-Dec-12,0.14,0.14,0.14,0.14,500
21-Dec-12,0.09,0.09,0.09,0.09,0
20-Dec-12,0.13,0.14,0.13,0.14,12432
19-Dec-12,0.14,0.14,0.14,0.14,16038
18-Dec-12,0.15,0.15,0.15,0.15,6200
17-Dec-12,0.16,0.16,0.15,0.16,8200
14-Dec-12,0.17,0.17,0.13,0.16,6103
13-Dec-12,0.18,0.18,0.18,0.18,5000
12-Dec-12,0.16,0.18,0.16,0.18,4200
11-Dec-12,0.17,0.17,0.17,0.17,4800
10-Dec-12,0.16,0.16,0.15,0.15,25422
7-Dec-12,0.15,0.15,0.15,0.15,726
6-Dec-12,0.19,0.19,0.16,0.16,16577
