Date, Open, High, Low, Close, Volume
17-May-13,53.95,55.00,53.69,54.96,124948
16-May-13,53.29,53.95,53.29,53.88,49524
15-May-13,52.86,54.02,52.48,53.60,54915
14-May-13,51.28,52.86,51.28,52.86,111480
13-May-13,51.27,51.89,51.20,51.37,65260
10-May-13,51.50,51.60,50.83,51.50,32540
9-May-13,51.78,52.15,51.37,51.51,56442
8-May-13,52.40,52.40,51.71,51.84,102516
7-May-13,50.25,52.41,50.06,52.39,111470
6-May-13,49.37,50.33,49.30,50.32,51495
3-May-13,48.73,49.74,47.97,49.52,74799
2-May-13,47.40,48.52,47.35,48.03,55438
1-May-13,49.08,49.50,47.33,47.36,158333
30-Apr-13,49.04,49.46,48.97,49.41,59281
29-Apr-13,48.87,49.52,48.33,49.24,40022
26-Apr-13,49.12,49.27,48.18,48.45,49033
25-Apr-13,49.12,49.52,48.89,48.92,21013
24-Apr-13,48.94,49.26,48.35,49.12,46443
23-Apr-13,47.68,49.06,47.33,49.02,57419
22-Apr-13,47.81,47.93,46.86,47.33,89135
19-Apr-13,46.01,47.96,46.01,47.80,58500
18-Apr-13,46.71,46.94,46.07,46.32,44957
17-Apr-13,47.17,47.58,45.92,46.77,94728
16-Apr-13,46.97,47.69,46.50,47.60,69204
15-Apr-13,47.97,47.97,46.25,46.42,93616
12-Apr-13,47.54,48.20,47.49,48.10,36594
11-Apr-13,47.85,47.99,47.26,47.60,75450
10-Apr-13,47.54,48.11,47.49,47.85,90490
9-Apr-13,48.12,48.52,47.23,47.26,59473
8-Apr-13,48.18,48.18,47.14,47.99,28247
5-Apr-13,46.86,48.28,46.86,48.03,70503
4-Apr-13,47.41,47.81,47.01,47.78,57575
3-Apr-13,48.10,48.10,47.03,47.21,59906
2-Apr-13,48.93,48.93,47.73,47.90,45756
1-Apr-13,48.68,48.87,47.85,48.50,96165
28-Mar-13,48.69,48.89,48.50,48.60,74527
27-Mar-13,48.20,48.73,47.83,48.50,43462
26-Mar-13,49.00,49.00,48.29,48.80,125359
25-Mar-13,48.62,48.85,47.52,48.66,64733
22-Mar-13,48.35,48.64,47.95,48.32,97464
21-Mar-13,47.76,48.47,47.76,48.08,64782
20-Mar-13,48.00,48.16,47.63,48.01,31144
19-Mar-13,47.41,47.88,47.26,47.76,84256
18-Mar-13,47.30,47.68,46.57,47.16,112847
15-Mar-13,47.46,48.39,47.12,47.93,325795
14-Mar-13,46.77,47.35,46.72,47.35,63013
13-Mar-13,46.50,46.90,46.15,46.73,159631
12-Mar-13,46.99,47.16,46.51,46.62,104929
11-Mar-13,47.49,47.49,47.01,47.10,80200
8-Mar-13,47.70,49.00,46.45,47.53,147509
7-Mar-13,46.50,47.00,46.20,46.99,83696
6-Mar-13,46.15,46.52,45.88,46.52,67788
5-Mar-13,45.45,46.49,45.45,45.88,77013
4-Mar-13,44.78,45.48,44.78,45.26,70836
1-Mar-13,44.13,45.31,43.56,45.02,93067
28-Feb-13,44.33,44.95,44.33,44.60,80755
27-Feb-13,44.11,44.85,44.04,44.47,85439
26-Feb-13,43.53,44.95,43.32,44.02,119770
25-Feb-13,44.50,44.53,43.00,43.21,80994
22-Feb-13,43.35,44.84,43.35,44.31,81250
21-Feb-13,43.06,43.98,42.19,43.03,55628
20-Feb-13,43.53,43.61,42.90,42.96,78787
19-Feb-13,43.04,43.59,42.93,43.38,86585
15-Feb-13,43.18,43.28,42.91,42.97,81030
14-Feb-13,42.74,43.15,42.74,42.87,25135
13-Feb-13,43.03,43.05,42.54,42.77,48348
12-Feb-13,42.34,42.83,42.11,42.69,62548
11-Feb-13,42.59,42.68,42.12,42.42,49550
8-Feb-13,42.54,42.98,42.08,42.36,37582
7-Feb-13,42.81,43.15,42.00,42.35,39838
6-Feb-13,42.12,42.79,42.00,42.70,88478
5-Feb-13,42.31,42.54,41.92,42.29,46349
4-Feb-13,41.88,42.25,41.83,41.92,65812
1-Feb-13,41.50,42.25,41.21,42.19,123895
31-Jan-13,41.50,41.55,40.79,41.06,100542
30-Jan-13,42.33,42.33,41.25,41.43,70873
29-Jan-13,42.13,42.61,41.75,42.25,69033
28-Jan-13,41.71,42.42,41.33,42.25,62982
25-Jan-13,42.54,42.54,41.19,41.55,91894
24-Jan-13,42.18,42.41,41.89,42.39,81587
23-Jan-13,42.35,42.62,41.90,42.00,49033
22-Jan-13,41.74,42.31,41.74,42.25,67092
18-Jan-13,42.21,42.48,41.46,41.67,58461
17-Jan-13,41.74,42.15,41.49,42.11,54945
16-Jan-13,41.53,41.91,41.41,41.49,55295
15-Jan-13,41.31,41.86,41.31,41.72,39325
14-Jan-13,40.78,41.73,40.52,41.43,48150
11-Jan-13,41.58,41.58,40.14,40.94,67476
10-Jan-13,41.19,41.79,40.85,41.49,35659
9-Jan-13,41.43,41.47,40.97,41.12,57785
8-Jan-13,41.74,41.74,41.09,41.33,68575
7-Jan-13,41.35,41.67,41.18,41.32,57520
4-Jan-13,41.47,41.59,41.08,41.42,51933
3-Jan-13,41.02,41.31,40.64,41.19,85736
2-Jan-13,39.93,41.16,39.86,41.11,323059
31-Dec-12,39.16,39.54,38.82,39.01,280333
28-Dec-12,39.34,39.76,38.92,39.24,81941
27-Dec-12,39.68,39.68,38.65,39.45,124039
26-Dec-12,40.24,40.25,39.45,39.53,107659
24-Dec-12,40.13,40.30,39.84,40.23,50218
