Date, Open, High, Low, Close, Volume
17-May-13,24.87,25.24,24.87,25.21,58466
16-May-13,24.90,25.06,24.76,24.81,53303
15-May-13,25.36,25.36,24.75,24.88,112126
14-May-13,25.51,25.51,25.26,25.28,43526
13-May-13,25.38,25.42,25.09,25.37,52987
10-May-13,25.13,25.34,25.10,25.32,50342
9-May-13,25.35,25.35,24.49,25.24,77034
8-May-13,24.88,25.13,24.76,25.08,60671
7-May-13,24.62,24.88,24.58,24.88,53369
6-May-13,24.65,24.79,24.52,24.70,59487
3-May-13,25.12,25.12,24.62,24.70,79191
2-May-13,24.83,24.85,24.50,24.78,80576
1-May-13,24.90,25.09,24.66,24.68,67851
30-Apr-13,25.16,25.16,24.88,24.95,86518
29-Apr-13,24.91,25.30,24.84,25.16,100384
26-Apr-13,24.76,24.86,24.63,24.79,43092
25-Apr-13,24.74,24.79,24.51,24.63,84471
24-Apr-13,24.82,24.90,24.51,24.54,77762
23-Apr-13,24.62,24.91,24.62,24.65,91181
22-Apr-13,24.20,24.57,24.14,24.57,49705
19-Apr-13,23.70,24.29,23.70,24.23,47782
18-Apr-13,24.12,24.33,24.00,24.29,85418
17-Apr-13,24.40,24.45,24.06,24.22,83782
16-Apr-13,24.35,24.61,24.10,24.43,123863
15-Apr-13,24.69,24.71,24.06,24.06,114771
12-Apr-13,24.49,24.69,24.35,24.69,70158
11-Apr-13,24.10,24.41,24.07,24.41,61465
10-Apr-13,23.89,24.22,23.89,24.14,136383
9-Apr-13,23.75,23.85,23.60,23.76,53510
8-Apr-13,23.47,23.69,23.30,23.62,54545
5-Apr-13,23.79,23.88,23.28,23.36,36073
4-Apr-13,23.65,23.89,23.57,23.57,31414
3-Apr-13,23.73,23.79,23.51,23.63,48891
2-Apr-13,24.09,24.09,23.70,23.78,47298
1-Apr-13,23.90,23.93,23.75,23.89,33466
28-Mar-13,23.62,23.86,23.52,23.83,50457
27-Mar-13,23.32,23.59,23.25,23.51,69520
26-Mar-13,23.06,23.34,23.05,23.29,118271
25-Mar-13,23.07,23.30,22.96,23.05,71226
22-Mar-13,23.01,23.25,22.91,23.07,77455
21-Mar-13,23.28,23.46,22.80,22.83,92645
20-Mar-13,22.82,23.18,22.78,23.16,84368
19-Mar-13,23.06,23.15,22.66,22.75,75936
18-Mar-13,22.77,23.12,22.63,22.85,61489
15-Mar-13,22.99,23.23,22.82,22.87,74871
14-Mar-13,23.02,23.11,22.81,22.89,34240
13-Mar-13,22.87,22.92,22.71,22.90,54542
12-Mar-13,22.93,23.17,22.71,22.80,76962
11-Mar-13,22.90,22.99,22.52,22.86,112184
8-Mar-13,22.93,23.08,22.84,23.05,74935
7-Mar-13,23.22,23.24,22.78,22.90,88399
6-Mar-13,23.66,23.70,22.95,23.11,72188
5-Mar-13,23.66,23.81,23.46,23.50,33467
