Date, Open, High, Low, Close, Volume
17-May-13,30.47,31.07,30.47,30.81,10704
16-May-13,30.41,30.75,30.25,30.41,18786
15-May-13,30.12,30.33,30.07,30.33,8154
14-May-13,29.84,30.09,29.84,30.07,5941
13-May-13,30.23,30.23,29.56,29.95,6526
10-May-13,30.05,30.10,29.81,30.10,84161
9-May-13,29.94,30.14,29.84,29.91,8002
8-May-13,30.02,30.20,29.95,30.01,15906
7-May-13,29.71,30.34,29.71,30.33,10690
6-May-13,29.99,30.00,29.64,29.74,10740
3-May-13,30.30,30.51,29.71,29.99,6077
2-May-13,29.72,30.40,29.69,29.99,9282
1-May-13,30.20,30.20,29.21,29.64,28752
30-Apr-13,29.76,30.33,29.76,30.21,9306
29-Apr-13,29.81,29.95,29.58,29.79,4369
26-Apr-13,30.04,30.20,29.51,29.66,25148
25-Apr-13,30.34,30.46,29.90,30.08,5751
24-Apr-13,29.87,30.44,29.86,30.30,8453
23-Apr-13,29.54,29.95,29.54,29.95,3891
22-Apr-13,29.25,29.88,29.14,29.25,9240
19-Apr-13,28.99,29.80,28.99,29.67,48328
18-Apr-13,29.02,29.16,28.66,29.02,46174
17-Apr-13,29.24,29.24,28.80,28.88,11298
16-Apr-13,29.03,29.50,28.85,29.43,16724
15-Apr-13,29.09,29.30,28.57,28.80,46249
12-Apr-13,28.72,29.23,28.55,29.20,8644
11-Apr-13,28.83,28.85,28.55,28.72,4438
10-Apr-13,28.57,28.94,28.57,28.86,5330
9-Apr-13,28.95,29.08,28.50,28.60,11543
8-Apr-13,28.52,28.62,28.45,28.62,4223
5-Apr-13,28.06,28.68,28.06,28.44,3946
4-Apr-13,28.35,28.50,28.26,28.50,4060
3-Apr-13,28.73,28.73,28.26,28.49,17632
2-Apr-13,29.20,29.37,28.61,28.61,15532
1-Apr-13,29.30,29.36,28.61,28.72,23506
28-Mar-13,29.61,29.89,29.30,29.65,28522
27-Mar-13,29.25,29.72,28.90,29.50,17963
26-Mar-13,29.66,29.66,29.29,29.43,27605
25-Mar-13,29.68,29.68,29.36,29.46,5833
22-Mar-13,29.81,30.16,29.38,29.45,21212
21-Mar-13,29.70,30.09,29.40,29.57,25528
20-Mar-13,30.21,30.26,29.71,29.87,33873
19-Mar-13,30.18,30.45,29.77,29.95,60293
18-Mar-13,29.73,30.67,29.67,30.10,69806
15-Mar-13,30.36,30.36,29.82,30.00,95503
14-Mar-13,29.77,30.34,29.70,30.30,23232
13-Mar-13,29.82,29.82,29.65,29.75,3209
12-Mar-13,29.60,29.73,29.35,29.69,18616
11-Mar-13,29.53,29.80,29.49,29.65,8459
8-Mar-13,29.49,29.57,29.32,29.54,15483
7-Mar-13,29.50,29.55,29.33,29.41,6256
6-Mar-13,29.43,29.50,29.12,29.50,11694
5-Mar-13,29.37,29.88,29.22,29.25,15963
4-Mar-13,28.95,29.49,28.57,29.15,13011
1-Mar-13,28.30,28.56,28.05,28.51,23710
28-Feb-13,29.13,29.60,28.47,28.57,20638
27-Feb-13,29.33,29.56,29.00,29.13,17886
26-Feb-13,29.43,29.96,29.13,29.28,9737
25-Feb-13,30.23,30.41,29.18,29.20,42956
22-Feb-13,30.45,30.45,29.99,30.16,20670
21-Feb-13,30.16,30.42,30.03,30.24,58874
20-Feb-13,30.37,30.50,30.07,30.10,40695
19-Feb-13,30.00,30.44,29.75,30.44,58417
15-Feb-13,29.88,30.00,29.58,29.94,16603
14-Feb-13,29.65,29.86,29.35,29.74,5644
13-Feb-13,29.53,29.83,29.24,29.64,4307
12-Feb-13,29.39,29.60,29.39,29.50,2991
11-Feb-13,29.30,29.59,29.30,29.43,3625
