Date, Open, High, Low, Close, Volume
17-May-13,33.90,34.03,33.46,33.74,799701
16-May-13,36.07,36.25,33.57,33.78,2041566
15-May-13,33.76,34.61,33.41,34.42,1403225
14-May-13,32.97,33.73,32.72,33.65,881812
13-May-13,32.59,32.93,32.51,32.85,583045
10-May-13,32.37,32.60,32.30,32.56,433844
9-May-13,32.76,32.89,32.36,32.42,287802
8-May-13,32.84,32.94,32.59,32.79,298118
7-May-13,32.65,32.93,32.55,32.81,444160
6-May-13,33.20,33.21,32.64,32.68,490643
3-May-13,32.82,33.25,32.60,33.15,586117
2-May-13,32.17,32.67,32.11,32.66,572771
1-May-13,32.86,32.92,32.18,32.21,395384
30-Apr-13,32.69,33.00,32.58,32.94,523258
29-Apr-13,32.45,32.75,32.33,32.71,462814
26-Apr-13,32.35,32.59,32.25,32.40,394316
25-Apr-13,32.34,32.51,32.10,32.38,356552
24-Apr-13,32.65,32.99,32.25,32.32,487398
23-Apr-13,32.49,32.90,32.19,32.60,608351
22-Apr-13,32.25,32.58,32.07,32.38,397830
19-Apr-13,31.97,32.65,31.88,32.25,377253
18-Apr-13,32.01,32.22,31.92,31.97,391582
17-Apr-13,32.04,32.27,31.60,32.04,709720
16-Apr-13,31.29,32.20,31.23,32.17,577802
15-Apr-13,31.24,31.48,30.89,31.14,877869
12-Apr-13,31.63,31.84,31.40,31.49,738004
11-Apr-13,31.83,31.91,31.62,31.74,690421
10-Apr-13,31.79,32.06,31.72,31.84,988063
9-Apr-13,32.57,32.62,31.66,31.69,1214762
8-Apr-13,32.31,32.57,32.25,32.46,301919
5-Apr-13,32.25,32.52,32.11,32.40,391713
4-Apr-13,32.10,32.64,31.98,32.53,625411
3-Apr-13,32.75,32.75,31.96,32.00,1146937
2-Apr-13,32.91,33.16,32.55,32.73,953941
1-Apr-13,33.00,33.14,32.60,32.80,748571
28-Mar-13,32.65,32.99,32.50,32.94,813867
27-Mar-13,32.35,32.66,32.18,32.66,653092
26-Mar-13,32.34,32.61,32.13,32.47,760144
25-Mar-13,32.69,32.76,32.08,32.27,859153
22-Mar-13,31.60,32.66,31.52,32.56,1618680
21-Mar-13,31.04,31.48,30.75,31.44,923929
20-Mar-13,29.67,31.21,29.53,30.97,1589810
19-Mar-13,29.22,29.61,29.10,29.60,791132
18-Mar-13,28.75,29.28,28.59,29.20,712062
15-Mar-13,29.09,29.09,28.69,28.87,567008
14-Mar-13,28.93,29.18,28.74,29.11,337726
13-Mar-13,28.72,28.99,28.62,28.85,341460
12-Mar-13,28.53,28.77,28.40,28.67,396568
11-Mar-13,28.67,28.77,28.45,28.53,421806
8-Mar-13,28.89,28.95,28.49,28.74,266319
7-Mar-13,28.71,29.43,28.64,28.78,665931
6-Mar-13,28.70,28.76,28.37,28.59,346334
5-Mar-13,28.50,28.66,28.33,28.62,347392
4-Mar-13,28.38,28.56,28.31,28.38,487635
1-Mar-13,28.13,28.52,27.73,28.45,879400
28-Feb-13,28.33,28.59,28.09,28.18,743073
27-Feb-13,27.64,29.55,27.52,28.32,2345495
26-Feb-13,27.81,27.91,27.64,27.85,763463
25-Feb-13,27.79,28.26,27.68,27.79,918768
22-Feb-13,27.45,27.68,27.34,27.68,422198
21-Feb-13,27.70,27.91,27.22,27.39,683717
20-Feb-13,27.99,28.11,27.71,27.74,538399
19-Feb-13,27.73,28.11,27.60,28.05,1125210
15-Feb-13,28.09,28.09,27.50,27.68,1047535
14-Feb-13,28.02,28.27,27.87,28.01,638504
13-Feb-13,28.08,28.14,27.80,27.92,404298
12-Feb-13,28.05,28.20,27.93,28.04,554773
11-Feb-13,28.17,28.43,28.13,28.20,477107
8-Feb-13,28.35,28.35,27.95,28.19,733276
7-Feb-13,28.61,29.04,28.03,28.24,1418512
