Date, Open, High, Low, Close, Volume
17-May-13,81.38,82.75,81.32,82.05,813575
16-May-13,81.19,81.50,80.09,81.22,1839278
15-May-13,82.41,82.75,81.50,81.90,1619699
14-May-13,82.24,84.54,82.24,84.21,905389
13-May-13,80.78,82.47,80.51,82.35,732581
10-May-13,81.63,81.90,80.37,81.25,747012
9-May-13,82.99,83.05,81.36,81.58,534401
8-May-13,81.34,82.91,81.08,82.84,956030
7-May-13,82.39,82.50,81.60,82.17,988836
6-May-13,81.10,82.00,80.68,81.97,1051887
3-May-13,85.18,85.56,78.88,80.34,2132382
2-May-13,75.23,77.25,74.71,77.20,1216814
1-May-13,76.58,77.00,74.67,74.90,715655
30-Apr-13,75.08,77.14,75.01,76.90,1186940
29-Apr-13,75.90,76.08,74.85,75.44,883458
26-Apr-13,75.04,75.90,74.55,75.48,518948
25-Apr-13,76.26,76.41,74.94,74.99,957222
24-Apr-13,77.20,77.60,75.85,75.93,574913
23-Apr-13,75.74,77.34,75.58,77.22,1006252
22-Apr-13,73.77,75.49,73.16,75.30,1039222
19-Apr-13,72.56,73.59,70.09,73.44,934077
18-Apr-13,74.30,74.30,72.14,72.42,660800
17-Apr-13,74.68,74.89,73.21,74.10,636360
16-Apr-13,74.25,75.40,73.94,75.05,691259
15-Apr-13,76.66,76.66,73.08,73.81,843771
12-Apr-13,77.40,77.84,76.59,77.03,517885
11-Apr-13,78.73,78.73,77.41,77.57,538052
10-Apr-13,77.21,78.87,77.11,78.36,882834
9-Apr-13,76.72,77.52,76.30,77.08,618700
8-Apr-13,75.30,76.57,75.30,76.44,480989
5-Apr-13,76.00,76.07,74.05,75.25,1509731
4-Apr-13,77.48,77.72,75.95,77.26,1195578
3-Apr-13,78.00,78.37,75.92,77.27,915449
2-Apr-13,77.52,78.13,77.05,77.83,827122
1-Apr-13,76.73,77.91,76.54,77.24,970060
28-Mar-13,76.11,76.73,75.41,76.67,530439
27-Mar-13,76.50,76.50,75.37,76.05,686440
26-Mar-13,76.13,77.46,75.75,76.69,911207
25-Mar-13,76.01,76.88,74.57,75.46,982113
22-Mar-13,72.55,76.00,72.19,75.82,2079569
21-Mar-13,69.60,72.50,69.46,72.38,1991217
20-Mar-13,69.12,70.34,69.02,69.74,398907
19-Mar-13,69.44,69.90,68.70,68.83,375282
18-Mar-13,69.06,69.90,67.33,69.46,475790
15-Mar-13,70.44,70.57,69.33,69.52,755756
14-Mar-13,70.54,70.75,70.32,70.56,524270
13-Mar-13,70.57,70.68,70.27,70.50,735750
12-Mar-13,70.35,70.58,70.06,70.40,288151
11-Mar-13,70.59,70.60,70.00,70.41,339229
8-Mar-13,70.37,71.09,69.35,70.52,1170795
7-Mar-13,70.50,70.84,69.87,69.88,2095643
