Date, Open, High, Low, Close, Volume
17-May-13,15.14,15.39,15.14,15.31,4331
16-May-13,14.97,15.40,14.96,15.20,34000
15-May-13,14.94,15.00,14.88,14.99,5493
14-May-13,14.52,15.00,14.52,14.89,5431
13-May-13,14.80,14.80,14.49,14.55,6421
10-May-13,14.60,14.86,14.51,14.71,5963
9-May-13,14.71,14.72,14.45,14.55,11260
8-May-13,14.78,14.94,14.52,14.74,11657
7-May-13,14.42,14.94,14.42,14.92,33812
6-May-13,14.01,14.49,14.01,14.49,12948
3-May-13,14.17,14.38,14.17,14.36,25858
2-May-13,13.93,14.37,13.93,14.04,10270
1-May-13,14.17,14.36,14.00,14.00,2332
30-Apr-13,14.24,14.50,14.24,14.40,9816
29-Apr-13,13.98,14.38,13.98,14.20,11032
26-Apr-13,13.96,14.26,13.92,14.03,4560
25-Apr-13,14.13,14.13,13.94,14.04,17676
24-Apr-13,14.15,14.15,13.89,14.03,11170
23-Apr-13,13.87,14.03,13.84,13.95,8790
22-Apr-13,13.69,13.93,13.69,13.76,3714
19-Apr-13,14.00,14.00,13.66,13.80,15826
18-Apr-13,13.83,13.96,13.78,13.92,8267
17-Apr-13,14.01,14.01,13.58,13.85,14448
16-Apr-13,13.61,13.98,13.61,13.98,9314
15-Apr-13,13.89,13.89,13.50,13.65,7149
12-Apr-13,14.06,14.07,13.76,14.00,9201
11-Apr-13,14.08,14.08,13.86,14.03,7383
10-Apr-13,13.81,14.07,13.61,14.05,10616
9-Apr-13,13.64,13.95,13.64,13.93,10068
8-Apr-13,13.58,13.85,13.41,13.85,6837
5-Apr-13,13.90,13.90,13.32,13.58,28131
4-Apr-13,14.12,14.12,13.89,13.93,3020
3-Apr-13,14.19,14.24,14.02,14.02,7315
2-Apr-13,13.89,14.45,13.89,14.13,20191
1-Apr-13,14.11,14.25,13.88,13.95,9802
28-Mar-13,14.05,14.27,14.05,14.15,8209
27-Mar-13,14.29,14.32,13.89,14.15,17160
26-Mar-13,14.00,14.29,14.00,14.22,30457
25-Mar-13,14.24,14.52,14.24,14.34,19526
22-Mar-13,14.25,14.46,14.23,14.36,19162
21-Mar-13,14.36,14.36,14.21,14.30,11374
20-Mar-13,14.11,14.31,13.94,14.27,26913
19-Mar-13,14.10,14.20,14.00,14.14,29351
18-Mar-13,14.13,14.21,13.96,14.13,11729
15-Mar-13,14.00,14.42,13.90,14.21,61102
14-Mar-13,13.95,14.00,13.87,13.99,12507
13-Mar-13,13.65,13.99,13.50,13.86,26892
12-Mar-13,13.70,13.87,13.60,13.72,13716
11-Mar-13,13.82,13.94,13.71,13.92,14592
8-Mar-13,13.91,14.01,13.89,14.00,13260
7-Mar-13,13.73,14.00,13.69,14.00,30078
6-Mar-13,13.56,13.96,13.56,13.80,12326
5-Mar-13,13.55,13.99,13.49,13.95,34767
4-Mar-13,13.79,13.81,13.55,13.65,11345
1-Mar-13,13.57,13.79,13.50,13.70,18090
28-Feb-13,13.70,13.79,13.61,13.71,9583
27-Feb-13,13.53,13.78,13.37,13.69,14332
26-Feb-13,13.58,13.65,13.36,13.57,23027
25-Feb-13,13.72,13.72,13.30,13.59,17350
22-Feb-13,13.66,13.76,13.29,13.72,53652
21-Feb-13,13.66,13.78,13.54,13.73,39735
20-Feb-13,13.78,13.78,13.63,13.63,8678
19-Feb-13,13.70,13.85,13.64,13.77,46701
15-Feb-13,13.50,13.73,13.39,13.73,57324
14-Feb-13,13.61,13.79,13.46,13.50,36982
13-Feb-13,13.21,13.62,13.21,13.51,30293
12-Feb-13,12.60,13.42,12.51,13.21,51200
11-Feb-13,12.00,12.80,11.99,12.80,99820
8-Feb-13,11.70,12.17,11.67,11.92,201651
7-Feb-13,11.21,11.89,11.00,11.70,584333
6-Feb-13,8.35,8.76,8.30,8.45,14637
5-Feb-13,8.29,8.31,8.15,8.29,6546
4-Feb-13,8.14,8.25,7.81,8.24,13800
1-Feb-13,8.18,8.25,7.80,8.25,12617
31-Jan-13,8.24,8.30,8.17,8.20,3640
30-Jan-13,8.09,8.25,8.00,8.20,15884
