Date, Open, High, Low, Close, Volume
17-May-13,16.97,16.98,16.73,16.90,14904
16-May-13,16.88,16.90,16.71,16.86,3303
15-May-13,16.97,16.97,16.69,16.84,4322
14-May-13,16.89,16.95,16.75,16.95,5475
13-May-13,16.84,16.85,16.62,16.85,6560
10-May-13,17.09,17.09,16.66,16.90,7578
9-May-13,16.90,16.90,16.36,16.75,13278
8-May-13,16.75,16.90,16.75,16.89,36840
7-May-13,16.80,16.97,16.70,16.85,16079
6-May-13,16.88,16.89,16.52,16.74,6231
3-May-13,16.69,16.90,16.65,16.75,18197
2-May-13,16.10,16.57,16.10,16.55,4813
1-May-13,16.41,16.48,16.01,16.02,11385
30-Apr-13,16.33,16.33,16.28,16.32,1180
29-Apr-13,16.45,16.59,15.92,16.31,9116
26-Apr-13,16.59,16.60,16.35,16.58,2470
25-Apr-13,16.88,16.90,16.38,16.59,27932
24-Apr-13,16.68,17.01,16.60,16.80,24713
23-Apr-13,16.68,16.75,16.60,16.67,3959
22-Apr-13,16.39,16.68,16.20,16.63,4714
19-Apr-13,15.76,16.39,15.76,16.39,11632
18-Apr-13,16.00,16.00,15.76,15.81,8465
17-Apr-13,16.32,16.46,15.78,16.00,57231
16-Apr-13,16.40,16.57,16.30,16.30,10838
15-Apr-13,16.86,16.86,16.25,16.25,10189
12-Apr-13,16.86,16.99,16.75,16.86,5676
11-Apr-13,16.94,17.16,16.81,16.96,5032
10-Apr-13,17.09,17.44,16.85,16.91,4150
9-Apr-13,16.90,17.07,16.85,16.89,6301
8-Apr-13,16.89,17.10,16.80,16.82,3318
5-Apr-13,17.10,17.35,16.41,16.64,4233
4-Apr-13,17.21,17.43,17.18,17.24,4748
3-Apr-13,17.43,17.90,17.10,17.10,7765
2-Apr-13,18.01,18.03,17.51,17.66,2366
1-Apr-13,17.96,18.07,17.75,17.97,13079
28-Mar-13,17.97,18.14,17.86,17.94,9469
27-Mar-13,17.80,18.05,17.78,17.92,2017
26-Mar-13,17.95,18.00,17.72,17.85,1820
25-Mar-13,17.80,17.89,17.69,17.85,5813
22-Mar-13,17.45,17.98,17.40,17.95,14337
21-Mar-13,17.40,17.60,17.40,17.45,3140
20-Mar-13,17.69,17.79,17.51,17.60,5997
19-Mar-13,17.53,17.71,17.52,17.60,4385
