Date, Open, High, Low, Close, Volume
17-May-13,2.66,2.70,2.60,2.62,261690
16-May-13,2.67,2.76,2.60,2.71,190174
15-May-13,2.72,2.76,2.62,2.72,426226
14-May-13,2.78,2.82,2.74,2.75,234656
13-May-13,2.76,2.86,2.76,2.84,225358
10-May-13,2.82,2.83,2.72,2.80,267058
9-May-13,2.86,2.96,2.80,2.81,322620
8-May-13,2.85,2.94,2.84,2.86,222813
7-May-13,2.94,2.95,2.80,2.82,262950
6-May-13,3.07,3.11,2.96,2.99,150977
3-May-13,3.05,3.16,3.04,3.06,216676
2-May-13,3.04,3.08,2.96,3.04,193132
1-May-13,3.00,3.08,2.88,3.03,277394
30-Apr-13,3.14,3.17,3.03,3.16,225766
29-Apr-13,3.09,3.18,3.05,3.17,225774
26-Apr-13,3.16,3.20,2.98,3.02,286063
25-Apr-13,3.15,3.26,3.06,3.11,413101
24-Apr-13,2.80,3.00,2.78,3.00,275622
23-Apr-13,2.83,2.85,2.66,2.74,310692
22-Apr-13,3.00,3.01,2.80,2.86,266278
19-Apr-13,2.92,3.00,2.78,2.96,294019
18-Apr-13,2.77,2.87,2.61,2.85,491398
17-Apr-13,3.05,3.06,2.61,2.61,872113
16-Apr-13,3.26,3.36,3.03,3.07,601471
15-Apr-13,3.32,3.34,3.04,3.05,883170
12-Apr-13,3.74,3.78,3.52,3.57,529710
11-Apr-13,3.92,3.98,3.83,3.86,126045
10-Apr-13,4.01,4.01,3.80,3.88,232916
9-Apr-13,3.93,4.12,3.93,4.05,203743
8-Apr-13,3.98,4.00,3.84,3.87,143231
5-Apr-13,3.96,4.01,3.82,3.95,248490
4-Apr-13,3.77,3.93,3.64,3.91,456016
3-Apr-13,4.00,4.02,3.62,3.79,551227
2-Apr-13,4.08,4.08,3.92,3.98,305997
1-Apr-13,4.30,4.31,4.08,4.13,210922
28-Mar-13,4.36,4.37,4.25,4.30,136299
27-Mar-13,4.27,4.38,4.27,4.36,103320
26-Mar-13,4.20,4.33,4.19,4.32,205929
