Date, Open, High, Low, Close, Volume
17-May-13,14.03,14.29,14.02,14.29,1671431
16-May-13,14.10,14.20,13.97,14.07,790878
15-May-13,13.83,14.18,13.83,14.18,747808
14-May-13,13.91,14.20,13.89,14.19,1360156
13-May-13,13.86,14.10,13.86,14.06,705673
10-May-13,13.84,14.13,13.62,14.05,6774213
9-May-13,14.50,14.90,14.50,14.56,530636
8-May-13,14.47,14.70,14.38,14.58,1448879
7-May-13,14.79,14.79,14.46,14.47,508523
6-May-13,14.91,14.95,14.75,14.77,282304
3-May-13,14.91,14.97,14.80,14.85,267244
2-May-13,14.74,14.88,14.68,14.74,194602
1-May-13,15.12,15.23,14.63,14.72,452697
30-Apr-13,14.47,15.27,14.47,15.27,415631
29-Apr-13,14.70,14.82,14.63,14.75,283324
26-Apr-13,14.77,14.85,14.64,14.64,178912
25-Apr-13,14.88,14.88,14.67,14.78,170517
24-Apr-13,14.87,14.89,14.70,14.89,104991
23-Apr-13,14.87,15.02,14.81,14.98,240245
22-Apr-13,14.91,14.93,14.59,14.77,161098
19-Apr-13,14.78,14.97,14.72,14.86,232591
18-Apr-13,14.74,14.80,14.59,14.75,163915
17-Apr-13,14.68,14.78,14.54,14.74,358319
16-Apr-13,14.39,14.84,14.34,14.77,269419
15-Apr-13,14.92,14.99,14.26,14.35,371652
12-Apr-13,14.98,15.13,14.90,15.00,176626
11-Apr-13,15.00,15.07,14.95,15.00,230518
10-Apr-13,14.80,15.00,14.74,15.00,165549
9-Apr-13,14.88,14.96,14.76,14.80,223360
8-Apr-13,14.72,14.85,14.57,14.85,179195
5-Apr-13,14.59,14.79,14.46,14.69,156023
4-Apr-13,14.46,14.80,14.46,14.80,162248
3-Apr-13,14.77,14.78,14.41,14.48,266526
2-Apr-13,14.65,14.78,14.65,14.72,189596
1-Apr-13,14.70,14.71,14.44,14.59,235038
28-Mar-13,14.60,14.70,14.50,14.62,217997
27-Mar-13,14.72,14.80,14.49,14.54,288572
26-Mar-13,14.63,14.76,14.59,14.76,203098
25-Mar-13,14.40,14.62,14.32,14.57,190930
22-Mar-13,14.20,14.39,14.15,14.34,165660
21-Mar-13,14.29,14.38,14.22,14.22,181397
20-Mar-13,14.09,14.34,14.09,14.34,145877
19-Mar-13,14.27,14.30,14.07,14.20,154064
18-Mar-13,14.19,14.32,14.07,14.24,238832
15-Mar-13,14.12,14.25,14.02,14.17,587206
14-Mar-13,13.98,14.15,13.95,14.14,155103
13-Mar-13,14.02,14.03,13.92,13.98,99253
12-Mar-13,14.07,14.15,13.95,14.00,136020
11-Mar-13,14.08,14.13,14.00,14.12,171357
8-Mar-13,14.14,14.24,14.07,14.09,222477
7-Mar-13,14.00,14.08,13.93,14.08,248333
6-Mar-13,14.20,14.20,13.90,13.96,209400
