Date, Open, High, Low, Close, Volume
17-May-13,56.65,57.57,56.65,57.54,1539456
16-May-13,56.35,56.88,56.04,56.18,1285037
15-May-13,56.25,56.62,55.75,56.36,1161262
14-May-13,56.09,56.82,56.09,56.55,975808
13-May-13,55.91,56.32,55.62,56.07,1049100
10-May-13,56.06,56.20,55.39,56.00,1175374
9-May-13,56.08,56.78,56.00,56.28,1324237
8-May-13,56.58,56.70,55.85,56.24,1470405
7-May-13,55.92,56.82,55.89,56.63,1116994
6-May-13,55.43,56.04,55.20,55.68,1189817
3-May-13,54.56,56.00,54.56,55.41,1787940
2-May-13,53.79,54.44,53.45,54.17,1249448
1-May-13,53.74,54.10,53.18,53.76,1138926
30-Apr-13,53.06,54.31,52.88,54.30,2271576
29-Apr-13,53.29,53.58,52.74,53.12,1604098
26-Apr-13,53.11,53.39,52.63,52.89,1362684
25-Apr-13,53.33,54.07,52.58,53.41,2295654
24-Apr-13,51.49,54.54,51.13,53.31,4150695
23-Apr-13,50.59,51.71,50.40,51.70,3049054
22-Apr-13,49.58,50.65,49.31,50.56,1606618
19-Apr-13,49.57,49.87,48.51,49.22,1914901
18-Apr-13,49.38,50.38,48.59,49.48,3702922
17-Apr-13,49.62,49.72,47.92,48.50,2749620
16-Apr-13,50.00,50.19,49.33,50.00,3371723
15-Apr-13,52.48,52.52,49.45,49.45,3527217
12-Apr-13,54.55,54.78,52.68,52.80,2173759
11-Apr-13,54.61,55.49,54.17,55.05,2033043
10-Apr-13,53.49,55.32,53.49,55.27,1886172
9-Apr-13,53.05,53.69,52.80,53.46,1452018
8-Apr-13,51.88,52.95,51.87,52.78,1485947
5-Apr-13,51.33,52.37,50.98,51.68,1893109
4-Apr-13,51.97,52.55,51.43,51.80,970484
3-Apr-13,53.80,53.89,51.62,51.96,2010489
2-Apr-13,54.14,54.31,53.59,53.82,1425458
1-Apr-13,54.59,54.81,53.53,53.91,1526439
28-Mar-13,54.09,54.52,53.87,54.39,1231284
27-Mar-13,52.91,54.42,52.68,54.08,1751323
26-Mar-13,52.70,53.66,52.69,53.59,920222
25-Mar-13,52.70,53.20,52.40,52.57,1645233
22-Mar-13,52.01,52.63,51.62,52.39,1340234
21-Mar-13,52.15,52.32,51.46,51.95,2450958
20-Mar-13,51.32,52.76,51.30,52.50,1977647
19-Mar-13,51.77,51.84,50.25,51.00,1918739
18-Mar-13,51.78,52.19,51.47,51.69,1528487
15-Mar-13,52.24,52.84,52.07,52.59,2281507
14-Mar-13,51.88,52.58,51.88,52.40,1570928
13-Mar-13,51.71,52.00,51.32,51.86,1049423
12-Mar-13,51.70,51.96,51.11,51.64,885907
11-Mar-13,51.48,51.86,51.14,51.72,1214162
8-Mar-13,51.11,51.68,50.91,51.55,1116264
7-Mar-13,51.11,51.28,50.63,50.84,1318913
6-Mar-13,51.50,51.56,50.57,50.96,1327699
5-Mar-13,51.34,51.58,50.94,51.32,1750913
4-Mar-13,51.24,51.85,50.53,50.80,2376888
1-Mar-13,51.74,51.84,50.86,51.50,1830665
28-Feb-13,52.00,52.30,51.45,51.91,1835048
27-Feb-13,50.60,52.21,50.60,51.98,1792482
26-Feb-13,50.81,51.31,50.38,50.93,2381442
25-Feb-13,52.00,52.38,50.50,50.50,2395297
22-Feb-13,51.57,52.03,51.43,51.87,2557362
21-Feb-13,51.08,51.25,50.25,50.96,3161704
20-Feb-13,52.94,53.12,51.35,51.45,2730672
19-Feb-13,52.02,53.18,51.83,53.05,2834550
15-Feb-13,52.01,52.26,50.86,51.80,2757273
14-Feb-13,50.09,51.56,49.25,51.52,3298810
13-Feb-13,49.12,51.59,49.12,50.46,4385073
12-Feb-13,48.54,48.72,47.98,48.06,3852185
11-Feb-13,48.44,48.75,48.26,48.33,1864248
8-Feb-13,48.07,48.67,48.06,48.62,1552466
7-Feb-13,48.18,48.41,47.82,48.01,1757070
6-Feb-13,47.54,48.18,47.51,48.13,1792776
5-Feb-13,47.72,48.19,47.49,48.11,2203905
4-Feb-13,47.41,47.84,47.25,47.49,1085124
1-Feb-13,47.42,48.05,47.25,47.84,2300516
31-Jan-13,46.08,47.65,45.96,47.35,2447491
30-Jan-13,47.14,47.41,46.35,46.35,2444674
29-Jan-13,46.89,47.15,46.54,47.11,1170489
28-Jan-13,47.06,47.17,46.51,46.85,1120459
25-Jan-13,46.89,47.50,46.58,46.80,2040342
24-Jan-13,46.69,47.17,46.44,46.52,1856914
23-Jan-13,46.63,46.88,46.16,46.51,1527823
22-Jan-13,46.01,46.84,45.92,46.76,2087939
18-Jan-13,45.86,46.01,45.47,45.99,1420621
17-Jan-13,46.13,46.28,45.12,45.56,2742849
16-Jan-13,45.95,46.41,45.68,46.10,4106137
15-Jan-13,44.51,46.04,44.37,46.00,5112728
14-Jan-13,44.44,45.03,43.98,44.12,1320312
11-Jan-13,44.61,45.01,44.08,44.30,821707
10-Jan-13,44.01,44.71,44.00,44.43,1985536
9-Jan-13,43.03,43.72,42.96,43.70,1216847
8-Jan-13,43.45,43.88,42.85,42.97,1702358
7-Jan-13,43.69,43.86,43.28,43.69,1630401
4-Jan-13,43.20,43.92,43.04,43.64,1164167
3-Jan-13,43.44,43.97,42.96,43.11,1681756
2-Jan-13,43.75,43.80,42.04,43.50,3050029
31-Dec-12,40.72,42.87,40.67,42.83,1957745
28-Dec-12,40.83,41.17,40.48,40.81,888857
27-Dec-12,41.14,41.26,40.39,41.18,1132796
26-Dec-12,41.66,42.00,41.14,41.16,930110
24-Dec-12,41.74,41.91,41.15,41.48,443931
21-Dec-12,41.87,42.03,41.53,41.71,2068212
20-Dec-12,41.97,42.61,41.69,42.34,1477278
19-Dec-12,42.44,42.75,41.96,41.97,1881188
18-Dec-12,40.67,42.36,40.61,42.28,1692363
17-Dec-12,40.80,40.83,40.24,40.72,1910641
14-Dec-12,41.36,41.65,40.47,40.60,1980122
13-Dec-12,42.23,42.47,41.55,41.73,2130536
12-Dec-12,42.27,42.60,42.21,42.34,1636220
11-Dec-12,42.06,42.32,41.97,42.12,1680890
10-Dec-12,41.88,42.15,41.74,41.96,1612622
7-Dec-12,41.86,42.17,41.67,42.15,1258997
6-Dec-12,41.35,41.53,41.06,41.45,660983
5-Dec-12,41.42,41.91,41.09,41.45,817588
4-Dec-12,41.13,41.66,40.93,41.12,1699052
3-Dec-12,41.16,41.56,41.01,41.14,1770164
30-Nov-12,41.29,41.32,40.62,40.86,2383165
29-Nov-12,41.55,41.71,41.08,41.20,1026484
28-Nov-12,40.68,41.28,40.32,41.28,1036012
27-Nov-12,41.06,41.24,40.68,40.86,921525
26-Nov-12,41.31,41.89,41.03,41.26,1679247
23-Nov-12,41.29,41.76,41.03,41.75,336049
21-Nov-12,40.93,41.11,40.46,41.00,852826
20-Nov-12,41.20,41.41,40.56,40.88,1243802
19-Nov-12,40.98,41.37,40.87,41.37,1283721
16-Nov-12,40.27,40.32,39.44,40.20,2078800
15-Nov-12,40.52,40.52,39.64,40.20,4251297
14-Nov-12,40.98,41.16,40.54,40.65,2147797
