Date, Open, High, Low, Close, Volume
17-May-13,16.55,16.55,16.55,16.55,187
16-May-13,-,-,-,16.70,0
15-May-13,16.70,16.75,16.70,16.70,420
14-May-13,16.65,16.65,16.61,16.61,400
13-May-13,16.63,16.63,16.58,16.60,500
10-May-13,16.60,16.60,16.60,16.60,180
9-May-13,16.56,16.56,16.56,16.56,300
8-May-13,16.62,16.62,16.62,16.62,200
7-May-13,16.64,16.64,16.64,16.64,200
6-May-13,16.81,16.98,16.81,16.98,397
3-May-13,16.59,16.59,16.59,16.59,100
2-May-13,-,-,-,17.19,0
1-May-13,17.19,17.19,17.19,17.19,300
30-Apr-13,-,-,-,17.27,0
29-Apr-13,17.26,17.27,17.26,17.27,400
26-Apr-13,-,-,-,16.51,0
25-Apr-13,16.79,16.79,16.50,16.51,500
24-Apr-13,-,-,-,16.47,0
23-Apr-13,16.47,16.47,16.47,16.47,108
22-Apr-13,16.40,17.20,16.40,16.45,732
19-Apr-13,16.51,16.51,16.51,16.51,104
18-Apr-13,16.90,16.95,16.90,16.95,728
17-Apr-13,16.95,16.95,16.70,16.85,1778
16-Apr-13,16.79,16.79,16.79,16.79,200
15-Apr-13,16.93,16.93,16.76,16.80,600
12-Apr-13,16.65,16.65,16.59,16.59,380
11-Apr-13,16.47,16.47,16.44,16.44,375
10-Apr-13,16.22,16.44,16.22,16.42,25900
9-Apr-13,16.30,16.33,16.30,16.31,2150
8-Apr-13,16.31,16.36,16.25,16.36,9400
5-Apr-13,16.25,16.25,16.25,16.25,500
4-Apr-13,16.31,16.40,16.22,16.22,1603
3-Apr-13,-,-,-,16.48,0
2-Apr-13,-,-,-,16.48,0
1-Apr-13,-,-,-,16.48,0
28-Mar-13,-,-,-,16.48,0
27-Mar-13,16.46,16.48,16.46,16.48,602
26-Mar-13,-,-,-,16.05,0
25-Mar-13,16.05,16.05,16.05,16.05,340
22-Mar-13,16.50,16.50,16.05,16.05,1354
21-Mar-13,16.95,16.95,16.95,16.95,400
20-Mar-13,16.95,16.95,16.95,16.95,304
19-Mar-13,-,-,-,16.95,0
18-Mar-13,-,-,-,16.95,0
14-Mar-13,16.95,16.95,16.95,16.95,110
13-Mar-13,17.05,17.05,16.30,16.30,1188
12-Mar-13,17.05,17.05,17.05,17.05,100
11-Mar-13,-,-,-,16.01,0
8-Mar-13,-,-,-,16.01,0
7-Mar-13,16.01,16.01,16.01,16.01,129
6-Mar-13,-,-,-,17.36,0
5-Mar-13,-,-,-,17.36,0
4-Mar-13,17.40,17.40,16.75,17.36,698
1-Mar-13,-,-,-,16.70,0
28-Feb-13,-,-,-,16.70,0
27-Feb-13,16.04,16.86,16.04,16.70,800
26-Feb-13,16.05,16.05,16.05,16.05,100
25-Feb-13,16.01,16.83,16.01,16.83,1300
22-Feb-13,16.14,16.14,16.01,16.01,200
21-Feb-13,16.00,16.00,16.00,16.00,273
20-Feb-13,-,-,-,16.47,0
19-Feb-13,16.50,16.50,16.47,16.47,400
15-Feb-13,-,-,-,16.50,0
14-Feb-13,15.78,16.50,15.78,16.50,408
13-Feb-13,15.83,15.83,15.83,15.83,200
12-Feb-13,15.84,15.84,15.84,15.84,100
11-Feb-13,15.90,15.90,15.87,15.90,2400
8-Feb-13,-,-,-,15.87,0
7-Feb-13,-,-,-,15.87,0
6-Feb-13,15.87,15.87,15.87,15.87,200
5-Feb-13,15.52,15.52,15.52,15.52,300
4-Feb-13,14.75,14.75,14.75,14.75,0
31-Jan-13,15.70,15.70,15.52,15.61,400
30-Jan-13,15.60,15.60,15.60,15.60,0
29-Jan-13,15.60,15.70,15.60,15.70,200
28-Jan-13,15.60,15.60,15.60,15.60,300
24-Jan-13,15.56,15.77,15.55,15.59,500
23-Jan-13,15.00,15.00,15.00,15.00,0
22-Jan-13,15.30,15.87,15.25,15.50,1438
18-Jan-13,15.00,15.00,15.00,15.00,0
17-Jan-13,-,-,-,15.25,0
16-Jan-13,14.90,14.90,14.90,14.90,0
