Date, Open, High, Low, Close, Volume
17-May-13,26.58,26.64,26.14,26.60,20167
16-May-13,26.46,26.51,26.05,26.40,18108
15-May-13,26.71,26.93,26.26,26.30,15339
14-May-13,27.01,27.05,26.75,26.76,14955
13-May-13,27.24,27.31,26.86,26.86,18447
10-May-13,27.22,27.25,26.76,27.25,12292
9-May-13,27.01,27.11,26.79,26.91,22023
8-May-13,27.23,27.35,27.00,27.02,20680
7-May-13,27.39,27.46,27.17,27.19,7730
6-May-13,27.38,27.47,27.35,27.46,10153
3-May-13,27.38,27.56,27.29,27.32,6262
2-May-13,27.27,27.38,27.16,27.38,10257
1-May-13,27.39,27.39,27.15,27.20,8386
30-Apr-13,27.30,27.40,27.25,27.39,9782
29-Apr-13,27.23,27.30,27.15,27.27,6851
26-Apr-13,27.41,27.43,27.19,27.21,8515
25-Apr-13,27.02,27.45,27.02,27.43,8041
24-Apr-13,27.31,27.38,27.20,27.30,8325
23-Apr-13,27.45,27.45,27.08,27.15,21374
22-Apr-13,27.37,27.43,27.22,27.38,8287
19-Apr-13,27.22,27.44,27.22,27.29,3555
18-Apr-13,27.34,27.47,27.21,27.21,10846
17-Apr-13,27.21,27.43,27.21,27.43,5545
16-Apr-13,27.53,27.65,27.24,27.24,16412
15-Apr-13,27.54,27.58,27.26,27.26,10444
12-Apr-13,27.50,27.86,27.50,27.54,10321
11-Apr-13,28.01,28.25,28.01,28.25,8805
10-Apr-13,28.10,28.21,28.01,28.03,7693
9-Apr-13,28.19,28.23,28.10,28.10,10710
8-Apr-13,27.98,28.16,27.91,28.03,14590
5-Apr-13,27.99,27.99,27.83,27.90,8323
4-Apr-13,27.98,27.98,27.75,27.94,18334
3-Apr-13,27.99,27.99,27.76,27.92,14961
2-Apr-13,27.98,27.98,27.92,27.98,4739
1-Apr-13,27.99,27.99,27.92,27.98,9872
28-Mar-13,27.95,27.99,27.90,27.94,8453
27-Mar-13,27.84,27.94,27.79,27.94,11625
26-Mar-13,27.84,27.95,27.66,27.85,26255
25-Mar-13,27.96,28.00,27.69,27.79,19057
22-Mar-13,27.85,27.92,27.61,27.91,11032
21-Mar-13,27.96,27.96,27.60,27.82,7714
20-Mar-13,27.66,27.92,27.56,27.85,13689
19-Mar-13,27.80,27.97,27.61,27.65,8070
18-Mar-13,27.61,28.00,27.55,27.56,11140
15-Mar-13,28.00,28.00,27.66,27.79,8794
14-Mar-13,27.98,27.98,27.69,27.80,8112
13-Mar-13,27.82,27.97,27.55,27.84,8274
12-Mar-13,27.70,27.85,27.55,27.57,7898
11-Mar-13,27.51,27.70,27.51,27.70,10129
8-Mar-13,27.46,27.62,27.42,27.54,8489
7-Mar-13,27.68,27.68,27.44,27.44,6740
6-Mar-13,27.59,27.69,27.41,27.57,15608
5-Mar-13,27.34,27.55,27.25,27.55,11934
4-Mar-13,27.45,27.45,27.25,27.29,9785
1-Mar-13,27.35,27.57,27.18,27.28,16527
28-Feb-13,27.57,27.68,27.39,27.42,16215
27-Feb-13,27.60,27.72,27.32,27.40,8034
26-Feb-13,27.46,27.63,27.31,27.47,6269
25-Feb-13,27.29,27.85,27.29,27.40,12646
22-Feb-13,27.33,27.33,27.15,27.29,2471
21-Feb-13,27.13,27.28,27.11,27.14,4142
20-Feb-13,27.22,27.35,27.00,27.33,11248
19-Feb-13,27.28,27.39,27.09,27.09,19343
15-Feb-13,27.36,27.36,27.10,27.28,10202
14-Feb-13,27.37,27.37,27.07,27.20,4905
13-Feb-13,27.22,27.38,27.20,27.37,8620
12-Feb-13,27.35,27.38,27.20,27.33,8588
11-Feb-13,27.27,27.38,27.20,27.30,11873
8-Feb-13,27.12,27.32,26.86,27.26,11905
7-Feb-13,27.02,27.13,26.90,26.92,14799
6-Feb-13,27.20,27.25,27.00,27.00,22340
5-Feb-13,27.29,27.30,27.06,27.30,18859
4-Feb-13,27.20,27.36,27.01,27.13,29256
1-Feb-13,27.25,27.25,26.97,26.97,9447
31-Jan-13,26.92,27.32,26.88,27.03,24971
30-Jan-13,26.84,27.05,26.81,27.02,37808
29-Jan-13,26.81,27.28,26.81,26.88,8493
28-Jan-13,27.30,27.39,26.65,26.81,32457
25-Jan-13,27.19,27.39,27.19,27.37,12081
24-Jan-13,27.59,27.72,27.25,27.25,21289
23-Jan-13,27.52,27.85,27.31,27.48,27189
22-Jan-13,27.97,27.97,27.45,27.57,29269
18-Jan-13,27.93,28.04,27.73,27.96,14180
17-Jan-13,27.98,28.27,27.98,28.00,9615
16-Jan-13,28.13,28.23,27.98,27.98,9652
15-Jan-13,28.13,28.42,28.13,28.29,12111
14-Jan-13,28.75,28.96,28.68,28.78,35149
11-Jan-13,28.66,28.86,28.50,28.86,13420
10-Jan-13,29.03,29.40,28.66,28.66,33669
9-Jan-13,29.40,29.40,28.84,28.90,25860
8-Jan-13,29.29,29.49,29.10,29.29,15175
7-Jan-13,28.90,29.16,28.66,29.12,20319
4-Jan-13,28.75,29.00,28.66,28.79,31487
3-Jan-13,28.31,28.86,28.31,28.75,15547
2-Jan-13,28.60,28.68,28.23,28.68,10452
31-Dec-12,28.60,28.60,28.11,28.49,9631
28-Dec-12,28.40,28.42,27.80,27.92,32386
27-Dec-12,28.40,28.54,28.05,28.49,9699
26-Dec-12,28.10,28.47,28.03,28.44,9292
24-Dec-12,28.17,28.50,28.02,28.17,3480
21-Dec-12,28.00,28.48,27.77,28.47,6169
20-Dec-12,27.64,28.36,27.58,28.28,5958
19-Dec-12,28.00,28.00,27.56,27.76,9134
18-Dec-12,27.81,28.46,27.69,27.88,13558
17-Dec-12,28.36,28.38,27.78,27.79,12860
14-Dec-12,28.24,28.48,27.93,28.38,16242
13-Dec-12,28.25,28.52,28.24,28.48,10124
12-Dec-12,28.22,28.46,28.22,28.25,5813
11-Dec-12,28.42,28.52,28.13,28.16,6525
10-Dec-12,28.40,28.60,28.02,28.02,9103
7-Dec-12,28.54,28.54,28.05,28.54,7246
6-Dec-12,28.35,28.54,28.34,28.54,7124
5-Dec-12,28.16,28.60,27.92,28.40,13203
4-Dec-12,28.10,28.20,27.90,28.01,8986
3-Dec-12,27.77,28.00,27.36,28.00,16528
30-Nov-12,27.59,27.65,27.27,27.65,9992
29-Nov-12,27.44,27.59,27.34,27.50,13866
28-Nov-12,27.42,27.69,27.40,27.42,5380
27-Nov-12,27.48,27.90,27.15,27.56,35446
26-Nov-12,27.45,27.45,27.11,27.32,15426
23-Nov-12,27.40,27.52,26.94,27.01,11872
21-Nov-12,27.36,27.38,26.80,27.37,51815
20-Nov-12,27.75,27.95,27.30,27.33,24235
19-Nov-12,27.76,28.20,27.44,27.62,9115
16-Nov-12,27.30,27.88,27.30,27.84,11208
15-Nov-12,27.51,27.55,27.23,27.24,12456
14-Nov-12,28.32,28.32,27.50,27.61,17905
13-Nov-12,28.41,28.47,28.13,28.38,11795
12-Nov-12,28.40,28.55,28.35,28.39,10420
9-Nov-12,28.72,28.72,28.50,28.50,5057
8-Nov-12,28.26,28.72,28.26,28.72,11084
7-Nov-12,28.69,28.69,28.07,28.51,8370
6-Nov-12,28.45,28.75,28.41,28.54,7875
5-Nov-12,28.68,28.69,28.14,28.25,13346
2-Nov-12,28.74,28.75,28.55,28.70,6851
1-Nov-12,28.71,28.86,28.43,28.80,11358
31-Oct-12,28.56,28.91,28.32,28.82,15125
26-Oct-12,28.57,28.68,28.18,28.53,5298
25-Oct-12,28.60,28.66,28.22,28.60,15513
24-Oct-12,28.94,28.94,28.55,28.57,9957
23-Oct-12,28.75,28.95,28.74,28.95,12417
22-Oct-12,28.50,28.89,28.50,28.74,15998
19-Oct-12,28.84,28.84,28.50,28.50,12130
18-Oct-12,28.80,28.98,28.65,28.83,10731
17-Oct-12,28.70,28.83,28.31,28.82,9073
16-Oct-12,28.78,28.78,28.43,28.70,9392
15-Oct-12,28.45,28.83,28.17,28.40,10817
12-Oct-12,28.91,28.97,28.68,28.86,13633
11-Oct-12,28.57,28.94,28.57,28.85,7267
10-Oct-12,28.99,29.10,28.51,28.51,13747
9-Oct-12,28.90,28.90,28.75,28.85,7314
8-Oct-12,29.30,29.30,28.25,28.61,29444
5-Oct-12,29.16,29.75,28.76,29.33,55932
4-Oct-12,28.71,29.01,28.64,29.01,15427
3-Oct-12,28.32,28.79,28.25,28.60,23424
2-Oct-12,28.14,28.29,28.06,28.23,5542
1-Oct-12,28.50,28.50,28.00,28.29,40546
28-Sep-12,28.10,28.44,28.10,28.42,27236
27-Sep-12,28.13,28.26,27.96,28.09,25555
26-Sep-12,28.14,28.19,27.96,28.19,16234
25-Sep-12,28.29,28.29,27.85,28.04,27671
24-Sep-12,27.99,28.27,27.81,28.17,30477
21-Sep-12,27.89,27.89,27.70,27.81,16662
20-Sep-12,27.94,27.94,27.71,27.88,19963
19-Sep-12,27.80,27.93,27.62,27.81,29716
18-Sep-12,27.64,27.92,27.53,27.87,19445
17-Sep-12,27.80,27.80,27.16,27.53,48218
14-Sep-12,28.52,28.52,27.47,27.85,40158
13-Sep-12,28.45,28.60,28.20,28.45,32780
12-Sep-12,28.65,28.67,28.25,28.45,21643
11-Sep-12,28.76,28.91,28.51,28.60,23947
10-Sep-12,28.95,29.04,28.71,28.94,15520
7-Sep-12,29.10,29.23,28.71,28.80,24848
6-Sep-12,29.12,29.44,29.01,29.15,14700
5-Sep-12,29.26,29.47,29.02,29.16,15432
4-Sep-12,29.18,29.48,29.08,29.23,9913
31-Aug-12,29.76,29.78,29.01,29.28,10300
30-Aug-12,29.95,29.95,29.47,29.55,8851
29-Aug-12,30.00,30.01,29.50,29.50,12180
28-Aug-12,30.06,30.08,29.71,30.08,6629
27-Aug-12,29.75,30.36,29.52,30.20,13211
