Date, Open, High, Low, Close, Volume
17-May-13,75.20,75.25,75.17,75.20,302838
16-May-13,75.17,75.24,75.12,75.15,321677
15-May-13,75.13,75.23,75.10,75.18,275203
14-May-13,75.27,75.28,75.17,75.17,306953
13-May-13,75.18,75.31,75.15,75.31,350888
10-May-13,75.22,75.33,75.16,75.18,239337
9-May-13,75.35,75.36,75.16,75.26,292245
8-May-13,75.35,75.40,75.28,75.40,331935
7-May-13,75.24,75.40,75.20,75.33,520518
6-May-13,75.11,75.26,75.01,75.26,732638
3-May-13,75.02,75.24,74.91,75.13,1082612
2-May-13,74.96,74.99,74.92,74.93,595465
1-May-13,75.03,75.04,74.96,74.96,742722
30-Apr-13,74.96,75.09,74.94,75.09,448051
29-Apr-13,75.01,75.05,74.92,74.94,495245
26-Apr-13,74.97,75.13,74.90,74.92,1005802
25-Apr-13,75.05,75.11,74.90,74.95,954134
24-Apr-13,75.08,75.25,74.96,74.98,698944
23-Apr-13,75.07,75.11,74.99,75.08,962977
22-Apr-13,75.01,75.07,75.00,75.01,921043
19-Apr-13,75.01,75.03,74.96,74.98,739190
18-Apr-13,74.97,75.05,74.86,75.00,1238139
17-Apr-13,75.04,75.07,74.95,74.95,1627027
16-Apr-13,75.05,75.17,74.99,75.08,1497700
15-Apr-13,75.10,75.12,74.94,74.98,1756687
12-Apr-13,75.09,75.14,75.06,75.06,1031703
11-Apr-13,75.09,75.29,75.05,75.15,891773
10-Apr-13,75.07,75.10,75.02,75.10,1014177
9-Apr-13,75.06,75.08,75.01,75.02,765730
8-Apr-13,75.04,75.06,74.96,75.05,840623
5-Apr-13,75.03,75.10,74.98,75.02,1056300
4-Apr-13,75.08,75.10,75.02,75.02,1025539
3-Apr-13,75.02,75.12,75.00,75.10,1472687
2-Apr-13,75.13,75.14,74.98,75.04,1150167
1-Apr-13,75.10,75.14,75.06,75.09,1061052
28-Mar-13,75.14,75.19,75.06,75.11,708157
27-Mar-13,75.02,75.15,75.01,75.10,1480315
26-Mar-13,75.04,75.10,74.98,75.10,1260658
25-Mar-13,74.96,75.04,74.96,75.03,1389936
22-Mar-13,74.92,75.05,74.91,74.99,1124998
21-Mar-13,75.00,75.05,74.92,74.92,1647522
20-Mar-13,75.06,75.08,74.98,75.04,1482341
19-Mar-13,74.96,75.08,74.91,74.98,2016222
18-Mar-13,74.83,74.98,74.79,74.95,1338787
15-Mar-13,74.88,75.01,74.85,74.85,1607982
14-Mar-13,74.80,75.03,74.77,74.99,2248041
13-Mar-13,74.80,74.80,74.75,74.75,2076650
12-Mar-13,74.82,74.82,74.73,74.77,2541584
11-Mar-13,74.74,74.83,74.73,74.77,2643535
8-Mar-13,74.78,74.83,74.65,74.74,18889873
7-Mar-13,73.99,74.09,73.46,73.85,939531
6-Mar-13,74.11,74.28,73.86,73.98,1319027
5-Mar-13,74.41,74.75,73.72,74.03,1971357
4-Mar-13,70.74,73.68,69.54,73.62,2212900
1-Mar-13,70.08,71.20,69.23,71.03,737481
28-Feb-13,70.73,71.80,69.57,70.99,1142052
27-Feb-13,69.25,71.04,69.25,70.87,873645
26-Feb-13,69.30,70.16,69.08,69.75,722790
25-Feb-13,71.44,71.44,69.06,69.25,1859146
22-Feb-13,70.25,72.20,69.70,70.84,4196663
21-Feb-13,64.97,67.76,64.97,67.47,2641486
20-Feb-13,68.48,68.48,66.48,66.58,1641272
19-Feb-13,68.92,69.63,68.61,69.02,1706642
15-Feb-13,69.25,69.70,68.39,68.94,1432586
14-Feb-13,68.21,69.40,68.16,69.25,1018477
13-Feb-13,68.35,68.99,68.10,68.39,880843
12-Feb-13,68.65,68.65,67.98,68.28,1771055
11-Feb-13,70.94,71.67,68.36,68.83,3426803
8-Feb-13,70.00,70.63,69.64,70.47,361715
7-Feb-13,70.51,70.55,69.47,70.00,492175
6-Feb-13,70.00,71.00,70.00,70.52,262015
5-Feb-13,70.14,70.69,70.04,70.34,356768
4-Feb-13,70.08,70.59,69.70,69.84,713178
1-Feb-13,70.82,70.94,70.22,70.43,480765
31-Jan-13,70.26,70.60,69.85,70.37,650983
30-Jan-13,70.70,70.95,70.05,70.63,518870
29-Jan-13,70.01,70.70,69.85,70.63,503736
28-Jan-13,70.56,70.73,69.93,70.17,449221
25-Jan-13,70.58,71.00,70.30,70.63,513215
24-Jan-13,69.64,70.42,69.60,70.24,915892
23-Jan-13,69.50,70.08,69.39,69.75,741228
22-Jan-13,70.04,70.25,69.64,69.80,1380397
18-Jan-13,69.38,69.98,69.38,69.95,891157
17-Jan-13,69.34,69.90,68.98,69.42,1007400
16-Jan-13,69.43,69.55,68.82,68.91,765534
15-Jan-13,68.82,69.78,68.75,69.59,734123
14-Jan-13,69.33,69.80,68.85,68.91,611359
11-Jan-13,69.17,69.40,68.86,69.31,593960
10-Jan-13,69.02,69.37,68.75,69.18,1558265
9-Jan-13,68.65,69.06,68.40,68.64,858965
8-Jan-13,68.46,72.34,68.14,68.34,3087061
7-Jan-13,68.97,69.33,68.57,68.65,468174
4-Jan-13,69.30,69.37,68.86,69.19,642114
3-Jan-13,69.31,69.66,68.59,69.20,811183
2-Jan-13,69.76,69.94,68.91,69.40,1029758
31-Dec-12,68.08,68.57,67.91,68.50,717496
28-Dec-12,67.59,68.46,67.55,68.03,297439
27-Dec-12,67.86,68.32,67.75,68.21,588241
26-Dec-12,68.19,68.58,67.62,67.85,746414
24-Dec-12,67.51,68.50,67.22,68.13,723503
21-Dec-12,74.35,75.56,64.39,67.40,8788632
20-Dec-12,75.95,76.54,75.32,75.54,2220724
19-Dec-12,75.83,76.57,75.27,76.00,2077848
18-Dec-12,72.58,73.75,72.05,73.68,910078
17-Dec-12,73.27,73.59,71.92,72.15,965130
14-Dec-12,72.50,75.29,72.45,73.32,2151303
13-Dec-12,72.83,73.10,71.56,71.99,1610525
12-Dec-12,69.89,75.21,69.47,72.98,3298352
11-Dec-12,70.91,71.24,69.09,69.49,2483318
10-Dec-12,68.75,68.75,67.55,68.17,754522
7-Dec-12,69.50,70.00,68.85,68.92,295527
6-Dec-12,69.26,69.74,68.82,69.25,355809
5-Dec-12,69.64,70.05,69.30,69.50,486814
4-Dec-12,69.22,69.53,68.34,69.35,249984
3-Dec-12,70.17,70.28,68.75,69.22,398443
30-Nov-12,69.97,70.17,69.35,69.85,654079
29-Nov-12,69.60,70.16,68.76,69.89,736369
28-Nov-12,67.37,71.32,67.26,69.40,981395
27-Nov-12,68.53,69.00,67.51,67.80,495738
26-Nov-12,68.79,69.01,68.18,68.69,274302
23-Nov-12,68.63,69.01,67.21,69.00,118568
21-Nov-12,68.65,68.71,68.02,68.31,253474
20-Nov-12,68.71,69.00,67.81,68.57,441512
19-Nov-12,67.47,69.56,66.95,69.00,760587
16-Nov-12,69.61,70.05,67.23,68.40,1013772
15-Nov-12,68.84,70.06,68.77,69.58,406758
14-Nov-12,70.25,70.58,68.46,68.93,383253
13-Nov-12,70.29,71.18,70.09,70.12,135991
12-Nov-12,69.85,70.98,69.48,70.90,292164
9-Nov-12,69.59,70.84,69.28,69.96,455528
8-Nov-12,70.12,70.35,69.12,69.83,686730
7-Nov-12,72.15,72.69,70.37,70.52,848409
