Date, Open, High, Low, Close, Volume
17-May-13,2.67,2.98,2.60,2.85,161470
16-May-13,2.94,2.94,2.64,2.68,251725
15-May-13,2.46,3.10,2.43,3.00,540308
14-May-13,2.44,2.54,2.44,2.46,37728
13-May-13,2.45,2.52,2.40,2.40,76106
10-May-13,2.52,2.54,2.48,2.48,8119
9-May-13,2.50,2.51,2.45,2.48,19400
8-May-13,2.45,2.55,2.45,2.49,34785
7-May-13,2.49,2.55,2.45,2.45,53339
6-May-13,2.65,2.65,2.46,2.52,161558
3-May-13,2.61,3.05,2.55,2.65,1068726
2-May-13,2.31,2.31,2.25,2.25,52458
1-May-13,2.35,2.36,2.30,2.36,66896
30-Apr-13,2.35,2.42,2.35,2.36,16509
29-Apr-13,2.44,2.44,2.35,2.38,39188
26-Apr-13,2.41,2.46,2.40,2.46,13209
25-Apr-13,2.47,2.47,2.35,2.41,13455
24-Apr-13,2.37,2.46,2.35,2.45,18056
23-Apr-13,2.41,2.48,2.32,2.38,31580
22-Apr-13,2.50,2.50,2.35,2.44,45182
19-Apr-13,2.48,2.57,2.35,2.35,22894
18-Apr-13,2.41,2.49,2.40,2.42,15364
17-Apr-13,2.55,2.58,2.34,2.40,103376
16-Apr-13,2.83,2.83,2.45,2.52,259789
15-Apr-13,2.24,3.30,2.18,2.75,1804793
12-Apr-13,2.24,2.28,2.17,2.24,21749
11-Apr-13,2.22,2.36,2.17,2.22,23420
10-Apr-13,2.35,2.36,2.25,2.33,21836
9-Apr-13,2.34,2.38,2.30,2.37,11709
8-Apr-13,2.39,2.40,2.31,2.33,4125
5-Apr-13,2.24,2.41,2.24,2.40,29841
4-Apr-13,2.27,2.32,2.24,2.24,12164
3-Apr-13,2.30,2.35,2.25,2.28,12489
2-Apr-13,2.41,2.41,2.27,2.29,21292
1-Apr-13,2.40,2.43,2.38,2.38,5357
28-Mar-13,2.40,2.44,2.26,2.28,42086
27-Mar-13,2.40,2.43,2.36,2.38,5035
26-Mar-13,2.38,2.45,2.36,2.42,8414
25-Mar-13,2.40,2.45,2.40,2.43,7697
22-Mar-13,2.45,2.48,2.39,2.44,9083
21-Mar-13,2.44,2.48,2.36,2.46,18483
20-Mar-13,2.47,2.50,2.44,2.48,9635
19-Mar-13,2.41,2.49,2.38,2.42,9423
18-Mar-13,2.44,2.44,2.38,2.44,27390
15-Mar-13,2.46,2.54,2.43,2.46,33981
14-Mar-13,2.46,2.49,2.46,2.49,12279
13-Mar-13,2.50,2.51,2.46,2.49,11824
12-Mar-13,2.55,2.55,2.46,2.51,20517
11-Mar-13,2.54,2.54,2.46,2.51,15039
8-Mar-13,2.50,2.54,2.44,2.44,14518
7-Mar-13,2.48,2.55,2.41,2.51,24570
6-Mar-13,2.52,2.55,2.43,2.55,29805
5-Mar-13,2.48,2.56,2.46,2.53,25061
4-Mar-13,2.50,2.56,2.43,2.51,32642
1-Mar-13,2.42,2.56,2.41,2.42,24801
28-Feb-13,2.51,2.60,2.38,2.45,66719
27-Feb-13,2.60,2.61,2.48,2.50,31606
26-Feb-13,2.63,2.65,2.52,2.59,45324
