Date, Open, High, Low, Close, Volume
17-May-13,8.69,8.93,8.57,8.87,5326
16-May-13,8.50,8.85,8.50,8.83,8693
15-May-13,8.67,8.78,8.37,8.72,10881
14-May-13,8.40,8.70,8.40,8.67,17928
13-May-13,8.81,8.81,8.26,8.31,2093
10-May-13,7.93,8.18,7.91,8.04,2252
9-May-13,8.05,8.26,7.90,8.15,19477
8-May-13,8.10,8.28,8.09,8.13,2136
7-May-13,8.07,8.10,8.00,8.10,5441
6-May-13,8.23,8.23,7.89,7.89,2542
3-May-13,8.15,8.26,8.10,8.18,14183
2-May-13,8.03,8.40,7.93,8.19,12657
1-May-13,8.31,8.63,8.10,8.10,7107
30-Apr-13,8.59,8.59,8.21,8.21,1182
29-Apr-13,8.55,8.84,8.21,8.68,12430
26-Apr-13,8.55,9.00,8.29,8.48,48267
25-Apr-13,7.95,8.93,7.87,8.45,30507
24-Apr-13,7.60,8.04,7.60,8.03,137945
23-Apr-13,7.56,7.95,7.55,7.70,45803
22-Apr-13,7.54,7.77,7.26,7.57,90636
19-Apr-13,7.50,7.50,7.38,7.46,12800
18-Apr-13,7.70,7.70,7.37,7.37,18172
17-Apr-13,7.69,7.70,7.60,7.61,5197
16-Apr-13,7.71,7.95,7.71,7.75,16176
15-Apr-13,7.93,7.93,7.64,7.70,10265
12-Apr-13,7.91,7.96,7.87,7.89,29533
11-Apr-13,8.00,8.00,7.90,8.00,36216
10-Apr-13,8.08,8.15,7.97,8.00,103008
9-Apr-13,8.09,8.20,7.81,8.11,17853
8-Apr-13,8.08,8.10,7.92,8.00,16154
5-Apr-13,7.90,8.16,7.72,8.08,18854
4-Apr-13,8.30,8.34,7.99,8.03,18752
3-Apr-13,8.32,8.32,8.08,8.24,29328
2-Apr-13,8.23,8.48,8.19,8.28,28444
1-Apr-13,8.33,8.34,7.63,8.25,54569
28-Mar-13,8.66,8.66,8.20,8.24,7020
27-Mar-13,8.17,8.65,8.13,8.20,4780
26-Mar-13,8.19,8.34,8.12,8.19,3586
25-Mar-13,7.78,8.39,7.78,8.28,29952
22-Mar-13,7.69,8.00,7.56,7.74,35550
21-Mar-13,8.21,8.33,8.01,8.13,4266
20-Mar-13,8.23,8.32,8.11,8.11,1924
19-Mar-13,8.02,8.26,8.02,8.23,4766
18-Mar-13,8.23,8.31,7.92,8.09,79815
15-Mar-13,8.25,8.30,8.25,8.30,50413
14-Mar-13,8.30,8.37,8.08,8.24,40790
13-Mar-13,8.44,8.51,8.18,8.30,112335
12-Mar-13,8.37,8.53,8.30,8.37,4490
11-Mar-13,8.30,8.48,8.30,8.41,3541
8-Mar-13,8.15,8.38,7.87,8.30,32384
7-Mar-13,8.49,8.49,8.08,8.33,18005
6-Mar-13,8.47,8.51,8.25,8.34,7296
5-Mar-13,8.25,8.35,7.96,8.26,30861
4-Mar-13,7.83,8.19,7.83,8.19,30281
1-Mar-13,8.10,8.15,7.83,8.05,45600
28-Feb-13,8.09,8.36,7.97,8.34,37553
27-Feb-13,8.46,8.46,8.23,8.36,24681
26-Feb-13,8.51,8.62,7.96,8.55,88442
25-Feb-13,9.60,9.60,8.75,8.88,26839
22-Feb-13,9.23,9.94,8.70,9.61,129540
21-Feb-13,7.20,9.90,6.96,9.47,825806
20-Feb-13,11.99,12.02,11.93,11.93,36131
19-Feb-13,12.00,12.00,11.65,11.96,8767
15-Feb-13,11.93,12.16,11.71,12.12,9984
14-Feb-13,12.05,12.09,11.85,11.89,7735
13-Feb-13,12.19,12.20,11.89,12.04,5418
12-Feb-13,12.00,12.12,11.73,12.01,10795
11-Feb-13,12.26,12.26,11.85,11.99,23450
8-Feb-13,12.60,12.60,12.05,12.06,20883
7-Feb-13,12.29,12.84,12.15,12.25,49177
6-Feb-13,11.90,12.79,11.76,12.59,80214
5-Feb-13,11.71,12.04,11.65,11.80,58160
4-Feb-13,11.83,11.90,11.51,11.71,15574
1-Feb-13,12.00,12.00,11.72,11.99,21452
31-Jan-13,11.96,11.99,11.96,11.99,700
30-Jan-13,11.98,11.99,11.78,11.99,6345
29-Jan-13,11.71,11.80,11.68,11.78,17460
28-Jan-13,11.99,12.00,11.66,11.80,44950
25-Jan-13,12.00,12.00,11.69,11.90,11236
24-Jan-13,12.15,12.15,11.62,11.91,28212
23-Jan-13,11.86,11.87,11.86,11.87,200
22-Jan-13,12.00,12.00,11.87,11.90,4800
18-Jan-13,11.61,12.00,11.61,11.98,48905
17-Jan-13,11.59,12.00,11.50,12.00,33441
16-Jan-13,11.17,11.59,11.17,11.59,7900
15-Jan-13,11.47,11.59,11.47,11.52,3948
14-Jan-13,11.31,11.64,11.26,11.30,16550
11-Jan-13,11.28,11.35,11.26,11.31,7597
10-Jan-13,11.56,11.64,11.27,11.30,12358
9-Jan-13,11.32,11.49,10.98,11.35,122557
8-Jan-13,11.19,11.31,11.09,11.29,34429
7-Jan-13,11.35,11.40,11.20,11.30,41784
4-Jan-13,11.54,11.86,11.26,11.41,13760
3-Jan-13,11.97,11.97,11.37,11.64,25372
2-Jan-13,11.30,11.87,11.20,11.87,18870
31-Dec-12,11.30,11.60,11.15,11.35,3770
28-Dec-12,11.20,11.30,10.95,11.15,23177
27-Dec-12,11.75,11.85,11.47,11.50,5540
24-Dec-12,12.09,12.09,12.01,12.03,2200
21-Dec-12,12.00,12.25,11.94,11.95,46598
20-Dec-12,12.04,12.38,11.59,12.35,15523
19-Dec-12,11.21,11.90,11.21,11.60,2947
18-Dec-12,11.64,11.82,11.21,11.21,35550
17-Dec-12,12.11,12.20,11.59,11.94,5200
14-Dec-12,11.40,12.82,11.40,11.92,14850
13-Dec-12,11.80,11.80,11.40,11.46,3888
12-Dec-12,12.01,12.12,11.80,11.80,33032
11-Dec-12,11.97,12.10,11.95,12.10,20050
10-Dec-12,12.00,12.18,11.61,11.75,35579
7-Dec-12,11.90,12.17,11.60,12.17,10977
6-Dec-12,11.34,11.97,11.34,11.70,5600
5-Dec-12,11.24,11.38,11.00,11.22,17200
4-Dec-12,11.34,11.41,11.02,11.36,4850
3-Dec-12,11.24,11.61,11.17,11.50,22021
30-Nov-12,11.01,11.20,10.95,11.20,4051
29-Nov-12,10.85,11.18,10.85,11.06,2125
28-Nov-12,10.80,10.80,10.80,10.80,112
27-Nov-12,10.84,11.20,10.83,11.18,9169
26-Nov-12,10.84,11.00,10.84,11.00,608
23-Nov-12,10.97,10.97,10.97,10.97,500
21-Nov-12,11.19,11.20,11.19,11.20,1937
20-Nov-12,10.82,11.23,10.80,11.12,10745
