Date, Open, High, Low, Close, Volume
17-May-13,1.41,1.42,1.21,1.30,245406
16-May-13,1.45,1.45,1.39,1.42,193654
15-May-13,1.39,1.53,1.39,1.47,464844
14-May-13,1.20,1.37,1.17,1.37,228185
13-May-13,1.15,1.24,1.11,1.22,328575
10-May-13,0.94,1.10,0.94,1.08,244654
9-May-13,0.94,0.94,0.90,0.92,44913
8-May-13,0.91,0.94,0.91,0.92,54290
7-May-13,0.88,0.95,0.88,0.91,61892
6-May-13,0.85,0.90,0.85,0.90,36462
3-May-13,0.85,0.88,0.84,0.85,148828
2-May-13,0.88,0.88,0.83,0.84,211830
1-May-13,0.98,0.98,0.83,0.86,347033
30-Apr-13,1.00,1.02,0.96,0.96,58252
29-Apr-13,0.93,1.01,0.93,0.96,42351
26-Apr-13,0.89,0.94,0.89,0.91,21409
25-Apr-13,0.87,0.91,0.87,0.90,24025
24-Apr-13,0.87,0.89,0.87,0.89,29074
23-Apr-13,0.87,0.89,0.86,0.89,65007
22-Apr-13,0.87,0.89,0.86,0.87,25943
19-Apr-13,0.86,0.90,0.86,0.90,31396
18-Apr-13,0.90,0.90,0.86,0.86,31987
17-Apr-13,0.87,0.90,0.86,0.89,26885
16-Apr-13,0.89,0.90,0.86,0.88,80703
15-Apr-13,0.92,0.95,0.88,0.89,21990
12-Apr-13,0.87,0.92,0.87,0.92,112450
11-Apr-13,0.92,0.92,0.85,0.87,433355
10-Apr-13,1.04,1.08,0.88,0.92,288860
9-Apr-13,1.11,1.11,1.03,1.04,41121
8-Apr-13,1.09,1.11,1.04,1.06,95548
5-Apr-13,1.07,1.09,1.07,1.07,23028
4-Apr-13,1.05,1.08,1.04,1.07,13790
3-Apr-13,1.04,1.09,1.03,1.06,25151
2-Apr-13,1.05,1.07,1.02,1.04,43050
1-Apr-13,1.10,1.10,1.03,1.09,47115
28-Mar-13,1.05,1.08,1.03,1.05,64845
27-Mar-13,1.10,1.10,1.04,1.09,88554
26-Mar-13,1.14,1.15,1.08,1.10,54091
25-Mar-13,1.16,1.16,1.14,1.15,21736
22-Mar-13,1.15,1.15,1.10,1.14,15648
21-Mar-13,1.14,1.15,1.11,1.14,46685
20-Mar-13,1.14,1.14,1.10,1.10,23301
19-Mar-13,1.16,1.16,1.11,1.11,12486
18-Mar-13,1.08,1.15,1.08,1.15,28430
15-Mar-13,1.10,1.10,1.06,1.08,29115
14-Mar-13,1.08,1.11,1.08,1.11,15052
13-Mar-13,1.07,1.12,1.05,1.11,56957
12-Mar-13,1.08,1.08,1.05,1.07,76207
11-Mar-13,1.20,1.20,1.07,1.08,58051
8-Mar-13,1.10,1.12,1.08,1.12,52045
7-Mar-13,1.16,1.18,1.09,1.10,44827
6-Mar-13,1.10,1.15,1.10,1.15,54734
5-Mar-13,1.09,1.12,1.09,1.12,23767
4-Mar-13,1.08,1.10,1.05,1.06,22348
1-Mar-13,1.10,1.10,1.05,1.08,89208
28-Feb-13,1.07,1.12,1.04,1.10,65227
27-Feb-13,1.12,1.15,1.05,1.08,159294
26-Feb-13,1.10,1.13,1.02,1.10,228870
25-Feb-13,1.16,1.18,1.08,1.11,146968
22-Feb-13,1.14,1.18,1.12,1.15,227321
21-Feb-13,1.16,1.18,1.13,1.14,65130
20-Feb-13,1.21,1.22,1.15,1.15,86730
19-Feb-13,1.18,1.20,1.15,1.20,56965
15-Feb-13,1.22,1.22,1.16,1.16,71622
14-Feb-13,1.25,1.25,1.16,1.22,154635
13-Feb-13,1.23,1.25,1.16,1.23,131092
12-Feb-13,1.18,1.25,1.12,1.21,136850
11-Feb-13,1.25,1.28,1.15,1.16,191354
8-Feb-13,1.21,1.23,1.19,1.22,116777
7-Feb-13,1.24,1.25,1.19,1.20,163295
6-Feb-13,1.35,1.38,1.22,1.25,297080
5-Feb-13,1.50,1.50,1.35,1.35,194693
4-Feb-13,1.50,1.51,1.47,1.49,28708
1-Feb-13,1.50,1.51,1.36,1.48,82544
31-Jan-13,1.42,1.50,1.40,1.46,59048
30-Jan-13,1.51,1.52,1.38,1.39,445013
29-Jan-13,1.67,1.67,1.41,1.49,311572
28-Jan-13,1.69,1.69,1.63,1.66,48513
25-Jan-13,1.63,1.70,1.63,1.67,24455
24-Jan-13,1.73,1.73,1.63,1.67,69844
23-Jan-13,1.72,1.72,1.67,1.72,54920
22-Jan-13,1.70,1.72,1.69,1.69,62550
18-Jan-13,1.70,1.70,1.60,1.67,30593
17-Jan-13,1.69,1.69,1.66,1.68,39215
16-Jan-13,1.63,1.69,1.61,1.65,52377
15-Jan-13,1.55,1.64,1.53,1.60,67461
14-Jan-13,1.65,1.66,1.48,1.53,308761
11-Jan-13,1.66,1.70,1.63,1.64,155187
10-Jan-13,1.90,2.00,1.53,1.66,484990
9-Jan-13,2.09,2.10,1.90,2.10,86749
8-Jan-13,2.03,2.09,2.00,2.07,39986
7-Jan-13,2.10,2.10,2.03,2.05,14029
4-Jan-13,2.02,2.10,2.02,2.09,30571
3-Jan-13,2.10,2.10,2.02,2.06,15220
2-Jan-13,1.93,2.10,1.93,2.10,41017
31-Dec-12,1.86,1.92,1.86,1.92,26238
28-Dec-12,2.01,2.03,1.86,1.90,22887
27-Dec-12,2.03,2.05,2.01,2.03,5998
26-Dec-12,1.93,2.02,1.91,2.00,3560
24-Dec-12,2.02,2.02,1.99,2.02,3167
21-Dec-12,2.10,2.10,2.00,2.00,37744
20-Dec-12,2.00,2.07,1.91,2.07,42047
19-Dec-12,2.09,2.09,1.92,2.02,57178
18-Dec-12,2.06,2.10,2.00,2.09,60023
17-Dec-12,2.05,2.14,2.03,2.07,148157
14-Dec-12,1.63,2.05,1.63,2.03,65281
13-Dec-12,1.67,1.76,1.60,1.61,44883
12-Dec-12,1.65,1.74,1.65,1.69,6012
11-Dec-12,1.73,1.74,1.67,1.67,15979
10-Dec-12,1.85,1.85,1.75,1.78,21560
7-Dec-12,1.83,1.90,1.80,1.84,35892
6-Dec-12,1.90,1.90,1.84,1.87,43147
