Date, Open, High, Low, Close, Volume
17-May-13,24.95,25.03,24.58,24.58,1208
16-May-13,24.89,24.95,24.88,24.95,2800
15-May-13,24.92,24.94,24.50,24.94,3250
14-May-13,24.94,24.94,24.91,24.94,1300
13-May-13,24.99,24.99,24.50,24.95,3525
10-May-13,25.39,25.90,24.67,24.96,6379
9-May-13,25.57,25.96,25.55,25.96,1646
8-May-13,25.49,25.99,25.46,25.57,3301
7-May-13,25.59,25.61,25.38,25.50,17039
6-May-13,25.75,25.82,25.75,25.82,1300
3-May-13,25.70,25.74,25.70,25.74,1190
2-May-13,25.51,25.70,25.51,25.70,1025
1-May-13,25.50,25.71,25.50,25.71,746
30-Apr-13,25.66,25.75,25.50,25.60,4350
29-Apr-13,25.49,25.49,25.49,25.49,600
26-Apr-13,25.18,25.23,25.18,25.23,500
25-Apr-13,25.18,25.20,25.01,25.18,2905
24-Apr-13,25.20,25.20,24.99,25.18,1900
23-Apr-13,25.20,25.44,25.18,25.18,2905
22-Apr-13,25.14,25.20,25.05,25.20,3307
19-Apr-13,24.78,25.28,24.74,25.27,4058
18-Apr-13,25.09,25.17,24.95,25.17,842
17-Apr-13,25.17,25.17,24.86,24.98,1764
16-Apr-13,25.05,25.30,24.83,25.15,5233
15-Apr-13,25.00,25.20,25.00,25.20,2463
12-Apr-13,25.07,25.07,25.07,25.07,1428
11-Apr-13,25.07,25.15,25.05,25.15,1104
10-Apr-13,24.70,25.10,24.70,25.09,2783
9-Apr-13,24.75,25.00,24.75,24.97,800
8-Apr-13,24.77,25.14,24.68,24.88,11929
5-Apr-13,25.00,25.00,24.81,24.84,933
4-Apr-13,24.86,24.95,24.83,24.87,1333
3-Apr-13,24.76,24.87,24.75,24.87,2270
2-Apr-13,24.75,24.81,24.70,24.81,2300
1-Apr-13,24.70,25.01,24.60,24.60,1800
28-Mar-13,24.86,25.03,24.65,24.72,4185
27-Mar-13,24.96,24.96,24.86,24.86,525
26-Mar-13,24.96,24.98,24.96,24.96,2550
25-Mar-13,25.13,25.13,24.90,24.90,2000
22-Mar-13,25.12,25.13,24.91,25.13,2486
21-Mar-13,25.04,25.14,24.89,25.14,2000
20-Mar-13,24.82,25.10,24.81,24.81,850
19-Mar-13,24.92,25.13,24.68,24.98,4906
18-Mar-13,24.48,25.00,24.48,25.00,3534
15-Mar-13,24.50,24.82,24.50,24.80,3925
14-Mar-13,24.30,24.63,24.30,24.50,3690
13-Mar-13,24.29,24.42,24.27,24.38,3905
12-Mar-13,24.30,24.45,24.25,24.25,2741
11-Mar-13,24.20,24.55,24.20,24.27,5260
8-Mar-13,24.21,24.42,24.15,24.16,2300
7-Mar-13,24.63,24.63,24.13,24.29,3062
6-Mar-13,24.37,24.63,24.09,24.63,6810
5-Mar-13,24.36,24.38,24.36,24.36,1230
4-Mar-13,24.48,24.48,24.48,24.48,400
1-Mar-13,24.52,24.52,24.47,24.48,600
28-Feb-13,24.45,24.63,24.45,24.50,2200
27-Feb-13,24.58,24.60,24.58,24.60,475
26-Feb-13,24.35,24.35,24.35,24.35,220
25-Feb-13,24.36,24.36,24.36,24.36,500
22-Feb-13,24.58,24.60,24.41,24.58,700
21-Feb-13,24.40,24.57,24.40,24.56,3980
20-Feb-13,24.60,24.69,24.35,24.37,4215
19-Feb-13,24.41,24.52,24.41,24.50,2880
15-Feb-13,24.42,24.55,24.35,24.37,1361
14-Feb-13,24.68,24.68,24.65,24.65,400
13-Feb-13,24.65,24.65,24.46,24.65,2850
