Date, Open, High, Low, Close, Volume
17-May-13,16.59,16.59,16.59,16.59,100
16-May-13,-,-,-,16.51,0
15-May-13,16.30,16.51,16.21,16.51,9100
14-May-13,15.99,16.35,15.98,16.30,2700
13-May-13,16.50,16.50,15.73,15.98,8426
10-May-13,16.35,16.35,16.35,16.35,1000
9-May-13,16.44,16.44,16.42,16.42,870
8-May-13,16.11,16.44,16.09,16.44,3465
7-May-13,15.97,15.97,15.95,15.95,2071
6-May-13,15.95,15.95,15.95,15.95,300
3-May-13,15.92,15.95,15.92,15.95,600
2-May-13,-,-,-,15.80,0
1-May-13,15.80,15.80,15.80,15.80,200
30-Apr-13,-,-,-,16.09,0
29-Apr-13,15.70,16.09,15.70,16.09,1175
26-Apr-13,15.77,15.77,15.72,15.72,1170
25-Apr-13,16.09,16.09,16.09,16.09,100
24-Apr-13,15.75,15.85,15.75,15.85,242
23-Apr-13,15.70,15.82,15.70,15.71,900
22-Apr-13,15.80,15.80,15.80,15.80,500
19-Apr-13,16.05,16.15,16.05,16.15,523
18-Apr-13,15.93,15.93,15.93,15.93,300
17-Apr-13,-,-,-,15.81,0
16-Apr-13,15.76,15.81,15.76,15.81,400
15-Apr-13,15.75,15.75,15.70,15.70,1800
12-Apr-13,15.88,15.99,15.88,15.99,300
11-Apr-13,16.00,16.00,15.43,15.78,2500
10-Apr-13,15.64,16.03,15.64,15.95,1500
9-Apr-13,15.85,15.93,15.83,15.90,2700
8-Apr-13,15.60,15.75,15.60,15.60,6800
5-Apr-13,15.67,15.72,15.60,15.60,700
4-Apr-13,15.73,15.75,15.60,15.60,2400
3-Apr-13,15.74,15.74,15.42,15.44,3392
2-Apr-13,15.57,15.60,15.57,15.60,200
1-Apr-13,15.56,15.60,15.56,15.60,200
28-Mar-13,15.54,15.85,15.51,15.60,2200
27-Mar-13,15.58,15.65,15.58,15.59,1000
26-Mar-13,15.62,15.70,15.57,15.57,2250
25-Mar-13,-,-,-,15.80,0
22-Mar-13,-,-,-,15.80,0
21-Mar-13,15.80,15.80,15.80,15.80,166
20-Mar-13,-,-,-,15.51,0
19-Mar-13,15.51,15.51,15.51,15.51,508
18-Mar-13,15.56,15.56,15.55,15.55,2550
15-Mar-13,15.96,16.00,15.46,15.48,11350
14-Mar-13,15.98,15.98,15.98,15.98,100
13-Mar-13,15.98,16.20,15.98,16.19,1668
12-Mar-13,16.18,16.19,16.16,16.19,5333
11-Mar-13,16.00,16.19,16.00,16.19,1000
8-Mar-13,15.95,15.97,15.95,15.97,1200
7-Mar-13,15.90,15.92,15.75,15.82,2600
6-Mar-13,15.89,16.23,15.89,16.23,2700
5-Mar-13,-,-,-,16.01,0
4-Mar-13,16.00,16.01,16.00,16.01,1100
1-Mar-13,-,-,-,16.10,0
28-Feb-13,15.57,16.10,15.57,16.10,4600
27-Feb-13,15.42,15.56,15.42,15.56,6067
26-Feb-13,15.34,15.40,15.30,15.30,1033
25-Feb-13,-,-,-,15.34,0
22-Feb-13,15.32,15.34,15.32,15.34,1000
21-Feb-13,15.05,15.34,15.05,15.34,2033
20-Feb-13,15.00,15.03,14.99,15.00,1250
19-Feb-13,14.97,15.03,14.93,14.93,348
15-Feb-13,14.93,14.93,14.92,14.93,810
14-Feb-13,15.00,15.00,14.79,14.80,3900
13-Feb-13,15.13,15.21,15.12,15.20,3300
