Date, Open, High, Low, Close, Volume
17-May-13,26.21,26.21,26.21,26.21,200
16-May-13,26.13,26.22,26.11,26.12,1955
15-May-13,26.09,26.24,26.09,26.24,959
14-May-13,26.15,26.15,26.15,26.15,200
13-May-13,26.19,26.20,26.19,26.20,1580
10-May-13,26.12,26.12,26.12,26.12,100
9-May-13,26.25,26.25,26.01,26.05,7197
8-May-13,-,-,-,26.01,0
7-May-13,-,-,-,26.01,0
6-May-13,26.10,26.20,26.01,26.01,1070
3-May-13,26.08,26.14,26.05,26.10,900
2-May-13,26.00,26.00,26.00,26.00,200
1-May-13,26.02,26.18,26.00,26.00,2572
30-Apr-13,-,-,-,26.00,0
29-Apr-13,26.00,26.00,26.00,26.00,200
26-Apr-13,25.91,26.17,25.90,26.17,400
25-Apr-13,26.18,26.21,26.18,26.20,850
24-Apr-13,25.90,25.90,25.90,25.90,1384
23-Apr-13,25.86,25.86,25.86,25.86,103
22-Apr-13,26.08,26.09,26.08,26.08,1050
19-Apr-13,25.81,25.81,25.79,25.79,400
18-Apr-13,-,-,-,25.95,0
17-Apr-13,25.95,25.95,25.95,25.95,200
15-Apr-13,25.81,25.83,25.81,25.82,600
12-Apr-13,25.77,26.09,25.77,25.82,2300
10-Apr-13,25.83,25.83,25.80,25.81,1286
9-Apr-13,25.80,26.09,25.80,26.09,2334
8-Apr-13,25.80,25.80,25.75,25.75,225
5-Apr-13,25.89,25.89,25.65,25.85,1525
4-Apr-13,25.65,25.77,25.64,25.77,700
3-Apr-13,25.70,25.70,25.70,25.70,800
2-Apr-13,25.77,25.77,25.72,25.73,820
1-Apr-13,25.75,25.85,25.72,25.84,2150
28-Mar-13,25.72,25.72,25.69,25.70,3885
27-Mar-13,-,-,-,25.69,0
26-Mar-13,25.69,25.69,25.69,25.69,300
25-Mar-13,25.70,25.70,25.68,25.69,650
22-Mar-13,25.75,25.79,25.75,25.75,1500
21-Mar-13,25.81,25.81,25.81,25.81,100
20-Mar-13,25.73,25.81,25.71,25.81,827
19-Mar-13,25.75,25.75,25.75,25.75,500
18-Mar-13,25.74,25.74,25.71,25.71,1258
15-Mar-13,26.04,26.04,25.75,25.75,1680
14-Mar-13,25.99,25.99,25.99,25.99,100
