Date, Open, High, Low, Close, Volume
17-May-13,20.88,20.89,19.46,19.63,23071
16-May-13,21.52,21.52,20.61,20.61,23541
15-May-13,20.74,21.78,20.72,21.74,18600
14-May-13,20.61,21.00,20.25,20.80,7500
13-May-13,21.00,21.06,20.47,20.60,15506
10-May-13,20.85,21.31,20.20,21.03,21069
9-May-13,19.97,21.03,19.96,20.90,29666
8-May-13,20.04,20.04,19.66,19.79,11987
7-May-13,20.13,20.29,19.97,20.02,12520
6-May-13,19.55,20.13,19.53,19.97,11361
3-May-13,19.58,19.80,19.49,19.73,10433
2-May-13,19.93,20.19,19.23,19.45,26780
1-May-13,19.81,19.81,19.26,19.32,9898
30-Apr-13,20.46,20.46,19.37,19.75,37997
29-Apr-13,21.07,21.19,20.20,20.39,24778
26-Apr-13,20.18,21.80,20.10,20.74,93512
25-Apr-13,18.18,20.23,18.10,20.10,27683
24-Apr-13,17.85,18.00,17.77,17.92,9075
23-Apr-13,17.60,17.88,17.52,17.88,10129
22-Apr-13,17.40,17.50,17.24,17.50,5700
19-Apr-13,17.37,17.55,17.30,17.54,9600
18-Apr-13,17.50,17.50,16.80,17.02,23266
17-Apr-13,17.35,17.38,17.05,17.38,35747
16-Apr-13,17.51,17.58,17.34,17.43,2920
15-Apr-13,17.42,17.51,17.28,17.28,28945
12-Apr-13,17.71,17.88,17.65,17.79,5518
11-Apr-13,17.94,18.15,17.69,17.73,23125
10-Apr-13,17.99,18.20,17.97,18.05,11944
9-Apr-13,17.60,17.84,17.45,17.80,19771
8-Apr-13,17.35,17.54,17.24,17.48,8854
5-Apr-13,17.37,17.55,17.02,17.52,6598
4-Apr-13,17.49,17.54,17.33,17.48,5603
3-Apr-13,17.41,17.50,17.30,17.41,20162
2-Apr-13,17.48,17.58,17.41,17.54,29066
1-Apr-13,17.78,17.78,17.34,17.35,21122
28-Mar-13,17.67,17.70,17.56,17.56,7515
27-Mar-13,18.00,18.03,17.55,17.68,12266
26-Mar-13,18.83,18.83,17.65,18.02,43464
25-Mar-13,18.22,18.97,18.19,18.65,32355
22-Mar-13,17.75,18.54,17.66,18.15,34772
21-Mar-13,17.62,17.98,17.48,17.75,24004
20-Mar-13,16.53,17.66,16.53,17.66,23587
19-Mar-13,16.54,16.79,16.30,16.33,21442
18-Mar-13,16.45,16.81,16.38,16.38,31922
15-Mar-13,16.95,17.16,16.12,16.50,40471
14-Mar-13,16.00,16.96,16.00,16.83,28284
13-Mar-13,15.75,16.14,15.70,16.05,13549
12-Mar-13,15.45,15.85,15.44,15.75,11250
11-Mar-13,15.55,15.60,15.22,15.46,30786
8-Mar-13,14.77,15.59,14.57,15.59,18385
7-Mar-13,14.50,14.71,14.50,14.66,4800
6-Mar-13,14.60,14.72,14.47,14.47,8421
5-Mar-13,14.18,14.61,14.10,14.51,30920
4-Mar-13,13.95,14.12,13.89,14.06,19356
1-Mar-13,13.84,14.06,13.82,14.06,2116
28-Feb-13,13.68,14.18,13.34,14.03,36294
27-Feb-13,14.17,14.20,13.83,13.88,12000
26-Feb-13,13.62,14.16,13.60,13.97,31037
25-Feb-13,13.55,13.74,13.37,13.64,9060
22-Feb-13,13.19,13.64,13.14,13.51,13454
21-Feb-13,13.07,13.40,13.00,13.22,37189
20-Feb-13,13.13,13.19,13.10,13.16,2300
19-Feb-13,13.08,13.28,13.06,13.10,7160
15-Feb-13,12.96,13.15,12.90,12.98,3098
14-Feb-13,12.81,13.09,12.55,13.04,15200
13-Feb-13,12.80,12.94,12.78,12.86,19254
12-Feb-13,12.67,12.94,12.67,12.91,2838
11-Feb-13,13.02,13.02,12.47,12.68,14220
8-Feb-13,13.20,13.55,13.09,13.09,12020
7-Feb-13,13.16,13.33,13.07,13.26,3992
6-Feb-13,13.26,13.26,12.94,13.13,4991
5-Feb-13,13.20,13.55,13.11,13.17,9989
4-Feb-13,13.37,13.40,12.78,13.19,10722
1-Feb-13,13.25,13.57,13.23,13.36,8255
31-Jan-13,13.65,13.66,13.19,13.30,7115
30-Jan-13,13.70,13.80,13.36,13.65,19443
29-Jan-13,13.76,13.76,13.41,13.57,15338
28-Jan-13,13.61,13.61,13.45,13.50,11894
25-Jan-13,13.79,13.82,13.62,13.62,2600
24-Jan-13,13.93,13.94,13.78,13.85,8629
23-Jan-13,13.93,13.95,13.67,13.85,6735
22-Jan-13,13.64,13.95,13.64,13.84,9025
18-Jan-13,13.45,13.87,13.43,13.84,5674
17-Jan-13,13.64,13.90,13.55,13.56,8429
16-Jan-13,13.31,13.68,13.06,13.47,11790
15-Jan-13,13.50,13.50,13.26,13.26,7937
14-Jan-13,13.50,13.59,13.46,13.59,12370
11-Jan-13,13.38,13.56,13.20,13.50,57103
10-Jan-13,13.42,13.63,13.12,13.29,31916
9-Jan-13,12.65,13.41,12.65,13.28,18459
8-Jan-13,12.56,12.68,12.50,12.60,4400
7-Jan-13,12.41,12.69,12.41,12.67,10516
4-Jan-13,12.48,12.54,12.38,12.54,4943
3-Jan-13,12.34,12.78,12.34,12.35,17781
2-Jan-13,12.37,12.39,12.25,12.32,5549
31-Dec-12,11.85,12.19,11.85,12.17,16115
28-Dec-12,11.90,12.06,11.90,12.05,5317
27-Dec-12,11.83,12.04,11.83,11.93,6250
26-Dec-12,11.96,12.00,11.81,11.85,2630
24-Dec-12,12.00,12.00,11.78,11.94,4699
21-Dec-12,12.15,12.15,11.90,12.03,22899
20-Dec-12,12.23,12.32,12.22,12.32,3551
19-Dec-12,12.19,12.26,12.11,12.14,11266
18-Dec-12,12.40,12.40,12.08,12.18,6250
17-Dec-12,12.24,12.37,12.12,12.26,9429
14-Dec-12,12.05,12.19,11.95,12.15,3400
13-Dec-12,12.17,12.25,11.80,12.01,10463
12-Dec-12,12.24,12.33,12.23,12.23,8969
