Date, Open, High, Low, Close, Volume
17-May-13,24.90,25.34,24.80,25.21,1131017
16-May-13,24.91,25.08,24.60,24.73,1055807
15-May-13,24.79,25.08,24.70,24.98,1345721
14-May-13,24.73,24.90,24.62,24.90,523027
13-May-13,24.50,24.64,24.37,24.64,852484
10-May-13,24.44,24.76,24.43,24.58,633324
9-May-13,24.55,24.65,24.34,24.41,685158
8-May-13,24.32,24.69,24.22,24.54,1430696
7-May-13,24.23,24.49,24.14,24.34,1459049
6-May-13,24.00,24.44,23.91,24.14,1214972
3-May-13,23.89,24.00,23.44,23.99,1486168
2-May-13,22.76,23.36,22.70,23.28,1356013
1-May-13,22.42,22.86,22.33,22.66,1230266
30-Apr-13,22.24,22.51,22.04,22.50,1168877
29-Apr-13,22.15,22.42,22.06,22.28,890028
26-Apr-13,22.15,22.35,21.81,22.13,983207
25-Apr-13,21.63,22.27,21.58,22.13,1143176
24-Apr-13,21.76,21.82,21.52,21.67,1063217
23-Apr-13,20.95,21.57,20.63,21.57,1256793
22-Apr-13,20.71,20.85,20.45,20.81,696685
19-Apr-13,20.50,20.68,20.42,20.64,687828
18-Apr-13,20.45,20.56,20.31,20.40,697718
17-Apr-13,20.49,20.60,20.21,20.38,929691
16-Apr-13,20.51,20.67,20.43,20.65,597967
15-Apr-13,20.55,20.72,20.29,20.35,1260460
12-Apr-13,20.42,20.72,20.42,20.61,658607
11-Apr-13,20.24,20.57,20.20,20.55,639003
10-Apr-13,19.62,20.24,19.62,20.19,716540
9-Apr-13,19.44,19.64,19.36,19.46,735250
8-Apr-13,19.22,19.37,19.09,19.37,387962
5-Apr-13,19.21,19.32,19.01,19.25,421977
4-Apr-13,19.46,19.56,19.36,19.45,638462
3-Apr-13,19.60,19.65,19.38,19.46,899639
2-Apr-13,19.91,20.00,19.66,19.67,717277
1-Apr-13,20.00,20.05,19.65,19.81,1325626
28-Mar-13,20.25,20.25,19.96,20.01,666047
27-Mar-13,20.13,20.30,20.01,20.23,879911
26-Mar-13,20.12,20.30,19.99,20.30,620075
25-Mar-13,20.11,20.25,19.84,20.02,713342
22-Mar-13,20.07,20.07,19.89,20.00,999019
21-Mar-13,20.06,20.25,19.92,20.00,599548
20-Mar-13,20.13,20.30,19.99,20.16,698317
19-Mar-13,20.13,20.31,19.95,20.06,1670163
18-Mar-13,19.88,20.23,19.76,20.08,764804
15-Mar-13,20.03,20.12,19.87,20.06,1255033
14-Mar-13,19.96,20.19,19.92,20.05,519354
13-Mar-13,19.85,19.98,19.69,19.94,603239
12-Mar-13,19.96,20.07,19.80,19.84,734080
11-Mar-13,19.63,20.13,19.60,19.97,971287
8-Mar-13,19.19,19.64,19.14,19.58,547935
7-Mar-13,18.84,19.24,18.84,19.07,797047
6-Mar-13,18.78,18.87,18.70,18.80,1307255
5-Mar-13,18.71,18.83,18.59,18.70,811928
4-Mar-13,18.64,18.69,18.48,18.55,1027952
1-Mar-13,18.76,18.77,18.36,18.67,1510348
28-Feb-13,18.83,19.10,18.75,18.75,1032441
27-Feb-13,18.90,19.08,18.74,18.80,1257698
26-Feb-13,18.98,19.15,18.72,18.91,581523
25-Feb-13,19.35,19.57,18.90,18.90,878416
22-Feb-13,19.19,19.41,19.13,19.25,832728
21-Feb-13,19.20,19.23,18.80,19.07,950636
20-Feb-13,19.61,19.69,19.19,19.23,754335
19-Feb-13,19.47,19.60,19.39,19.58,890408
15-Feb-13,19.72,19.80,19.42,19.44,644486
14-Feb-13,19.63,19.82,19.58,19.69,570224
13-Feb-13,19.95,19.99,19.54,19.66,1051078
12-Feb-13,19.59,19.84,19.49,19.84,880765
11-Feb-13,19.86,19.99,19.31,19.63,1030317
8-Feb-13,19.95,20.15,19.79,19.86,1209859
7-Feb-13,19.58,20.02,19.47,20.02,2335444
6-Feb-13,19.42,19.69,19.36,19.54,1111676
5-Feb-13,19.30,19.57,19.25,19.43,1384246
4-Feb-13,19.26,19.43,19.07,19.19,1048435
1-Feb-13,19.16,19.46,19.01,19.39,1805402
31-Jan-13,19.20,19.31,19.00,19.13,1541189
30-Jan-13,19.52,19.58,19.10,19.24,1902341
29-Jan-13,19.51,20.11,18.84,19.37,5344241
28-Jan-13,19.17,19.31,18.58,18.68,2313258
25-Jan-13,19.21,19.29,19.00,19.10,877354
24-Jan-13,19.03,19.29,19.01,19.11,845371
23-Jan-13,19.40,19.42,19.04,19.06,1037374
22-Jan-13,19.43,19.65,19.16,19.51,1074118
18-Jan-13,19.18,19.45,19.18,19.43,672880
17-Jan-13,18.95,19.26,18.91,19.17,597219
16-Jan-13,18.79,18.96,18.75,18.90,431700
15-Jan-13,18.49,18.93,18.48,18.86,913072
14-Jan-13,18.46,18.69,18.37,18.56,1007238
11-Jan-13,18.53,18.59,18.33,18.44,926026
10-Jan-13,18.58,18.59,18.42,18.49,673533
9-Jan-13,18.46,18.56,18.11,18.38,1171929
8-Jan-13,18.93,19.03,18.27,18.37,1456858
7-Jan-13,18.97,19.33,18.88,18.97,1050013
4-Jan-13,19.22,19.22,18.89,19.04,1102678
3-Jan-13,19.07,19.21,18.85,19.11,1412679
2-Jan-13,19.25,19.26,18.55,19.15,1600642
31-Dec-12,18.61,18.93,18.48,18.85,1252995
28-Dec-12,18.67,18.78,18.48,18.66,1033247
27-Dec-12,18.60,18.80,18.56,18.75,1138168
26-Dec-12,18.70,18.89,18.46,18.62,903872
24-Dec-12,18.70,18.75,18.36,18.75,549821
21-Dec-12,18.30,18.82,18.16,18.78,2676831
20-Dec-12,18.63,18.67,18.36,18.67,822655
19-Dec-12,18.52,18.88,18.47,18.60,869487
18-Dec-12,18.25,18.52,18.25,18.46,613600
17-Dec-12,18.20,18.35,18.04,18.21,557063
14-Dec-12,18.29,18.44,18.09,18.14,778107
13-Dec-12,18.39,18.49,18.04,18.26,854059
12-Dec-12,18.44,18.64,18.35,18.35,616539
11-Dec-12,18.40,18.61,18.22,18.39,948335
10-Dec-12,17.94,18.30,17.93,18.27,787859
7-Dec-12,17.88,17.99,17.75,17.98,710962
6-Dec-12,17.78,17.89,17.62,17.76,586789
5-Dec-12,18.07,18.27,17.79,17.81,808331
4-Dec-12,17.75,18.15,17.64,18.07,1032843
3-Dec-12,17.81,17.95,17.62,17.74,943316
30-Nov-12,17.57,17.78,17.53,17.75,1027206
29-Nov-12,17.42,17.55,17.15,17.50,815633
28-Nov-12,17.19,17.28,17.02,17.23,803757
27-Nov-12,17.43,17.53,17.13,17.24,955922
26-Nov-12,17.41,17.70,17.34,17.47,1066420
23-Nov-12,16.87,17.52,16.87,17.48,667350
21-Nov-12,16.77,16.93,16.70,16.74,968304
20-Nov-12,16.81,16.95,16.57,16.75,926265
19-Nov-12,16.63,16.84,16.55,16.78,824115
16-Nov-12,16.49,16.62,16.13,16.36,1929340
15-Nov-12,16.49,16.69,16.35,16.40,1101320
14-Nov-12,17.11,17.12,16.42,16.46,960431
13-Nov-12,17.01,17.23,16.91,17.01,782095
12-Nov-12,17.38,17.47,17.07,17.10,419017
9-Nov-12,17.16,17.55,17.10,17.30,727350
8-Nov-12,17.55,17.64,17.16,17.17,761148
7-Nov-12,17.73,17.79,17.41,17.43,1405714
6-Nov-12,17.96,18.09,17.84,17.98,823043
5-Nov-12,17.65,18.00,17.54,17.85,826057
2-Nov-12,17.97,18.10,17.61,17.65,906087
1-Nov-12,17.28,18.05,17.09,17.85,1728273
31-Oct-12,16.91,17.29,16.88,17.20,937597
26-Oct-12,16.90,17.08,16.73,16.77,1098846
25-Oct-12,16.77,17.01,16.56,16.98,969451
24-Oct-12,17.33,17.33,16.60,16.66,1335495
23-Oct-12,15.72,17.52,15.25,17.17,5019980
22-Oct-12,17.02,17.29,16.91,17.24,2251277
19-Oct-12,17.46,17.50,16.86,16.96,887112
18-Oct-12,17.39,17.58,17.20,17.52,1108757
17-Oct-12,17.36,17.49,17.19,17.42,1084788
16-Oct-12,17.08,17.39,16.98,17.35,767800
15-Oct-12,16.89,17.13,16.69,17.09,694712
12-Oct-12,17.00,17.00,16.68,16.77,1289351
11-Oct-12,17.03,17.28,16.81,17.09,1311049
10-Oct-12,17.13,17.17,16.57,16.80,1741205
9-Oct-12,17.37,17.44,16.98,17.12,1302942
8-Oct-12,17.77,17.94,17.43,17.48,579235
5-Oct-12,18.07,18.25,17.81,17.89,623933
4-Oct-12,17.53,18.00,17.40,17.99,800080
3-Oct-12,17.65,17.70,17.40,17.49,683316
2-Oct-12,17.43,17.75,17.10,17.70,894016
1-Oct-12,17.08,17.50,16.98,17.34,1316723
28-Sep-12,17.19,17.26,16.83,16.99,1118100
27-Sep-12,17.28,17.36,17.10,17.27,680371
26-Sep-12,17.21,17.49,17.04,17.13,1735673
25-Sep-12,17.64,17.65,17.15,17.20,1323686
24-Sep-12,17.64,17.79,17.45,17.51,952474
21-Sep-12,17.96,18.00,17.60,17.65,1204142
20-Sep-12,17.95,18.15,17.66,17.83,1047311
19-Sep-12,18.22,18.33,18.08,18.16,722883
18-Sep-12,18.34,18.47,18.19,18.28,1175710
17-Sep-12,18.86,19.00,18.32,18.36,688063
14-Sep-12,18.61,19.12,18.52,18.97,1339535
13-Sep-12,18.20,18.67,17.97,18.47,1526781
12-Sep-12,18.54,18.77,18.19,18.24,771888
11-Sep-12,18.24,18.62,18.21,18.43,594661
10-Sep-12,18.36,18.54,18.24,18.26,666171
7-Sep-12,18.29,18.54,18.25,18.39,902214
6-Sep-12,17.93,18.50,17.92,18.30,1212988
5-Sep-12,17.41,17.95,17.38,17.84,900284
4-Sep-12,17.51,17.64,17.05,17.40,882554
31-Aug-12,17.54,17.73,17.26,17.52,842339
30-Aug-12,17.80,17.84,17.33,17.38,787217
29-Aug-12,17.66,17.89,17.60,17.85,718211
28-Aug-12,17.66,17.81,17.55,17.64,890027
27-Aug-12,18.17,18.20,17.53,17.62,1605669
24-Aug-12,18.13,18.19,17.87,18.01,830822
23-Aug-12,18.26,18.44,17.99,18.12,1138664
22-Aug-12,18.19,18.41,17.91,18.33,1848694
21-Aug-12,17.88,18.34,17.75,18.31,2098822
20-Aug-12,18.71,18.71,17.68,17.75,2165151
17-Aug-12,18.26,18.78,18.08,18.72,1487611
16-Aug-12,17.98,18.38,17.84,18.23,1584701
15-Aug-12,17.68,18.03,17.58,17.96,1623940
14-Aug-12,18.00,18.00,17.66,17.77,1522920
13-Aug-12,17.80,17.96,17.58,17.86,960369
