Date, Open, High, Low, Close, Volume
17-May-13,0.06,0.06,0.06,0.06,3200
16-May-13,0.05,0.06,0.05,0.06,12673
15-May-13,0.06,0.06,0.05,0.06,8200
14-May-13,0.07,0.07,0.05,0.06,3019
13-May-13,0.07,0.07,0.06,0.06,2100
10-May-13,0.05,0.07,0.05,0.07,97261
9-May-13,0.06,0.07,0.06,0.07,7204
8-May-13,0.06,0.07,0.06,0.07,30532
7-May-13,0.06,0.06,0.06,0.06,2800
6-May-13,0.08,0.08,0.05,0.05,80553
3-May-13,0.07,0.07,0.06,0.06,43842
2-May-13,0.06,0.07,0.06,0.06,32369
1-May-13,0.05,0.05,0.05,0.05,11868
30-Apr-13,0.05,0.05,0.04,0.05,82640
29-Apr-13,0.03,0.06,0.03,0.04,62154
26-Apr-13,0.03,0.07,0.03,0.04,283007
25-Apr-13,0.06,0.07,0.05,0.07,44600
24-Apr-13,0.05,0.06,0.05,0.06,21745
23-Apr-13,0.06,0.06,0.05,0.06,62696
22-Apr-13,0.07,0.07,0.03,0.06,89720
19-Apr-13,0.08,0.08,0.07,0.07,61169
18-Apr-13,0.08,0.08,0.08,0.08,1000
17-Apr-13,0.08,0.09,0.07,0.09,9600
16-Apr-13,0.08,0.08,0.08,0.08,9000
15-Apr-13,0.09,0.09,0.08,0.09,12200
12-Apr-13,0.08,0.09,0.08,0.09,3400
11-Apr-13,0.08,0.08,0.07,0.08,13531
10-Apr-13,0.08,0.09,0.08,0.09,4700
9-Apr-13,0.08,0.08,0.07,0.07,5991
8-Apr-13,0.07,0.08,0.07,0.07,12420
5-Apr-13,0.09,0.09,0.07,0.07,63474
4-Apr-13,0.09,0.09,0.09,0.09,15720
3-Apr-13,-,-,-,0.08,0
2-Apr-13,0.08,0.08,0.08,0.08,884
1-Apr-13,0.08,0.08,0.07,0.08,8822
28-Mar-13,0.08,0.08,0.07,0.08,9152
27-Mar-13,0.08,0.08,0.08,0.08,1000
26-Mar-13,-,-,-,0.08,0
25-Mar-13,-,-,-,0.08,0
22-Mar-13,0.09,0.09,0.07,0.08,5050
21-Mar-13,0.07,0.09,0.07,0.08,20104
20-Mar-13,0.10,0.10,0.07,0.08,35580
19-Mar-13,0.09,0.10,0.08,0.08,51595
18-Mar-13,0.09,0.09,0.09,0.09,1700
15-Mar-13,0.10,0.10,0.09,0.09,878
14-Mar-13,0.09,0.10,0.08,0.09,38165
13-Mar-13,0.08,0.10,0.08,0.09,7014
12-Mar-13,0.08,0.08,0.08,0.08,2400
11-Mar-13,0.10,0.10,0.08,0.08,26940
8-Mar-13,0.10,0.10,0.08,0.10,43543
7-Mar-13,0.08,0.10,0.08,0.09,117646
6-Mar-13,-,-,-,0.09,0
5-Mar-13,0.09,0.09,0.08,0.09,68900
4-Mar-13,0.10,0.10,0.10,0.10,5210
1-Mar-13,0.10,0.10,0.09,0.10,94700
28-Feb-13,0.10,0.10,0.09,0.09,28000
27-Feb-13,0.10,0.10,0.10,0.10,44279
26-Feb-13,0.10,0.10,0.10,0.10,500
25-Feb-13,0.11,0.11,0.10,0.11,31770
22-Feb-13,0.12,0.14,0.11,0.11,81521
21-Feb-13,0.12,0.12,0.12,0.12,36200
20-Feb-13,0.12,0.14,0.12,0.12,43993
19-Feb-13,0.12,0.12,0.12,0.12,11439
15-Feb-13,0.12,0.13,0.12,0.12,41719
14-Feb-13,0.13,0.13,0.12,0.12,41499
13-Feb-13,0.11,0.14,0.11,0.12,69672
12-Feb-13,0.12,0.12,0.11,0.12,12900
11-Feb-13,0.11,0.11,0.11,0.11,100
8-Feb-13,0.12,0.12,0.11,0.11,8565
7-Feb-13,0.11,0.12,0.11,0.12,34562
6-Feb-13,0.13,0.13,0.11,0.11,119325
5-Feb-13,0.12,0.12,0.11,0.11,35799
4-Feb-13,0.12,0.13,0.10,0.11,76287
1-Feb-13,0.10,0.11,0.10,0.11,100184
31-Jan-13,0.10,0.10,0.10,0.10,4999
30-Jan-13,0.10,0.10,0.10,0.10,2701
29-Jan-13,0.10,0.10,0.09,0.10,21999
28-Jan-13,0.10,0.10,0.09,0.10,134814
25-Jan-13,0.10,0.10,0.09,0.09,101199
24-Jan-13,0.10,0.10,0.09,0.09,9766
23-Jan-13,0.09,0.09,0.09,0.09,36715
22-Jan-13,0.09,0.09,0.09,0.09,27200
18-Jan-13,0.10,0.10,0.08,0.08,30710
17-Jan-13,0.08,0.09,0.08,0.09,3100
16-Jan-13,0.08,0.09,0.08,0.08,37030
15-Jan-13,0.10,0.10,0.08,0.09,22090
14-Jan-13,0.10,0.10,0.08,0.10,14899
11-Jan-13,0.08,0.09,0.08,0.08,65550
10-Jan-13,0.09,0.10,0.08,0.08,136890
9-Jan-13,0.08,0.10,0.08,0.09,28850
8-Jan-13,0.09,0.09,0.08,0.08,106455
7-Jan-13,0.07,0.09,0.07,0.07,125390
4-Jan-13,0.07,0.07,0.07,0.07,8000
3-Jan-13,0.09,0.09,0.06,0.08,10220
2-Jan-13,0.07,0.08,0.07,0.08,3200
31-Dec-12,0.07,0.08,0.07,0.07,102929
28-Dec-12,0.07,0.07,0.07,0.07,7000
27-Dec-12,0.07,0.07,0.06,0.07,123447
26-Dec-12,0.06,0.07,0.06,0.07,62398
24-Dec-12,0.07,0.07,0.06,0.06,15970
21-Dec-12,0.07,0.08,0.06,0.07,191136
20-Dec-12,0.08,0.08,0.07,0.07,157615
19-Dec-12,0.08,0.08,0.07,0.07,15145
18-Dec-12,0.08,0.08,0.07,0.08,15627
17-Dec-12,0.08,0.08,0.07,0.08,16700
14-Dec-12,0.08,0.08,0.07,0.08,34245
13-Dec-12,0.08,0.08,0.07,0.08,35600
12-Dec-12,0.07,0.08,0.07,0.08,27520
11-Dec-12,0.08,0.08,0.08,0.08,47679
10-Dec-12,0.07,0.09,0.07,0.09,23843
7-Dec-12,0.06,0.07,0.06,0.06,148378
6-Dec-12,0.06,0.06,0.06,0.06,136966
5-Dec-12,0.06,0.07,0.06,0.06,122616
4-Dec-12,0.06,0.07,0.06,0.06,49485
3-Dec-12,0.06,0.07,0.06,0.07,49749
30-Nov-12,0.08,0.08,0.06,0.07,247560
29-Nov-12,0.10,0.10,0.06,0.07,306982
28-Nov-12,0.07,0.08,0.07,0.08,184551
27-Nov-12,0.09,0.09,0.08,0.08,43500
26-Nov-12,0.10,0.11,0.09,0.10,90102
23-Nov-12,0.09,0.11,0.09,0.09,165416
21-Nov-12,0.09,0.09,0.07,0.08,88067
20-Nov-12,0.07,0.08,0.07,0.08,36664
19-Nov-12,0.07,0.08,0.07,0.07,71533
16-Nov-12,0.08,0.08,0.07,0.08,58182
15-Nov-12,0.07,0.09,0.07,0.08,54190
14-Nov-12,0.08,0.08,0.08,0.08,100
