Date, Open, High, Low, Close, Volume
17-May-13,7.89,7.89,7.89,7.89,100
16-May-13,7.72,7.72,7.70,7.71,2443
15-May-13,7.62,7.74,7.62,7.72,4100
14-May-13,7.63,7.64,7.63,7.64,1340
13-May-13,7.49,7.55,7.47,7.55,1155
10-May-13,7.53,7.58,7.52,7.58,1032
9-May-13,7.54,7.61,7.54,7.59,1100
8-May-13,7.63,7.64,7.55,7.58,4600
7-May-13,7.57,7.66,7.57,7.59,800
6-May-13,7.40,7.60,7.40,7.50,11119
3-May-13,-,-,-,7.54,0
2-May-13,7.57,7.59,7.51,7.54,400
1-May-13,7.64,7.64,7.52,7.54,3303
30-Apr-13,7.48,7.74,7.48,7.74,1395
29-Apr-13,7.33,7.51,7.33,7.47,3400
26-Apr-13,-,-,-,7.40,0
25-Apr-13,7.46,7.55,7.29,7.40,12836
24-Apr-13,7.46,7.52,7.30,7.44,4341
23-Apr-13,7.40,7.48,7.39,7.46,6319
22-Apr-13,7.36,7.46,7.36,7.37,2000
19-Apr-13,7.46,7.46,7.27,7.46,2240
18-Apr-13,7.30,7.46,7.26,7.46,7139
17-Apr-13,7.33,7.40,7.33,7.38,2900
16-Apr-13,7.47,7.47,7.09,7.30,2136
15-Apr-13,7.46,7.50,7.08,7.50,1400
12-Apr-13,7.42,7.54,7.42,7.52,2568
11-Apr-13,7.44,7.52,7.21,7.52,7189
10-Apr-13,7.38,7.53,7.34,7.48,4400
9-Apr-13,7.41,7.45,7.32,7.32,1524
8-Apr-13,7.52,7.52,7.48,7.48,519
5-Apr-13,7.48,7.48,7.48,7.48,130
4-Apr-13,7.48,7.51,7.40,7.47,3037
3-Apr-13,7.45,7.47,7.45,7.47,1770
2-Apr-13,7.48,7.48,7.15,7.40,8992
1-Apr-13,7.43,7.43,7.43,7.43,110
28-Mar-13,7.48,7.48,7.39,7.39,1521
27-Mar-13,7.47,7.47,7.47,7.47,100
26-Mar-13,7.45,7.47,7.45,7.47,1450
25-Mar-13,7.39,7.40,7.39,7.39,2023
22-Mar-13,7.56,7.56,7.30,7.39,5515
21-Mar-13,-,-,-,7.47,0
20-Mar-13,-,-,-,7.47,0
19-Mar-13,7.48,7.48,7.47,7.47,400
18-Mar-13,-,-,-,7.43,0
15-Mar-13,7.41,7.57,7.40,7.43,4653
14-Mar-13,7.42,7.50,7.41,7.50,1900
13-Mar-13,7.31,7.41,7.31,7.41,1718
12-Mar-13,7.35,7.47,7.28,7.47,1400
11-Mar-13,7.31,7.47,7.28,7.34,1382
8-Mar-13,7.29,7.31,7.22,7.31,4716
7-Mar-13,7.17,7.25,7.17,7.24,10023
6-Mar-13,7.16,7.22,7.07,7.15,2872
5-Mar-13,7.22,7.22,7.12,7.16,7604
4-Mar-13,7.12,7.18,7.04,7.11,4025
1-Mar-13,7.11,7.11,7.04,7.11,1521
28-Feb-13,7.11,7.14,7.07,7.11,2360
27-Feb-13,7.00,7.17,7.00,7.15,4744
26-Feb-13,7.05,7.08,6.99,7.04,4639
25-Feb-13,7.05,7.10,7.05,7.06,12009
22-Feb-13,7.02,7.07,7.01,7.05,1899
21-Feb-13,6.76,7.00,6.76,6.98,20027
20-Feb-13,6.99,7.02,6.98,7.00,6017
19-Feb-13,7.00,7.13,6.94,6.94,14499
15-Feb-13,7.08,7.08,6.93,6.93,10296
14-Feb-13,7.08,7.15,7.03,7.03,4440
13-Feb-13,7.06,7.10,7.01,7.06,5046
12-Feb-13,7.08,7.08,7.05,7.06,1810
11-Feb-13,7.13,7.13,7.05,7.06,2817
8-Feb-13,7.11,7.11,7.11,7.11,528
7-Feb-13,-,-,-,7.02,0
6-Feb-13,-,-,-,7.02,0
5-Feb-13,7.09,7.09,6.99,7.02,13885
4-Feb-13,7.02,7.18,6.98,7.12,4211
1-Feb-13,7.06,7.06,6.99,7.06,3251
31-Jan-13,6.97,7.11,6.96,7.05,2004
30-Jan-13,6.93,7.05,6.93,7.05,5889
29-Jan-13,6.97,7.02,6.94,6.97,1978
28-Jan-13,7.03,7.04,6.71,7.04,14081
25-Jan-13,6.94,6.99,6.94,6.99,1125
24-Jan-13,7.07,7.07,6.91,6.91,6648
23-Jan-13,7.01,7.40,6.98,7.10,5718
22-Jan-13,6.89,7.06,6.89,7.06,4721
18-Jan-13,6.80,6.89,6.75,6.84,5232
17-Jan-13,6.92,7.00,6.85,6.90,6162
16-Jan-13,6.81,6.81,6.80,6.80,2960
15-Jan-13,6.83,6.85,6.72,6.80,1560
14-Jan-13,6.91,6.91,6.75,6.83,4989
11-Jan-13,6.79,6.79,6.79,6.79,0
10-Jan-13,6.83,6.92,6.79,6.91,3424
9-Jan-13,6.88,6.90,6.88,6.88,1300
8-Jan-13,6.60,6.85,6.60,6.77,10168
7-Jan-13,6.90,6.90,6.90,6.90,324
4-Jan-13,6.69,6.69,6.69,6.69,0
3-Jan-13,6.86,6.94,6.84,6.89,6245
2-Jan-13,7.14,7.14,6.85,7.00,2859
31-Dec-12,6.90,7.22,6.65,7.10,46802
28-Dec-12,6.94,7.02,6.94,7.00,49120
27-Dec-12,6.76,6.90,6.70,6.90,8571
26-Dec-12,6.66,6.66,6.66,6.66,100
24-Dec-12,6.90,6.95,6.88,6.90,3281
21-Dec-12,6.58,6.66,6.58,6.66,800
20-Dec-12,6.70,6.70,6.30,6.62,11251
19-Dec-12,6.65,6.70,6.61,6.70,1687
18-Dec-12,6.85,6.90,6.71,6.90,4356
17-Dec-12,6.65,6.88,6.65,6.88,2204
14-Dec-12,6.63,6.73,6.63,6.73,2150
13-Dec-12,6.66,6.68,6.55,6.68,2000
12-Dec-12,6.90,6.95,6.89,6.95,1130
11-Dec-12,6.86,6.90,6.81,6.90,750
10-Dec-12,6.83,6.90,6.82,6.90,2307
7-Dec-12,6.87,6.90,6.72,6.88,8919
6-Dec-12,6.85,6.90,6.84,6.90,11332
5-Dec-12,6.81,6.88,6.66,6.85,20940
4-Dec-12,6.82,6.88,6.79,6.85,8092
3-Dec-12,6.83,6.83,6.78,6.80,9026
30-Nov-12,6.81,6.82,6.78,6.78,4157
