Date, Open, High, Low, Close, Volume
17-May-13,47.24,49.58,47.24,49.31,55515
16-May-13,46.25,47.42,46.25,47.12,31607
15-May-13,45.17,46.22,45.17,46.22,20250
14-May-13,44.51,45.51,44.51,45.42,25159
13-May-13,45.39,45.39,44.21,44.58,27755
10-May-13,44.91,45.20,44.91,45.09,18490
9-May-13,45.43,45.50,44.46,45.30,113833
8-May-13,45.52,45.70,45.18,45.56,32740
7-May-13,45.00,45.62,45.00,45.62,97020
6-May-13,43.48,45.23,43.48,45.22,9191
3-May-13,44.20,44.71,43.49,43.49,5177
2-May-13,42.89,43.80,42.89,43.37,12632
1-May-13,43.58,43.60,43.10,43.20,21322
30-Apr-13,43.73,43.73,43.40,43.58,12804
29-Apr-13,44.01,44.01,43.16,44.00,77019
26-Apr-13,45.49,45.54,43.59,43.70,12429
25-Apr-13,44.00,44.79,43.74,44.65,36649
24-Apr-13,43.26,43.81,43.00,43.81,10389
23-Apr-13,42.31,42.90,42.31,42.70,8088
22-Apr-13,43.36,43.36,42.34,42.47,8836
19-Apr-13,42.69,42.99,42.56,42.57,34293
18-Apr-13,42.50,43.09,42.23,42.64,20826
17-Apr-13,43.44,43.44,42.34,42.72,45345
16-Apr-13,42.54,43.47,42.54,43.47,27627
15-Apr-13,43.33,43.37,42.25,42.35,46831
12-Apr-13,44.39,44.39,43.28,43.98,28760
11-Apr-13,44.21,44.70,44.00,44.39,34145
10-Apr-13,43.67,44.05,43.44,44.05,6902
9-Apr-13,43.39,44.08,43.36,43.76,9209
8-Apr-13,42.75,43.34,42.65,43.16,6535
5-Apr-13,42.11,42.82,42.11,42.75,12829
4-Apr-13,42.44,43.11,42.44,42.94,8880
3-Apr-13,42.80,43.13,42.43,42.58,16507
2-Apr-13,43.36,43.38,42.76,42.76,19838
1-Apr-13,43.71,43.71,43.11,43.30,6986
28-Mar-13,43.68,43.77,43.26,43.51,68341
27-Mar-13,43.60,43.97,43.50,43.87,16902
26-Mar-13,43.77,44.10,43.39,43.98,18044
25-Mar-13,43.81,43.81,43.41,43.60,9596
22-Mar-13,44.34,44.38,43.77,43.92,17543
21-Mar-13,44.81,44.85,44.10,44.25,23755
20-Mar-13,45.11,45.54,45.11,45.45,2235
19-Mar-13,45.42,45.69,45.00,45.05,9281
18-Mar-13,45.13,45.84,45.13,45.43,38002
15-Mar-13,45.53,46.01,45.53,45.99,9078
14-Mar-13,45.15,45.84,44.96,45.55,23216
13-Mar-13,44.78,45.40,44.35,45.40,58800
12-Mar-13,45.25,45.46,44.96,45.29,67189
11-Mar-13,45.65,45.65,44.83,45.37,135790
8-Mar-13,45.20,46.00,45.20,45.47,13157
7-Mar-13,45.34,45.34,45.03,45.13,5161
6-Mar-13,45.00,45.11,44.90,44.95,27551
5-Mar-13,45.10,45.13,44.75,44.75,15411
4-Mar-13,44.81,44.83,44.27,44.27,11131
1-Mar-13,45.33,45.59,45.02,45.08,14527
28-Feb-13,45.27,45.82,45.27,45.34,11865
27-Feb-13,45.18,45.30,44.89,45.07,2611
26-Feb-13,45.25,45.74,44.45,45.00,24391
25-Feb-13,46.50,46.56,45.23,45.23,10948
22-Feb-13,46.93,46.93,45.82,46.17,16372
21-Feb-13,48.08,48.08,46.21,46.55,24672
20-Feb-13,47.61,47.86,47.05,47.80,12208
19-Feb-13,47.50,48.09,47.50,47.70,2703
17-Dec-12,45.32,45.40,44.95,45.40,7098
14-Dec-12,44.55,45.16,44.55,45.11,19053
13-Dec-12,45.33,45.44,44.40,44.94,38300
12-Dec-12,45.32,45.67,45.09,45.12,12419
11-Dec-12,46.50,46.95,46.00,46.11,26823
10-Dec-12,45.32,46.23,44.75,46.03,6242
7-Dec-12,45.94,45.94,44.97,45.32,3125
6-Dec-12,45.47,45.47,44.71,45.15,6409
5-Dec-12,45.68,45.68,44.93,45.46,6913
4-Dec-12,45.14,45.30,44.80,45.19,36771
3-Dec-12,45.49,45.49,44.68,44.84,16556
30-Nov-12,44.65,45.32,44.65,44.94,19927
29-Nov-12,43.89,44.51,43.67,44.50,82309
28-Nov-12,42.90,43.55,42.36,43.45,11725
27-Nov-12,43.41,43.45,42.99,43.06,51081
26-Nov-12,43.31,43.32,43.00,43.20,7636
23-Nov-12,42.92,43.44,42.88,43.23,933
21-Nov-12,42.40,42.80,42.27,42.78,6000
20-Nov-12,42.00,42.52,41.79,42.13,83249
19-Nov-12,42.33,42.48,41.80,41.92,55623
16-Nov-12,41.66,42.25,41.39,41.64,19515
15-Nov-12,41.27,41.93,41.20,41.72,175525
14-Nov-12,42.34,42.34,41.06,41.17,20442
13-Nov-12,42.70,42.70,41.99,41.99,46510
12-Nov-12,42.77,42.87,42.36,42.80,15150
9-Nov-12,42.60,43.14,42.55,42.55,6800
8-Nov-12,43.13,43.25,42.60,42.76,19842
7-Nov-12,43.02,43.26,42.64,43.03,12541
6-Nov-12,42.89,43.75,42.68,43.57,135097
5-Nov-12,42.62,42.88,42.48,42.53,3001
2-Nov-12,42.95,42.95,42.43,42.54,3886
1-Nov-12,42.19,42.74,42.16,42.73,5323
31-Oct-12,41.10,42.05,40.50,42.05,17618
26-Oct-12,43.20,43.21,40.78,41.02,157151
25-Oct-12,44.38,44.83,43.80,44.06,7023
24-Oct-12,44.00,44.59,44.00,44.05,10989
23-Oct-12,44.58,44.58,43.85,44.07,5862
22-Oct-12,44.15,44.95,44.15,44.71,29648
19-Oct-12,45.22,45.22,44.21,44.21,27086
18-Oct-12,45.20,45.68,45.16,45.40,51933
17-Oct-12,45.12,45.45,45.07,45.42,2690
16-Oct-12,44.39,44.84,43.41,44.84,22347
15-Oct-12,44.33,44.53,44.00,44.43,9390
12-Oct-12,44.77,45.07,43.87,44.04,5814
11-Oct-12,45.08,45.30,44.62,44.62,12544
10-Oct-12,45.22,45.22,44.10,44.21,70415
9-Oct-12,44.99,45.22,44.64,45.15,57605
8-Oct-12,45.21,45.33,44.71,44.98,3126
5-Oct-12,45.99,46.32,45.35,45.35,14193
4-Oct-12,45.00,45.77,45.00,45.77,148099
3-Oct-12,44.55,45.04,44.44,44.74,120189
2-Oct-12,44.13,44.74,43.93,44.52,6511
1-Oct-12,45.00,45.00,44.16,44.43,15604
28-Sep-12,44.13,44.18,43.85,44.17,47545
27-Sep-12,44.87,45.05,44.25,44.63,28060
26-Sep-12,43.42,43.74,43.02,43.26,16744
25-Sep-12,45.35,45.35,43.98,43.98,4961
24-Sep-12,45.15,45.58,45.10,45.25,11350
21-Sep-12,46.62,46.62,45.01,45.42,18796
20-Sep-12,46.61,46.91,46.11,46.79,6590
19-Sep-12,45.68,47.22,45.68,47.01,23333
18-Sep-12,45.95,46.10,45.49,45.69,9293
17-Sep-12,47.00,47.00,46.17,46.20,17937
14-Sep-12,46.25,47.38,45.97,47.25,40257
13-Sep-12,46.20,47.10,46.17,46.66,149115
12-Sep-12,46.99,47.04,46.00,46.35,12101
11-Sep-12,47.10,47.64,46.92,47.02,29628
10-Sep-12,47.48,47.56,47.17,47.17,48927
7-Sep-12,47.10,47.52,47.10,47.50,69498
6-Sep-12,46.25,47.47,46.25,47.10,30062
5-Sep-12,44.71,45.86,44.71,45.85,48630
4-Sep-12,44.82,45.00,44.30,44.98,46389
31-Aug-12,44.26,45.29,44.26,45.29,220544
30-Aug-12,44.29,44.29,43.80,44.01,4019
29-Aug-12,43.50,44.31,43.23,44.29,94875
28-Aug-12,43.44,43.99,43.03,43.55,53693
27-Aug-12,44.00,44.25,43.53,43.55,59863
24-Aug-12,43.79,44.21,43.73,44.00,72885
23-Aug-12,43.85,44.30,43.60,43.93,223257
22-Aug-12,44.26,44.30,43.86,43.94,49938
21-Aug-12,45.27,45.45,44.40,44.48,73225
20-Aug-12,45.00,45.16,44.64,45.00,22270
17-Aug-12,44.48,44.99,44.22,44.99,18352
16-Aug-12,44.20,44.68,43.95,44.39,19261
15-Aug-12,44.37,44.37,43.92,44.05,3976
14-Aug-12,44.05,44.23,43.77,44.16,41273
13-Aug-12,43.60,44.11,43.50,43.96,3750
10-Aug-12,43.63,43.68,43.40,43.63,12691
9-Aug-12,43.07,43.60,43.07,43.60,1500
8-Aug-12,43.00,43.43,42.52,43.36,2800
7-Aug-12,42.65,43.21,42.25,43.02,5071
6-Aug-12,42.54,42.54,41.67,42.12,10567
3-Aug-12,42.62,42.78,41.85,42.00,8388
2-Aug-12,42.45,42.45,40.99,41.60,9945
1-Aug-12,42.99,45.57,42.35,42.59,31070
31-Jul-12,40.02,42.93,40.02,42.54,57892
30-Jul-12,40.12,40.84,39.84,39.87,88181
27-Jul-12,39.18,41.43,39.18,40.45,63207
26-Jul-12,38.90,39.15,38.33,38.84,12011
25-Jul-12,38.57,38.58,38.14,38.19,51068
24-Jul-12,39.30,39.81,38.13,38.45,27169
23-Jul-12,38.35,39.36,37.80,39.13,65626
20-Jul-12,39.33,39.57,38.50,38.53,19424
19-Jul-12,39.54,39.76,39.21,39.33,19700
18-Jul-12,39.44,39.98,39.25,39.25,10941
17-Jul-12,39.65,39.65,38.85,39.49,24558
16-Jul-12,40.00,40.06,38.93,39.45,28014
13-Jul-12,39.78,40.34,39.40,39.85,6715
12-Jul-12,40.50,40.50,39.15,39.74,18978
11-Jul-12,41.00,41.00,40.21,40.57,5544
10-Jul-12,41.61,41.81,41.00,41.20,5742
9-Jul-12,42.00,42.00,41.05,41.34,19886
6-Jul-12,42.44,42.44,41.56,41.94,16550
