Date, Open, High, Low, Close, Volume
17-May-13,2.34,2.35,2.33,2.33,76101
16-May-13,2.34,2.35,2.33,2.34,89557
15-May-13,2.35,2.35,2.33,2.34,104630
14-May-13,2.34,2.36,2.34,2.34,137502
13-May-13,2.37,2.37,2.34,2.35,114974
10-May-13,2.36,2.38,2.36,2.38,88395
9-May-13,2.39,2.39,2.35,2.36,143368
8-May-13,2.37,2.39,2.36,2.39,138596
7-May-13,2.35,2.38,2.35,2.37,144764
6-May-13,2.37,2.38,2.35,2.35,208401
3-May-13,2.40,2.40,2.36,2.37,72958
2-May-13,2.40,2.40,2.36,2.37,54115
1-May-13,2.36,2.38,2.35,2.38,109182
30-Apr-13,2.38,2.38,2.36,2.36,72887
29-Apr-13,2.35,2.38,2.35,2.38,185051
26-Apr-13,2.36,2.37,2.35,2.35,76273
25-Apr-13,2.36,2.37,2.35,2.37,90507
24-Apr-13,2.37,2.37,2.35,2.36,88063
23-Apr-13,2.34,2.39,2.33,2.37,266285
22-Apr-13,2.32,2.33,2.30,2.33,205410
19-Apr-13,2.33,2.34,2.32,2.33,53258
18-Apr-13,2.31,2.34,2.31,2.33,77575
17-Apr-13,2.36,2.36,2.28,2.31,240467
16-Apr-13,2.35,2.36,2.34,2.35,70078
15-Apr-13,2.35,2.38,2.35,2.36,68783
12-Apr-13,2.35,2.36,2.35,2.35,48945
11-Apr-13,2.36,2.38,2.35,2.37,89868
10-Apr-13,2.36,2.38,2.35,2.37,125900
9-Apr-13,2.38,2.38,2.35,2.36,94233
8-Apr-13,2.36,2.38,2.35,2.35,81026
5-Apr-13,2.36,2.36,2.35,2.35,39713
4-Apr-13,2.37,2.39,2.35,2.36,64221
3-Apr-13,2.39,2.39,2.37,2.37,66857
2-Apr-13,2.37,2.40,2.35,2.40,186801
1-Apr-13,2.37,2.39,2.37,2.37,66918
28-Mar-13,2.40,2.40,2.37,2.37,76621
27-Mar-13,2.37,2.39,2.37,2.38,61754
26-Mar-13,2.39,2.41,2.38,2.40,109060
25-Mar-13,2.39,2.40,2.36,2.37,169274
22-Mar-13,2.39,2.40,2.37,2.37,116121
21-Mar-13,2.40,2.41,2.38,2.38,151937
20-Mar-13,2.40,2.41,2.37,2.38,131325
19-Mar-13,2.39,2.41,2.36,2.41,117704
18-Mar-13,2.38,2.40,2.35,2.38,171326
15-Mar-13,2.42,2.42,2.35,2.36,189935
14-Mar-13,2.42,2.43,2.40,2.43,139993
13-Mar-13,2.44,2.44,2.40,2.41,171441
12-Mar-13,2.43,2.47,2.41,2.45,198325
11-Mar-13,2.44,2.46,2.42,2.45,165331
8-Mar-13,2.43,2.45,2.42,2.45,166946
7-Mar-13,2.43,2.45,2.41,2.45,84513
6-Mar-13,2.42,2.43,2.41,2.43,119534
5-Mar-13,2.43,2.44,2.42,2.42,198676
4-Mar-13,2.43,2.43,2.42,2.43,82845
1-Mar-13,2.41,2.43,2.38,2.43,192422
28-Feb-13,2.40,2.42,2.39,2.42,286755
27-Feb-13,2.36,2.40,2.35,2.40,255529
26-Feb-13,2.34,2.36,2.33,2.35,110260
25-Feb-13,2.36,2.38,2.33,2.33,168070
22-Feb-13,2.35,2.37,2.34,2.37,150853
