Date, Open, High, Low, Close, Volume
17-May-13,3.07,3.10,3.02,3.09,288583
16-May-13,3.01,3.11,3.00,3.06,172058
15-May-13,2.96,3.07,2.92,3.02,271319
14-May-13,2.97,3.00,2.90,2.96,219974
13-May-13,3.03,3.04,2.88,2.94,481953
10-May-13,3.36,3.36,3.06,3.07,455433
9-May-13,3.40,3.40,3.29,3.36,230356
8-May-13,3.37,3.42,3.34,3.38,230676
7-May-13,3.32,3.43,3.32,3.35,293930
6-May-13,3.30,3.35,3.18,3.31,268500
3-May-13,3.50,3.63,3.25,3.30,466802
2-May-13,3.15,3.40,3.05,3.38,253218
1-May-13,3.28,3.29,3.10,3.10,317817
30-Apr-13,3.41,3.49,3.21,3.28,602897
29-Apr-13,3.52,3.61,3.37,3.44,252981
26-Apr-13,3.54,3.55,3.40,3.49,216459
25-Apr-13,3.46,3.60,3.42,3.55,274545
24-Apr-13,3.41,3.54,3.39,3.46,294740
23-Apr-13,3.13,3.41,3.13,3.39,295973
22-Apr-13,3.03,3.15,2.97,3.13,319041
19-Apr-13,2.99,3.06,2.89,3.03,252220
18-Apr-13,3.08,3.17,2.98,3.00,363518
17-Apr-13,3.02,3.13,2.97,3.08,393074
16-Apr-13,3.18,3.31,3.05,3.06,490580
15-Apr-13,3.29,3.35,3.09,3.12,536908
12-Apr-13,3.36,3.41,3.25,3.39,445982
11-Apr-13,3.28,3.50,3.28,3.36,565201
10-Apr-13,3.31,3.36,3.26,3.28,373721
9-Apr-13,3.40,3.49,3.26,3.28,397225
8-Apr-13,3.21,3.42,3.16,3.40,524900
5-Apr-13,2.87,3.29,2.85,3.24,914555
4-Apr-13,2.93,3.01,2.45,2.98,2633911
3-Apr-13,3.23,3.29,2.96,2.97,888989
2-Apr-13,3.41,3.45,3.15,3.25,878054
1-Apr-13,3.50,3.53,3.29,3.38,1436001
28-Mar-13,3.84,3.90,3.50,3.51,984720
27-Mar-13,3.81,3.83,3.72,3.80,264885
26-Mar-13,3.80,3.88,3.59,3.80,332450
25-Mar-13,3.66,3.85,3.65,3.74,400728
22-Mar-13,3.85,3.96,3.68,3.71,955430
21-Mar-13,3.33,3.95,3.31,3.92,2002390
20-Mar-13,3.66,3.99,3.31,3.38,1987077
19-Mar-13,2.95,3.97,2.91,3.70,9400006
18-Mar-13,5.55,5.60,5.48,5.49,122892
15-Mar-13,5.69,5.79,5.56,5.66,389337
14-Mar-13,5.55,5.70,5.52,5.69,326964
13-Mar-13,5.59,5.65,5.51,5.53,146860
12-Mar-13,5.61,5.69,5.56,5.60,147175
11-Mar-13,5.71,5.76,5.56,5.63,310796
8-Mar-13,5.74,5.76,5.59,5.72,390211
7-Mar-13,5.54,5.81,5.52,5.67,824113
6-Mar-13,5.66,5.70,5.46,5.55,784545
5-Mar-13,5.41,5.44,5.32,5.34,422134
4-Mar-13,5.42,5.42,5.35,5.36,470356
1-Mar-13,5.35,5.47,5.35,5.46,259938
