Date, Open, High, Low, Close, Volume
17-May-13,31.14,31.26,30.91,31.00,672811
16-May-13,31.41,31.56,31.10,31.11,506747
15-May-13,31.69,31.82,31.38,31.51,412649
14-May-13,31.55,31.84,31.45,31.81,348591
13-May-13,31.62,31.68,31.08,31.61,499216
10-May-13,31.19,31.73,31.12,31.64,408206
9-May-13,30.80,31.27,30.50,31.17,464688
8-May-13,30.27,31.14,30.19,30.82,1106602
7-May-13,30.16,30.28,29.90,30.28,836508
6-May-13,29.92,30.58,29.91,30.22,540272
3-May-13,29.58,30.22,29.46,29.90,629460
2-May-13,29.42,29.55,29.22,29.42,471811
1-May-13,29.31,29.82,29.13,29.26,580131
30-Apr-13,29.70,29.90,29.20,29.40,1265179
29-Apr-13,30.00,33.30,29.08,29.45,2224880
26-Apr-13,28.20,28.68,28.09,28.15,495692
25-Apr-13,28.05,28.37,27.91,28.28,320179
24-Apr-13,27.68,28.32,27.60,27.93,532436
23-Apr-13,27.11,27.73,27.11,27.23,1073137
22-Apr-13,27.24,27.35,26.76,26.95,440051
19-Apr-13,27.06,27.33,26.72,27.21,490857
18-Apr-13,27.48,27.81,26.69,27.03,1171292
17-Apr-13,28.59,28.62,27.66,27.89,662693
16-Apr-13,28.38,28.75,28.23,28.74,870132
15-Apr-13,28.87,28.93,27.95,28.09,450734
12-Apr-13,29.16,29.62,28.92,29.01,664700
11-Apr-13,28.91,29.32,28.88,29.11,385086
10-Apr-13,28.64,29.15,28.50,28.90,570785
9-Apr-13,28.42,28.71,28.25,28.44,660493
8-Apr-13,28.23,28.38,27.80,28.29,590776
5-Apr-13,28.49,28.52,28.05,28.25,351508
4-Apr-13,28.77,29.15,28.37,28.62,612748
3-Apr-13,29.07,29.27,28.60,28.72,754544
2-Apr-13,30.00,30.61,29.00,29.12,1296581
1-Apr-13,28.60,29.81,28.15,29.12,822743
28-Mar-13,28.95,28.95,28.44,28.62,411184
27-Mar-13,28.52,28.98,28.31,28.90,413288
26-Mar-13,28.58,28.70,28.39,28.68,284874
25-Mar-13,28.51,28.94,28.13,28.31,653929
22-Mar-13,28.66,28.95,27.91,28.33,486251
21-Mar-13,29.13,29.24,28.21,28.59,654156
20-Mar-13,29.50,29.57,28.86,29.27,852128
19-Mar-13,28.88,29.48,28.76,29.39,879872
18-Mar-13,28.15,28.99,28.03,28.84,990938
15-Mar-13,28.14,28.42,27.94,28.42,1074379
14-Mar-13,28.07,28.21,27.80,28.18,421381
13-Mar-13,28.01,28.11,27.76,28.01,612042
12-Mar-13,27.71,28.05,27.60,27.97,361192
11-Mar-13,27.46,28.09,27.42,27.72,565471
8-Mar-13,27.26,27.75,27.07,27.49,558927
7-Mar-13,26.48,27.36,26.21,27.23,1114344
6-Mar-13,25.92,26.51,25.70,26.45,424006
5-Mar-13,25.47,25.91,25.24,25.82,1688289
4-Mar-13,25.48,25.59,25.13,25.44,725041
1-Mar-13,25.59,25.86,25.21,25.59,975362
28-Feb-13,25.81,26.00,25.44,25.74,924692
27-Feb-13,25.49,25.90,25.38,25.84,940990
26-Feb-13,25.78,25.82,25.15,25.56,1282450
25-Feb-13,25.62,26.41,25.40,25.74,1403612
