Date, Open, High, Low, Close, Volume
17-May-13,22.68,22.68,22.39,22.51,27846
16-May-13,22.58,22.60,22.49,22.59,30831
15-May-13,22.57,22.64,22.49,22.50,25369
14-May-13,22.50,22.50,22.32,22.46,22247
13-May-13,22.68,22.69,22.46,22.58,23582
10-May-13,22.34,22.64,22.34,22.56,30289
9-May-13,22.50,22.57,22.24,22.25,29026
8-May-13,22.47,22.69,22.30,22.37,28968
7-May-13,22.24,22.47,22.24,22.39,37191
6-May-13,22.01,22.25,22.01,22.25,11282
3-May-13,22.14,22.31,21.99,22.06,29656
2-May-13,22.06,22.19,22.03,22.09,14410
1-May-13,21.93,22.21,21.77,22.00,33692
30-Apr-13,22.24,22.24,21.82,21.82,28369
29-Apr-13,22.24,22.39,22.03,22.03,25150
26-Apr-13,22.25,22.41,22.09,22.09,18493
25-Apr-13,22.25,22.35,22.13,22.18,29866
24-Apr-13,22.25,22.29,22.14,22.25,26203
23-Apr-13,22.16,22.24,22.10,22.24,24459
22-Apr-13,21.91,22.16,21.91,22.03,13695
19-Apr-13,22.10,22.16,21.91,22.01,25230
18-Apr-13,22.01,22.01,21.90,21.95,19086
17-Apr-13,21.86,21.99,21.80,21.95,19407
16-Apr-13,21.77,21.92,21.69,21.82,18576
15-Apr-13,22.01,22.03,21.63,21.69,63836
12-Apr-13,21.94,21.97,21.72,21.79,29417
11-Apr-13,22.19,22.19,21.93,21.98,60611
10-Apr-13,21.92,22.04,21.82,22.02,44160
9-Apr-13,21.73,21.90,21.67,21.73,28898
8-Apr-13,21.65,21.73,21.52,21.73,25750
5-Apr-13,21.55,21.64,21.51,21.60,13106
4-Apr-13,21.73,21.73,21.59,21.65,17928
3-Apr-13,21.94,21.94,21.58,21.70,29219
2-Apr-13,21.85,21.85,21.65,21.85,27005
1-Apr-13,21.60,21.77,21.57,21.74,31149
28-Mar-13,21.55,21.76,21.48,21.60,28440
27-Mar-13,21.55,21.55,21.44,21.53,24012
26-Mar-13,21.63,21.63,21.42,21.55,25160
25-Mar-13,21.59,21.60,21.37,21.42,31571
22-Mar-13,21.57,21.59,21.41,21.53,24110
21-Mar-13,21.52,21.59,21.35,21.50,35248
20-Mar-13,21.50,21.58,21.33,21.46,26257
19-Mar-13,21.15,21.35,21.12,21.35,21677
