Date, Open, High, Low, Close, Volume
17-May-13,13.96,13.97,13.92,13.95,475207
16-May-13,13.93,13.95,13.92,13.95,571172
15-May-13,13.93,13.95,13.93,13.95,226095
14-May-13,13.93,13.94,13.92,13.94,649679
13-May-13,13.92,13.97,13.92,13.93,516425
10-May-13,13.90,13.94,13.90,13.92,223826
9-May-13,13.91,13.92,13.88,13.90,1190313
8-May-13,13.92,13.93,13.91,13.93,305125
7-May-13,13.88,13.94,13.88,13.93,420046
6-May-13,13.92,13.94,13.91,13.93,411610
3-May-13,13.94,13.94,13.92,13.93,267780
2-May-13,13.92,13.94,13.90,13.92,460914
1-May-13,13.91,13.94,13.91,13.91,620244
30-Apr-13,13.82,13.95,13.82,13.95,317340
29-Apr-13,13.94,13.95,13.90,13.90,729763
26-Apr-13,13.92,13.95,13.92,13.93,181720
25-Apr-13,13.92,13.98,13.92,13.92,283996
24-Apr-13,13.91,13.93,13.90,13.93,254737
23-Apr-13,13.91,13.92,13.90,13.92,460670
22-Apr-13,13.91,13.91,13.88,13.90,572977
19-Apr-13,13.90,13.93,13.90,13.90,444747
18-Apr-13,13.90,13.91,13.89,13.90,858919
17-Apr-13,13.92,13.93,13.89,13.90,642001
16-Apr-13,13.90,13.94,13.89,13.93,618431
15-Apr-13,13.92,13.94,13.88,13.89,817507
12-Apr-13,13.91,13.95,13.91,13.95,594500
11-Apr-13,13.89,13.95,13.89,13.95,856194
10-Apr-13,13.90,13.91,13.88,13.89,678762
9-Apr-13,13.90,13.91,13.87,13.87,421020
8-Apr-13,13.89,13.93,13.88,13.90,514307
5-Apr-13,13.89,13.91,13.87,13.90,1043666
4-Apr-13,13.92,13.92,13.89,13.90,663615
3-Apr-13,13.89,13.91,13.89,13.89,761857
2-Apr-13,13.90,13.92,13.87,13.90,401618
1-Apr-13,13.88,13.90,13.86,13.88,414192
28-Mar-13,13.89,13.92,13.86,13.88,913497
27-Mar-13,13.87,13.89,13.86,13.88,650085
26-Mar-13,13.88,13.90,13.86,13.89,708228
25-Mar-13,13.85,13.86,13.84,13.84,740379
22-Mar-13,13.84,13.85,13.83,13.83,678081
21-Mar-13,13.84,13.86,13.83,13.83,623592
20-Mar-13,13.86,13.86,13.82,13.84,857356
19-Mar-13,13.85,13.85,13.80,13.82,2344427
18-Mar-13,13.85,13.87,13.82,13.83,1692921
15-Mar-13,13.93,13.93,13.83,13.85,2399684
14-Mar-13,13.84,13.95,13.82,13.93,3165177
13-Mar-13,13.85,13.88,13.82,13.85,3520002
12-Mar-13,13.84,13.91,13.83,13.84,2421467
11-Mar-13,13.84,13.86,13.83,13.84,1708453
8-Mar-13,13.86,13.87,13.82,13.83,7876800
7-Mar-13,13.90,13.95,13.85,13.87,24264944
6-Mar-13,10.98,11.09,10.70,10.75,383865
5-Mar-13,10.87,11.04,10.85,11.04,444503
4-Mar-13,10.78,11.05,10.70,10.79,553108
1-Mar-13,10.75,10.94,10.63,10.83,405369
28-Feb-13,10.71,10.88,10.69,10.80,345081
27-Feb-13,10.59,10.82,10.55,10.69,532790
26-Feb-13,10.57,10.89,10.41,10.62,753189
25-Feb-13,10.97,10.99,10.45,10.51,1185656
22-Feb-13,10.99,10.99,10.67,10.90,548271
21-Feb-13,11.33,11.43,10.90,10.92,782636
20-Feb-13,11.26,11.82,11.11,11.35,1754417
19-Feb-13,10.93,11.38,10.80,11.23,1455091
15-Feb-13,10.95,11.13,10.55,10.88,1250335
14-Feb-13,10.93,11.01,10.84,10.88,324054
13-Feb-13,11.02,11.11,10.86,10.94,802150
12-Feb-13,11.08,11.08,10.91,11.00,374413
11-Feb-13,11.06,11.14,10.95,11.06,335636
8-Feb-13,11.03,11.15,10.97,11.04,293414
7-Feb-13,11.13,11.21,10.65,11.00,1228441
6-Feb-13,11.05,11.18,10.91,10.96,483523
5-Feb-13,10.96,11.21,10.84,11.08,620341
4-Feb-13,11.00,11.09,10.70,10.88,1015855
1-Feb-13,11.19,11.23,11.02,11.09,628799
31-Jan-13,11.04,11.28,11.02,11.10,591425
30-Jan-13,11.12,11.13,10.88,10.99,649388
29-Jan-13,11.15,11.20,11.01,11.12,704339
28-Jan-13,11.16,11.29,11.02,11.18,755797
25-Jan-13,11.18,11.26,11.00,11.12,556588
24-Jan-13,11.17,11.44,11.00,11.11,965563
23-Jan-13,11.11,11.17,11.00,11.16,1098942
22-Jan-13,11.07,11.45,11.04,11.11,866340
18-Jan-13,11.10,11.39,10.85,11.28,693914
