Date, Open, High, Low, Close, Volume
17-May-13,6.12,6.14,6.08,6.11,569800
16-May-13,6.10,6.14,6.03,6.08,538140
15-May-13,6.00,6.13,5.95,6.10,1153554
14-May-13,5.99,6.02,5.96,6.00,755009
13-May-13,5.95,5.99,5.91,5.97,1039815
10-May-13,5.94,5.98,5.90,5.94,561333
9-May-13,5.95,5.97,5.87,5.92,608556
8-May-13,5.99,6.02,5.90,5.94,744935
7-May-13,5.98,6.02,5.92,5.99,540060
6-May-13,5.96,5.97,5.87,5.95,700935
3-May-13,5.98,6.02,5.91,5.94,880132
2-May-13,5.92,5.95,5.79,5.89,697221
1-May-13,5.96,6.07,5.83,5.87,1814794
30-Apr-13,5.89,5.99,5.82,5.98,1468016
29-Apr-13,5.80,5.87,5.75,5.86,638486
26-Apr-13,5.85,5.85,5.72,5.76,829077
25-Apr-13,5.92,5.94,5.84,5.84,658772
24-Apr-13,5.95,5.97,5.86,5.90,556452
23-Apr-13,5.88,5.93,5.82,5.93,932026
22-Apr-13,5.82,5.88,5.68,5.82,1283260
19-Apr-13,5.73,5.84,5.73,5.79,1060492
18-Apr-13,5.77,5.86,5.70,5.75,1462217
17-Apr-13,5.92,5.96,5.74,5.77,1162789
16-Apr-13,5.84,6.01,5.78,5.95,1426671
15-Apr-13,5.95,5.96,5.79,5.79,1495539
12-Apr-13,5.96,6.01,5.93,5.95,1012851
11-Apr-13,5.95,6.09,5.93,5.98,1649305
10-Apr-13,5.85,5.98,5.83,5.94,2124418
9-Apr-13,5.98,5.98,5.82,5.82,612372
8-Apr-13,5.82,5.95,5.76,5.95,868638
5-Apr-13,5.75,5.83,5.72,5.78,859450
4-Apr-13,5.77,5.82,5.72,5.81,622202
3-Apr-13,5.77,5.82,5.66,5.76,2751830
2-Apr-13,5.86,5.89,5.73,5.74,794092
1-Apr-13,5.85,5.88,5.74,5.82,978407
28-Mar-13,5.80,5.86,5.80,5.84,1276299
27-Mar-13,5.84,5.86,5.79,5.80,1072646
26-Mar-13,5.88,5.92,5.84,5.92,1258131
25-Mar-13,5.90,5.92,5.80,5.83,1230289
22-Mar-13,5.91,5.92,5.83,5.87,883719
21-Mar-13,5.93,6.00,5.87,5.87,1177726
20-Mar-13,6.00,6.00,5.89,5.95,1173145
19-Mar-13,6.17,6.17,5.93,5.99,1004610
18-Mar-13,6.13,6.24,6.09,6.16,1413579
15-Mar-13,6.09,6.30,6.09,6.19,3237822
14-Mar-13,5.90,6.14,5.80,6.11,3306375
13-Mar-13,5.84,5.88,5.79,5.87,691697
12-Mar-13,5.84,5.89,5.78,5.85,1754659
11-Mar-13,5.79,5.83,5.76,5.79,1746153
8-Mar-13,5.77,5.87,5.75,5.79,2143706
7-Mar-13,5.78,5.87,5.70,5.70,3289404
6-Mar-13,5.81,5.85,5.73,5.79,1036467
5-Mar-13,5.73,5.80,5.70,5.77,1308192
4-Mar-13,5.70,5.78,5.63,5.68,1168200
1-Mar-13,5.55,5.70,5.48,5.69,1570492
28-Feb-13,5.53,5.70,5.51,5.61,2473799
27-Feb-13,5.46,5.65,5.42,5.52,1303836
26-Feb-13,5.45,5.47,5.33,5.46,840027
25-Feb-13,5.61,5.62,5.40,5.41,1036938
22-Feb-13,5.47,5.66,5.42,5.60,1329764
21-Feb-13,5.26,5.45,5.26,5.42,2454486
20-Feb-13,5.49,5.53,5.26,5.26,1716449
19-Feb-13,5.50,5.55,5.46,5.50,866273
15-Feb-13,5.46,5.56,5.44,5.50,1645489
14-Feb-13,5.47,5.50,5.43,5.47,563371
13-Feb-13,5.48,5.50,5.44,5.47,823115
12-Feb-13,5.45,5.50,5.41,5.48,737981
11-Feb-13,5.42,5.47,5.41,5.46,433251
8-Feb-13,5.42,5.45,5.36,5.43,585366
7-Feb-13,5.48,5.49,5.39,5.39,719657
6-Feb-13,5.35,5.46,5.35,5.46,1045570
5-Feb-13,5.38,5.41,5.33,5.41,649613
4-Feb-13,5.36,5.42,5.31,5.33,752006
1-Feb-13,5.30,5.45,5.28,5.41,1336849
31-Jan-13,5.28,5.37,5.23,5.28,1789954
30-Jan-13,5.37,5.40,5.24,5.31,1154777
29-Jan-13,5.42,5.46,5.36,5.39,1142400
28-Jan-13,5.38,5.46,5.34,5.43,1935202
25-Jan-13,5.29,5.39,5.26,5.38,1578657
24-Jan-13,5.18,5.27,5.17,5.27,1989617
23-Jan-13,5.20,5.20,5.12,5.18,702064
22-Jan-13,5.16,5.19,5.12,5.19,670330
18-Jan-13,5.16,5.18,5.12,5.16,345738
17-Jan-13,5.15,5.18,5.11,5.17,503098
16-Jan-13,5.15,5.18,5.10,5.14,377283
15-Jan-13,5.12,5.19,5.07,5.18,655218
14-Jan-13,5.16,5.20,5.12,5.16,554257
11-Jan-13,5.20,5.21,5.11,5.17,880256
