Date, Open, High, Low, Close, Volume
17-May-13,10.66,10.75,10.63,10.71,31456
16-May-13,10.55,10.70,10.55,10.61,21640
15-May-13,10.60,10.65,10.54,10.61,14567
14-May-13,10.57,10.60,10.50,10.59,25635
13-May-13,10.54,10.65,10.50,10.58,15830
10-May-13,10.54,10.67,10.54,10.64,23894
9-May-13,10.53,10.54,10.48,10.49,12437
8-May-13,10.45,10.55,10.40,10.54,13415
7-May-13,10.47,10.51,10.38,10.51,26553
6-May-13,10.34,10.45,10.31,10.41,14010
3-May-13,10.31,10.47,10.28,10.37,22391
2-May-13,10.08,10.26,10.02,10.16,23793
1-May-13,10.18,10.31,10.00,10.00,49176
30-Apr-13,10.13,10.29,10.13,10.28,25448
29-Apr-13,10.15,10.27,10.14,10.21,8484
26-Apr-13,10.42,10.45,10.31,10.32,10341
25-Apr-13,10.46,10.46,10.35,10.43,20364
24-Apr-13,10.47,10.48,10.35,10.43,12513
23-Apr-13,10.30,10.48,10.21,10.44,13216
22-Apr-13,10.43,10.43,10.11,10.24,16456
19-Apr-13,10.18,10.43,10.18,10.38,20906
18-Apr-13,10.05,10.24,10.01,10.18,15726
17-Apr-13,10.09,10.26,9.90,9.98,25526
16-Apr-13,10.00,10.20,10.00,10.20,22535
15-Apr-13,10.12,10.18,9.87,9.90,36802
12-Apr-13,10.14,10.17,10.01,10.12,13038
11-Apr-13,10.01,10.18,10.01,10.16,8533
10-Apr-13,9.91,10.13,9.91,10.09,9168
9-Apr-13,10.11,10.20,9.90,9.93,8540
8-Apr-13,10.17,10.19,10.03,10.11,7141
5-Apr-13,9.70,10.17,9.70,10.13,12272
4-Apr-13,9.68,9.85,9.65,9.85,8020
3-Apr-13,9.81,9.81,9.70,9.70,16351
2-Apr-13,9.94,10.00,9.76,9.81,15723
1-Apr-13,10.10,10.10,9.89,9.92,23449
28-Mar-13,10.35,10.35,10.00,10.15,52712
27-Mar-13,10.21,10.33,9.99,10.29,12921
26-Mar-13,10.46,10.49,10.12,10.24,22509
25-Mar-13,10.05,10.46,10.04,10.44,18387
22-Mar-13,9.96,10.05,9.94,10.04,26474
21-Mar-13,9.95,10.05,9.91,10.05,17659
20-Mar-13,10.06,10.06,9.94,10.05,24221
19-Mar-13,9.98,10.04,9.87,10.03,16595
18-Mar-13,9.97,10.04,9.90,9.93,17913
15-Mar-13,10.10,10.24,10.04,10.05,54300
14-Mar-13,10.09,10.15,10.02,10.13,22558
13-Mar-13,9.85,10.10,9.85,10.08,15482
12-Mar-13,9.80,9.90,9.75,9.87,16228
11-Mar-13,9.66,9.85,9.66,9.84,27232
8-Mar-13,9.72,9.85,9.64,9.83,24346
7-Mar-13,9.68,9.75,9.45,9.72,37242
6-Mar-13,9.48,9.68,9.30,9.66,25459
5-Mar-13,9.34,9.51,9.30,9.40,31379
4-Mar-13,9.43,9.45,9.29,9.34,13401
1-Mar-13,9.29,9.54,9.29,9.46,17820
28-Feb-13,9.47,9.57,9.36,9.39,17035
27-Feb-13,9.51,9.70,9.42,9.45,15473
26-Feb-13,9.53,9.66,9.51,9.59,9874
25-Feb-13,9.68,9.68,9.40,9.46,14306
22-Feb-13,9.62,9.62,9.48,9.60,10379
21-Feb-13,9.50,9.62,9.47,9.56,9397
20-Feb-13,9.52,9.61,9.50,9.51,22135
19-Feb-13,9.57,9.64,9.50,9.55,17326
15-Feb-13,9.65,9.65,9.51,9.52,20314
14-Feb-13,9.55,9.59,9.54,9.56,12152
13-Feb-13,9.66,9.66,9.57,9.61,18548
12-Feb-13,9.74,9.90,9.67,9.71,20506
11-Feb-13,9.64,9.70,9.60,9.67,10689
8-Feb-13,9.65,9.78,9.65,9.70,16388
7-Feb-13,9.80,9.80,9.60,9.61,11640
6-Feb-13,9.58,9.87,9.58,9.83,5224
5-Feb-13,9.64,9.76,9.63,9.66,8566
4-Feb-13,9.81,9.91,9.58,9.60,38406
1-Feb-13,9.77,9.89,9.74,9.81,15891
31-Jan-13,9.86,9.89,9.65,9.68,32105
30-Jan-13,9.94,9.94,9.81,9.85,3971
29-Jan-13,9.72,9.97,9.67,9.94,16861
28-Jan-13,9.70,9.75,9.61,9.75,20327
25-Jan-13,9.66,9.69,9.55,9.62,17598
24-Jan-13,9.64,9.72,9.61,9.65,12792
23-Jan-13,9.71,9.73,9.64,9.65,17638
22-Jan-13,9.78,9.80,9.56,9.68,20979
18-Jan-13,9.62,9.74,9.58,9.74,14530
17-Jan-13,9.59,9.65,9.55,9.65,15645
16-Jan-13,9.51,9.63,9.51,9.53,8407
15-Jan-13,9.50,9.58,9.46,9.56,23189
14-Jan-13,9.70,9.71,9.55,9.58,12678
11-Jan-13,9.80,9.83,9.58,9.67,13856
10-Jan-13,9.79,9.79,9.66,9.78,5144
9-Jan-13,9.68,9.87,9.68,9.77,8608
8-Jan-13,9.82,9.82,9.48,9.68,21576
7-Jan-13,9.84,9.89,9.74,9.75,9441
4-Jan-13,9.84,9.99,9.76,9.92,14442
3-Jan-13,9.90,9.97,9.70,9.74,20344
2-Jan-13,9.95,10.00,9.63,9.93,48208
31-Dec-12,9.40,9.88,9.32,9.73,31528
28-Dec-12,9.42,9.60,9.35,9.47,9750
27-Dec-12,9.55,9.65,9.20,9.49,16341
26-Dec-12,9.93,9.93,9.52,9.56,7564
24-Dec-12,9.91,9.91,9.71,9.77,2822
21-Dec-12,9.96,9.98,9.56,9.93,101659
20-Dec-12,10.04,10.11,9.89,9.96,21348
19-Dec-12,9.97,10.15,9.97,10.15,12970
18-Dec-12,9.83,10.17,9.64,9.98,33546
17-Dec-12,9.60,9.89,9.55,9.84,36406
14-Dec-12,9.45,9.65,9.40,9.53,17972
13-Dec-12,9.67,9.70,9.41,9.46,30453
12-Dec-12,9.54,9.71,9.28,9.69,43558
11-Dec-12,9.43,9.58,9.21,9.55,32786
10-Dec-12,9.31,9.40,9.27,9.40,14845
7-Dec-12,9.50,9.50,9.27,9.39,11500
6-Dec-12,9.52,9.52,9.33,9.49,8652
5-Dec-12,9.64,9.69,9.32,9.50,14391
4-Dec-12,9.39,9.56,9.35,9.54,11840
3-Dec-12,9.71,9.86,9.35,9.35,17599
30-Nov-12,9.65,9.76,9.59,9.72,15669
29-Nov-12,9.57,9.85,9.52,9.61,14140
28-Nov-12,9.15,9.49,9.15,9.48,9428
27-Nov-12,9.22,9.39,9.15,9.16,15002
26-Nov-12,9.29,9.30,9.16,9.24,16789
23-Nov-12,9.28,9.55,9.21,9.30,14275
21-Nov-12,9.19,9.24,9.13,9.23,11253
20-Nov-12,9.42,9.48,9.17,9.21,11533
19-Nov-12,9.18,9.50,9.18,9.39,19774
16-Nov-12,9.30,9.37,8.91,9.08,60431
15-Nov-12,9.35,9.51,9.30,9.32,24519
14-Nov-12,9.70,9.72,9.27,9.28,59151
13-Nov-12,9.67,10.05,9.66,9.68,28556
12-Nov-12,9.85,9.91,9.82,9.84,14666
