Date, Open, High, Low, Close, Volume
17-May-13,13.28,13.33,13.17,13.33,555148
16-May-13,13.12,13.30,13.12,13.19,422443
15-May-13,13.25,13.25,13.10,13.14,527152
14-May-13,13.18,13.39,13.17,13.21,619585
13-May-13,13.15,13.19,13.03,13.12,424140
10-May-13,13.19,13.25,13.01,13.13,565582
9-May-13,13.37,13.48,13.29,13.35,623037
8-May-13,13.12,13.41,13.06,13.35,711982
7-May-13,13.30,13.38,13.10,13.12,779476
6-May-13,13.45,13.48,13.13,13.27,759481
3-May-13,13.40,13.44,13.11,13.41,846875
2-May-13,12.99,13.16,12.98,13.05,655535
1-May-13,13.33,13.35,12.94,12.96,744943
30-Apr-13,13.29,13.30,13.16,13.30,582325
29-Apr-13,13.14,13.26,13.02,13.21,635479
26-Apr-13,13.05,13.05,12.73,13.00,644982
25-Apr-13,12.98,13.18,12.89,12.99,851297
24-Apr-13,12.90,12.99,12.76,12.87,772554
23-Apr-13,12.71,12.94,12.66,12.82,1120385
22-Apr-13,12.47,12.74,12.28,12.62,1579788
19-Apr-13,11.95,12.01,11.87,12.00,223937
18-Apr-13,11.80,12.00,11.77,11.92,468968
17-Apr-13,11.97,11.99,11.60,11.75,440639
16-Apr-13,11.90,12.10,11.83,12.02,303602
15-Apr-13,12.19,12.26,11.81,11.83,564098
12-Apr-13,12.35,12.38,12.10,12.25,377623
11-Apr-13,12.38,12.39,12.22,12.38,614010
10-Apr-13,11.77,12.35,11.77,12.35,1097012
9-Apr-13,11.79,11.89,11.71,11.71,467509
8-Apr-13,11.77,11.81,11.68,11.79,388727
5-Apr-13,11.72,11.81,11.63,11.78,273160
4-Apr-13,11.92,11.95,11.57,11.84,662974
3-Apr-13,12.22,12.23,11.89,11.91,432992
2-Apr-13,12.20,12.25,12.09,12.21,426553
1-Apr-13,12.27,12.29,12.08,12.21,324311
28-Mar-13,12.37,12.37,12.20,12.25,1051196
27-Mar-13,12.29,12.36,12.16,12.34,499341
26-Mar-13,12.22,12.35,12.15,12.34,479002
25-Mar-13,12.30,12.35,12.08,12.21,407239
22-Mar-13,12.16,12.25,12.12,12.25,487656
21-Mar-13,12.13,12.25,12.13,12.15,243500
20-Mar-13,12.20,12.28,12.09,12.16,421365
19-Mar-13,12.29,12.34,12.16,12.18,629490
18-Mar-13,12.22,12.31,12.21,12.22,337957
15-Mar-13,12.38,12.38,12.26,12.27,599486
14-Mar-13,12.30,12.38,12.25,12.36,464583
13-Mar-13,12.30,12.33,12.21,12.29,442595
12-Mar-13,12.27,12.35,12.24,12.30,594753
11-Mar-13,12.27,12.39,12.22,12.31,953590
8-Mar-13,12.08,12.38,12.06,12.34,5645942
7-Mar-13,12.59,12.63,12.43,12.52,459422
6-Mar-13,12.90,12.90,12.63,12.71,407679
5-Mar-13,12.81,12.87,12.66,12.84,421877
4-Mar-13,12.68,12.76,12.52,12.72,442410
1-Mar-13,12.51,12.80,12.36,12.64,615880
28-Feb-13,12.45,12.59,12.34,12.53,285442
27-Feb-13,12.33,12.54,12.31,12.43,259455
26-Feb-13,12.29,12.38,12.12,12.33,259193
25-Feb-13,12.59,12.60,12.28,12.28,316259
22-Feb-13,12.37,12.51,12.26,12.51,283361
21-Feb-13,12.38,12.47,12.16,12.31,444614
20-Feb-13,12.39,12.74,12.38,12.38,380901
19-Feb-13,12.35,12.55,12.33,12.44,435735
15-Feb-13,12.66,12.70,12.25,12.30,459200
14-Feb-13,12.45,12.66,12.45,12.65,236301
13-Feb-13,12.49,12.60,12.35,12.51,259487
12-Feb-13,12.34,12.48,12.26,12.44,240557
11-Feb-13,12.38,12.47,12.28,12.29,193917
8-Feb-13,12.30,12.45,12.19,12.36,221294
7-Feb-13,12.29,12.30,12.13,12.26,236714
6-Feb-13,12.24,12.27,12.16,12.27,273513
5-Feb-13,12.17,12.29,12.16,12.25,292050
4-Feb-13,12.25,12.31,12.12,12.13,276623
1-Feb-13,12.23,12.33,12.22,12.29,360315
31-Jan-13,11.96,12.32,11.95,12.23,475296
30-Jan-13,12.13,12.13,11.88,11.92,380860
29-Jan-13,11.92,12.18,11.86,12.15,306591
28-Jan-13,12.01,12.01,11.85,11.89,288839
25-Jan-13,12.00,12.09,11.85,11.96,357825
24-Jan-13,11.99,12.10,11.96,12.02,390707
23-Jan-13,11.90,12.00,11.83,11.99,498913
22-Jan-13,11.92,11.94,11.80,11.87,397711
18-Jan-13,11.83,11.91,11.76,11.87,299494
17-Jan-13,11.89,11.91,11.72,11.82,303498
16-Jan-13,11.71,11.88,11.66,11.82,238254
15-Jan-13,11.57,11.85,11.57,11.71,504058
14-Jan-13,11.61,11.78,11.56,11.59,305892
