Date, Open, High, Low, Close, Volume
17-May-13,0.37,0.37,0.36,0.36,270047
16-May-13,0.36,0.37,0.35,0.36,304780
15-May-13,0.37,0.37,0.34,0.34,382368
14-May-13,0.38,0.40,0.34,0.35,1217161
13-May-13,0.37,0.38,0.35,0.38,303191
10-May-13,0.36,0.37,0.35,0.36,156182
9-May-13,0.37,0.37,0.34,0.34,205690
8-May-13,0.36,0.37,0.35,0.37,285088
7-May-13,0.34,0.36,0.32,0.36,405075
6-May-13,0.34,0.34,0.32,0.33,148441
3-May-13,0.33,0.34,0.33,0.33,191652
2-May-13,0.34,0.34,0.32,0.33,115126
1-May-13,0.33,0.34,0.32,0.32,143664
30-Apr-13,0.33,0.34,0.32,0.33,118034
29-Apr-13,0.33,0.34,0.31,0.32,307696
26-Apr-13,0.32,0.34,0.32,0.32,479677
25-Apr-13,0.33,0.34,0.32,0.32,145403
24-Apr-13,0.35,0.35,0.32,0.33,546109
23-Apr-13,0.34,0.34,0.33,0.34,228978
22-Apr-13,0.35,0.35,0.30,0.34,1069257
19-Apr-13,0.36,0.37,0.35,0.35,218943
18-Apr-13,0.35,0.38,0.35,0.36,227925
17-Apr-13,0.36,0.36,0.34,0.35,285917
16-Apr-13,0.38,0.39,0.36,0.36,410137
15-Apr-13,0.38,0.40,0.38,0.38,632632
12-Apr-13,0.41,0.42,0.38,0.38,660392
11-Apr-13,0.35,0.44,0.35,0.40,2183556
10-Apr-13,0.36,0.37,0.35,0.36,234960
9-Apr-13,0.34,0.36,0.34,0.36,129128
8-Apr-13,0.35,0.36,0.34,0.35,123716
5-Apr-13,0.37,0.38,0.35,0.36,303662
4-Apr-13,0.39,0.39,0.37,0.37,142619
3-Apr-13,0.38,0.39,0.38,0.38,204203
2-Apr-13,0.38,0.39,0.37,0.38,455715
1-Apr-13,0.36,0.38,0.35,0.37,622096
28-Mar-13,0.35,0.39,0.34,0.34,724049
27-Mar-13,0.32,0.35,0.32,0.34,243958
26-Mar-13,0.34,0.34,0.33,0.33,499502
25-Mar-13,0.34,0.35,0.33,0.34,571792
22-Mar-13,0.35,0.35,0.32,0.34,78611
21-Mar-13,0.31,0.34,0.31,0.34,140298
20-Mar-13,0.32,0.33,0.32,0.32,149659
19-Mar-13,0.26,0.34,0.26,0.32,99475
18-Mar-13,0.34,0.35,0.32,0.32,74333
15-Mar-13,0.33,0.34,0.33,0.34,48370
14-Mar-13,0.32,0.34,0.32,0.33,82935
13-Mar-13,0.33,0.34,0.32,0.32,62824
12-Mar-13,0.32,0.34,0.32,0.34,63768
11-Mar-13,0.34,0.35,0.32,0.32,217901
8-Mar-13,0.35,0.35,0.33,0.34,154743
7-Mar-13,0.33,0.35,0.33,0.34,124430
6-Mar-13,0.34,0.34,0.32,0.32,155481
5-Mar-13,0.33,0.35,0.32,0.32,122449
4-Mar-13,0.33,0.33,0.32,0.33,48243
1-Mar-13,0.32,0.33,0.31,0.33,93770
28-Feb-13,0.30,0.33,0.30,0.32,66242
27-Feb-13,0.32,0.32,0.31,0.31,100890
26-Feb-13,0.30,0.33,0.30,0.31,184584
25-Feb-13,0.33,0.33,0.30,0.31,309972
22-Feb-13,0.31,0.33,0.30,0.32,339294
21-Feb-13,0.32,0.33,0.31,0.31,289086
20-Feb-13,0.32,0.33,0.32,0.32,385182
19-Feb-13,0.34,0.34,0.32,0.32,239883
15-Feb-13,0.33,0.33,0.32,0.33,299636
14-Feb-13,0.35,0.35,0.33,0.33,181391
13-Feb-13,0.35,0.35,0.33,0.35,252032
12-Feb-13,0.36,0.36,0.34,0.34,95737
11-Feb-13,0.35,0.36,0.34,0.34,112321
8-Feb-13,0.35,0.36,0.34,0.34,125737
7-Feb-13,0.34,0.35,0.33,0.35,64135
6-Feb-13,0.34,0.34,0.33,0.33,113289
5-Feb-13,0.33,0.35,0.33,0.33,198571
4-Feb-13,0.34,0.36,0.33,0.33,357434
1-Feb-13,0.34,0.35,0.33,0.33,236190
31-Jan-13,0.34,0.34,0.34,0.34,82031
30-Jan-13,0.34,0.36,0.33,0.34,129791
