Date, Open, High, Low, Close, Volume
17-May-13,52.27,52.28,52.26,52.27,3050
16-May-13,52.19,52.20,52.19,52.20,6400
15-May-13,52.25,52.35,52.08,52.30,7480
14-May-13,57.00,57.00,52.00,52.30,6197
13-May-13,52.28,52.29,52.22,52.29,3027
10-May-13,53.31,53.31,52.20,52.20,13834
9-May-13,52.40,52.40,52.38,52.38,1672
8-May-13,52.42,52.42,52.39,52.39,3980
7-May-13,52.33,52.33,52.26,52.27,5316
6-May-13,52.25,52.25,52.23,52.25,2117
3-May-13,52.00,52.56,52.00,52.23,6140
2-May-13,52.02,52.02,52.01,52.02,1626
1-May-13,51.75,52.17,51.72,51.78,3412
30-Apr-13,51.62,51.67,51.31,51.67,2843
29-Apr-13,51.29,51.58,51.15,51.55,70085
26-Apr-13,51.31,51.31,51.29,51.29,2809
25-Apr-13,51.29,51.31,50.98,51.15,10419
24-Apr-13,51.16,51.19,51.10,51.10,1355
23-Apr-13,51.10,51.15,50.88,51.10,1665
22-Apr-13,51.04,51.29,51.04,51.15,750
19-Apr-13,51.25,51.25,50.96,51.02,25471
18-Apr-13,51.04,51.10,51.00,51.00,2275
17-Apr-13,51.02,51.10,50.94,51.00,13250
16-Apr-13,50.95,51.05,50.89,50.89,31201
15-Apr-13,51.00,51.00,50.99,50.99,3044
12-Apr-13,51.17,51.18,51.00,51.05,3886
11-Apr-13,51.04,51.09,50.90,51.00,8859
10-Apr-13,50.60,50.60,50.52,50.52,9829
9-Apr-13,50.79,50.79,50.61,50.61,916
8-Apr-13,50.50,50.65,50.50,50.65,8547
5-Apr-13,50.59,50.79,50.58,50.78,41204
4-Apr-13,50.68,50.68,50.53,50.61,4908
3-Apr-13,50.57,51.47,50.49,50.68,11657
2-Apr-13,50.44,51.02,50.44,50.63,3026
1-Apr-13,50.28,50.55,50.28,50.44,4469
28-Mar-13,50.78,51.37,50.22,50.48,12287
27-Mar-13,51.34,51.39,50.60,50.60,2455
26-Mar-13,50.50,50.50,50.46,50.50,4750
25-Mar-13,50.49,50.66,50.47,50.50,3563
22-Mar-13,50.43,50.43,50.35,50.38,14241
21-Mar-13,50.58,50.83,50.49,50.50,4500
20-Mar-13,50.52,51.33,50.52,50.54,8215
19-Mar-13,50.51,50.60,50.51,50.52,13107
18-Mar-13,50.69,50.71,50.50,50.51,7825
15-Mar-13,50.44,50.45,50.27,50.38,9800
14-Mar-13,50.50,50.55,50.50,50.55,3800
13-Mar-13,50.52,50.59,50.40,50.40,4675
12-Mar-13,50.57,50.57,50.32,50.35,4164
11-Mar-13,50.66,50.66,50.32,50.32,2100
8-Mar-13,50.61,50.61,50.22,50.30,5947
7-Mar-13,50.12,50.34,50.12,50.14,17155
6-Mar-13,50.15,50.15,50.01,50.05,16488
5-Mar-13,50.09,50.09,50.09,50.09,2500
4-Mar-13,50.44,50.44,50.05,50.10,17000
1-Mar-13,50.23,50.25,49.99,50.05,11565
28-Feb-13,50.21,50.21,50.00,50.00,7210
