Date, Open, High, Low, Close, Volume
17-May-13,48.28,48.44,47.93,48.39,743381
16-May-13,48.04,48.24,47.71,48.01,761590
15-May-13,47.71,48.25,47.58,47.89,1201764
14-May-13,46.50,46.83,46.22,46.70,1230292
13-May-13,46.62,46.74,46.46,46.50,1195494
10-May-13,47.13,47.23,46.75,47.00,802149
9-May-13,47.15,47.35,46.55,47.00,786058
8-May-13,47.21,47.75,47.12,47.48,1225238
7-May-13,47.00,47.74,46.85,47.61,1374193
6-May-13,45.41,46.85,45.36,46.41,1003613
3-May-13,45.39,45.43,45.00,45.10,1294118
2-May-13,46.36,46.75,46.36,46.67,787993
1-May-13,46.60,46.80,46.09,46.30,519291
30-Apr-13,45.90,46.87,45.83,46.82,1193872
29-Apr-13,45.38,45.69,45.23,45.47,583389
26-Apr-13,44.98,45.64,44.76,45.39,788069
25-Apr-13,46.01,46.42,45.87,46.02,1149138
24-Apr-13,45.80,46.66,45.57,46.18,1768569
23-Apr-13,45.21,45.83,45.11,45.71,1592699
22-Apr-13,45.05,45.27,44.54,44.78,1749001
19-Apr-13,44.34,44.77,44.00,44.63,1069275
18-Apr-13,43.73,44.47,43.62,44.29,1746099
17-Apr-13,42.96,43.24,42.59,42.92,1229125
16-Apr-13,42.69,43.50,42.67,43.24,1611520
15-Apr-13,40.93,41.55,40.82,40.92,1142829
12-Apr-13,41.97,42.20,41.31,41.37,925123
11-Apr-13,41.71,42.43,41.45,42.11,1574639
10-Apr-13,40.23,41.78,40.15,41.56,2576397
9-Apr-13,39.50,39.64,39.20,39.44,972620
8-Apr-13,38.81,39.27,38.75,38.98,904384
5-Apr-13,39.22,39.30,38.57,39.16,1213757
4-Apr-13,40.11,40.22,39.43,39.71,1114425
3-Apr-13,41.46,41.57,40.33,40.75,1242811
2-Apr-13,42.16,42.44,42.02,42.18,1123232
1-Apr-13,42.72,42.72,41.69,41.88,1366610
28-Mar-13,41.73,43.11,41.65,42.90,2627376
27-Mar-13,40.28,41.18,40.14,41.16,1587669
26-Mar-13,40.44,40.69,40.24,40.56,1220867
25-Mar-13,40.47,40.64,39.70,40.12,1017924
22-Mar-13,40.63,40.78,40.09,40.45,735730
21-Mar-13,40.94,41.24,40.33,40.42,1294634
20-Mar-13,40.04,40.61,40.00,40.57,1619861
19-Mar-13,40.95,41.11,40.41,40.60,1535609
18-Mar-13,41.55,42.05,41.35,41.48,1534591
15-Mar-13,41.70,42.37,41.69,42.21,978871
14-Mar-13,43.37,43.58,42.80,43.06,808937
13-Mar-13,43.20,43.35,42.67,42.70,1028250
12-Mar-13,44.63,44.63,43.77,44.11,1765711
11-Mar-13,44.62,45.36,44.51,45.15,857941
8-Mar-13,44.66,44.90,44.47,44.87,1093122
7-Mar-13,43.30,44.19,43.25,44.17,1082607
6-Mar-13,43.51,43.79,42.82,43.00,991122
5-Mar-13,42.96,43.58,42.43,43.36,1624138
4-Mar-13,41.50,42.16,41.34,42.07,1783964
1-Mar-13,41.72,42.26,41.52,41.78,1685686
28-Feb-13,41.27,42.34,40.68,41.92,3139401
