Date, Open, High, Low, Close, Volume
17-May-13,86.94,86.94,86.04,86.40,343069
16-May-13,87.58,88.13,86.50,86.60,252412
15-May-13,88.50,88.95,87.21,87.53,462372
14-May-13,87.54,89.04,87.13,88.77,315018
13-May-13,87.72,88.07,86.96,87.00,201331
10-May-13,86.94,87.94,86.59,87.76,245678
9-May-13,87.00,87.50,86.54,86.82,283904
8-May-13,85.74,87.51,85.74,87.36,254953
7-May-13,85.99,86.33,85.58,85.90,287611
6-May-13,85.59,86.00,85.41,85.80,248673
3-May-13,85.09,85.49,84.66,85.31,549705
2-May-13,85.51,85.76,84.10,84.40,588817
1-May-13,87.52,87.98,85.15,85.24,751248
30-Apr-13,88.58,88.95,87.49,87.96,761282
29-Apr-13,88.23,89.07,88.14,88.36,740541
26-Apr-13,87.06,87.95,86.70,87.93,503313
25-Apr-13,84.58,87.53,84.45,87.03,891096
24-Apr-13,86.45,86.60,84.03,84.27,1381514
23-Apr-13,83.84,88.21,83.05,86.65,3177202
22-Apr-13,90.82,90.97,89.55,90.00,534559
19-Apr-13,89.50,90.64,89.02,90.56,306507
18-Apr-13,89.01,89.60,88.65,89.32,382105
17-Apr-13,89.09,89.27,88.14,88.96,495340
16-Apr-13,88.34,89.71,87.25,89.64,378160
15-Apr-13,88.20,89.04,87.60,87.72,313836
12-Apr-13,90.70,90.94,87.90,88.63,503616
11-Apr-13,90.80,91.59,90.78,90.96,431345
10-Apr-13,91.13,91.13,90.03,90.89,333670
9-Apr-13,90.50,91.14,89.90,90.51,231463
8-Apr-13,89.71,90.55,89.40,90.39,184490
5-Apr-13,88.96,89.95,88.45,89.73,271706
4-Apr-13,89.35,89.65,87.89,89.63,444495
3-Apr-13,90.81,91.06,88.81,89.07,291383
2-Apr-13,90.94,91.80,90.75,91.00,169743
1-Apr-13,92.06,92.40,90.29,90.83,363675
28-Mar-13,92.87,93.01,91.77,92.39,226009
27-Mar-13,91.97,93.22,91.73,92.89,274647
