Date, Open, High, Low, Close, Volume
17-May-13,13.10,13.20,13.03,13.13,29825
16-May-13,12.86,13.07,12.80,13.04,34566
15-May-13,13.14,13.14,12.71,13.03,95057
14-May-13,13.07,13.22,13.07,13.15,30391
13-May-13,13.25,13.39,13.02,13.17,67411
10-May-13,13.25,13.41,13.16,13.39,13338
9-May-13,13.27,13.50,13.27,13.29,29176
8-May-13,13.27,13.28,13.21,13.22,8695
7-May-13,12.95,13.17,12.95,13.15,41451
6-May-13,13.15,13.17,13.11,13.14,11017
3-May-13,13.07,13.07,12.96,13.05,19053
2-May-13,13.18,13.41,12.99,13.13,21168
1-May-13,13.28,13.28,13.11,13.28,8542
30-Apr-13,13.23,13.28,13.12,13.28,16751
29-Apr-13,13.03,13.15,13.00,13.14,12711
26-Apr-13,13.02,13.09,12.98,12.99,9360
25-Apr-13,13.03,13.07,13.02,13.04,7243
24-Apr-13,13.35,13.35,12.96,13.06,23290
23-Apr-13,12.80,13.04,12.80,12.95,45102
22-Apr-13,12.89,12.95,12.83,12.95,15733
19-Apr-13,13.03,13.03,12.71,12.96,16599
18-Apr-13,12.95,12.95,12.85,12.92,18855
17-Apr-13,12.86,12.97,12.66,12.86,19348
16-Apr-13,12.72,12.92,12.72,12.91,15128
15-Apr-13,12.69,12.74,12.68,12.69,26733
12-Apr-13,12.87,12.87,12.71,12.77,14307
11-Apr-13,12.92,12.95,12.80,12.88,12422
10-Apr-13,12.81,13.04,12.80,12.99,17113
9-Apr-13,12.82,13.08,12.82,13.03,17451
8-Apr-13,12.98,12.99,12.76,12.90,22052
5-Apr-13,12.92,13.27,12.74,12.86,40740
4-Apr-13,12.71,12.95,12.69,12.95,26831
3-Apr-13,12.86,12.94,12.86,12.91,44339
2-Apr-13,12.68,12.97,12.68,12.82,30883
1-Apr-13,12.90,12.90,12.68,12.72,23559
28-Mar-13,12.81,12.85,12.67,12.73,19065
27-Mar-13,12.86,12.87,12.66,12.66,18204
26-Mar-13,12.50,12.72,12.50,12.72,59474
25-Mar-13,12.45,12.70,12.36,12.36,46652
22-Mar-13,12.37,12.69,12.29,12.39,24236
21-Mar-13,12.47,12.52,12.41,12.46,10045
20-Mar-13,12.53,12.60,12.52,12.58,8661
19-Mar-13,12.38,12.50,12.09,12.45,26576
18-Mar-13,12.39,12.48,12.22,12.45,37633
15-Mar-13,12.36,12.56,12.36,12.55,15744
14-Mar-13,12.60,12.91,12.51,12.56,22746
13-Mar-13,12.60,12.71,12.50,12.64,22288
12-Mar-13,12.70,12.70,12.31,12.61,30380
11-Mar-13,12.68,12.79,12.57,12.77,32969
8-Mar-13,12.73,12.83,12.72,12.79,25196
7-Mar-13,12.71,12.81,12.71,12.80,20685
6-Mar-13,12.67,12.69,12.61,12.69,19511
5-Mar-13,12.60,12.60,12.44,12.54,36598
4-Mar-13,12.56,12.62,12.45,12.49,33289
1-Mar-13,12.47,12.72,12.47,12.70,13571
28-Feb-13,12.66,12.67,12.52,12.56,19069
27-Feb-13,12.35,12.59,12.35,12.58,76597
26-Feb-13,12.26,12.30,12.18,12.28,25227
25-Feb-13,12.41,12.44,12.08,12.36,31995
22-Feb-13,12.32,12.42,12.24,12.28,36198
21-Feb-13,12.33,12.43,12.11,12.11,34562
20-Feb-13,12.52,12.58,12.25,12.28,52149
19-Feb-13,12.52,12.59,12.40,12.48,33868
15-Feb-13,12.57,12.57,12.43,12.45,29029
14-Feb-13,12.50,12.57,12.43,12.48,15137
13-Feb-13,12.50,12.59,12.47,12.47,47612
12-Feb-13,12.40,12.48,12.40,12.45,29518
11-Feb-13,12.34,12.40,12.32,12.34,19280
8-Feb-13,12.22,12.38,12.19,12.33,31686
7-Feb-13,12.17,12.30,12.08,12.27,21985
6-Feb-13,12.24,12.30,12.16,12.30,38254
5-Feb-13,12.10,12.35,12.10,12.24,27756
4-Feb-13,12.08,12.15,12.07,12.14,56231
1-Feb-13,12.21,12.25,11.71,12.11,63429
31-Jan-13,12.20,12.27,12.03,12.08,61587
30-Jan-13,12.36,12.36,12.20,12.24,55359
29-Jan-13,12.23,12.38,12.15,12.27,22603
28-Jan-13,12.20,12.40,12.17,12.25,124951
25-Jan-13,12.32,12.59,12.30,12.43,70938
24-Jan-13,12.48,12.49,12.34,12.35,32084
23-Jan-13,12.44,12.50,12.37,12.44,54716
22-Jan-13,12.30,12.48,12.30,12.44,37123
18-Jan-13,12.43,12.48,12.39,12.42,28453
17-Jan-13,12.42,12.42,12.33,12.36,21897
16-Jan-13,12.33,12.38,12.25,12.35,44693
15-Jan-13,12.24,12.26,12.22,12.25,68046
14-Jan-13,12.17,12.24,12.14,12.23,55998
11-Jan-13,12.05,12.24,11.94,11.99,137627
10-Jan-13,12.15,12.17,12.05,12.11,108264
9-Jan-13,12.09,12.24,12.09,12.15,26457
8-Jan-13,12.15,12.15,12.07,12.15,31629
7-Jan-13,12.12,12.24,12.08,12.24,49642
4-Jan-13,12.10,12.35,12.09,12.20,57653
3-Jan-13,12.06,12.09,11.93,12.08,76213
2-Jan-13,11.92,12.06,11.90,11.94,52222
31-Dec-12,11.78,11.78,11.54,11.67,29184
28-Dec-12,11.62,11.89,11.62,11.72,33473
27-Dec-12,11.68,11.68,11.56,11.64,25367
26-Dec-12,11.69,11.71,11.60,11.62,15802
24-Dec-12,11.65,11.65,11.53,11.60,6770
21-Dec-12,11.68,11.71,11.55,11.62,31178
20-Dec-12,11.90,11.91,11.65,11.68,70091
19-Dec-12,11.90,12.75,11.81,11.90,224647
18-Dec-12,14.00,14.15,13.90,14.12,68017
17-Dec-12,13.97,14.02,13.93,14.00,31292
14-Dec-12,13.80,13.92,13.61,13.91,16339
13-Dec-12,13.90,14.03,13.84,13.91,41340
12-Dec-12,14.02,14.04,13.82,13.86,31445
11-Dec-12,13.89,14.05,13.89,13.95,13378
10-Dec-12,13.91,13.96,13.82,13.96,43230
7-Dec-12,13.66,13.89,13.58,13.89,87133
6-Dec-12,13.72,13.73,13.63,13.70,24274
5-Dec-12,13.58,13.73,13.55,13.67,19865
4-Dec-12,13.60,13.65,13.56,13.56,38041
3-Dec-12,13.82,13.82,13.62,13.68,26978
30-Nov-12,13.71,13.77,13.62,13.75,39537
29-Nov-12,13.82,13.82,13.69,13.80,11089
28-Nov-12,13.62,13.74,13.53,13.72,16669
27-Nov-12,13.75,13.82,13.65,13.66,47830
26-Nov-12,13.80,13.91,13.80,13.90,27118
23-Nov-12,13.85,13.85,13.74,13.77,4650
21-Nov-12,13.61,13.79,13.52,13.52,19598
20-Nov-12,13.86,13.86,13.69,13.76,25782
19-Nov-12,13.67,13.81,13.64,13.77,14090
16-Nov-12,13.26,13.56,13.26,13.56,18002
15-Nov-12,13.59,13.64,13.22,13.30,19577
14-Nov-12,13.85,13.91,13.57,13.59,31177
13-Nov-12,13.92,13.98,13.87,13.87,128292
12-Nov-12,13.86,14.23,13.86,14.02,33420
9-Nov-12,13.70,13.93,13.70,13.93,26692
8-Nov-12,13.95,13.95,13.64,13.66,21517
7-Nov-12,13.88,13.88,13.76,13.78,30294
6-Nov-12,13.90,13.91,13.78,13.91,27119
5-Nov-12,13.70,13.87,13.62,13.87,43621
2-Nov-12,13.80,13.80,13.74,13.80,24869
1-Nov-12,13.71,13.85,13.71,13.80,9538
31-Oct-12,13.83,13.83,13.51,13.67,53086
26-Oct-12,13.48,13.56,13.46,13.56,45752
25-Oct-12,13.61,13.61,13.46,13.57,11232
24-Oct-12,13.51,13.62,13.47,13.58,51988
23-Oct-12,13.59,13.61,13.50,13.61,39829
22-Oct-12,13.65,13.70,13.54,13.65,80057
19-Oct-12,13.75,13.76,13.63,13.70,30576
18-Oct-12,13.73,13.85,13.73,13.83,25071
17-Oct-12,13.73,13.88,13.73,13.82,10754
16-Oct-12,13.60,13.80,13.60,13.79,27886
15-Oct-12,13.55,13.64,13.44,13.48,30937
12-Oct-12,13.55,13.67,13.43,13.50,44396
11-Oct-12,13.51,13.56,13.43,13.50,17743
10-Oct-12,13.61,13.63,13.50,13.51,16581
9-Oct-12,13.71,13.71,13.62,13.63,27139
8-Oct-12,13.65,13.66,13.59,13.65,34963
5-Oct-12,13.73,13.82,13.71,13.82,30579
4-Oct-12,13.57,13.70,13.56,13.66,27926
3-Oct-12,13.55,13.64,13.43,13.61,98912
2-Oct-12,13.53,13.56,13.47,13.49,18531
1-Oct-12,13.45,13.57,13.45,13.50,20258
28-Sep-12,13.40,13.49,13.25,13.43,47146
27-Sep-12,13.20,13.32,13.15,13.30,110008
26-Sep-12,13.24,13.24,12.94,13.18,301676
25-Sep-12,13.59,13.70,13.56,13.59,30055
24-Sep-12,13.55,13.67,13.50,13.57,42555
21-Sep-12,13.63,13.73,13.63,13.72,7541
20-Sep-12,13.59,13.60,13.38,13.60,17453
19-Sep-12,13.80,13.80,13.64,13.64,10968
18-Sep-12,13.70,13.79,13.70,13.70,13405
17-Sep-12,13.67,13.87,13.41,13.87,55969
14-Sep-12,13.72,13.89,13.38,13.70,27020
13-Sep-12,13.34,13.64,13.34,13.57,15981
12-Sep-12,13.35,13.42,13.35,13.39,4106
11-Sep-12,13.43,13.43,13.31,13.34,10711
10-Sep-12,13.42,13.42,13.32,13.37,23011
7-Sep-12,13.26,13.37,13.21,13.37,34176
6-Sep-12,13.06,13.21,13.06,13.21,11498
5-Sep-12,12.87,13.01,12.87,13.00,40508
4-Sep-12,12.96,13.00,12.91,12.92,21250
31-Aug-12,12.92,13.00,12.88,12.88,41128
30-Aug-12,12.86,12.86,12.73,12.83,34238
29-Aug-12,12.90,12.96,12.90,12.93,29928
28-Aug-12,13.10,13.10,13.01,13.01,16316
27-Aug-12,13.10,13.16,13.08,13.10,15896
24-Aug-12,13.03,13.17,13.02,13.16,28442
23-Aug-12,13.03,13.12,13.03,13.09,8312
22-Aug-12,13.24,13.24,13.12,13.12,1694
21-Aug-12,13.22,13.33,13.16,13.20,14676
20-Aug-12,13.22,13.26,13.22,13.26,6122
17-Aug-12,13.38,13.38,13.15,13.27,5686
16-Aug-12,13.18,13.39,13.18,13.35,10629
15-Aug-12,13.19,13.24,13.11,13.23,18611
14-Aug-12,13.15,13.20,13.10,13.20,1800
13-Aug-12,13.08,13.10,13.05,13.05,33324
10-Aug-12,13.11,13.14,13.09,13.10,23563
9-Aug-12,13.10,13.15,13.04,13.12,18220
8-Aug-12,12.99,13.09,12.98,13.09,14025
7-Aug-12,13.02,13.06,12.99,13.06,13792
6-Aug-12,13.06,13.06,12.99,12.99,52983
3-Aug-12,13.00,13.08,12.99,13.04,49690
2-Aug-12,13.07,13.07,12.69,12.89,25589
1-Aug-12,13.14,13.16,13.06,13.07,16221
31-Jul-12,13.20,13.20,13.06,13.19,20601
30-Jul-12,13.10,13.14,13.09,13.09,4858
27-Jul-12,12.99,13.14,12.85,13.14,29665
26-Jul-12,12.81,12.83,12.76,12.82,10112
25-Jul-12,12.72,12.75,12.66,12.69,40360
24-Jul-12,12.71,12.71,12.61,12.67,26688
23-Jul-12,12.67,12.75,12.50,12.72,30465
20-Jul-12,13.13,13.13,12.95,12.96,16390
19-Jul-12,13.29,13.32,13.20,13.20,28408
18-Jul-12,13.12,13.30,13.12,13.21,18529
17-Jul-12,13.16,13.23,12.92,13.23,41142
16-Jul-12,13.02,13.10,13.02,13.06,6545
13-Jul-12,12.92,13.06,12.92,13.00,21393
12-Jul-12,12.90,12.90,12.79,12.86,6750
11-Jul-12,12.92,13.05,12.87,12.96,13278
10-Jul-12,12.95,13.01,12.84,12.90,37990
9-Jul-12,12.74,12.85,12.71,12.85,17123
6-Jul-12,12.93,13.00,12.85,12.89,23467
5-Jul-12,13.00,13.13,12.96,13.09,25477
3-Jul-12,12.79,13.06,12.79,13.01,47482
2-Jul-12,12.86,12.86,12.70,12.73,83394
29-Jun-12,12.75,12.89,12.73,12.82,28797
28-Jun-12,12.43,12.55,12.38,12.46,8882
27-Jun-12,12.55,12.59,12.50,12.58,22253
26-Jun-12,12.37,12.48,12.37,12.43,4672
25-Jun-12,12.25,12.30,12.25,12.30,7925
22-Jun-12,12.42,12.53,12.26,12.35,22290
21-Jun-12,12.61,12.67,12.31,12.32,23945
20-Jun-12,12.70,12.78,12.58,12.63,26410
19-Jun-12,12.51,12.60,12.51,12.58,7800
