Date, Open, High, Low, Close, Volume
17-May-13,6.22,6.25,6.17,6.24,110728
16-May-13,6.08,6.23,6.03,6.17,246074
15-May-13,6.11,6.22,6.08,6.08,147882
14-May-13,6.14,6.22,6.09,6.15,134363
13-May-13,6.17,6.21,6.00,6.12,182527
10-May-13,6.22,6.26,6.12,6.20,208423
9-May-13,6.48,6.48,6.02,6.19,442935
8-May-13,6.06,6.20,5.99,5.99,140105
7-May-13,6.03,6.09,5.94,6.06,192993
6-May-13,5.95,6.12,5.94,5.99,88092
3-May-13,5.86,6.05,5.80,5.97,170780
2-May-13,5.80,5.82,5.70,5.77,105009
1-May-13,5.68,5.85,5.52,5.75,368654
30-Apr-13,5.76,5.81,5.67,5.72,211923
29-Apr-13,5.91,5.94,5.73,5.78,113461
26-Apr-13,5.84,5.99,5.84,5.86,342959
25-Apr-13,5.85,5.95,5.81,5.88,72543
24-Apr-13,5.87,5.90,5.79,5.81,148286
23-Apr-13,5.79,5.99,5.71,5.86,124644
22-Apr-13,5.75,5.78,5.61,5.72,115499
19-Apr-13,5.79,5.79,5.61,5.76,175237
18-Apr-13,5.75,5.85,5.74,5.78,216195
17-Apr-13,5.88,5.91,5.72,5.75,211619
16-Apr-13,5.82,5.97,5.76,5.95,230969
15-Apr-13,6.00,6.02,5.69,5.76,307093
12-Apr-13,6.06,6.09,5.95,6.06,87129
11-Apr-13,6.16,6.22,6.05,6.10,120419
10-Apr-13,5.99,6.21,5.94,6.19,347033
9-Apr-13,5.97,6.05,5.89,5.96,136660
8-Apr-13,5.82,5.98,5.78,5.97,239470
5-Apr-13,5.75,5.86,5.73,5.78,258744
4-Apr-13,5.84,5.88,5.75,5.84,174548
3-Apr-13,6.14,6.14,5.81,5.82,236595
2-Apr-13,6.26,6.29,6.11,6.11,209478
1-Apr-13,6.33,6.34,6.19,6.20,683899
28-Mar-13,6.38,6.42,6.32,6.36,274389
27-Mar-13,6.26,6.44,6.23,6.36,221516
26-Mar-13,6.33,6.35,6.24,6.33,141586
25-Mar-13,6.40,6.40,6.19,6.31,258136
22-Mar-13,6.43,6.43,6.31,6.40,156910
21-Mar-13,6.25,6.39,6.25,6.34,134121
20-Mar-13,6.30,6.32,6.25,6.32,257154
19-Mar-13,6.27,6.32,6.25,6.25,467602
18-Mar-13,6.24,6.30,6.20,6.27,349907
15-Mar-13,6.23,6.42,6.20,6.33,346090
14-Mar-13,6.26,6.34,6.15,6.27,390364
13-Mar-13,6.18,6.25,6.11,6.23,601007
12-Mar-13,6.07,6.27,6.03,6.20,314399
11-Mar-13,6.01,6.14,5.96,6.09,304872
8-Mar-13,6.01,6.09,5.95,6.05,304939
7-Mar-13,5.80,5.97,5.80,5.95,318696
6-Mar-13,5.74,5.83,5.66,5.81,240778
5-Mar-13,5.78,5.86,5.68,5.75,168045
4-Mar-13,5.84,5.87,5.68,5.73,296705
1-Mar-13,5.84,5.94,5.78,5.87,257200
28-Feb-13,5.80,5.97,5.76,5.88,367702
27-Feb-13,5.82,5.91,5.75,5.80,269667
26-Feb-13,5.92,6.02,5.78,5.82,266701
25-Feb-13,6.30,6.30,5.87,5.91,542704
22-Feb-13,6.29,6.67,5.92,6.28,983018
21-Feb-13,6.60,6.60,6.15,6.26,362318
20-Feb-13,6.60,6.74,6.51,6.58,1162970
19-Feb-13,6.71,6.72,6.52,6.62,395388
15-Feb-13,6.65,6.87,6.58,6.71,697710
14-Feb-13,6.41,6.72,6.26,6.62,437596
13-Feb-13,6.68,6.73,6.28,6.44,486029
12-Feb-13,6.55,6.70,6.49,6.65,133786
11-Feb-13,6.64,6.66,6.41,6.50,91167
